Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2019-03-31,6288000000.0,4235000000.0,,355000000.0,970000000.0,,,157000000.0,49000000.0,-40000000.0,85000000.0,,,,,3796000000.0,,,7147000000.0,,,1515000000.0,19244000000.0,,12083000000.0,40638000000.0,25724000000.0,2476000000.0,101837000000.0,4200000000.0,4400000000.0,,11942000000.0,,,,2052000000.0,,-7906000000.0,-2576000000.0,69600000000.0,101837000000.0,678000000.0,,,,,,,,,,-1422000000.0,,,,,,625000000.0,,5000000.0,-514000000.0,,,1226000000.0,-690000000.0,
2019-06-30,8952000000.0,5258000000.0,,568000000.0,1672000000.0,,,31000000.0,753000000.0,270000000.0,-608000000.0,-0.81,-0.81,749400000.0,750000000.0,2077000000.0,,4811000000.0,3918000000.0,,,1086000000.0,14521000000.0,,4543000000.0,10249000000.0,11832000000.0,2464000000.0,43998000000.0,3139000000.0,3135000000.0,,8614000000.0,,,,2156000000.0,,97000000.0,-2375000000.0,25886000000.0,43998000000.0,485000000.0,,,,,,,,,,-1088000000.0,,,,,9000000.0,834000000.0,,1000000.0,-674000000.0,,,-685000000.0,-2511000000.0,
2019-09-30,10863000000.0,6607000000.0,,857000000.0,2318000000.0,,,90000000.0,-631000000.0,-104000000.0,-938000000.0,-1.25,-1.25,749500000.0,749500000.0,1980000000.0,,3969000000.0,4403000000.0,,,1043000000.0,14117000000.0,,4503000000.0,10168000000.0,11667000000.0,2440000000.0,43235000000.0,3014000000.0,2249000000.0,,8993000000.0,,,,2132000000.0,,-397000000.0,-2667000000.0,25015000000.0,43235000000.0,711000000.0,,,,,,,,,,-2303000000.0,,,,,9000000.0,1015000000.0,,2000000.0,-964000000.0,,,761000000.0,-2624000000.0,
2019-12-31,13846000000.0,8575000000.0,,1147000000.0,3065000000.0,,,215000000.0,-316000000.0,-46000000.0,-959000000.0,-1.28,-1.28,749500000.0,749500000.0,1764000000.0,,4225000000.0,5032000000.0,2513000000.0,,1190000000.0,13519000000.0,,4546000000.0,10229000000.0,11424000000.0,2326000000.0,42397000000.0,3702000000.0,4434000000.0,,8238000000.0,,,,2192000000.0,,-425000000.0,-3270000000.0,24309000000.0,42397000000.0,1599000000.0,,,,-74000000.0,,,149000000.0,,,1070000000.0,,,,,10000000.0,1163000000.0,,13000000.0,-904000000.0,,,-2929000000.0,-2851000000.0,
2020-03-31,3956000000.0,2269000000.0,,280000000.0,757000000.0,,,1000000.0,408000000.0,127000000.0,272000000.0,0.36,0.36,749900000.0,752500000.0,1963000000.0,,5367000000.0,4401000000.0,,,1530000000.0,14679000000.0,,4358000000.0,10027000000.0,11241000000.0,2336000000.0,42978000000.0,3021000000.0,4039000000.0,,9199000000.0,,,,1989000000.0,,-155000000.0,-3933000000.0,23825000000.0,42978000000.0,283000000.0,,,,,,,,,,-1930000000.0,,,,,,128000000.0,,4000000.0,-130000000.0,,,2344000000.0,167000000.0,
2020-06-30,9147000000.0,5098000000.0,,553000000.0,1722000000.0,,,90000000.0,1252000000.0,205000000.0,1032000000.0,1.37,1.37,749600000.0,752000000.0,2809000000.0,,4396000000.0,3589000000.0,,,1192000000.0,14422000000.0,,4293000000.0,10069000000.0,11070000000.0,1974000000.0,42180000000.0,2891000000.0,2740000000.0,,7529000000.0,,,,1957000000.0,,508000000.0,-3845000000.0,24561000000.0,42180000000.0,583000000.0,,,,,,,,,,-869000000.0,,,,,0.0,202000000.0,,5000000.0,-252000000.0,,,2214000000.0,998000000.0,
2020-09-30,11010000000.0,6395000000.0,,837000000.0,2319000000.0,,,120000000.0,745000000.0,-117000000.0,640000000.0,0.85,0.85,749500000.0,752000000.0,2768000000.0,,3231000000.0,4374000000.0,,,1167000000.0,14088000000.0,,4273000000.0,10110000000.0,10914000000.0,1954000000.0,41690000000.0,2994000000.0,2430000000.0,,7734000000.0,,,,1864000000.0,,0.0,-3796000000.0,24106000000.0,41690000000.0,,,,,,,,,,,-1237000000.0,,,,,0.0,301000000.0,,7000000.0,-445000000.0,,,2695000000.0,949000000.0,
2020-12-31,14217000000.0,8507000000.0,,1142000000.0,3043000000.0,,,212000000.0,675000000.0,-81000000.0,681000000.0,0.91,0.91,748700000.0,751200000.0,3526000000.0,,3754000000.0,4882000000.0,2159000000.0,,1165000000.0,14768000000.0,,4396000000.0,10269000000.0,10747000000.0,1939000000.0,42649000000.0,3615000000.0,4807000000.0,,8548000000.0,,,,1867000000.0,,0.0,-2890000000.0,24824000000.0,42649000000.0,,,,,-104000000.0,,,-118000000.0,,,2064000000.0,,,,,0.0,475000000.0,,7000000.0,-674000000.0,,,303000000.0,1700000000.0,
2021-03-31,4178000000.0,2420000000.0,,281000000.0,733000000.0,,,337000000.0,791000000.0,178000000.0,600000000.0,0.81,0.8,743400000.0,749600000.0,2404000000.0,,5231000000.0,4321000000.0,,,1405000000.0,15036000000.0,,4299000000.0,10146000000.0,10584000000.0,1987000000.0,42549000000.0,3098000000.0,2239000000.0,,8999000000.0,,,,1814000000.0,,268000000.0,-3367000000.0,24538000000.0,42549000000.0,,,,-2012000000.0,467000000.0,,,-448000000.0,-401000000.0,,-1950000000.0,,,,,,137000000.0,,1000000.0,36000000.0,,,821000000.0,-1143000000.0,
2021-06-30,9805000000.0,5430000000.0,,574000000.0,1731000000.0,,,635000000.0,2093000000.0,462000000.0,1570000000.0,2.12,2.11,740300000.0,746400000.0,2861000000.0,,4318000000.0,3541000000.0,,,1052000000.0,14285000000.0,,4341000000.0,10207000000.0,10413000000.0,1740000000.0,41496000000.0,3070000000.0,2523000000.0,,7252000000.0,,,,1816000000.0,,941000000.0,-3245000000.0,25385000000.0,41496000000.0,,,,-1957000000.0,1334000000.0,,,-525000000.0,-1931000000.0,,-643000000.0,,,,,,269000000.0,,2000000.0,-17000000.0,,,-27000000.0,-701000000.0,
2021-09-30,12176000000.0,6988000000.0,,871000000.0,2403000000.0,,,1013000000.0,2101000000.0,434000000.0,1600000000.0,2.17,2.15,738100000.0,744000000.0,2779000000.0,,3336000000.0,4417000000.0,,,1029000000.0,14146000000.0,,4310000000.0,10130000000.0,10225000000.0,1796000000.0,41122000000.0,3512000000.0,2134000000.0,,7805000000.0,,,,1724000000.0,,666000000.0,-3645000000.0,24740000000.0,41122000000.0,,,,-1116000000.0,375000000.0,,,-41000000.0,-1945000000.0,,-819000000.0,,,,,,413000000.0,,1000000.0,-201000000.0,,,365000000.0,-733000000.0,
