Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,98729000000.0,78349000000.0,20380000000.0,,,13942000000.0,6438000000.0,,5913000000.0,2205000000.0,3696000000.0,2.58,2.55,1434000000.0,1450000000.0,1086000000.0,,5457000000.0,10343000000.0,506000000.0,,140000000.0,17537000000.0,,7923000000.0,25680000000.0,10127000000.0,374000000.0,61641000000.0,3560000000.0,3246000000.0,,12300000000.0,,3678000000.0,,1102000000.0,,16355000000.0,-135000000.0,35768000000.0,61641000000.0,,165000000.0,48000000.0,86000000.0,1199000000.0,,2000000.0,4000000.0,,38000000.0,4035000000.0,,,,,101000000.0,2548000000.0,,,-1069000000.0,,19000000.0,-3232000000.0,-266000000.0,
2010-03-31,23760000000.0,19014000000.0,4746000000.0,,,3336000000.0,1410000000.0,,1282000000.0,510000000.0,771000000.0,0.56,0.55,1386000000.0,1396000000.0,1047000000.0,,5149000000.0,10275000000.0,501000000.0,,179000000.0,17155000000.0,,8044000000.0,25674000000.0,10037000000.0,374000000.0,61284000000.0,4043000000.0,2898000000.0,,12337000000.0,,3655000000.0,,1108000000.0,,17004000000.0,-130000000.0,35694000000.0,61284000000.0,,37000000.0,2000000.0,-308000000.0,-68000000.0,,,-115000000.0,,6000000.0,1060000000.0,,,,,9000000.0,401000000.0,,,-397000000.0,,11000000.0,-702000000.0,-39000000.0,
2010-06-30,47767000000.0,38001000000.0,9766000000.0,,,6855000000.0,2911000000.0,,2648000000.0,1054000000.0,1592000000.0,1.16,1.15,1372000000.0,1381000000.0,1107000000.0,,5101000000.0,10389000000.0,498000000.0,,171000000.0,17270000000.0,,8248000000.0,25672000000.0,9949000000.0,385000000.0,61524000000.0,3867000000.0,2603000000.0,,11459000000.0,,3633000000.0,,1070000000.0,,17705000000.0,-133000000.0,35872000000.0,61524000000.0,,75000000.0,-20000000.0,-356000000.0,46000000.0,,4000000.0,-286000000.0,,-32000000.0,1712000000.0,,,,,25000000.0,866000000.0,,,-880000000.0,,13000000.0,-811000000.0,21000000.0,
2010-09-30,71641000000.0,56851000000.0,14790000000.0,,,10396000000.0,4394000000.0,,3995000000.0,1582000000.0,2401000000.0,1.75,1.74,1368000000.0,1378000000.0,979000000.0,,5111000000.0,10585000000.0,479000000.0,,181000000.0,17339000000.0,,8356000000.0,25673000000.0,9876000000.0,469000000.0,61713000000.0,4162000000.0,2664000000.0,,11674000000.0,,3653000000.0,,1061000000.0,,18396000000.0,-133000000.0,36637000000.0,61713000000.0,,112000000.0,43000000.0,-346000000.0,242000000.0,,-11000000.0,-112000000.0,,-41000000.0,3004000000.0,,,,,158000000.0,1379000000.0,,,-1388000000.0,,13000000.0,-1723000000.0,-107000000.0,
2010-12-31,96413000000.0,76156000000.0,20257000000.0,,,14092000000.0,6165000000.0,,5629000000.0,2190000000.0,3427000000.0,2.51,2.49,1367000000.0,1377000000.0,1427000000.0,,4925000000.0,10695000000.0,-3144000000.0,,144000000.0,17706000000.0,,8322000000.0,25669000000.0,9784000000.0,688000000.0,62169000000.0,4026000000.0,3070000000.0,,11070000000.0,,3655000000.0,,1058000000.0,,19303000000.0,-143000000.0,37700000000.0,62169000000.0,,150000000.0,30000000.0,-532000000.0,352000000.0,,,-40000000.0,,,4779000000.0,,,,,177000000.0,2005000000.0,,,-1640000000.0,,28000000.0,-2798000000.0,341000000.0,
2013-03-31,30763000000.0,25181000000.0,5582000000.0,,,3883000000.0,1699000000.0,,1573000000.0,617000000.0,,0.78,0.77,1232000000.0,1241000000.0,1551000000.0,,6635000000.0,10592000000.0,604000000.0,,340000000.0,19727000000.0,,8556000000.0,26575000000.0,9738000000.0,1472000000.0,66068000000.0,5506000000.0,3523000000.0,,13195000000.0,,3774000000.0,,1538000000.0,,25728000000.0,-182000000.0,,66068000000.0,,34000000.0,,113000000.0,-193000000.0,,135000000.0,-230000000.0,,,1640000000.0,,,,,254000000.0,318000000.0,,,-567000000.0,,13000000.0,-897000000.0,176000000.0,
2016-03-31,43215000000.0,36471000000.0,6744000000.0,,,4568000000.0,2176000000.0,,1893000000.0,746000000.0,,1.04,1.04,1092000000.0,1099000000.0,1779000000.0,,13025000000.0,13912000000.0,,,612000000.0,29413000000.0,,9862000000.0,38115000000.0,13750000000.0,1494000000.0,92634000000.0,7361000000.0,7444000000.0,,24537000000.0,,4232000000.0,,1567000000.0,,36182000000.0,-339000000.0,36025000000.0,92634000000.0,,57000000.0,,1131000000.0,-89000000.0,,52000000.0,798000000.0,,23000000.0,2412000000.0,36000000.0,,,,51000000.0,598000000.0,,,-633000000.0,,27000000.0,-2460000000.0,-680000000.0,
2016-06-30,86940000000.0,73181000000.0,13759000000.0,,,9233000000.0,4526000000.0,,3421000000.0,1350000000.0,,1.91,1.9,1081000000.0,1087000000.0,1127000000.0,,13183000000.0,14177000000.0,,,881000000.0,29448000000.0,,9981000000.0,38190000000.0,13639000000.0,1490000000.0,92748000000.0,7351000000.0,7244000000.0,,26569000000.0,,4260000000.0,,1553000000.0,,36647000000.0,-317000000.0,34760000000.0,92748000000.0,,107000000.0,,1279000000.0,167000000.0,,53000000.0,1164000000.0,,5000000.0,4023000000.0,39000000.0,,,,168000000.0,1102000000.0,,,-1231000000.0,,63000000.0,-4126000000.0,-1332000000.0,
2016-09-30,131555000000.0,110304000000.0,21251000000.0,,,13908000000.0,7343000000.0,,5884000000.0,2271000000.0,,3.34,3.32,1076000000.0,1082000000.0,2189000000.0,,13625000000.0,14348000000.0,,,703000000.0,30939000000.0,,9901000000.0,38214000000.0,13567000000.0,1535000000.0,94156000000.0,7584000000.0,8856000000.0,,26741000000.0,,4254000000.0,,1597000000.0,,37732000000.0,-319000000.0,35949000000.0,94156000000.0,,166000000.0,,1714000000.0,337000000.0,,86000000.0,1570000000.0,,49000000.0,7948000000.0,40000000.0,,,,333000000.0,1607000000.0,,,-1652000000.0,,72000000.0,-6568000000.0,-270000000.0,
2016-12-31,177526000000.0,148669000000.0,28857000000.0,,,18519000000.0,10338000000.0,,8637000000.0,3317000000.0,5317000000.0,4.93,4.9,1073000000.0,1079000000.0,3371000000.0,,12164000000.0,14760000000.0,,,660000000.0,31042000000.0,,10175000000.0,38249000000.0,13511000000.0,1485000000.0,94462000000.0,7946000000.0,6937000000.0,,26250000000.0,,4214000000.0,,1549000000.0,,38983000000.0,-305000000.0,36830000000.0,94462000000.0,,222000000.0,3000000.0,243000000.0,742000000.0,,43000000.0,2189000000.0,,2000000.0,10069000000.0,,,,,539000000.0,2224000000.0,,,-2470000000.0,,72000000.0,-6689000000.0,912000000.0,
