Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2014-09-30,230336000.0,,,,,182723000.0,11105000.0,,-2869000.0,1195000.0,-4064000.0,-0.16,-0.16,26075022.0,26075022.0,91129000.0,,9005000.0,7357000.0,,,,119436000.0,,441919000.0,104734000.0,,9716000.0,1169383000.0,9548000.0,,,75376000.0,,130873000.0,,6654000.0,1005390000.0,-3488000.0,1607000.0,163993000.0,1169383000.0,13786000.0,,1190000.0,563000.0,135000.0,,,1040000.0,,,18499000.0,,,,,,4565000.0,,,50995000.0,,,-8178000.0,,
2014-12-31,410272000.0,,,,,339478000.0,17555000.0,,-12554000.0,1768000.0,-14425000.0,,,,29901405.0,87604000.0,,7112000.0,7234000.0,90777000.0,,,117493000.0,,456139000.0,66826000.0,,10031000.0,1175330000.0,12184000.0,,,91844000.0,,144439000.0,,8595000.0,1023708000.0,-14425000.0,87000.0,151622000.0,1175330000.0,28643000.0,,1583000.0,-358000.0,12000.0,,,1811000.0,,,33879000.0,,,,,,10564000.0,,,38140000.0,,,-14228000.0,,
2015-03-31,182809000.0,,,,,154766000.0,12084000.0,,-5148000.0,1016000.0,-6164000.0,-0.13,,46494638.0,,71913000.0,,5608000.0,7149000.0,,,,101971000.0,,449754000.0,66826000.0,,9513000.0,1150452000.0,9776000.0,,,74698000.0,,145073000.0,,8542000.0,1004404000.0,-20589000.0,87000.0,146048000.0,1150452000.0,14469000.0,,634000.0,-1438000.0,-85000.0,,,-2655000.0,,,-5876000.0,,,,,,7495000.0,,,-9812000.0,,,-3000.0,,
2015-06-30,381165000.0,,,,,315196000.0,35143000.0,,5827000.0,2048000.0,4795000.0,0.1,0.1,46516614.0,46657618.0,88627000.0,,8505000.0,6950000.0,,,,122619000.0,,447891000.0,66826000.0,,9852000.0,1169003000.0,10942000.0,,,90287000.0,,145946000.0,,8342000.0,1017929000.0,-15794000.0,87000.0,,1169003000.0,28500000.0,,1242000.0,1722000.0,-284000.0,,,-1438000.0,,,19161000.0,,,,,,17863000.0,,,-18111000.0,,,-27000.0,,
2015-09-30,533624000.0,,,,,476806000.0,59235000.0,,8499000.0,4469000.0,5399000.0,0.12,0.12,46516614.0,46763589.0,48751000.0,,9146000.0,7165000.0,,,,132338000.0,,442221000.0,66826000.0,,7204000.0,1168945000.0,13020000.0,,,69967000.0,,147645000.0,,8228000.0,1012138000.0,-10395000.0,87000.0,,1168945000.0,42454000.0,,3206000.0,2137000.0,-69000.0,,,642000.0,,,20528000.0,,,,,,24414000.0,,,-78312000.0,,,18931000.0,,
2015-12-31,719784000.0,,,,,,72516000.0,,44603000.0,-69580000.0,114183000.0,2.45,2.43,46550042.0,47008980.0,78278000.0,,9981000.0,11742000.0,78842000.0,,,116179000.0,,625416000.0,66826000.0,,6954000.0,1325008000.0,17005000.0,,,105710000.0,,78797000.0,,8121000.0,1054341000.0,99758000.0,12000.0,270667000.0,1325008000.0,,,-70773000.0,-2955000.0,71000.0,,,178000.0,,,56715000.0,,,,,,36762000.0,,,-158754000.0,,,92713000.0,,
2016-03-31,213566000.0,,,,,,18263000.0,,5206000.0,1836000.0,3370000.0,0.07,0.07,46933094.0,47534761.0,44099000.0,,9534000.0,11319000.0,,,,85962000.0,,618121000.0,66826000.0,,6783000.0,1286068000.0,20691000.0,,,95853000.0,,80392000.0,,8069000.0,1011112000.0,103128000.0,12000.0,,1286068000.0,,,,-302000.0,-423000.0,,,3591000.0,,,10853000.0,,,,,,10624000.0,,,-8673000.0,,,-36359000.0,,
2016-06-30,444881000.0,,,,,,47917000.0,,21976000.0,7816000.0,14160000.0,0.3,0.3,47071608.0,47721075.0,37105000.0,,14524000.0,11696000.0,,,,80937000.0,,615011000.0,66826000.0,,6777000.0,1274685000.0,23031000.0,,,105650000.0,,86093000.0,,7110000.0,988242000.0,113918000.0,12000.0,,1274685000.0,,,,4872000.0,-46000.0,,,2414000.0,,,48656000.0,,,,,,20345000.0,,,-15432000.0,,,-74397000.0,,
2016-09-30,686446000.0,,,,,,76026000.0,,37496000.0,13654000.0,23842000.0,0.51,0.5,47193120.0,47834644.0,44609000.0,,17061000.0,11477000.0,,,,91938000.0,,609795000.0,66826000.0,,6390000.0,1278874000.0,22701000.0,,,97635000.0,,91229000.0,,7001000.0,981977000.0,123600000.0,12000.0,,1278874000.0,,,,7388000.0,-265000.0,,,3735000.0,,,72250000.0,,,,,,32949000.0,,,-27203000.0,,,-78716000.0,,
2016-12-31,892896000.0,,,,,54037000.0,89118000.0,,38046000.0,13244000.0,24802000.0,0.53,0.52,47033311.0,47701562.0,61029000.0,,14694000.0,11055000.0,66286000.0,,,101753000.0,,612342000.0,66826000.0,487498000.0,10120000.0,1294044000.0,21576000.0,,,102040000.0,,90385000.0,,7287000.0,995593000.0,124560000.0,12000.0,,1294044000.0,,,11344000.0,4874000.0,-687000.0,,,3183000.0,,,97570000.0,,,,,,47380000.0,,,-41148000.0,,,-73671000.0,,
