Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,80285000000.0,,,,,47822000000.0,,,-7799000000.0,-6733000000.0,-1606000000.0,-0.8,-0.8,11568300000.0,12099000000.0,,,,,,,,,,,25392000000.0,,,1856646000000.0,,,,,,,,,1701673000000.0,77440000000.0,-18937000000.0,152700000000.0,1856646000000.0,2853000000.0,,-7709000000.0,,,,,,,,-55719000000.0,,,,,,1146000000.0,,,38286000000.0,17514000000.0,,13006000000.0,,-289000000.0
2010-03-31,25421000000.0,,,,,11518000000.0,,,5285000000.0,1036000000.0,4428000000.0,0.15,0.15,28444300000.0,29333500000.0,,,,,,,,,,,25662000000.0,,,2002213000000.0,,,,,,,,,1848434000000.0,73432000000.0,-17859000000.0,151421000000.0,2002213000000.0,623000000.0,,,,,,,,,,35418000000.0,,,,,,278000000.0,,,14398000000.0,,,-49477000000.0,,1802000000.0
2010-06-30,47492000000.0,,,,,23384000000.0,,,8825000000.0,1848000000.0,7125000000.0,0.25,0.24,28849400000.0,29752600000.0,,,,,,,,,,,25201000000.0,,,1937656000000.0,,,,,,,,,1780326000000.0,76130000000.0,-19170000000.0,154806000000.0,1937656000000.0,1243000000.0,,,,,,,,,,41601000000.0,,,,,,528000000.0,,-7270000000.0,40278000000.0,,,-82645000000.0,,2769000000.0
2010-09-30,68230000000.0,,,,,34904000000.0,,,12124000000.0,2546000000.0,9293000000.0,0.32,0.31,28877500000.0,29778300000.0,,,,,,,,,,,25797000000.0,,,1983280000000.0,,,,,,,,,1818097000000.0,78260000000.0,-15309000000.0,162913000000.0,1983280000000.0,1379000000.0,,,,,,,,,,24281000000.0,,,,,,805000000.0,,18194000000.0,30651000000.0,,,-54737000000.0,,3392000000.0
2010-12-31,86601000000.0,,,,,47375000000.0,,,13184000000.0,2233000000.0,10602000000.0,0.36,0.35,28776000000.0,29678100000.0,,,,,52095000000.0,,,,,,26152000000.0,,,1913902000000.0,,,,,,,,,1748113000000.0,79559000000.0,-16277000000.0,163468000000.0,1913902000000.0,2664000000.0,,-964000000.0,,,,,,,,35686000000.0,,,,,,2363000000.0,,-5233000000.0,43337000000.0,,,-77428000000.0,,4307000000.0
2011-03-31,19726000000.0,,,,,12326000000.0,,,4216000000.0,1185000000.0,2999000000.0,0.1,0.1,29043500000.0,29965800000.0,,,,,,,,,,,26339000000.0,,,1947815000000.0,,,,,,,,,1774422000000.0,82554000000.0,-13984000000.0,171037000000.0,1947815000000.0,671000000.0,,,,,,,,,,1039000000.0,,,,,,688000000.0,,,-16992000000.0,,,15492000000.0,,874000000.0
2011-06-30,40348000000.0,,,,,25262000000.0,,,8515000000.0,2152000000.0,6340000000.0,2.14,2.08,2908600000.0,2997000000.0,,,,,,,,,,,26621000000.0,,,1956626000000.0,,,,,,,,,1777981000000.0,85857000000.0,-12222000000.0,176364000000.0,1956626000000.0,1391000000.0,,,,,,,,,,4845000000.0,,,,,,1530000000.0,,-5471000000.0,8255000000.0,0.0,,-16884000000.0,,1916000000.0
2011-09-30,61179000000.0,,,,,37722000000.0,,,13535000000.0,3430000000.0,10111000000.0,3.41,3.32,2910800000.0,2998600000.0,,,,,,,,,,,25496000000.0,,,1935992000000.0,,,,,,,,,1756650000000.0,89602000000.0,-17044000000.0,177372000000.0,1935992000000.0,2135000000.0,,,,,,,,,,30820000000.0,,,,,,2447000000.0,,-192000000.0,19896000000.0,,,-53885000000.0,,2617000000.0
2011-12-31,78353000000.0,,,,,50933000000.0,,,14624000000.0,3521000000.0,11067000000.0,3.73,3.63,2909800000.0,2998800000.0,,,,,51530000000.0,,,,,,25413000000.0,,,1873878000000.0,,,,,,,,,1694305000000.0,90520000000.0,-17788000000.0,177806000000.0,1873878000000.0,2872000000.0,,-74000000.0,,,,,,,,44741000000.0,,,,,,3448000000.0,,-4528000000.0,11266000000.0,,,-56646000000.0,,2705000000.0
2012-03-31,19406000000.0,,,,,12319000000.0,,,4068000000.0,1006000000.0,2931000000.0,0.98,0.95,2926200000.0,3014500000.0,,,,,,,,,,,25810000000.0,6413000000.0,,1944423000000.0,,,,,,,,,1760700000000.0,93310000000.0,-16735000000.0,181820000000.0,1944423000000.0,738000000.0,,,,,,2196000000.0,,,71000000.0,5498000000.0,,,,,,844000000.0,,28846000000.0,-34419000000.0,,,26328000000.0,-2196000000.0,916000000.0
