Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-09-30,,,,,,22043000000.0,1923000000.0,-1335000000.0,588000000.0,14000000.0,574000000.0,0.69,0.68,,,3436000000.0,,,,167000000.0,,,7321000000.0,,20184000000.0,9794000000.0,,1088000000.0,43153000000.0,1661000000.0,,,11820000000.0,,1734000000.0,,1522000000.0,,-9271000000.0,-3716000000.0,715000000.0,43153000000.0,,,,,,,,,,,2514000000.0,,,,98000000.0,,,,16000000.0,-1357000000.0,,,-2328000000.0,-1171000000.0,
2011-12-31,35115000000.0,,,,,33140000000.0,1975000000.0,-1206000000.0,769000000.0,-85000000.0,854000000.0,1.02,1.01,838000000.0,844000000.0,2657000000.0,,,,-1567000000.0,,,7729000000.0,,20223000000.0,9794000000.0,4751000000.0,1002000000.0,43499000000.0,1600000000.0,,,12701000000.0,,,,1419000000.0,,-8398000000.0,-6766000000.0,-1396000000.0,43499000000.0,,72000000.0,-2000000.0,76000000.0,,,,,,,2834000000.0,,,,,,,66500000.0,10000000.0,-1498000000.0,,,-1571000000.0,-235000000.0,
2012-03-31,8413000000.0,,,,,8031000000.0,382000000.0,-255000000.0,127000000.0,3000000.0,124000000.0,0.15,0.15,843000000.0,847000000.0,2911000000.0,,,,408000000.0,,,8299000000.0,,20332000000.0,9794000000.0,4733000000.0,1031000000.0,44189000000.0,1998000000.0,,,13646000000.0,,,,1489000000.0,,-8274000000.0,-6518000000.0,-1011000000.0,44189000000.0,,,,,,,,,,,831000000.0,,,,,,,,32000000.0,-349000000.0,,,-228000000.0,254000000.0,
2012-06-30,18145000000.0,,,,,17629000000.0,516000000.0,-553000000.0,-164000000.0,7000000.0,-168000000.0,-0.2,-0.2,845000000.0,845000000.0,2539000000.0,,,,488000000.0,,,8457000000.0,,20609000000.0,9794000000.0,4716000000.0,1144000000.0,44720000000.0,2175000000.0,,,14693000000.0,,,,1606000000.0,,-8442000000.0,-6490000000.0,-1135000000.0,44720000000.0,,,,,,,,,,,1463000000.0,,,,,,,,32000000.0,-1001000000.0,,,-580000000.0,-118000000.0,
2012-09-30,28068000000.0,,,,,26244000000.0,1824000000.0,-810000000.0,1052000000.0,11000000.0,1047000000.0,1.24,1.23,846000000.0,850000000.0,2274000000.0,,,,465000000.0,,,8163000000.0,,20599000000.0,9794000000.0,4697000000.0,1099000000.0,44352000000.0,2325000000.0,,,13224000000.0,,,,1711000000.0,,-7395000000.0,-6464000000.0,-48000000.0,44352000000.0,,,,,,,,,,,1926000000.0,,,,,,,,37000000.0,-1429000000.0,,,-880000000.0,-383000000.0,
2012-12-31,36670000000.0,,,,,34495000000.0,2175000000.0,-1150000000.0,1025000000.0,16000000.0,1009000000.0,1.2,1.19,845000000.0,850000000.0,2416000000.0,,,,-1584000000.0,,,8272000000.0,,20713000000.0,9794000000.0,4679000000.0,1092000000.0,44550000000.0,2293000000.0,,,13270000000.0,,,,1649000000.0,,-7389000000.0,-8577000000.0,-2131000000.0,44550000000.0,,54000000.0,17000000.0,116000000.0,451000000.0,,,,,,2476000000.0,,,,,,,,55000000.0,-1962000000.0,,,-755000000.0,-241000000.0,
2013-03-31,8500000000.0,,,,,8278000000.0,222000000.0,-219000000.0,3000000.0,-4000000.0,7000000.0,0.01,0.01,848000000.0,855000000.0,2636000000.0,,,,463000000.0,,,8641000000.0,,20793000000.0,9794000000.0,4709000000.0,1131000000.0,45068000000.0,2405000000.0,,,14068000000.0,,,,1694000000.0,,-7382000000.0,-8426000000.0,-1943000000.0,45068000000.0,,,,,,,,,,,1004000000.0,,,,,,,,29000000.0,-630000000.0,,,-154000000.0,220000000.0,
2013-06-30,18207000000.0,,,,,17071000000.0,1136000000.0,-447000000.0,689000000.0,-3000000.0,692000000.0,0.81,0.81,850000000.0,859000000.0,2965000000.0,,,,451000000.0,,,8895000000.0,,21049000000.0,9794000000.0,4692000000.0,1342000000.0,45772000000.0,2571000000.0,,,14775000000.0,,,,1680000000.0,,-6748000000.0,-8331000000.0,-1184000000.0,45772000000.0,,,,,,,,,,,2212000000.0,,,,,,985000000.0,,-21000000.0,-1191000000.0,,,-472000000.0,549000000.0,
2013-09-30,28697000000.0,,,,,25998000000.0,2699000000.0,-647000000.0,2052000000.0,-9000000.0,2061000000.0,2.42,2.4,851000000.0,861000000.0,3018000000.0,,,,405000000.0,,,8951000000.0,,21297000000.0,9794000000.0,4675000000.0,1280000000.0,45997000000.0,2592000000.0,,,14134000000.0,,1993000000.0,,1709000000.0,,-5379000000.0,-8324000000.0,137000000.0,45997000000.0,,,,,,,,,,,3373000000.0,,,,,,1616000000.0,,-18000000.0,-1808000000.0,,,-963000000.0,602000000.0,
2013-12-31,37773000000.0,,,,,34373000000.0,3400000000.0,-873000000.0,2527000000.0,-8013000000.0,10540000000.0,12.41,12.29,849000000.0,858000000.0,2844000000.0,,,,6728000000.0,,,9651000000.0,,21854000000.0,9794000000.0,4658000000.0,1303000000.0,52252000000.0,2300000000.0,,,14152000000.0,,0.0,,1711000000.0,,3049000000.0,-5130000000.0,11643000000.0,52252000000.0,1658000000.0,90000000.0,-7991000000.0,-90000000.0,87000000.0,,,,,,4504000000.0,,,,,,2568000000.0,,-14000000.0,-2756000000.0,,,-1320000000.0,428000000.0,
2014-03-31,8916000000.0,,,,,8296000000.0,620000000.0,-285000000.0,335000000.0,122000000.0,213000000.0,0.25,0.25,844000000.0,853000000.0,2699000000.0,,,,1764000000.0,,,9746000000.0,,21972000000.0,9794000000.0,4642000000.0,1159000000.0,52167000000.0,2341000000.0,,,15010000000.0,,,,1712000000.0,,3211000000.0,-5139000000.0,11641000000.0,52167000000.0,,,1900000000.0,,,,,,,,951000000.0,,,,,,614000000.0,,-40000000.0,-563000000.0,,,-533000000.0,-145000000.0,
2014-06-30,19537000000.0,,,,,17338000000.0,2199000000.0,-566000000.0,1633000000.0,619000000.0,1014000000.0,1.2,1.19,843000000.0,852000000.0,3362000000.0,,,,2029000000.0,,,10517000000.0,,22048000000.0,9794000000.0,4625000000.0,1105000000.0,52191000000.0,2536000000.0,,,15209000000.0,,,,1735000000.0,,3962000000.0,-5137000000.0,12203000000.0,52191000000.0,,,1900000000.0,,,,,,,,3007000000.0,,,,,,1132000000.0,,-37000000.0,-842000000.0,,,-1647000000.0,518000000.0,
2014-09-30,30715000000.0,,,,,27681000000.0,3034000000.0,-822000000.0,2212000000.0,841000000.0,1371000000.0,1.63,1.61,840000000.0,849000000.0,2510000000.0,,,,2187000000.0,,,10995000000.0,,21722000000.0,9794000000.0,4614000000.0,1119000000.0,51940000000.0,2577000000.0,,,14813000000.0,,,,1946000000.0,,4244000000.0,-5100000000.0,12296000000.0,51940000000.0,,,1900000000.0,,,,,,,,4365000000.0,,,,,,1589000000.0,,-58000000.0,-2425000000.0,,,-2274000000.0,-334000000.0,
2014-12-31,40362000000.0,,,,,38156000000.0,2206000000.0,-1134000000.0,1072000000.0,413000000.0,659000000.0,0.79,0.78,836000000.0,845000000.0,2088000000.0,,,,7595000000.0,,,12465000000.0,,21929000000.0,9794000000.0,4603000000.0,1010000000.0,54121000000.0,2622000000.0,,,16879000000.0,,,,2128000000.0,,3456000000.0,-7311000000.0,8813000000.0,54121000000.0,,81000000.0,414000000.0,302000000.0,-172000000.0,,,,,,4947000000.0,,,,,,2249000000.0,,-48000000.0,-2463000000.0,,,-3240000000.0,-756000000.0,
2015-03-31,9388000000.0,,,,,7990000000.0,1398000000.0,-212000000.0,1186000000.0,440000000.0,746000000.0,0.91,0.9,818000000.0,826000000.0,2122000000.0,,,,3091000000.0,,,12266000000.0,,22023000000.0,9794000000.0,4599000000.0,1019000000.0,53752000000.0,2492000000.0,,,17319000000.0,,,,2457000000.0,,4127000000.0,-7294000000.0,9046000000.0,53752000000.0,470000000.0,,1900000000.0,,,,,,,,1636000000.0,,,,,,586000000.0,,-3000000.0,-812000000.0,,,-790000000.0,34000000.0,
2015-06-30,20095000000.0,,,,,16223000000.0,3872000000.0,-320000000.0,3552000000.0,1321000000.0,2231000000.0,2.75,2.72,811000000.0,819000000.0,2293000000.0,,,,2892000000.0,,,11441000000.0,,22480000000.0,9794000000.0,4594000000.0,1098000000.0,52781000000.0,2803000000.0,,,17082000000.0,,,,2322000000.0,,5540000000.0,-7288000000.0,9563000000.0,52781000000.0,918000000.0,,1900000000.0,,,,,,,,4381000000.0,,,,,,1505000000.0,,-17000000.0,-1767000000.0,,,-2409000000.0,205000000.0,
2015-09-30,31202000000.0,,,,,25117000000.0,6085000000.0,-461000000.0,5624000000.0,2078000000.0,3546000000.0,4.42,4.37,803000000.0,811000000.0,2369000000.0,,,,2710000000.0,,,11973000000.0,,22608000000.0,9794000000.0,4589000000.0,1848000000.0,53646000000.0,2688000000.0,,,17608000000.0,,,,2465000000.0,,6748000000.0,-7316000000.0,10345000000.0,53646000000.0,1384000000.0,,1900000000.0,,,,,,,,6448000000.0,,,,,,2067000000.0,,-21000000.0,-2776000000.0,,,-3391000000.0,281000000.0,
2015-12-31,40704000000.0,,,,,32902000000.0,7802000000.0,-645000000.0,7157000000.0,2631000000.0,4526000000.0,5.68,5.63,797000000.0,804000000.0,1972000000.0,,,,4956000000.0,,,9056000000.0,,23039000000.0,9794000000.0,4861000000.0,1428000000.0,53134000000.0,2743000000.0,,,17526000000.0,,,,1891000000.0,,7623000000.0,-7275000000.0,10850000000.0,53134000000.0,1835000000.0,76000000.0,2581000000.0,56000000.0,-155000000.0,,,,,,7927000000.0,,,,,,2945000000.0,,-25000000.0,-3955000000.0,,,-4088000000.0,-116000000.0,
2016-03-31,9251000000.0,,,,,7711000000.0,1540000000.0,-106000000.0,1434000000.0,488000000.0,946000000.0,1.22,1.21,774000000.0,780000000.0,1708000000.0,,,,,,,9306000000.0,,23422000000.0,9794000000.0,4856000000.0,1475000000.0,53342000000.0,2732000000.0,,,18108000000.0,,,,2091000000.0,,8462000000.0,-7279000000.0,11252000000.0,53342000000.0,486000000.0,,,,,,,,,,1011000000.0,,,,,,871000000.0,,-5000000.0,-601000000.0,,,-674000000.0,-264000000.0,
