Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2018-03-31,208900000.0,119700000.0,89200000.0,,65600000.0,,26400000.0,,4200000.0,6800000.0,-2100000.0,,,65314462.0,65314462.0,62200000.0,,,,,,1800000.0,4488200000.0,,103400000.0,2075800000.0,,5500000.0,6879500000.0,47600000.0,,18500000.0,4454400000.0,,,,53800000.0,5776000000.0,-355600000.0,-337700000.0,1066400000.0,6879500000.0,14900000.0,2900000.0,-100000.0,,,,,,1700000.0,,-23400000.0,,,,,,,,,-240700000.0,,,230100000.0,-37400000.0,
2018-06-30,366500000.0,212400000.0,154100000.0,,140900000.0,,16000000.0,,-54700000.0,6700000.0,-67600000.0,,,113311107.0,113311107.0,171800000.0,,,,,,2700000.0,3984300000.0,,100100000.0,1942600000.0,,1800000.0,6225400000.0,39200000.0,,15100000.0,3863600000.0,,,,40200000.0,4711600000.0,-423500000.0,-348700000.0,1513800000.0,6225400000.0,,13200000.0,-6700000.0,,,,,,1300000.0,,-35200000.0,,,,,,,,,320100000.0,595000000.0,,-205100000.0,77100000.0,
2018-09-30,546100000.0,317000000.0,229100000.0,,200300000.0,,31300000.0,,-43100000.0,5800000.0,-63200000.0,-0.67,-0.67,137768764.0,145064698.0,188000000.0,,,,,,2400000.0,3718300000.0,,100600000.0,1949800000.0,,1800000.0,5962800000.0,34800000.0,,16800000.0,3596300000.0,,,,38400000.0,4424300000.0,-419100000.0,-341100000.0,1538500000.0,5962800000.0,,18000000.0,-9800000.0,,,,,,2800000.0,,-18100000.0,,,,,,,,,594500000.0,595000000.0,,-481600000.0,93300000.0,
2018-12-31,746400000.0,425800000.0,320600000.0,29600000.0,270700000.0,,52800000.0,,-30400000.0,7700000.0,-63400000.0,,,114049682.0,114049682.0,,,,,36400000.0,,2000000.0,2933500000.0,,104400000.0,1927400000.0,187500000.0,1600000.0,5154400000.0,41500000.0,,17200000.0,2763600000.0,,,,42000000.0,3622400000.0,-419300000.0,-375700000.0,1532000000.0,5154400000.0,61900000.0,23200000.0,-16800000.0,,,,,,3500000.0,,9500000.0,,,,,,,,,1379200000.0,595000000.0,,-1255900000.0,123100000.0,21100000.0
2019-03-31,154600000.0,110100000.0,93600000.0,,66200000.0,,27400000.0,,16900000.0,5700000.0,11200000.0,0.08,0.08,140149271.0,147042228.0,,,,,,,,4890100000.0,,103900000.0,1944900000.0,184300000.0,96000000.0,7259100000.0,31800000.0,,23000000.0,4683700000.0,,,,42700000.0,5572300000.0,-297300000.0,-369000000.0,1686800000.0,7259100000.0,,6000000.0,-1900000.0,,,,,,-200000.0,,-8800000.0,,,,,10200000.0,,,,-117600000.0,,,1934500000.0,1812000000.0,
2019-06-30,400000000.0,218400000.0,181600000.0,,135500000.0,,46100000.0,,25600000.0,8100000.0,17500000.0,0.12,0.12,141149009.0,148331846.0,,,,,,,,4351800000.0,,106300000.0,1952800000.0,179900000.0,99000000.0,6729300000.0,29200000.0,,22000000.0,4093300000.0,,,,41000000.0,4972200000.0,-291000000.0,-338600000.0,1757100000.0,6729300000.0,,15600000.0,-4800000.0,,,,,,-1300000.0,,10200000.0,,,,,10200000.0,,,,-101900000.0,,,1349600000.0,1265300000.0,
2019-09-30,602300000.0,331900000.0,270400000.0,,217800000.0,,52600000.0,,22700000.0,-65600000.0,80200000.0,0.57,0.54,142780819.0,149153227.0,,,,,,,,3004300000.0,,108800000.0,1961200000.0,181700000.0,143400000.0,5436200000.0,34100000.0,,27200000.0,2743200000.0,,,,19700000.0,3583100000.0,-228300000.0,-348300000.0,1853100000.0,5436200000.0,,26000000.0,-75900000.0,,,,,,2600000.0,,24600000.0,,,,,29400000.0,,,,-124800000.0,,,17100000.0,-75900000.0,
2019-12-31,824100000.0,455900000.0,368200000.0,34100000.0,295900000.0,,72300000.0,,34300000.0,-44400000.0,78700000.0,0.55,0.53,142049112.0,148756592.0,,,,,20200000.0,,,3623700000.0,,128300000.0,1973500000.0,177900000.0,150300000.0,6085700000.0,43200000.0,,25500000.0,3371700000.0,,,,18100000.0,4203400000.0,-229800000.0,-338400000.0,1882300000.0,6085700000.0,70400000.0,36500000.0,-69400000.0,,,,,,800000.0,,50600000.0,,,,,30200000.0,,,,-119300000.0,,,609700000.0,552300000.0,36200000.0
2020-03-31,222700000.0,122200000.0,100500000.0,,74200000.0,,26300000.0,,16800000.0,8200000.0,8600000.0,0.06,0.06,144645325.0,151178498.0,,,,,,,,4056500000.0,,124600000.0,1939500000.0,176500000.0,138200000.0,6470100000.0,34900000.0,,26800000.0,3752700000.0,,,,20100000.0,4584500000.0,-221200000.0,-367600000.0,1885600000.0,6470100000.0,,12500000.0,4100000.0,,,,,,2100000.0,,1400000.0,,,,,,,,,9300000.0,,,489500000.0,485700000.0,
2020-06-30,415300000.0,236200000.0,179100000.0,,148800000.0,,30300000.0,,13900000.0,-8400000.0,14100000.0,0.1,0.09,145593019.0,151444901.0,,,,,,,,3350000000.0,,129600000.0,2004500000.0,195500000.0,136700000.0,5853900000.0,36500000.0,,24000000.0,2744500000.0,,,,19500000.0,3868200000.0,-215700000.0,-328500000.0,1985700000.0,5853900000.0,,27800000.0,300000.0,,,,,,-1100000.0,,23900000.0,,,,,58300000.0,,,,101200000.0,,,-230300000.0,-117600000.0,
