Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,,,138650000.0,,96613000.0,,42037000.0,562000.0,42599000.0,15549000.0,26861000.0,0.69,0.69,38667000.0,39081000.0,333745000.0,,81647000.0,120460000.0,9712000.0,,,552489000.0,,37367000.0,6507000.0,18941000.0,2284000.0,634542000.0,,,,104670000.0,,,,,,389530000.0,-563000.0,522246000.0,634542000.0,6236000.0,6557000.0,,3822000.0,34930000.0,,714000.0,,,622000.0,4174000.0,,,,,3191000.0,6733000.0,,,16156000.0,,1479000.0,-2489000.0,17883000.0,27243000.0
2010-09-30,,,269603000.0,,161252000.0,,108351000.0,775000.0,109126000.0,40104000.0,69004000.0,1.79,1.76,38638000.0,39258000.0,250536000.0,,142232000.0,197313000.0,9712000.0,,,607914000.0,,42907000.0,,,4214000.0,697178000.0,,,,126765000.0,,,,,,424228000.0,174000.0,561758000.0,697178000.0,8836000.0,10212000.0,,65086000.0,112587000.0,,644000.0,,,1823000.0,-61926000.0,,,,,5191000.0,14496000.0,,,6393000.0,,2066000.0,-9902000.0,-65326000.0,33380000.0
2010-12-31,,,502938000.0,,253850000.0,,249088000.0,1021000.0,250109000.0,89732000.0,158235000.0,4.1,4.03,38615000.0,39292000.0,445226000.0,,116663000.0,124995000.0,12002000.0,,,715732000.0,,47737000.0,6507000.0,18411000.0,5486000.0,808994000.0,,,,144863000.0,,,,,,513459000.0,1153000.0,652987000.0,808994000.0,12283000.0,12782000.0,-1712000.0,39449000.0,41107000.0,,1651000.0,,,2187000.0,139922000.0,,,,,5191000.0,22489000.0,,,-1600000.0,,3525000.0,-9052000.0,129364000.0,82493000.0
2011-03-31,,,102478000.0,,74283000.0,,28195000.0,138000.0,28333000.0,8500000.0,19178000.0,0.5,0.49,38609000.0,39397000.0,437900000.0,,78227000.0,107118000.0,12002000.0,,,654722000.0,,49584000.0,,,8050000.0,753930000.0,,,,68817000.0,,,,,,532637000.0,-1815000.0,671864000.0,753930000.0,5877000.0,2827000.0,,-38607000.0,-16718000.0,,2695000.0,,,1450000.0,3583000.0,,,,,,5060000.0,4148000.0,,-9208000.0,,3393000.0,-1893000.0,-7326000.0,27867000.0
2011-06-30,,,168390000.0,,150993000.0,,17397000.0,181000.0,17578000.0,5273000.0,11839000.0,0.31,0.3,38670000.0,39304000.0,325170000.0,,106952000.0,210044000.0,12002000.0,,,691737000.0,,54541000.0,,,8299000.0,795127000.0,,,,133053000.0,,,,,,505382000.0,-968000.0,648947000.0,795127000.0,11539000.0,6830000.0,,-9763000.0,88054000.0,,3070000.0,,,,-78379000.0,,,0.0,,,13910000.0,4458000.0,,-18368000.0,,6641000.0,-23959000.0,-120056000.0,35777000.0
2011-09-30,,,371243000.0,,263185000.0,,108058000.0,131000.0,108189000.0,33539000.0,,1.93,1.89,38603000.0,39276000.0,90425000.0,,227675000.0,356873000.0,12002000.0,,,749366000.0,,59066000.0,115271000.0,96650000.0,8970000.0,1045679000.0,,,,260764000.0,,,,,,567866000.0,-553000.0,715300000.0,1045679000.0,19895000.0,10894000.0,,97378000.0,230164000.0,,3888000.0,,,,-222258000.0,,,,,126615000.0,21483000.0,4224000.0,,-152322000.0,,10995000.0,19053000.0,,36096000.0
2011-12-31,,,678995000.0,14160000.0,394157000.0,,284838000.0,424000.0,285262000.0,83404000.0,,5.16,5.07,38605000.0,39265000.0,263606000.0,,193375000.0,253270000.0,27637000.0,,84540000.0,817902000.0,,90257000.0,120045000.0,94449000.0,10320000.0,1146196000.0,,,,232079000.0,,,,,,692595000.0,-1730000.0,835936000.0,1146196000.0,28977000.0,14803000.0,-67000.0,63199000.0,127739000.0,,5385000.0,,,,30091000.0,,,,,125203000.0,55538000.0,4025000.0,,-184766000.0,,15330000.0,-27160000.0,,62405000.0
2012-03-31,,,113288000.0,,101355000.0,,11933000.0,401000.0,12334000.0,4299000.0,,0.2,0.2,38614000.0,39094000.0,228571000.0,,108162000.0,208453000.0,14414000.0,,76995000.0,647681000.0,,94019000.0,120045000.0,92289000.0,12273000.0,980371000.0,,,,95141000.0,,,,,,680486000.0,-2060000.0,827517000.0,980371000.0,8418000.0,3970000.0,,-85010000.0,-43955000.0,,2117000.0,,,,27070000.0,,,,,,11188000.0,,,-11188000.0,,461000.0,-51932000.0,,34025000.0
2012-06-30,,,186867000.0,,203642000.0,,-28708000.0,580000.0,-28529000.0,-8390000.0,,-0.53,-0.53,38244000.0,38244000.0,114401000.0,,123182000.0,346257000.0,14409000.0,,54972000.0,683476000.0,,103280000.0,120045000.0,90130000.0,14712000.0,1025003000.0,,,,249737000.0,,,,,,580360000.0,253000.0,720124000.0,1025003000.0,14666000.0,8957000.0,,-69714000.0,94580000.0,,2768000.0,,,,30568000.0,,,,,,25951000.0,,,-27951000.0,,1795000.0,-151971000.0,,35916000.0
2012-09-30,,,346160000.0,,303326000.0,,59609000.0,-607000.0,59002000.0,15941000.0,,1.19,1.18,37534000.0,37994000.0,61636000.0,,239259000.0,486168000.0,15038000.0,,57760000.0,890647000.0,,115314000.0,123856000.0,99733000.0,13433000.0,1256343000.0,,,,516618000.0,,,,,,538744000.0,-303000.0,681779000.0,1256343000.0,22899000.0,12029000.0,,47601000.0,236107000.0,,3142000.0,,,,-183385000.0,,,,,8329000.0,42002000.0,3985000.0,,-54816000.0,,2108000.0,35908000.0,,39786000.0
