Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-01-31,4834800000.0,,,235700000.0,642100000.0,,,,364300000.0,109900000.0,243200000.0,0.57,0.57,423600000.0,427500000.0,5043300000.0,,,2752500000.0,2750200000.0,,,,,4424800000.0,1010100000.0,,,40780700000.0,,,,,,,,,35794700000.0,11105000000.0,-3624700000.0,4979600000.0,40780700000.0,241400000.0,40100000.0,39300000.0,205600000.0,348200000.0,,,,,,-318300000.0,,,,,,162700000.0,,55500000.0,372500000.0,,6800000.0,345800000.0,391600000.0,
2010-04-30,11965700000.0,,,501700000.0,1375600000.0,,,,1353100000.0,558300000.0,790700000.0,1.86,1.85,424400000.0,429000000.0,3614900000.0,,,3002900000.0,2593400000.0,,,,,4430400000.0,1006400000.0,129300000.0,,41014100000.0,,,,,,,,,35354700000.0,11533400000.0,-3419100000.0,5650900000.0,41014100000.0,463400000.0,51700000.0,109100000.0,1220400000.0,754900000.0,,,,,,416600000.0,,,,,,311200000.0,,67100000.0,-450100000.0,,13700000.0,-950800000.0,-1036800000.0,
2010-07-31,18802600000.0,,,758100000.0,2126500000.0,,,,2274900000.0,866400000.0,1407700000.0,3.32,3.28,424500000.0,429000000.0,3753700000.0,,,3175400000.0,2592500000.0,,,,,,992900000.0,126100000.0,,41810300000.0,,,,,,,,,35684500000.0,12023100000.0,-3384900000.0,6115200000.0,41810300000.0,692900000.0,61500000.0,106600000.0,1169200000.0,1067900000.0,,,,,,1088100000.0,,,,,,457500000.0,,46400000.0,-1016000000.0,,19300000.0,-922600000.0,-898000000.0,
2011-01-31,6119200000.0,,,268900000.0,665000000.0,,818000000.0,,746000000.0,232200000.0,513700000.0,1.22,1.2,421800000.0,427500000.0,3438000000.0,,,4178400000.0,2664500000.0,,,,,,997300000.0,133100000.0,,42895800000.0,,,,,,,,,36309100000.0,12719200000.0,-3292000000.0,6578600000.0,42895800000.0,219000000.0,15000000.0,-185100000.0,110000000.0,1096100000.0,,,,,,-900300000.0,,,,,,214900000.0,,111600000.0,982800000.0,88900000.0,32600000.0,-425000000.0,-352600000.0,
2011-04-30,15028900000.0,,,567400000.0,1493100000.0,,2249000000.0,,2086700000.0,671000000.0,1418100000.0,3.36,3.32,421300000.0,427000000.0,3949800000.0,,,4687000000.0,2825800000.0,,,,,,1038700000.0,130700000.0,,46585500000.0,,,,,,,,,39151900000.0,13476300000.0,-3027200000.0,7423300000.0,46585500000.0,448700000.0,33100000.0,-310300000.0,1228400000.0,1623600000.0,,,,,,-665300000.0,,,,,,441000000.0,,121000000.0,10500000.0,160700000.0,64700000.0,786000000.0,159200000.0,
2011-07-31,23400800000.0,,,879300000.0,2309000000.0,,3412000000.0,,3165900000.0,1040700000.0,2130300000.0,5.07,5.01,419900000.0,425200000.0,3618300000.0,,,4687700000.0,2825100000.0,,,,,,1023200000.0,133400000.0,,47135100000.0,,,,,,,,,39595100000.0,14017700000.0,-2997300000.0,7527600000.0,47135100000.0,677900000.0,50800000.0,-324800000.0,978800000.0,1774600000.0,,,,,,636100000.0,256100000.0,,,,,681500000.0,,143500000.0,-1066900000.0,,66800000.0,245200000.0,-172300000.0,
2011-10-31,32012500000.0,,,1226200000.0,3168700000.0,,4564000000.0,,4222800000.0,1423600000.0,2799900000.0,6.71,6.63,417400000.0,422400000.0,3647200000.0,,,4370600000.0,3745000000.0,,,,,,999800000.0,127400000.0,,48207400000.0,,,,,,,,,41392500000.0,14519400000.0,-3678000000.0,6800300000.0,48207400000.0,914900000.0,69000000.0,-168000000.0,808900000.0,1730500000.0,,,,,,2326300000.0,586900000.0,,2000000.0,,,1056600000.0,,113700000.0,-2620700000.0,,70100000.0,139600000.0,-143400000.0,1449000000.0
2012-01-31,6766500000.0,,,312500000.0,709000000.0,,873000000.0,,800300000.0,266200000.0,532900000.0,1.32,1.3,404000000.0,408400000.0,3388300000.0,,,5677700000.0,,,,,,,964900000.0,119400000.0,,48576900000.0,,,,,,,,,41797700000.0,14887100000.0,-3743900000.0,6763400000.0,48576900000.0,243300000.0,19500000.0,-28200000.0,-221600000.0,1449100000.0,,,,,,-1226800000.0,342800000.0,,,,,269100000.0,,78100000.0,-36400000.0,,10600000.0,1040100000.0,-258900000.0,
2012-04-30,16775100000.0,,,664500000.0,1590500000.0,,2570000000.0,,2397300000.0,807400000.0,1589100000.0,3.95,3.91,402100000.0,406600000.0,3019800000.0,,,6112400000.0,,,,,,,965300000.0,114200000.0,,51405300000.0,,,,,,,,,44009300000.0,15759400000.0,-3674300000.0,7378900000.0,51405300000.0,498700000.0,37700000.0,-124100000.0,1554100000.0,2019900000.0,,,,,,-1527300000.0,570300000.0,,,,,513100000.0,,102100000.0,-1328600000.0,,14400000.0,2254500000.0,-627400000.0,
2012-07-31,26365500000.0,,,1032300000.0,2468800000.0,,3867000000.0,,3612000000.0,1234100000.0,2377100000.0,5.95,5.88,399600000.0,404000000.0,3397500000.0,,,5867500000.0,,,,,,,933600000.0,107800000.0,,53198600000.0,,,,,,,,,45784000000.0,16366500000.0,-3814600000.0,7395800000.0,53198600000.0,742700000.0,56100000.0,-205300000.0,2040900000.0,2032200000.0,,,,,,-1135400000.0,882700000.0,,,,,808400000.0,,-5700000.0,-2415300000.0,,16800000.0,3354100000.0,,
