Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-11-30,,,,,,,,,2120898000.0,844713000.0,1276185000.0,2.42,2.39,,,13020719000.0,,,,,,,,,499303000.0,255421000.0,195636000.0,,46020987000.0,,,,,,,,,37585440000.0,3873262000.0,-154818000.0,8435547000.0,46020987000.0,,44249000.0,-61995000.0,,,,104724000.0,,,,3597892000.0,683980000.0,,,,,53793000.0,,,-6160780000.0,533822000.0,,5412464000.0,2849576000.0,913988000.0
2010-02-28,,,,,,,,,-170708000.0,-67170000.0,-103538000.0,-0.22,-0.22,,,12728321000.0,,,,,,,,,482833000.0,255421000.0,193970000.0,,66818951000.0,,,,,,,,,59803903000.0,2362685000.0,-74038000.0,7015048000.0,66818951000.0,,11293000.0,-100918000.0,,,,170051000.0,,,,1135102000.0,269310000.0,,,,,7826000.0,,,-1114515000.0,,,-312985000.0,-292398000.0,14141000.0
2010-05-31,,,,,,,,,422193000.0,164126000.0,258067000.0,0.34,0.33,,,10335729000.0,,,,,,,,,469001000.0,255421000.0,192304000.0,,62153678000.0,,,,,,,,,56115411000.0,2538164000.0,-73940000.0,6038267000.0,62153678000.0,,20923000.0,-14949000.0,,,,260270000.0,,,,2443807000.0,929070000.0,,,,,17461000.0,,,540214000.0,,921000.0,-5669011000.0,-2684990000.0,56989000.0
2010-08-31,,,,,,,,,683628000.0,268482000.0,415146000.0,0.59,0.58,,,7916091000.0,,,,,,,,,456943000.0,255421000.0,190639000.0,,60057553000.0,,,,,,,,,53946256000.0,2787822000.0,-82297000.0,6111297000.0,60057553000.0,,29554000.0,63131000.0,,,,230385000.0,,,,2706762000.0,1239631000.0,,,,,29538000.0,,,-578915000.0,,737000.0,-7232475000.0,-5104628000.0,112027000.0
2010-11-30,,,,,,,,,1268859000.0,504071000.0,764788000.0,1.23,1.22,544058000.0,548760000.0,5098733000.0,,,,1469205000.0,,,,,460732000.0,255421000.0,188973000.0,,60784968000.0,,,,,,,,,54328122000.0,3126488000.0,-82548000.0,6456846000.0,60784968000.0,,37081000.0,112581000.0,,,,201105000.0,,,,3872586000.0,5285756000.0,,,,0.0,54676000.0,,,-4722952000.0,1323000.0,,-7071620000.0,-7921986000.0,169045000.0
2011-02-28,,,,,,,,,720003000.0,255111000.0,464892000.0,0.84,0.84,545052.0,545541.0,5171425000.0,,,,,,,,,458950000.0,255421000.0,193293000.0,,63506609000.0,,,,,,,,,56607444000.0,3580338000.0,-106279000.0,6899165000.0,63506609000.0,,11875000.0,112511000.0,,,,43733000.0,,,,1279083000.0,542025000.0,,,,366049000.0,15586000.0,,,-99514000.0,931000.0,,-1106877000.0,72692000.0,38209000.0
2012-02-29,,,,,,,,,1014246000.0,383240000.0,631006000.0,1.18,1.18,529565000.0,530657000.0,6315152000.0,,,,,,,,,486520000.0,255421000.0,186232000.0,,70486018000.0,,,,,,,,,61657066000.0,5820609000.0,-48604000.0,8828952000.0,70486018000.0,22975000.0,13532000.0,86996000.0,,,,-5450000.0,,,187888000.0,1010672000.0,554926000.0,,,8803000.0,0.0,26371000.0,,,1130316000.0,2431000.0,,1324321000.0,3465309000.0,45993000.0
2012-05-31,,,,,,,,,1881413000.0,713816000.0,1167597000.0,2.19,2.18,528825000.0,529995000.0,5112069000.0,,,,,,,,,492444000.0,255421000.0,184501000.0,,72083405000.0,,,,,,,,,63184547000.0,6303466000.0,-41016000.0,8898858000.0,72083405000.0,46569000.0,24244000.0,125654000.0,,,,116869000.0,,,42479000.0,1502772000.0,1535059000.0,,,22125000.0,0.0,55995000.0,,,-1722202000.0,14602000.0,,2481656000.0,2262226000.0,651999000.0
2012-08-31,,,,,,,,,2893127000.0,1098844000.0,1794283000.0,3.39,3.39,523462000.0,524643000.0,6237610000.0,,,,,,,,,519621000.0,287043000.0,192181000.0,,73908664000.0,,,,,,,,,64762751000.0,6877990000.0,-31326000.0,9145913000.0,73908664000.0,70931000.0,36108000.0,159001000.0,,,,129661000.0,,,247626000.0,2159204000.0,1708935000.0,,,27168000.0,0.0,104685000.0,,,-2040548000.0,16231000.0,,3269111000.0,3387767000.0,967774000.0
2012-11-30,,,,,,,,,3753000000.0,1408000000.0,2345000000.0,4.47,4.46,519000000.0,520000000.0,3926000000.0,,,,1065000000.0,,,,,534000000.0,286000000.0,190000000.0,,75283000000.0,,,,,,,,,65505000000.0,7373000000.0,-75000000.0,9778000000.0,75283000000.0,95000000.0,47000000.0,146000000.0,,,,112000000.0,,,349000000.0,3041000000.0,1816000000.0,1800000000.0,,65000000.0,0.0,144000000.0,,,-5693000000.0,26000000.0,,3728000000.0,1076000000.0,1301000000.0
