Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,11184938000.0,5904718000.0,,632651000.0,3190211000.0,9642462000.0,1542476000.0,,1424854000.0,273150000.0,1151704000.0,3.59,3.46,320765000.0,335742000.0,1721920000.0,,1916831000.0,993016000.0,,,,5220628000.0,,1143331000.0,9817923000.0,2655503000.0,758035000.0,19595420000.0,,1665287000.0,,2760960000.0,,,,2315261000.0,,9205142000.0,346944000.0,11630176000.0,19595420000.0,,87350000.0,,-106132000.0,-211595000.0,,,-89853000.0,,,1800834000.0,,,,,703511000.0,188547000.0,,,-942941000.0,174233000.0,,407232000.0,1329066000.0,
2010-04-02,3092220000.0,1594167000.0,,187232000.0,877455000.0,2658854000.0,433366000.0,,404245000.0,104012000.0,300233000.0,0.93,0.89,324484000.0,340061000.0,806368000.0,,1981411000.0,1187893000.0,,,,4541077000.0,,1179094000.0,10351840000.0,2954643000.0,853992000.0,19880646000.0,,1632464000.0,,2857806000.0,,,,2347364000.0,,9492413000.0,231793000.0,11853178000.0,19880646000.0,,16482000.0,,-43655000.0,79315000.0,,,88737000.0,,,393879000.0,,,,,1263242000.0,38413000.0,,,-1301314000.0,30313000.0,,6910000.0,-915552000.0,-6863000.0
2010-10-01,9593334000.0,4807015000.0,4786319000.0,587473000.0,2669530000.0,,1539866000.0,,1743144000.0,424000000.0,1319144000.0,2.02,1.95,654599000.0,683431000.0,1635041000.0,,2032661000.0,1244895000.0,,,,5460623000.0,,1153431000.0,10476778000.0,3070990000.0,837513000.0,21497835000.0,,1861079000.0,,3079427000.0,,,,2424216000.0,,10485199000.0,371917000.0,13171933000.0,21497835000.0,,65954000.0,,76575000.0,207567000.0,,,186037000.0,,,1511069000.0,,,,,1568068000.0,145256000.0,,,-1667360000.0,117200000.0,,68982000.0,-86879000.0,177628000.0
2010-12-31,13202602000.0,6575812000.0,6626790000.0,809481000.0,3673703000.0,,2166374000.0,,2342705000.0,549705000.0,1793000000.0,2.74,2.64,653194000.0,683275000.0,1632980000.0,,2218975000.0,1225151000.0,-350800000.0,,,5729513000.0,,1192303000.0,10758402000.0,3324502000.0,701127000.0,22217130000.0,,2048175000.0,,3304754000.0,,,,2355703000.0,8444400000.0,10945928000.0,345386000.0,13711010000.0,22217130000.0,397100000.0,88122000.0,,262123000.0,166454000.0,,,224711000.0,,,2084351000.0,,,,,2129652000.0,217328000.0,,,-2288879000.0,178406000.0,,116804000.0,-88940000.0,
2011-04-01,3345702000.0,1582314000.0,1763388000.0,217573000.0,969702000.0,,590588000.0,,561978000.0,141732000.0,429358000.0,0.65,0.63,661599000.0,688328000.0,1593559000.0,,2210224000.0,1284932000.0,,,,6131892000.0,,1177703000.0,10934931000.0,3539466000.0,727658000.0,23034881000.0,,2025796000.0,,3323855000.0,,,,2319298000.0,,11362018000.0,606862000.0,14659179000.0,23034881000.0,,22776000.0,,-63211000.0,44200000.0,,,27374000.0,,,436483000.0,,,,,517420000.0,48424000.0,,,-564955000.0,50480000.0,,52462000.0,-39421000.0,93285000.0
2011-07-01,7057376000.0,3350793000.0,3706583000.0,453376000.0,2065451000.0,,1216691000.0,,1158652000.0,288760000.0,1078122000.0,1.62,1.56,667207000.0,694599000.0,551583000.0,,3099418000.0,2065049000.0,,,,6554800000.0,,2226119000.0,14741004000.0,6210769000.0,1247548000.0,31513376000.0,,2718251000.0,,4281296000.0,,,,4151630000.0,,11997077000.0,737839000.0,16489496000.0,31513376000.0,,45966000.0,,14850000.0,32280000.0,,,36658000.0,,,1099132000.0,,,,,6056279000.0,108094000.0,,,-5482358000.0,1050322000.0,,3269239000.0,-1081397000.0,162696000.0
2011-09-30,11575465000.0,5664220000.0,5911245000.0,742978000.0,3340358000.0,,1872835000.0,,1739541000.0,346221000.0,1601550000.0,2.38,2.3,687259000.0,710403000.0,484368000.0,,3007192000.0,1970896000.0,,,,6314538000.0,203000000.0,2151052000.0,14433079000.0,6037607000.0,1150969000.0,30618424000.0,,2574062000.0,,4123695000.0,,,,4119172000.0,,12503349000.0,185110000.0,16496791000.0,30618424000.0,,71616000.0,,-3725000.0,-9911000.0,,,23653000.0,,,1799074000.0,,,,,6087087000.0,217982000.0,,,-5603746000.0,1060272000.0,,2623405000.0,-1148612000.0,367890000.0
2011-12-31,16090540000.0,7913876000.0,8176664000.0,1018526000.0,4607692000.0,,2617226000.0,,2447849000.0,512562000.0,2172264000.0,3.21,3.11,676169000.0,701191000.0,537001000.0,,3049895000.0,1781352000.0,-1088100000.0,,,6272357000.0,287000000.0,2100990000.0,14474323000.0,5840209000.0,739686000.0,29949447000.0,,2651198000.0,,4172028000.0,,,,3598851000.0,,13056869000.0,-36937000.0,16904783000.0,29949447000.0,634900000.0,95603000.0,,135279000.0,-162019000.0,,,36602000.0,,,2626267000.0,,,,,6210837000.0,334471000.0,,,-5847254000.0,1112551000.0,,2088634000.0,-1095979000.0,
2012-03-30,4316220000.0,2080676000.0,2235544000.0,270124000.0,1244897000.0,,734868000.0,,696204000.0,176150000.0,612912000.0,0.89,0.86,691507000.0,714023000.0,1043283000.0,,2996457000.0,1889079000.0,,,,6543223000.0,,2104811000.0,14573310000.0,5861848000.0,787902000.0,30420959000.0,,2383476000.0,,3912566000.0,,,,3754475000.0,,13652469000.0,147436000.0,17823305000.0,30420959000.0,,23681000.0,,-97695000.0,76163000.0,,,23526000.0,,,645212000.0,,,,,55727000.0,117824000.0,,,166726000.0,71043000.0,,-310551000.0,506282000.0,53937000.0
2012-06-29,8869679000.0,4278679000.0,4591000000.0,553726000.0,2523507000.0,,1546142000.0,,1470309000.0,350106000.0,1213061000.0,1.75,1.7,695570000.0,714910000.0,1118240000.0,,3094250000.0,1855811000.0,,,,6610495000.0,,2065451000.0,14927272000.0,6176882000.0,837943000.0,31170583000.0,,2463233000.0,,4029701000.0,,,,3925538000.0,,14235198000.0,-74945000.0,18301916000.0,31170583000.0,,50412000.0,,6738000.0,26589000.0,,,71359000.0,,,1654183000.0,,,,,945067000.0,228552000.0,,-14134000.0,-822041000.0,104303000.0,,-242622000.0,581239000.0,148847000.0
