Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2019-03-30,30225000000.0,,,,4479000000.0,23416000000.0,7471000000.0,,10668000000.0,2292000000.0,8240000000.0,5.46,5.43,1530000000.0,1537000000.0,10108000000.0,,,1445000000.0,,,1257000000.0,34277000000.0,,31017000000.0,75057000000.0,26985000000.0,5391000000.0,214342000000.0,,,4281000000.0,44376000000.0,,11208000000.0,,12854000000.0,,41212000000.0,-3786000000.0,89938000000.0,214342000000.0,1560000000.0,475000000.0,,386000000.0,19000000.0,,-46000000.0,,,,6014000000.0,,,,,,2390000000.0,,392000000.0,-12683000000.0,,,12696000000.0,6067000000.0,
2019-06-29,50470000000.0,,,,7844000000.0,40904000000.0,11432000000.0,,12686000000.0,2687000000.0,10000000000.0,6.22,6.19,1802000000.0,1814000000.0,6728000000.0,,,1516000000.0,,,1035000000.0,31370000000.0,,31392000000.0,77801000000.0,25114000000.0,4783000000.0,209475000000.0,,,4730000000.0,44593000000.0,,10404000000.0,,10561000000.0,,41382000000.0,-3721000000.0,90472000000.0,209475000000.0,2864000000.0,591000000.0,,1428000000.0,96000000.0,,-450000000.0,,,,4266000000.0,,,,,,3567000000.0,,317000000.0,-13785000000.0,,,20000000.0,3202000000.0,
2019-09-28,69570000000.0,,,,11541000000.0,57719000000.0,14868000000.0,4357000000.0,13944000000.0,3031000000.0,11054000000.0,6.68,6.64,1656000000.0,1666000000.0,5418000000.0,,,1649000000.0,,,979000000.0,28124000000.0,,31603000000.0,80293000000.0,23215000000.0,4715000000.0,193984000000.0,13778000000.0,974000000.0,4722000000.0,31341000000.0,,7902000000.0,,13760000000.0,,42494000000.0,-6617000000.0,88877000000.0,193984000000.0,4160000000.0,711000000.0,2081000000.0,-55000000.0,223000000.0,,-932000000.0,,,,5984000000.0,,,,,,4876000000.0,,319000000.0,-15096000000.0,,,-464000000.0,1300000000.0,
2019-12-28,20858000000.0,,,,3703000000.0,18017000000.0,4002000000.0,,2632000000.0,459000000.0,2107000000.0,1.17,1.16,1805000000.0,1817000000.0,6833000000.0,,,1571000000.0,,,938000000.0,27776000000.0,,31895000000.0,80314000000.0,22669000000.0,8443000000.0,200948000000.0,,,4446000000.0,34797000000.0,,8364000000.0,,15928000000.0,,43202000000.0,-6533000000.0,89757000000.0,200948000000.0,1298000000.0,115000000.0,,1424000000.0,-81000000.0,,33000000.0,,,,1630000000.0,,,,,,1338000000.0,,12000000.0,-1350000000.0,,,1117000000.0,1419000000.0,
2020-03-28,38867000000.0,,,,7091000000.0,34656000000.0,6418000000.0,0.0,3692000000.0,984000000.0,2567000000.0,1.42,1.41,1808000000.0,1816000000.0,14339000000.0,,,1531000000.0,,,1003000000.0,33274000000.0,,32151000000.0,80320000000.0,22037000000.0,8575000000.0,206294000000.0,,,4276000000.0,35473000000.0,,,,16113000000.0,,43721000000.0,-6637000000.0,90407000000.0,206294000000.0,2631000000.0,246000000.0,,-828000000.0,-70000000.0,,174000000.0,,,,4787000000.0,,,,,,2585000000.0,,21000000.0,-2606000000.0,,,6616000000.0,8923000000.0,
2020-06-27,50681000000.0,,,,9557000000.0,46434000000.0,7502000000.0,382000000.0,-4840000000.0,650000000.0,-4721000000.0,-2.61,-2.61,1809000000.0,1809000000.0,23115000000.0,,,1559000000.0,,,899000000.0,41330000000.0,,31891000000.0,77233000000.0,19589000000.0,8435000000.0,207649000000.0,,,3286000000.0,30917000000.0,,,,15855000000.0,,39004000000.0,-6617000000.0,85866000000.0,207649000000.0,4010000000.0,388000000.0,,-2100000000.0,-86000000.0,,-8000000.0,,,,5949000000.0,,,,,,3293000000.0,,27000000.0,-3320000000.0,,,14919000000.0,17699000000.0,
2020-10-03,65388000000.0,,,,12369000000.0,61594000000.0,8108000000.0,1038000000.0,-1743000000.0,699000000.0,-2864000000.0,-1.58,-1.58,1808000000.0,1808000000.0,17914000000.0,,,1583000000.0,,,875000000.0,35251000000.0,,32078000000.0,77689000000.0,19173000000.0,8433000000.0,201549000000.0,12663000000.0,1213000000.0,3688000000.0,26628000000.0,,,,17204000000.0,,38315000000.0,-8322000000.0,83583000000.0,201549000000.0,5345000000.0,525000000.0,-275000000.0,-1943000000.0,-14000000.0,,157000000.0,,,,7616000000.0,,,,,,4022000000.0,,-172000000.0,-3850000000.0,,,8480000000.0,12499000000.0,
2021-01-02,16249000000.0,,,,2917000000.0,15990000000.0,1332000000.0,,46000000.0,16000000.0,17000000.0,0.01,0.01,1812000000.0,1823000000.0,17068000000.0,,,1480000000.0,,,852000000.0,34874000000.0,,32263000000.0,77800000000.0,18642000000.0,8343000000.0,201888000000.0,,,3853000000.0,26546000000.0,,,,17205000000.0,,38456000000.0,-8141000000.0,84071000000.0,201888000000.0,1298000000.0,134000000.0,,1324000000.0,-94000000.0,,136000000.0,,,,75000000.0,,,,,,760000000.0,,-28000000.0,-732000000.0,,,-333000000.0,-842000000.0,
2021-04-03,31862000000.0,,,,6030000000.0,30157000000.0,3797000000.0,305000000.0,1276000000.0,124000000.0,918000000.0,0.51,0.5,1817000000.0,1829000000.0,15890000000.0,,,1406000000.0,,,844000000.0,32877000000.0,,32137000000.0,77861000000.0,18123000000.0,8085000000.0,200250000000.0,,,3995000000.0,26642000000.0,,,,16615000000.0,,39365000000.0,-7918000000.0,85540000000.0,200250000000.0,2570000000.0,270000000.0,,37000000.0,-175000000.0,,131000000.0,,,,1468000000.0,,,,,,1530000000.0,,-203000000.0,-1327000000.0,,,-2241000000.0,-2022000000.0,
2021-07-03,48884000000.0,,,,9198000000.0,45824000000.0,6179000000.0,214000000.0,2271000000.0,-133000000.0,1836000000.0,1.01,1.0,1818000000.0,1830000000.0,16070000000.0,,,1344000000.0,,,830000000.0,33966000000.0,,32377000000.0,77835000000.0,17601000000.0,8508000000.0,202221000000.0,,,4062000000.0,27413000000.0,,,,16249000000.0,,40311000000.0,-7837000000.0,86741000000.0,202221000000.0,3836000000.0,428000000.0,,301000000.0,-236000000.0,,113000000.0,,,,2934000000.0,,,,,,2468000000.0,,-383000000.0,-2085000000.0,,,-2771000000.0,-1839000000.0,
