Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,5775689000.0,3676535000.0,2099154000.0,,1511111000.0,,588043000.0,,491618000.0,119724000.0,356438000.0,1.91,1.91,186136000.0,186736000.0,714365000.0,,878754000.0,570858000.0,69999000.0,,,2522707000.0,,828922000.0,3350217000.0,950748000.0,,7882403000.0,357004000.0,219295000.0,,969176000.0,,292344000.0,,,,5453022000.0,84842000.0,4083608000.0,7882403000.0,,17912000.0,-23062000.0,163054000.0,97241000.0,,,-31306000.0,,,802060000.0,,,,,221994000.0,120009000.0,,,-257865000.0,,,-389953000.0,166956000.0,
2010-03-31,1583270000.0,971114000.0,612156000.0,,409169000.0,,202987000.0,,177060000.0,55575000.0,108126000.0,0.58,0.58,187093000.0,187886000.0,690295000.0,,990405000.0,619528000.0,74186000.0,,,2755702000.0,,822636000.0,3319833000.0,935998000.0,,8026901000.0,437597000.0,215781000.0,,1186454000.0,,292248000.0,,,,,,4056591000.0,8026901000.0,,7022000.0,,-127517000.0,-55347000.0,,,87996000.0,,,87066000.0,,,,,,39336000.0,,,-148073000.0,,,69551000.0,-24070000.0,
2010-06-30,3369966000.0,2069111000.0,1300855000.0,,832978000.0,,467877000.0,,419715000.0,126337000.0,277997000.0,1.49,1.47,186998000.0,188948000.0,738817000.0,,1076132000.0,671682000.0,68038000.0,,,2846066000.0,,819827000.0,3313802000.0,908224000.0,,8083307000.0,493474000.0,236692000.0,,1259849000.0,,274804000.0,,,,,,4085273000.0,8083307000.0,,12963000.0,,228007000.0,114408000.0,,,151731000.0,,,318265000.0,,,,,9985000.0,86281000.0,,,-126756000.0,,,-105481000.0,24452000.0,
2010-09-30,5257107000.0,3244567000.0,2012540000.0,,1247000000.0,,765540000.0,,681206000.0,165069000.0,501756000.0,2.68,2.66,186917000.0,188898000.0,866090000.0,,1181599000.0,725312000.0,57006000.0,,,3102841000.0,,840374000.0,3338517000.0,902123000.0,,8353575000.0,490572000.0,235581000.0,,1198985000.0,,348854000.0,,,,,,4375264000.0,8353575000.0,,17068000.0,,302368000.0,148719000.0,,,131175000.0,,,519112000.0,,,,,45198000.0,129837000.0,,,-164781000.0,,,-194427000.0,151725000.0,
2010-12-31,7132648000.0,4399990000.0,2732658000.0,193487000.0,1697721000.0,,1034937000.0,,925084000.0,217176000.0,700104000.0,3.75,3.7,186897000.0,189170000.0,1187361000.0,,1087704000.0,714110000.0,-291577000.0,,,3261871000.0,,847189000.0,3368033000.0,907523000.0,,8562894000.0,469038000.0,240786000.0,45616000.0,1194386000.0,40767000.0,381297000.0,,,,5953027000.0,50161000.0,4526562000.0,8562894000.0,,22102000.0,69538000.0,195934000.0,131476000.0,,,104093000.0,,,950551000.0,,,,,104418000.0,183217000.0,,,-178957000.0,,,-304788000.0,472996000.0,
2011-03-31,1959021000.0,1210196000.0,748825000.0,,478519000.0,,270306000.0,,240800000.0,57494000.0,194905000.0,1.04,1.03,186659000.0,190090000.0,1378119000.0,,1213348000.0,845230000.0,81317000.0,,,3591317000.0,,905649000.0,3616161000.0,1068617000.0,,9360143000.0,591989000.0,241122000.0,,1273850000.0,,459677000.0,,613237000.0,,,,,9360143000.0,,8266000.0,,82869000.0,66737000.0,,,107515000.0,,,132609000.0,,,,,423998000.0,52650000.0,,,-344248000.0,,,350876000.0,190758000.0,
2011-06-30,4115892000.0,2551210000.0,1564682000.0,,952649000.0,,612033000.0,,553019000.0,120619000.0,444674000.0,2.38,2.34,186522000.0,189905000.0,1397419000.0,,1323470000.0,882512000.0,78505000.0,,,3753415000.0,,936797000.0,3616805000.0,1038658000.0,,9482038000.0,596315000.0,223449000.0,,1263966000.0,,446579000.0,,594313000.0,,,,,9482038000.0,,14401000.0,,-188538000.0,-102035000.0,,,109380000.0,,,341897000.0,,,,,424624000.0,126420000.0,,,-435019000.0,,,252789000.0,210058000.0,
2011-09-30,6122287000.0,3786458000.0,2335829000.0,,1401198000.0,,934631000.0,,845315000.0,195319000.0,616954000.0,3.31,3.26,186246000.0,189420000.0,917024000.0,,1339826000.0,848934000.0,72136000.0,,,3292748000.0,,992641000.0,3879334000.0,1214787000.0,,9513036000.0,591939000.0,235567000.0,,1286654000.0,,452678000.0,,607784000.0,,,,,9513036000.0,,20279000.0,,210090000.0,71788000.0,,,110241000.0,,,713290000.0,,,,,1369252000.0,190699000.0,,,-1142196000.0,,,118750000.0,-271540000.0,
2011-12-31,7950140000.0,4898716000.0,3051424000.0,196970000.0,1840609000.0,,1210815000.0,,1095164000.0,248799000.0,895243000.0,4.82,4.74,185882.0,188887.0,1206755000.0,,1190265000.0,803346000.0,-369258000.0,,,3397130000.0,,1000870000.0,3787117000.0,1207084000.0,,9501450000.0,543924000.0,234382000.0,37590000.0,1202981000.0,44259000.0,411163000.0,,650604000.0,,6629116000.0,-47510000.0,4930555000.0,9501450000.0,,25991000.0,-6293000.0,95708000.0,46115000.0,,,72434000.0,,,1058229000.0,,,,,1382217000.0,271809000.0,,,-1020940000.0,,,-50501000.0,17676000.0,
2012-03-31,2063364000.0,1283040000.0,780324000.0,,480880000.0,,299444000.0,,266795000.0,69968000.0,196063000.0,1.07,1.05,183737.0,186706.0,899976000.0,,1273690000.0,880443000.0,38400000.0,,,3238769000.0,,1068946000.0,3959772000.0,1307281000.0,,9698579000.0,603544000.0,212804000.0,,1205634000.0,,477628000.0,,636976000.0,,,,,9698579000.0,,8574000.0,,48008000.0,33481000.0,,,23741000.0,,,160127000.0,,,,,296514000.0,71429000.0,,,-365966000.0,,,-87246000.0,-306779000.0,
