Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2019-03-31,13582000000.0,10707000000.0,,361000000.0,701000000.0,,,73000000.0,858000000.0,272000000.0,541000000.0,,,,,2969000000.0,101000000.0,8428000000.0,9508000000.0,,,708000000.0,25661000000.0,,23492000000.0,13812000000.0,4743000000.0,859000000.0,79737000000.0,,3232000000.0,233000000.0,15373000000.0,,,,5975000000.0,,29701000000.0,-9783000000.0,26966000000.0,79737000000.0,840000000.0,,-89000000.0,,266000000.0,,,-468000000.0,,,1426000000.0,,,159000000.0,,,514000000.0,,,-486000000.0,28000000.0,,-667000000.0,303000000.0,
2019-06-30,21983000000.0,18562000000.0,,,870000000.0,,,,512000000.0,266000000.0,631000000.0,0.84,0.84,745000000.0,747900000.0,2446000000.0,20000000.0,5661000000.0,6841000000.0,,,761000000.0,18637000000.0,,21250000000.0,9848000000.0,4000000000.0,803000000.0,64889000000.0,,3606000000.0,205000000.0,11605000000.0,,,,5563000000.0,,20110000000.0,-8988000000.0,17911000000.0,64889000000.0,1486000000.0,,-63000000.0,,58000000.0,,,-450000000.0,,,2256000000.0,,,534000000.0,,,912000000.0,,,-880000000.0,34000000.0,,-1667000000.0,-281000000.0,
2019-09-30,32747000000.0,27939000000.0,,,1258000000.0,,,369000000.0,949000000.0,356000000.0,964000000.0,1.29,1.29,743300000.0,746100000.0,2823000000.0,11000000.0,5125000000.0,6416000000.0,,,891000000.0,18949000000.0,,21003000000.0,9785000000.0,3859000000.0,821000000.0,64937000000.0,,3518000000.0,201000000.0,11201000000.0,,,,6888000000.0,,19873000000.0,-9219000000.0,17399000000.0,64937000000.0,2225000000.0,,-146000000.0,,483000000.0,,,-926000000.0,,,3980000000.0,,,904000000.0,,0.0,1384000000.0,,,-1595000000.0,39000000.0,,-2256000000.0,75000000.0,
2019-12-31,42951000000.0,36657000000.0,6294000000.0,,1590000000.0,,,461000000.0,-1247000000.0,470000000.0,,-1.84,-1.84,742500000.0,742500000.0,2367000000.0,,4844000000.0,6214000000.0,6386000000.0,,658000000.0,16815000000.0,,20996000000.0,8796000000.0,3759000000.0,818000000.0,60524000000.0,,2762000000.0,193000000.0,10679000000.0,,347000000.0,,6547000000.0,,17045000000.0,-10246000000.0,13541000000.0,60524000000.0,2938000000.0,,-228000000.0,,-668000000.0,,,-948000000.0,,,5930000000.0,,,1138000000.0,,0.0,1961000000.0,,0.0,-2192000000.0,93000000.0,,-4095000000.0,-384000000.0,
2020-03-31,9770000000.0,8230000000.0,,,334000000.0,,,-81000000.0,396000000.0,138000000.0,239000000.0,0.32,0.32,740200000.0,742000000.0,3633000000.0,1000000.0,4841000000.0,6324000000.0,,,569000000.0,18138000000.0,,20806000000.0,8780000000.0,3636000000.0,1068000000.0,60686000000.0,,2811000000.0,196000000.0,11121000000.0,,,,6937000000.0,,16763000000.0,-10529000000.0,12906000000.0,60686000000.0,724000000.0,,-57000000.0,,-111000000.0,,,-314000000.0,,,1239000000.0,,,248000000.0,,,395000000.0,,,-153000000.0,16000000.0,,265000000.0,1265000000.0,
2020-06-30,18124000000.0,15840000000.0,,,691000000.0,,,53000000.0,213000000.0,172000000.0,-225000000.0,-0.31,-0.31,739700000.0,741000000.0,3724000000.0,2000000.0,4353000000.0,5784000000.0,,,606000000.0,16997000000.0,,20618000000.0,8801000000.0,3532000000.0,1137000000.0,59276000000.0,,2731000000.0,293000000.0,9786000000.0,,,,7404000000.0,,16017000000.0,-10225000000.0,12537000000.0,59276000000.0,1424000000.0,,-59000000.0,,429000000.0,,,-896000000.0,,,2829000000.0,,,542000000.0,,,668000000.0,,29000000.0,-534000000.0,30000000.0,,-879000000.0,1350000000.0,
2020-09-30,27836000000.0,24211000000.0,,,1063000000.0,,,182000000.0,255000000.0,215000000.0,-25000000.0,-0.04,-0.04,740500000.0,740500000.0,4549000000.0,30000000.0,4689000000.0,5609000000.0,,,559000000.0,17789000000.0,,20413000000.0,8854000000.0,3442000000.0,1162000000.0,59945000000.0,,3408000000.0,310000000.0,10207000000.0,,,,7497000000.0,,15472000000.0,-9941000000.0,12354000000.0,59945000000.0,2148000000.0,,-198000000.0,,587000000.0,,,-560000000.0,,,4596000000.0,,,742000000.0,,130000000.0,955000000.0,,29000000.0,-616000000.0,53000000.0,,-1809000000.0,2175000000.0,
2020-12-31,38542000000.0,33346000000.0,5196000000.0,,1471000000.0,,,1269000000.0,2071000000.0,777000000.0,,1.64,1.64,740500000.0,742300000.0,5104000000.0,,4839000000.0,5701000000.0,6574000000.0,,889000000.0,19084000000.0,,20239000000.0,8908000000.0,3352000000.0,1249000000.0,61470000000.0,,3790000000.0,349000000.0,11108000000.0,,,,6279000000.0,,16361000000.0,-10855000000.0,12435000000.0,61470000000.0,2874000000.0,,258000000.0,,-515000000.0,,,-84000000.0,,,6226000000.0,,,837000000.0,,130000000.0,1252000000.0,,-29000000.0,-841000000.0,108000000.0,,-2764000000.0,2728000000.0,
2021-03-31,11882000000.0,10062000000.0,,,366000000.0,,,128000000.0,1323000000.0,317000000.0,991000000.0,1.32,1.32,744800000.0,749800000.0,4133000000.0,72000000.0,5576000000.0,6157000000.0,,,608000000.0,19163000000.0,,19897000000.0,8819000000.0,3199000000.0,1266000000.0,60437000000.0,,3431000000.0,307000000.0,11354000000.0,,,,6331000000.0,,16829000000.0,-9913000000.0,14003000000.0,60437000000.0,717000000.0,,144000000.0,,-478000000.0,,,611000000.0,,,-291000000.0,,,187000000.0,,,289000000.0,,,-13000000.0,127000000.0,,-595000000.0,-947000000.0,
2021-06-30,25767000000.0,20802000000.0,,,806000000.0,,,125000000.0,3779000000.0,841000000.0,2892000000.0,3.86,3.83,747000000.0,752900000.0,3491000000.0,105000000.0,6456000000.0,6952000000.0,,,803000000.0,20352000000.0,,19864000000.0,8833000000.0,3093000000.0,1354000000.0,61768000000.0,,3494000000.0,211000000.0,12308000000.0,,,,6428000000.0,,18200000000.0,-9676000000.0,15573000000.0,61768000000.0,1462000000.0,,388000000.0,,-1278000000.0,,,1357000000.0,,,1713000000.0,,,260000000.0,,107000000.0,,,0.0,-768000000.0,200000000.0,,-2500000000.0,-1567000000.0,
