Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-03-27,389186000.0,,111606000.0,,,277580000.0,65112000.0,,43735000.0,16624000.0,27111000.0,0.46,0.43,,,92584000.0,,83848000.0,29643000.0,11873000.0,,,339039000.0,,93965000.0,16935000.0,,12804000.0,487429000.0,63305000.0,64864000.0,,171149000.0,,,,,,-1226933000.0,-2654000.0,-1167746000.0,487429000.0,5606000.0,,9033000.0,,,,,,,,27809000.0,,,,,,,,-148000.0,294000.0,435000.0,6624000.0,16650000.0,44639000.0,
2011-06-19,774119000.0,551820000.0,222299000.0,,,,127158000.0,,84810000.0,32451000.0,52359000.0,0.87,0.83,60428350.0,63226096.0,78639000.0,,84326000.0,28647000.0,14017000.0,,,340231000.0,,92322000.0,16935000.0,,13100000.0,486989000.0,58688000.0,66442000.0,,172352000.0,,,,,,-1201685000.0,-2623000.0,-1171365000.0,486989000.0,11068000.0,5884000.0,8738000.0,,,,,,,,44412000.0,,,,,,8384000.0,,224000.0,780000.0,574000.0,11487000.0,-14353000.0,30694000.0,
2011-09-11,1150445000.0,824787000.0,325658000.0,,,,183012000.0,,119740000.0,45290000.0,74450000.0,1.25,1.19,59670550.0,62577561.0,32080000.0,,81146000.0,25734000.0,13354000.0,,,288756000.0,,89587000.0,16666000.0,,14263000.0,438225000.0,54217000.0,67173000.0,,170576000.0,,,,,,-1219015000.0,-2523000.0,-1220956000.0,438225000.0,17078000.0,9231000.0,12112000.0,,,,,,,,85106000.0,,,,,,13100000.0,,-76000.0,-5618000.0,564000.0,10059000.0,-95114000.0,-15865000.0,
2012-01-01,1652193000.0,1181677000.0,470516000.0,,,,259145000.0,,167806000.0,62445000.0,105361000.0,1.79,1.71,58918038.0,61653519.0,50292000.0,,87200000.0,30702000.0,16416000.0,,,326843000.0,,92400000.0,16649000.0,700000.0,8958000.0,480543000.0,69714000.0,29718000.0,,197175000.0,,33691000.0,,,1690282000.0,-1207915000.0,-2401000.0,-1209739000.0,480543000.0,,13954000.0,8169000.0,7713000.0,,,,,,,153073000.0,,,,,,24349000.0,,1541000.0,-26941000.0,563000.0,15589000.0,-123485000.0,2347000.0,
2012-03-25,384587000.0,269938000.0,114649000.0,,,,66895000.0,,34799000.0,14057000.0,20742000.0,0.36,0.35,56957875.0,59660962.0,214730000.0,,80067000.0,26769000.0,13334000.0,,,427888000.0,,89657000.0,16598000.0,,15349000.0,601277000.0,62034000.0,51441000.0,,369087000.0,,6331000.0,,,,-1363993000.0,-2313000.0,-1365727000.0,601277000.0,,4290000.0,4821000.0,,,,,,,,20217000.0,,,,,,3634000.0,,-237000.0,42452000.0,,6537000.0,102552000.0,164438000.0,
2012-06-17,760712000.0,531456000.0,229256000.0,,,,132673000.0,,79912000.0,31075000.0,48837000.0,0.86,0.82,56841315.0,59565656.0,10750000.0,,85521000.0,26585000.0,14753000.0,,,254502000.0,,87782000.0,16598000.0,,14537000.0,424619000.0,59223000.0,67615000.0,,201596000.0,,6719000.0,,,,-1367275000.0,-2403000.0,-1369110000.0,424619000.0,,8288000.0,4040000.0,,,,,,,,58110000.0,,,,,,8025000.0,,-1157000.0,27285000.0,,7265000.0,-124163000.0,-39542000.0,
2012-09-09,1138789000.0,798126000.0,340663000.0,,,,194292000.0,,120881000.0,46067000.0,74814000.0,1.32,1.26,56588382.0,59240919.0,34550000.0,,86762000.0,26762000.0,13884000.0,,,272127000.0,,86538000.0,16598000.0,,14596000.0,440952000.0,61875000.0,,,198151000.0,,7589000.0,,,,-1344585000.0,-2425000.0,-1345531000.0,440952000.0,,12183000.0,5981000.0,,,,,,,,101252000.0,,,,,,14301000.0,,-1155000.0,20810000.0,,9622000.0,-137304000.0,-15742000.0,
2012-12-30,,,,,,,,,,,,,,,,54813000.0,,94103000.0,31061000.0,12242000.0,,,306267000.0,2097000.0,91445000.0,16598000.0,400000.0,8635000.0,478197000.0,77414000.0,,,229498000.0,,34356000.0,,,1813720000.0,-1335364000.0,-2386000.0,-1335523000.0,478197000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-24,417617000.0,287811000.0,129806000.0,,,,75525000.0,,54622000.0,20202000.0,34420000.0,0.62,0.59,55746790.0,58224408.0,75081000.0,,90156000.0,29916000.0,8117000.0,,,308557000.0,,89776000.0,16598000.0,,13173000.0,476555000.0,69087000.0,,,223585000.0,,,,,,-1321498000.0,-2437000.0,-1323372000.0,476555000.0,,5616000.0,4568000.0,,,,,,,,47649000.0,,,,,,5086000.0,,-882000.0,-4336000.0,,2574000.0,-23070000.0,20268000.0,
2013-06-16,831627000.0,575834000.0,255793000.0,,,,149366000.0,,108067000.0,40377000.0,67690000.0,1.22,1.17,55607881.0,58091126.0,40838000.0,,93987000.0,27996000.0,10449000.0,,,302536000.0,,88551000.0,16598000.0,,13115000.0,468799000.0,63875000.0,,,228812000.0,,,,,,-1327020000.0,-2393000.0,-1328791000.0,468799000.0,,10240000.0,2557000.0,,,,,,,,66840000.0,,,,,,11587000.0,,-1266000.0,-7941000.0,,6043000.0,-72794000.0,-13975000.0,
