Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-02-28,5249300000.0,4058400000.0,,,510700000.0,4862900000.0,,,386400000.0,95400000.0,288900000.0,2.08,2.04,139300000.0,142300000.0,260300000.0,,,218100000.0,106200000.0,,,698800000.0,,3374600000.0,518300000.0,,196700000.0,5242400000.0,253700000.0,398800000.0,190000000.0,1250400000.0,,278100000.0,,161200000.0,3398600000.0,2541600000.0,-50900000.0,1843800000.0,5242400000.0,224800000.0,37700000.0,-19200000.0,18900000.0,-33300000.0,,,38600000.0,65000000.0,-27500000.0,752600000.0,,,,,,324100000.0,,,-320700000.0,28600000.0,8500000.0,-235000000.0,203400000.0,
2010-05-30,7113100000.0,5484000000.0,,,684500000.0,6569500000.0,,,543600000.0,136600000.0,404500000.0,2.9,2.84,139300000.0,142400000.0,248800000.0,,,220800000.0,101800000.0,,,678500000.0,,3403700000.0,517300000.0,,193900000.0,5247400000.0,246400000.0,391200000.0,167200000.0,1254600000.0,,268600000.0,,193800000.0,3353400000.0,2621900000.0,-71100000.0,1894000000.0,5247400000.0,300900000.0,53500000.0,-10200000.0,16100000.0,-26200000.0,,,27600000.0,28700000.0,-23400000.0,903400000.0,,,,,,432100000.0,,,-428700000.0,66300000.0,20100000.0,-290000000.0,185900000.0,
2010-08-29,1806700000.0,1365400000.0,,,180900000.0,1647600000.0,,,159100000.0,45800000.0,113100000.0,0.82,0.8,138600000.0,141700000.0,77500000.0,,,210000000.0,111300000.0,,,503700000.0,,3444200000.0,517300000.0,,190700000.0,5109900000.0,261200000.0,427200000.0,146500000.0,1148100000.0,,257000000.0,,193300000.0,3239500000.0,2690600000.0,-82300000.0,1870400000.0,5109900000.0,76700000.0,13200000.0,-13500000.0,-5200000.0,-10800000.0,,,4200000.0,-20700000.0,-5900000.0,214900000.0,,,,,,113200000.0,,,-109700000.0,5700000.0,800000.0,-277900000.0,-171300000.0,
2010-11-28,3532900000.0,2706900000.0,,,360900000.0,3270600000.0,,,262300000.0,73300000.0,187600000.0,1.36,1.33,138100000.0,141500000.0,52900000.0,,,273900000.0,120700000.0,,,563000000.0,,3520600000.0,517300000.0,,197400000.0,5252300000.0,255500000.0,419800000.0,156700000.0,1255400000.0,,276600000.0,,197500000.0,3373700000.0,2721000000.0,-70400000.0,1878600000.0,5252300000.0,154700000.0,31100000.0,-6800000.0,600000.0,53200000.0,,,6900000.0,-10500000.0,-5400000.0,282100000.0,,,,,,276200000.0,,,-275900000.0,30700000.0,7400000.0,-203600000.0,-195900000.0,
2011-02-27,5509800000.0,4185300000.0,,,555900000.0,5048500000.0,,,461300000.0,120500000.0,338800000.0,2.46,2.4,137500000.0,141000000.0,89700000.0,,,326900000.0,127800000.0,,,698700000.0,,3553500000.0,517200000.0,,191400000.0,5414800000.0,274700000.0,460300000.0,229600000.0,1331400000.0,,323900000.0,,189400000.0,3491300000.0,2828200000.0,-61400000.0,1923500000.0,5414800000.0,235200000.0,48700000.0,28200000.0,19100000.0,106100000.0,,,24200000.0,62400000.0,-16800000.0,662700000.0,,,,,,390100000.0,,,-390500000.0,49900000.0,12700000.0,-432300000.0,-159100000.0,
2011-05-29,7500200000.0,5699500000.0,,,738000000.0,6852600000.0,,,647600000.0,168900000.0,476300000.0,3.48,3.39,136800000.0,140300000.0,70500000.0,,,300100000.0,-199800000.0,,,663800000.0,18400000.0,3622000000.0,517100000.0,,209700000.0,5466600000.0,251300000.0,409300000.0,200000000.0,1286800000.0,,345400000.0,,248700000.0,3530400000.0,2921900000.0,-59800000.0,1936200000.0,5466600000.0,316800000.0,66600000.0,28800000.0,5900000.0,79300000.0,,,5500000.0,27300000.0,-15400000.0,894700000.0,,,,,,547700000.0,,,-552700000.0,63000000.0,17700000.0,-521000000.0,-178300000.0,
2012-02-26,5933200000.0,4594300000.0,,,568300000.0,5495900000.0,,,437300000.0,112300000.0,324300000.0,2.48,2.42,130700000.0,133800000.0,88500000.0,,,453600000.0,125500000.0,,,805300000.0,,3882900000.0,539200000.0,,235200000.0,5927400000.0,294100000.0,467300000.0,267300000.0,1898300000.0,,329100000.0,,216500000.0,4151100000.0,3077200000.0,-97500000.0,1776300000.0,5927400000.0,258800000.0,41300000.0,23700000.0,-9900000.0,152500000.0,,,28900000.0,66700000.0,-1200000.0,550500000.0,,,,,58600000.0,483400000.0,,,-559800000.0,45100000.0,12000000.0,27400000.0,18000000.0,92000000.0
2012-05-27,7998700000.0,6163200000.0,,,746800000.0,7360700000.0,,,638000000.0,161500000.0,475500000.0,3.65,3.57,130100000.0,133200000.0,70500000.0,,,404100000.0,-188400000.0,,,757600000.0,33000000.0,3951300000.0,538600000.0,,231800000.0,5944200000.0,260700000.0,454400000.0,231700000.0,1774100000.0,,312900000.0,,302700000.0,4102200000.0,3172800000.0,-146600000.0,1842000000.0,5944200000.0,349100000.0,56100000.0,36100000.0,6100000.0,103000000.0,,,-10200000.0,31100000.0,15800000.0,762200000.0,,,,,58500000.0,639700000.0,,,-721600000.0,70200000.0,17900000.0,-40400000.0,0.0,
2012-08-26,2034800000.0,1549800000.0,,,218200000.0,1888500000.0,,,146300000.0,35300000.0,110800000.0,0.86,0.85,128100000.0,131000000.0,51500000.0,,,404000000.0,130500000.0,,,726800000.0,,4036400000.0,538600000.0,,253700000.0,6020400000.0,331300000.0,493300000.0,204100000.0,1860900000.0,,304100000.0,,278000000.0,4160400000.0,3219100000.0,-147800000.0,1860000000.0,6020400000.0,92600000.0,14400000.0,-16400000.0,-12400000.0,-100000.0,,,40900000.0,-27600000.0,-4600000.0,253200000.0,,,,,,149300000.0,,,-158800000.0,14700000.0,4000000.0,-116100000.0,-19000000.0,3500000.0
2012-11-25,3994800000.0,3118500000.0,,,434200000.0,3805300000.0,,,189500000.0,44700000.0,144400000.0,1.12,1.1,128800000.0,131700000.0,61400000.0,,,425300000.0,152300000.0,,,800600000.0,,4285700000.0,904900000.0,,267300000.0,6832700000.0,315600000.0,436000000.0,220700000.0,1543600000.0,,343300000.0,,308900000.0,4969300000.0,861800000.0,-147700000.0,1863400000.0,6832700000.0,191800000.0,28700000.0,-11500000.0,-5800000.0,17800000.0,,,12600000.0,-13400000.0,6500000.0,267600000.0,,,,,578400000.0,355200000.0,,,-949400000.0,37400000.0,8300000.0,670200000.0,-9100000.0,44100000.0
