Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,,,5168529000.0,940271000.0,,758224000.0,278465000.0,422684000.0,4.08,4.06,103603885.0,104167685.0,539459000.0,,1105903000.0,70041000.0,256953000.0,,40234000.0,2302521000.0,,1104925000.0,3951196000.0,136732000.0,32615000.0,7558236000.0,176657000.0,461092000.0,,1046941000.0,,334855000.0,,87692000.0,5032352000.0,2312134000.0,-5548000.0,2135066000.0,7558236000.0,,44422000.0,50869000.0,32313000.0,-15115000.0,,-7288000.0,-104879000.0,,-11362000.0,666710000.0,2062000.0,,16693000.0,,,274605000.0,329000.0,0.0,-346060000.0,,6950000.0,-192072000.0,128578000.0,
2010-03-31,,,,,,1316752000.0,242666000.0,,198914000.0,73914000.0,109423000.0,1.05,1.04,103364869.0,104765600.0,755909000.0,,1103786000.0,68038000.0,251088000.0,,34485000.0,2461251000.0,,1093850000.0,3942386000.0,129285000.0,33397000.0,7691718000.0,177764000.0,412515000.0,,1047475000.0,,346460000.0,,89634000.0,5022597000.0,2421557000.0,-3320000.0,2261148000.0,7691718000.0,,10233000.0,-3311000.0,-594000.0,-1818000.0,,782000.0,1800000.0,,315000.0,261847000.0,521000.0,,880000.0,,,42585000.0,,,-23563000.0,,1378000.0,-21834000.0,216450000.0,
2010-06-30,,,,,,2661294000.0,485031000.0,,394236000.0,145343000.0,217276000.0,2.11,2.08,103182403.0,104605489.0,574716000.0,,1070633000.0,69386000.0,256653000.0,,39222000.0,2265150000.0,,1106028000.0,4013711000.0,126988000.0,33202000.0,7577681000.0,238219000.0,429399000.0,,1118818000.0,,349617000.0,,89572000.0,4873512000.0,2529410000.0,-1461000.0,2301271000.0,7577681000.0,,22399000.0,-10697000.0,-33724000.0,-2005000.0,,587000.0,62255000.0,,955000.0,557766000.0,745000.0,,900000.0,,,99351000.0,,,-169803000.0,,1647000.0,-352706000.0,35257000.0,
2010-09-30,,,,,,4056352000.0,741622000.0,,612096000.0,220322000.0,336663000.0,3.27,3.22,102989010.0,104408939.0,534565000.0,,1082676000.0,68950000.0,220342000.0,,38798000.0,2262005000.0,,1121604000.0,4053123000.0,124217000.0,32428000.0,7627105000.0,321179000.0,337221000.0,,1111784000.0,,387717000.0,,89919000.0,4882260000.0,2648797000.0,119000.0,2321433000.0,7627105000.0,,33492000.0,61499000.0,-21680000.0,-3041000.0,,-187000.0,95350000.0,,2308000.0,719132000.0,955000.0,,900000.0,,,169376000.0,,,-285313000.0,,2079000.0,-438713000.0,-4894000.0,
2010-12-31,,,,,,5450364000.0,997027000.0,,744458000.0,260239000.0,405683000.0,4.0,3.94,101504373.0,103059171.0,860117000.0,,1048976000.0,76008000.0,-195376000.0,,43994000.0,2622854000.0,,1170808000.0,4091307000.0,162635000.0,32054000.0,8114424000.0,181033000.0,342943000.0,,924345000.0,,421436000.0,,89290000.0,5694238000.0,2717817000.0,503000.0,1978422000.0,8114424000.0,219314000.0,45551000.0,75399000.0,-55379000.0,3892000.0,,-901000.0,4228000.0,,4740000.0,839683000.0,1125000.0,,900000.0,,,273602000.0,,,-436633000.0,,6283000.0,-82392000.0,320658000.0,
2011-03-31,,,,,,1370405000.0,235553000.0,,177799000.0,63047000.0,94502000.0,0.98,0.96,96263802.0,98378371.0,1006010000.0,,1069437000.0,69641000.0,224996000.0,,46342000.0,2726916000.0,,1183744000.0,4182076000.0,156614000.0,40659000.0,8322941000.0,227401000.0,352490000.0,,1007373000.0,,443878000.0,,86615000.0,5780052000.0,2812319000.0,-1677000.0,2074395000.0,8322941000.0,,9716000.0,18221000.0,20461000.0,-7429000.0,,-990000.0,26565000.0,,1111000.0,329783000.0,298000.0,,1149000.0,,,67530000.0,,,-145388000.0,,7196000.0,-38502000.0,145893000.0,
2011-06-30,,,,,,2834888000.0,482599000.0,,365504000.0,130087000.0,194517000.0,2.03,1.99,95872466.0,98014315.0,729825000.0,,1132051000.0,68629000.0,229827000.0,,49784000.0,2513364000.0,,1223662000.0,4227386000.0,152856000.0,35264000.0,8192721000.0,254129000.0,317291000.0,,1035611000.0,,456361000.0,,104644000.0,5830091000.0,2912334000.0,-11787000.0,1880859000.0,8192721000.0,,23058000.0,24225000.0,83075000.0,-9369000.0,,-2164000.0,41436000.0,,4140000.0,534193000.0,1868000.0,,1149000.0,,,154929000.0,,,-308556000.0,,19009000.0,-355929000.0,-130292000.0,
2011-09-30,,,,,,4319226000.0,800670000.0,,623525000.0,224034000.0,329878000.0,3.47,3.4,95053339.0,97057773.0,541206000.0,,1165010000.0,73293000.0,256325000.0,,67454000.0,2370167000.0,,1335789000.0,4769965000.0,159789000.0,31761000.0,8706668000.0,259459000.0,363176000.0,,1205920000.0,,393540000.0,,134075000.0,6173373000.0,3047695000.0,-20856000.0,1999253000.0,8706668000.0,194328000.0,36392000.0,38377000.0,61483000.0,-11767000.0,,-2408000.0,56652000.0,,14502000.0,1029387000.0,2118000.0,,1149000.0,,,251879000.0,,,-1133007000.0,,19640000.0,-215291000.0,-318911000.0,
2011-12-31,,,,,,5851432000.0,1130782000.0,,892674000.0,315744000.0,478001000.0,5.05,4.96,94658027.0,96532110.0,393752000.0,,1195163000.0,75731000.0,-142716000.0,,49349000.0,2281608000.0,,1432651000.0,4946976000.0,159491000.0,34231000.0,8892172000.0,289653000.0,325734000.0,,1153116000.0,,423098000.0,,132006000.0,6145831000.0,3195818000.0,-19484000.0,2141075000.0,8892172000.0,249060000.0,48718000.0,53438000.0,88848000.0,-10270000.0,,-2039000.0,84400000.0,,11061000.0,1180046000.0,5971000.0,,1149000.0,,,400156000.0,,,-1399228000.0,,20834000.0,-247183000.0,-466365000.0,
2012-03-31,,,,,,1545915000.0,320720000.0,,260378000.0,95495000.0,140120000.0,1.49,1.46,93769092.0,95729105.0,449290000.0,,1266869000.0,72285000.0,313355000.0,,47492000.0,2374400000.0,,1490572000.0,5064577000.0,160617000.0,30065000.0,9157084000.0,269029000.0,347096000.0,,1242115000.0,,448372000.0,,139656000.0,6250663000.0,3335938000.0,-18773000.0,2274530000.0,9157084000.0,,12550000.0,-13335000.0,71706000.0,-4851000.0,,-3742000.0,-20624000.0,,4532000.0,331874000.0,489000.0,,6791000.0,,,112459000.0,,,-233690000.0,,6101000.0,-42657000.0,55538000.0,
