Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-06-30,35591000.0,18604000.0,16987000.0,13284000.0,22962000.0,36246000.0,-19259000.0,,,,-19217000.0,,,,,33889000.0,71139000.0,,6258000.0,,,,123980000.0,,12016000.0,,,98000.0,136369000.0,,,2333000.0,13776000.0,,,,1018000.0,14794000.0,-365595000.0,-101000.0,,136369000.0,1698000.0,6205000.0,,2023000.0,-1854000.0,,,,-1191000.0,,-11815000.0,49430000.0,,20058000.0,,,2951000.0,,,-32323000.0,73629000.0,,73179000.0,29000000.0,
2011-09-30,53845000.0,28694000.0,25151000.0,21515000.0,36203000.0,57718000.0,-32567000.0,,,,-32495000.0,,,,,17523000.0,79794000.0,,6455000.0,,,,115232000.0,,12524000.0,,,98000.0,128793000.0,,,1737000.0,14743000.0,,,,985000.0,15728000.0,-378873000.0,-94000.0,,128793000.0,2696000.0,9933000.0,,2332000.0,-1657000.0,,,,-1787000.0,,-18556000.0,78044000.0,,39576000.0,,,4457000.0,,,-42925000.0,74662000.0,,74137000.0,12634000.0,
2011-12-31,76266000.0,40422000.0,35844000.0,30747000.0,49940000.0,80687000.0,-44843000.0,,,-32000.0,-44746000.0,,,,,2553000.0,79358000.0,,8171000.0,0.0,,,104410000.0,,15019000.0,,,107000.0,120475000.0,,,1591000.0,14741000.0,281000.0,,,963000.0,15985000.0,-391124000.0,-80000.0,,120475000.0,3759000.0,13513000.0,,5876000.0,59000.0,,,,-1652000.0,,-30126000.0,102655000.0,,64286000.0,,,8006000.0,,,-46371000.0,74709000.0,,74184000.0,-2336000.0,
2012-03-31,20095000.0,10708000.0,9387000.0,9715000.0,15069000.0,24784000.0,-15397000.0,,-15372000.0,-1308000.0,-14064000.0,,,,,5119000.0,65065000.0,,8044000.0,,,,92822000.0,,16206000.0,3162000.0,4610000.0,123000.0,117962000.0,,,1845000.0,16076000.0,834000.0,,,1501000.0,18411000.0,-405188000.0,-103000.0,,117962000.0,1182000.0,4146000.0,,-4000.0,-127000.0,,,,807000.0,,-10164000.0,26618000.0,,40569000.0,,,2320000.0,,,11631000.0,1120000.0,,1120000.0,2566000.0,
2012-06-30,43545000.0,22915000.0,20630000.0,20213000.0,30463000.0,50676000.0,-30046000.0,,-29999000.0,-1244000.0,-28755000.0,,,,,5985000.0,55203000.0,,7378000.0,,,,83993000.0,,17768000.0,3162000.0,4462000.0,98000.0,110522000.0,,,1499000.0,16961000.0,702000.0,,,1551000.0,19214000.0,-419879000.0,-88000.0,,110522000.0,2650000.0,8979000.0,,353000.0,-793000.0,,,,329000.0,,-16493000.0,42283000.0,,,,,5202000.0,,,18353000.0,1572000.0,,1572000.0,3432000.0,
2012-09-30,66634000.0,37602000.0,29032000.0,30795000.0,45605000.0,76400000.0,-47368000.0,,-47305000.0,-1287000.0,-46018000.0,,,,,4744000.0,48641000.0,,7141000.0,,,,75571000.0,,18613000.0,3162000.0,4313000.0,98000.0,102796000.0,,,1222000.0,20404000.0,569000.0,,,1570000.0,22543000.0,-437142000.0,-93000.0,,102796000.0,4849000.0,13858000.0,,-190000.0,-1030000.0,,,,-81000.0,,-22543000.0,56282000.0,,,,,8096000.0,,,21847000.0,2906000.0,,2906000.0,2191000.0,
2012-12-31,99900000.0,53300000.0,46600000.0,39500000.0,62800000.0,102300000.0,-55700000.0,,-55800000.0,-1300000.0,-54500000.0,,,,,8100000.0,40600000.0,,7400000.0,-100000.0,,,77600000.0,,18900000.0,3200000.0,4200000.0,1100000.0,106000000.0,,,1400000.0,19500000.0,600000.0,,,2100000.0,29000000.0,-445600000.0,-100000.0,,106000000.0,6600000.0,18400000.0,,7000000.0,-700000.0,,,,100000.0,,-33100000.0,66400000.0,,,,,9500000.0,,,28400000.0,3600000.0,,10200000.0,5500000.0,
2013-03-31,29600000.0,13100000.0,16500000.0,9300000.0,18100000.0,27400000.0,-10900000.0,,-11100000.0,0.0,-11100000.0,,,,,18900000.0,26400000.0,,7500000.0,,,,71300000.0,,18300000.0,3200000.0,4000000.0,1000000.0,98800000.0,,,800000.0,16200000.0,0.0,,,2700000.0,25200000.0,-456700000.0,-100000.0,,98800000.0,1800000.0,5000000.0,,-3200000.0,100000.0,,,,-1100000.0,,-4500000.0,4900000.0,,,,,1400000.0,,,12600000.0,2700000.0,,2700000.0,10800000.0,
2013-06-30,65400000.0,27000000.0,38400000.0,20400000.0,38800000.0,59200000.0,-20800000.0,,-21200000.0,0.0,-21200000.0,,,,,28200000.0,18200000.0,,7300000.0,,,,74200000.0,,19100000.0,3200000.0,3900000.0,900000.0,102300000.0,,,700000.0,21100000.0,0.0,,,3100000.0,30000000.0,-466800000.0,-100000.0,,102300000.0,3400000.0,11400000.0,,-1800000.0,-200000.0,,,,-1300000.0,,-3600000.0,8900000.0,,,,,3400000.0,,,18700000.0,5000000.0,,5000000.0,20100000.0,
2013-09-30,108300000.0,42300000.0,66000000.0,32200000.0,60400000.0,92600000.0,-26600000.0,,-27200000.0,0.0,-27200000.0,,,,,33400000.0,14200000.0,,10000000.0,,,,81700000.0,,19700000.0,3200000.0,3700000.0,800000.0,110100000.0,,,600000.0,27400000.0,0.0,,,2800000.0,35400000.0,-472800000.0,-100000.0,,110100000.0,5100000.0,18000000.0,,2000000.0,2500000.0,,,,-1400000.0,,-2000000.0,12400000.0,,,,,5600000.0,,,20400000.0,6900000.0,,6900000.0,25300000.0,
