Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,2675000000.0,1568000000.0,1107000000.0,,,1876000000.0,-769000000.0,,-786000000.0,-79000000.0,-707000000.0,,,,,1114000000.0,352000000.0,495000000.0,144000000.0,95000000.0,,264000000.0,2782000000.0,,550000000.0,1097000000.0,,221000000.0,4939000000.0,186000000.0,790000000.0,,1871000000.0,,49000000.0,,139000000.0,2340000000.0,93000000.0,238000000.0,2599000000.0,4939000000.0,142000000.0,145000000.0,,356000000.0,-77000000.0,,53000000.0,,,,-101000000.0,,,,,278000000.0,,,,-471000000.0,,13000000.0,38000000.0,-507000000.0,8000000.0
2010-03-31,3654000000.0,1866000000.0,1788000000.0,,,2474000000.0,-686000000.0,,-706000000.0,-29000000.0,-677000000.0,,,,,1273000000.0,432000000.0,206000000.0,100000000.0,44000000.0,,239000000.0,2585000000.0,,537000000.0,1093000000.0,,175000000.0,4646000000.0,91000000.0,717000000.0,,1574000000.0,,2000000.0,,99000000.0,1917000000.0,123000000.0,228000000.0,2729000000.0,4646000000.0,192000000.0,187000000.0,,66000000.0,-123000000.0,,-18000000.0,,,,152000000.0,,,,,283000000.0,,,,-572000000.0,,14000000.0,53000000.0,-348000000.0,-34000000.0
2010-06-30,815000000.0,222000000.0,593000000.0,,,495000000.0,98000000.0,,93000000.0,-3000000.0,96000000.0,0.29,0.29,328000000.0,332000000.0,1057000000.0,480000000.0,103000000.0,82000000.0,43000000.0,,270000000.0,2228000000.0,,516000000.0,1090000000.0,,177000000.0,4245000000.0,55000000.0,620000000.0,,1165000000.0,,2000000.0,,97000000.0,1493000000.0,219000000.0,113000000.0,2752000000.0,4245000000.0,48000000.0,47000000.0,,-97000000.0,-16000000.0,,37000000.0,,,,-148000000.0,,,,,0.0,11000000.0,,,-53000000.0,,,1000000.0,-216000000.0,6000000.0
2010-12-31,2499000000.0,1171000000.0,1328000000.0,,,1785000000.0,-457000000.0,,-428000000.0,19000000.0,-427000000.0,,,,,1353000000.0,511000000.0,390000000.0,105000000.0,22000000.0,,226000000.0,2714000000.0,,502000000.0,1107000000.0,,200000000.0,4727000000.0,162000000.0,746000000.0,,2008000000.0,,4000000.0,,173000000.0,2369000000.0,-304000000.0,155000000.0,2358000000.0,4727000000.0,138000000.0,138000000.0,,180000000.0,4000000.0,,9000000.0,,,,67000000.0,,,,,16000000.0,,,,-7000000.0,,,17000000.0,80000000.0,11000000.0
2011-03-31,3589000000.0,1499000000.0,2090000000.0,,,2402000000.0,-312000000.0,,-279000000.0,-3000000.0,-276000000.0,,,,,1579000000.0,497000000.0,335000000.0,77000000.0,63000000.0,,327000000.0,3032000000.0,,513000000.0,1110000000.0,,80000000.0,4928000000.0,228000000.0,768000000.0,,2001000000.0,,37000000.0,,134000000.0,2364000000.0,-153000000.0,219000000.0,2564000000.0,4928000000.0,180000000.0,176000000.0,3000000.0,122000000.0,-25000000.0,,-5000000.0,,,,320000000.0,,,,,16000000.0,,,,-15000000.0,,1000000.0,-23000000.0,306000000.0,21000000.0
2011-06-30,999000000.0,240000000.0,759000000.0,,,532000000.0,227000000.0,,230000000.0,9000000.0,221000000.0,0.67,0.66,,337000000.0,1173000000.0,503000000.0,30000000.0,75000000.0,58000000.0,,343000000.0,2354000000.0,,516000000.0,1132000000.0,,170000000.0,4355000000.0,91000000.0,604000000.0,,1225000000.0,,42000000.0,,146000000.0,1605000000.0,68000000.0,240000000.0,2750000000.0,4355000000.0,43000000.0,38000000.0,,-307000000.0,-4000000.0,,101000000.0,,,,-274000000.0,,,,,25000000.0,,,,-64000000.0,,2000000.0,-75000000.0,-406000000.0,-18000000.0
2011-09-30,1714000000.0,672000000.0,1042000000.0,,,1189000000.0,-374000000.0,,-380000000.0,-40000000.0,-340000000.0,,,,,930000000.0,355000000.0,562000000.0,90000000.0,97000000.0,,320000000.0,2568000000.0,,532000000.0,1700000000.0,,174000000.0,5435000000.0,213000000.0,792000000.0,,1854000000.0,,84000000.0,,241000000.0,2895000000.0,-272000000.0,258000000.0,2540000000.0,5435000000.0,94000000.0,81000000.0,,215000000.0,11000000.0,,63000000.0,,,,-485000000.0,,,,,657000000.0,,,,-575000000.0,,3000000.0,424000000.0,-649000000.0,-9000000.0
2011-12-31,2775000000.0,1224000000.0,1551000000.0,,,1881000000.0,-330000000.0,,-343000000.0,-19000000.0,-324000000.0,,,,,1242000000.0,406000000.0,526000000.0,69000000.0,92000000.0,,328000000.0,2806000000.0,,547000000.0,1716000000.0,,181000000.0,5696000000.0,112000000.0,846000000.0,,2397000000.0,,82000000.0,,235000000.0,3431000000.0,-477000000.0,190000000.0,2265000000.0,5696000000.0,148000000.0,129000000.0,,176000000.0,-11000000.0,,81000000.0,,,,-10000000.0,,,,,676000000.0,,,,-689000000.0,,4000000.0,388000000.0,-337000000.0,-4000000.0
2012-03-31,4143000000.0,1598000000.0,2545000000.0,,,2510000000.0,365000000.0,,18000000.0,-58000000.0,400000000.0,1.22,1.2,331000000.0,336000000.0,1293000000.0,437000000.0,366000000.0,59000000.0,95000000.0,,268000000.0,2609000000.0,,568000000.0,1718000000.0,,185000000.0,5491000000.0,215000000.0,857000000.0,,2120000000.0,,8000000.0,,177000000.0,3033000000.0,-77000000.0,173000000.0,2458000000.0,5491000000.0,216000000.0,170000000.0,-86000000.0,14000000.0,-21000000.0,,101000000.0,,,,277000000.0,,,,,676000000.0,,,,-689000000.0,,4000000.0,140000000.0,-286000000.0,-4000000.0
2012-06-30,955000000.0,205000000.0,750000000.0,,,535000000.0,215000000.0,,210000000.0,9000000.0,201000000.0,0.63,0.63,317000000.0,320000000.0,919000000.0,444000000.0,111000000.0,60000000.0,68000000.0,,273000000.0,1951000000.0,,558000000.0,1716000000.0,,209000000.0,4825000000.0,50000000.0,702000000.0,,1336000000.0,,2000000.0,,193000000.0,2273000000.0,124000000.0,115000000.0,2552000000.0,4825000000.0,56000000.0,39000000.0,,-254000000.0,2000000.0,,29000000.0,,,,-244000000.0,,,,,0.0,,,,-40000000.0,,0.0,-72000000.0,-374000000.0,8000000.0
