Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,2479762000.0,6247600000.0,803070000.0,,4790834000.0,1456766000.0,,,490054000.0,2389097000.0,1.85,1.83,1289848000.0,1304981000.0,3999818000.0,,407507000.0,,,,328106000.0,8460208000.0,,1314328000.0,6143086000.0,767812000.0,341121000.0,18408320000.0,192412000.0,981784000.0,,3641968000.0,,,,49561000.0,4620672000.0,8359117000.0,818104000.0,13787648000.0,18408320000.0,,394807000.0,-178813000.0,97494000.0,,,31292000.0,-27235000.0,,,2908086000.0,,,,,1209433000.0,567094000.0,,-6487000.0,-1149383000.0,,4750000.0,-945656000.0,810890000.0,
2010-03-31,,606555000.0,1589502000.0,210139000.0,,1100893000.0,488609000.0,,,97002000.0,397653000.0,0.31,0.3,1301248000.0,1326021000.0,3593003000.0,,393414000.0,,,,445695000.0,8277438000.0,,1346850000.0,6130156000.0,703153000.0,255014000.0,18690178000.0,144266000.0,970881000.0,,3587011000.0,,,,49598000.0,4565069000.0,8756770000.0,674500000.0,14125109000.0,18690178000.0,,102069000.0,,,,,,,,,418262000.0,,,,,,152256000.0,,4416000.0,-700969000.0,,20993000.0,-7390000.0,-406815000.0,
2010-06-30,,1221926000.0,3189510000.0,435456000.0,,2216336000.0,973174000.0,,,184196000.0,809845000.0,0.62,0.61,1310042000.0,1329618000.0,4037442000.0,,388925000.0,,,,484205000.0,8675313000.0,,1429210000.0,5921852000.0,610224000.0,283099000.0,18747584000.0,191919000.0,977958000.0,,3564261000.0,,,,46855000.0,4578293000.0,9168962000.0,161133000.0,14169291000.0,18747584000.0,,194052000.0,,,,,,,,,1144641000.0,,,,,7000000.0,359457000.0,,4773000.0,-835635000.0,,24457000.0,50363000.0,37624000.0,
2011-12-31,11651654000.0,3460184000.0,8191470000.0,1235171000.0,,5817981000.0,2373489000.0,,3910046000.0,680659000.0,3229387000.0,2.5,2.46,1292775000.0,1312950000.0,4691101000.0,,681593000.0,,-552247000.0,,581436000.0,12661454000.0,,1986216000.0,8364989000.0,,448416000.0,27320218000.0,283102000.0,1510836000.0,,6734204000.0,,,,58137000.0,9390339000.0,13389465000.0,549468000.0,17929879000.0,27320218000.0,602800000.0,,16958000.0,291822000.0,,,18298000.0,29424000.0,11785000.0,,3273674000.0,,,,,3223055000.0,963498000.0,,108828000.0,-3306862000.0,242210000.0,79681000.0,-838496000.0,-886310000.0,
2012-03-31,3277000000.0,983000000.0,2294000000.0,374000000.0,,1641000000.0,653000000.0,,684000000.0,114000000.0,570000000.0,0.44,0.44,1288000000.0,1308000000.0,4164000000.0,,633000000.0,,,,728000000.0,13089000000.0,,2109000000.0,8440000000.0,,392000000.0,28207000000.0,325000000.0,1530000000.0,,6965000000.0,,,,66000000.0,9498000000.0,13959000000.0,864000000.0,18709000000.0,28207000000.0,,,,,,,,,,,531000000.0,,,,,3000000.0,242000000.0,,5000000.0,-893000000.0,85000000.0,54000000.0,-219000000.0,-527000000.0,
2012-06-30,6675000000.0,1970000000.0,4705000000.0,768000000.0,,3357000000.0,1348000000.0,,1535000000.0,273000000.0,1262000000.0,0.98,0.96,1291000000.0,1309000000.0,4038000000.0,,648000000.0,,,,960000000.0,13278000000.0,,2238000000.0,8417000000.0,,423000000.0,28258000000.0,257000000.0,1468000000.0,,6800000000.0,,,,72000000.0,9346000000.0,14651000000.0,464000000.0,18912000000.0,28258000000.0,,,,,,,,,,,1299000000.0,,,,,133000000.0,599000000.0,,16000000.0,-1474000000.0,225000000.0,68000000.0,-434000000.0,-653000000.0,
2012-09-30,10079000000.0,2992000000.0,7087000000.0,1157000000.0,,5072000000.0,2015000000.0,,2207000000.0,348000000.0,1859000000.0,1.44,1.42,1292000000.0,1314000000.0,7331000000.0,,694000000.0,,,,982000000.0,17410000000.0,,2393000000.0,8492000000.0,,473000000.0,32502000000.0,271000000.0,1776000000.0,,7061000000.0,,,,77000000.0,12589000000.0,15248000000.0,649000000.0,19913000000.0,32502000000.0,,,,,,,,,,,2453000000.0,,,,,143000000.0,961000000.0,,77000000.0,-1904000000.0,359000000.0,95000000.0,2082000000.0,2640000000.0,
2012-12-31,14072000000.0,4216000000.0,9856000000.0,1573000000.0,,6968000000.0,2888000000.0,,3084000000.0,475000000.0,2609000000.0,2.02,1.99,1292000000.0,1313000000.0,6817000000.0,,822000000.0,,-523000000.0,,914000000.0,21398000000.0,,2491000000.0,8537000000.0,,476000000.0,37074000000.0,301000000.0,1916000000.0,,10924000000.0,,,,207000000.0,16209000000.0,15998000000.0,856000000.0,20865000000.0,37074000000.0,767000000.0,,-35000000.0,207000000.0,,,96000000.0,-16000000.0,28000000.0,,3838000000.0,,,,,143000000.0,1257000000.0,,73000000.0,-3763000000.0,483000000.0,130000000.0,1951000000.0,2126000000.0,
2013-03-31,3748000000.0,1152000000.0,2596000000.0,434000000.0,,1796000000.0,800000000.0,,809000000.0,132000000.0,677000000.0,0.52,0.51,1295000000.0,1319000000.0,6530000000.0,,743000000.0,,,,1144000000.0,22336000000.0,,2575000000.0,8455000000.0,,439000000.0,38000000000.0,308000000.0,1885000000.0,,11720000000.0,,,,231000000.0,16888000000.0,16675000000.0,724000000.0,21112000000.0,38000000000.0,,,,,,,,,,,937000000.0,,,,,8000000.0,299000000.0,,5000000.0,-719000000.0,102000000.0,116000000.0,-411000000.0,-287000000.0,
2013-06-30,7625000000.0,2363000000.0,5262000000.0,885000000.0,,3712000000.0,1550000000.0,,1565000000.0,248000000.0,1317000000.0,1.02,1.0,1297000000.0,1316000000.0,6855000000.0,,743000000.0,,,,982000000.0,23446000000.0,,2697000000.0,8394000000.0,,581000000.0,38550000000.0,313000000.0,1711000000.0,,11670000000.0,,,,217000000.0,16899000000.0,17315000000.0,826000000.0,21651000000.0,38550000000.0,,,,,,,,,,,1948000000.0,,,,,15000000.0,652000000.0,,14000000.0,-1090000000.0,244000000.0,161000000.0,-763000000.0,38000000.0,
