Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,5900600000.0,2978000000.0,,,2174200000.0,,681300000.0,,620100000.0,201400000.0,417300000.0,1.76,1.74,236700000.0,239900000.0,73600000.0,,1016100000.0,493400000.0,83900000.0,,147200000.0,1814200000.0,,1176200000.0,1414100000.0,,303900000.0,5020900000.0,360900000.0,466900000.0,,1250200000.0,,,,288600000.0,,2898100000.0,-232900000.0,2000900000.0,5020900000.0,334300000.0,37300000.0,88100000.0,-45100000.0,-13000000.0,,30700000.0,-25100000.0,,-34000000.0,695000000.0,,,,,,252500000.0,,,-299300000.0,,7700000.0,-397800000.0,6900000.0,
2010-03-31,1432100000.0,716700000.0,,,558100000.0,,153800000.0,,138800000.0,43100000.0,95500000.0,0.41,0.4,235400000.0,239000000.0,85300000.0,,950200000.0,468900000.0,86200000.0,,127700000.0,1718300000.0,,1141800000.0,1342200000.0,,271300000.0,4769200000.0,316000000.0,430100000.0,,1370000000.0,,,,271600000.0,,2957100000.0,-307700000.0,1860700000.0,4769200000.0,86200000.0,4400000.0,2200000.0,-19200000.0,-5000000.0,,-13100000.0,-31300000.0,,-76700000.0,135400000.0,,,,,,51000000.0,,,-57500000.0,,2600000.0,-53900000.0,11700000.0,
2010-06-30,2952300000.0,1466700000.0,,,1123400000.0,,358100000.0,,328100000.0,102900000.0,224800000.0,0.96,0.94,234400000.0,238100000.0,121300000.0,,950100000.0,441300000.0,84500000.0,,138100000.0,1735300000.0,,1124000000.0,1272100000.0,,254600000.0,4663800000.0,324000000.0,438000000.0,,1339900000.0,,70500000.0,81100000.0,259300000.0,,3050100000.0,-380600000.0,1858300000.0,4663800000.0,178000000.0,14200000.0,-800000.0,26800000.0,-12300000.0,,7300000.0,-9400000.0,,-53000000.0,365000000.0,,,,,,125400000.0,,,-134900000.0,,6900000.0,-163800000.0,47700000.0,
2010-09-30,4514200000.0,2230100000.0,,,1681900000.0,,603200000.0,,558300000.0,158800000.0,399000000.0,1.71,1.68,233800000.0,238000000.0,168400000.0,,1019800000.0,456500000.0,78600000.0,,131200000.0,1854500000.0,,1137300000.0,1313800000.0,,264700000.0,4861500000.0,346900000.0,455400000.0,,1438600000.0,,72200000.0,48400000.0,230300000.0,,3188400000.0,-320200000.0,1964200000.0,4861500000.0,259500000.0,21000000.0,2900000.0,74500000.0,-1700000.0,,-2400000.0,9000000.0,,-21200000.0,638200000.0,,,,,,188200000.0,,,-239800000.0,,13300000.0,-285500000.0,94800000.0,
2010-12-31,6089700000.0,3013800000.0,,88000000.0,2261600000.0,,806800000.0,,747700000.0,216600000.0,530300000.0,2.27,2.23,233400000.0,237600000.0,242300000.0,,999600000.0,447600000.0,120300000.0,,101500000.0,1869900000.0,,1148300000.0,1329300000.0,,242200000.0,4872200000.0,349300000.0,441500000.0,,1324800000.0,,65300000.0,38100000.0,192200000.0,,3279100000.0,-271900000.0,2129200000.0,4872200000.0,347900000.0,29200000.0,-31100000.0,39300000.0,-18600000.0,,-42400000.0,6800000.0,,15700000.0,950400000.0,,,,,,297700000.0,,,-303600000.0,,16900000.0,-462200000.0,168700000.0,
2011-03-31,1518300000.0,770400000.0,,,581600000.0,,151700000.0,,138200000.0,44400000.0,93600000.0,0.4,0.4,232000000.0,235900000.0,151400000.0,,1042600000.0,480200000.0,82200000.0,,132500000.0,1888900000.0,,1192500000.0,1465100000.0,,276100000.0,5262300000.0,359700000.0,467600000.0,,1650200000.0,,68400000.0,39300000.0,225400000.0,,3332100000.0,-205200000.0,2210600000.0,5262300000.0,91200000.0,11200000.0,100000.0,-10200000.0,9600000.0,,25400000.0,600000.0,,-36700000.0,56100000.0,,,,,,65800000.0,,,-377800000.0,,2300000.0,219100000.0,-90900000.0,
2011-06-30,3217100000.0,1631200000.0,,,1191200000.0,,350000000.0,,323400000.0,103400000.0,219500000.0,0.95,0.93,231800000.0,236200000.0,163200000.0,,1106700000.0,495500000.0,92800000.0,,136000000.0,1994200000.0,,1212700000.0,1503300000.0,,267400000.0,5407400000.0,400500000.0,527400000.0,,1639600000.0,,71500000.0,37600000.0,227700000.0,,3417500000.0,-159500000.0,2338200000.0,5407400000.0,187900000.0,21000000.0,7300000.0,34300000.0,16800000.0,,26100000.0,34400000.0,,-40900000.0,302100000.0,,,,,,145800000.0,,,-464400000.0,,7800000.0,63500000.0,-79100000.0,
2011-09-30,4953200000.0,2509100000.0,,,1786500000.0,,589600000.0,,549800000.0,175300000.0,,1.61,1.58,231900000.0,236200000.0,207300000.0,,1143100000.0,504900000.0,86500000.0,,149200000.0,2091000000.0,,1218200000.0,1504000000.0,,273600000.0,5505600000.0,413400000.0,531000000.0,,1617700000.0,,71300000.0,30700000.0,222000000.0,,3531200000.0,-160700000.0,2467000000.0,5505600000.0,285000000.0,28000000.0,3300000.0,74100000.0,28000000.0,,40700000.0,47100000.0,,-24400000.0,540700000.0,,,,,,228300000.0,,,-551700000.0,,8900000.0,-42700000.0,-35000000.0,
2011-12-31,6798500000.0,3475600000.0,,96000000.0,2438100000.0,,753800000.0,,679600000.0,216300000.0,,1.95,1.91,236900000.0,242100000.0,1843600000.0,,2095300000.0,1069600000.0,-1036000000.0,,223500000.0,5396000000.0,,2295400000.0,5855300000.0,,418900000.0,18240800000.0,815700000.0,748700000.0,,3166300000.0,,1305300000.0,80800000.0,1546800000.0,,3559900000.0,-344900000.0,5666700000.0,18240800000.0,395700000.0,39900000.0,41700000.0,106000000.0,36100000.0,,60200000.0,60900000.0,,-84900000.0,685500000.0,,,,,285200000.0,366000000.0,,,-2024300000.0,,13700000.0,2933800000.0,,
2012-03-31,2810900000.0,1614000000.0,,,989700000.0,,165800000.0,,79700000.0,35600000.0,49700000.0,0.17,0.17,291500000.0,297900000.0,354000000.0,,2049000000.0,1087400000.0,183200000.0,,286200000.0,3959800000.0,,2331600000.0,5946800000.0,,385700000.0,16861700000.0,805100000.0,808700000.0,,3506600000.0,,1241000000.0,89700000.0,1474300000.0,11056600000.0,3551300000.0,-249500000.0,5733200000.0,16861700000.0,,20900000.0,-83800000.0,-30500000.0,-18600000.0,,45000000.0,-23900000.0,,-42100000.0,110500000.0,,,,,-17900000.0,124200000.0,,,-137300000.0,,7100000.0,-1469800000.0,,
