Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,6478000000.0,,,,,5557000000.0,921000000.0,21000000.0,643000000.0,228000000.0,415000000.0,1.45,1.44,282000000.0,283500000.0,178000000.0,,1075000000.0,,,,152000000.0,3158000000.0,,23097000000.0,420000000.0,3000000.0,283000000.0,34389000000.0,1094000000.0,397000000.0,,2675000000.0,,,,100000000.0,,,,10593000000.0,34389000000.0,415000000.0,,46000000.0,28000000.0,-27000000.0,-79000000.0,7000000.0,-79000000.0,,66000000.0,795000000.0,,,,,,4000000.0,,,-1007000000.0,25000000.0,,130000000.0,-82000000.0,
2010-09-30,,,,,,,,,,,,2.69,2.68,283000000.0,284600000.0,,,,,64000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,,,23000000.0,,,,,,,,,,,,,,,,6541000000.0,,,,,,,,,,,,633000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,3349000000.0,,,,,2723000000.0,626000000.0,9000000.0,483000000.0,169000000.0,314000000.0,1.07,1.06,292000000.0,293600000.0,516000000.0,,1178000000.0,,,,202000000.0,3590000000.0,,24068000000.0,429000000.0,3000000.0,309000000.0,36186000000.0,967000000.0,457000000.0,,2676000000.0,,,,121000000.0,,,,11444000000.0,36186000000.0,218000000.0,,232000000.0,5000000.0,-103000000.0,-66000000.0,1000000.0,-154000000.0,,-2000000.0,362000000.0,,,,,,23000000.0,,,-496000000.0,25000000.0,,312000000.0,178000000.0,
2011-06-30,6342000000.0,,,,,5318000000.0,1024000000.0,15000000.0,735000000.0,252000000.0,483000000.0,1.63,1.62,292700000.0,294300000.0,492000000.0,,1101000000.0,,,,176000000.0,3209000000.0,,24414000000.0,429000000.0,3000000.0,277000000.0,36019000000.0,1033000000.0,622000000.0,,2473000000.0,,,,124000000.0,,,,11464000000.0,36019000000.0,437000000.0,,181000000.0,-72000000.0,-38000000.0,-69000000.0,,-76000000.0,,-18000000.0,1589000000.0,,,,,,50000000.0,,-4000000.0,-1129000000.0,58000000.0,,-306000000.0,154000000.0,
2011-09-30,9972000000.0,,,,,8191000000.0,1781000000.0,13000000.0,1346000000.0,477000000.0,869000000.0,2.94,2.92,292900000.0,294600000.0,398000000.0,,1177000000.0,,,,153000000.0,3458000000.0,,24698000000.0,429000000.0,3000000.0,267000000.0,36535000000.0,1062000000.0,460000000.0,,2959000000.0,,,,118000000.0,,,,11667000000.0,36535000000.0,659000000.0,,368000000.0,4000000.0,27000000.0,-70000000.0,,-50000000.0,,10000000.0,2161000000.0,,,,,,57000000.0,,-4000000.0,-1611000000.0,81000000.0,,-490000000.0,60000000.0,
2011-12-31,12938000000.0,,,23000000.0,,10699000000.0,2239000000.0,17000000.0,1662000000.0,600000000.0,1062000000.0,3.59,3.57,292600000.0,294400000.0,648000000.0,,1123000000.0,,7297000000.0,,159000000.0,3638000000.0,,25093000000.0,429000000.0,3000000.0,259000000.0,39214000000.0,961000000.0,468000000.0,474000000.0,2987000000.0,,,,131000000.0,,,-58000000.0,11649000000.0,39214000000.0,884000000.0,,491000000.0,-50000000.0,8000000.0,-51000000.0,,-195000000.0,,62000000.0,3137000000.0,,,,,,80000000.0,,-4000000.0,-2150000000.0,118000000.0,,-677000000.0,310000000.0,
2012-03-31,3078000000.0,,,,,2517000000.0,561000000.0,3000000.0,414000000.0,134000000.0,280000000.0,0.95,0.94,292900000.0,294500000.0,769000000.0,,1069000000.0,,285000000.0,,205000000.0,3904000000.0,,25353000000.0,429000000.0,3000000.0,296000000.0,39701000000.0,844000000.0,405000000.0,,3840000000.0,,,,131000000.0,,,,11545000000.0,39701000000.0,233000000.0,,68000000.0,-54000000.0,-31000000.0,2000000.0,,-78000000.0,,-48000000.0,402000000.0,,,,,,9000000.0,,-6000000.0,-490000000.0,-8000000.0,,209000000.0,121000000.0,
2012-06-30,5849000000.0,,,,,4813000000.0,1036000000.0,2000000.0,734000000.0,240000000.0,494000000.0,1.68,1.67,292900000.0,294400000.0,1381000000.0,,1034000000.0,,136000000.0,,215000000.0,4102000000.0,,25734000000.0,429000000.0,3000000.0,252000000.0,40049000000.0,813000000.0,461000000.0,,4380000000.0,,,,119000000.0,,,,11579000000.0,40049000000.0,469000000.0,,146000000.0,-89000000.0,-19000000.0,-17000000.0,,-89000000.0,,-4000000.0,1247000000.0,,,,,,43000000.0,,-25000000.0,-1105000000.0,-12000000.0,,591000000.0,733000000.0,
2012-09-30,9287000000.0,,,,,7401000000.0,1886000000.0,4000000.0,1435000000.0,501000000.0,934000000.0,3.18,3.16,292900000.0,294600000.0,69000000.0,,1319000000.0,,113000000.0,,207000000.0,3240000000.0,,26324000000.0,429000000.0,3000000.0,278000000.0,39633000000.0,968000000.0,489000000.0,,3724000000.0,,,,124000000.0,,,,11842000000.0,39633000000.0,709000000.0,,344000000.0,196000000.0,-1000000.0,-54000000.0,,18000000.0,,16000000.0,1638000000.0,,,,,,68000000.0,,-27000000.0,-1867000000.0,-16000000.0,,-350000000.0,-579000000.0,
