Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-03-31,,,,,112400000.0,353600000.0,107700000.0,,,35000000.0,56700000.0,0.45,0.44,126300000.0,128100000.0,77100000.0,,258500000.0,,,,73500000.0,446800000.0,,309500000.0,1916200000.0,,91800000.0,3505600000.0,26000000.0,62600000.0,68600000.0,429400000.0,,248200000.0,,54300000.0,1842400000.0,2545800000.0,-330100000.0,1647900000.0,3505600000.0,42500000.0,4400000.0,,-5800000.0,,,3500000.0,,,-23400000.0,37700000.0,,,,,6000000.0,50000000.0,,,-56000000.0,,1400000.0,-5500000.0,-26000000.0,
2010-06-30,,,,,236400000.0,693600000.0,210100000.0,,,66400000.0,128000000.0,1.02,1.0,126000000.0,127700000.0,70100000.0,,260500000.0,,,,110200000.0,473000000.0,,300900000.0,1855400000.0,,96800000.0,3432100000.0,26200000.0,62600000.0,62900000.0,369700000.0,,236500000.0,,50300000.0,1753200000.0,2612100000.0,-332200000.0,1663700000.0,3432100000.0,84300000.0,10900000.0,,-8400000.0,,,4000000.0,,,-29400000.0,138900000.0,,,,,14700000.0,66900000.0,,,-13900000.0,,1400000.0,-154300000.0,-33000000.0,
2010-09-30,,,,,370400000.0,1057200000.0,320300000.0,,,99700000.0,204500000.0,1.63,1.61,125400000.0,127100000.0,115600000.0,,266200000.0,,,,22600000.0,437100000.0,,300200000.0,1871200000.0,,107000000.0,3400000000.0,19700000.0,64700000.0,56500000.0,305300000.0,,241800000.0,,53500000.0,1671600000.0,2683500000.0,-309700000.0,1711500000.0,3400000000.0,125700000.0,15000000.0,,10800000.0,,,700000.0,,,-50400000.0,207400000.0,,,,,15300000.0,82400000.0,,,85500000.0,,1600000.0,-278700000.0,12500000.0,
2010-12-31,,,,,507400000.0,1429500000.0,430000000.0,,,131900000.0,266700000.0,2.14,2.11,124800000.0,126500000.0,119400000.0,,262600000.0,,,,21100000.0,429200000.0,,298400000.0,1914700000.0,,101800000.0,3433600000.0,24600000.0,61900000.0,58700000.0,319500000.0,,244200000.0,,53600000.0,1725200000.0,2725700000.0,-344500000.0,1691400000.0,3433600000.0,167800000.0,21800000.0,,3600000.0,,,1400000.0,,,-50000000.0,352600000.0,,,,,82600000.0,99800000.0,,,1000000.0,,3500000.0,-335300000.0,16300000.0,
2011-03-31,,,,,126500000.0,363500000.0,109100000.0,,,36300000.0,57300000.0,0.47,0.46,122800000.0,124700000.0,86900000.0,,283500000.0,,,,22400000.0,427200000.0,,306400000.0,1946100000.0,,106800000.0,3468800000.0,22400000.0,58700000.0,59500000.0,303500000.0,,250200000.0,,54100000.0,1699000000.0,2763100000.0,-331300000.0,1750600000.0,3468800000.0,42700000.0,4700000.0,,17000000.0,,,-100000.0,,,-8700000.0,23100000.0,,,,,30700000.0,26200000.0,,,-59600000.0,,500000.0,1600000.0,-32500000.0,
2011-06-30,,,,,267000000.0,736000000.0,223700000.0,,186900000.0,90500000.0,91800000.0,0.75,0.74,122800000.0,124600000.0,108700000.0,,273000000.0,,,,21700000.0,436500000.0,,300900000.0,1919100000.0,,177300000.0,3489300000.0,26700000.0,62300000.0,52600000.0,298700000.0,,252500000.0,,58300000.0,1686700000.0,2777600000.0,-295900000.0,1784300000.0,3489300000.0,83500000.0,11800000.0,,15200000.0,,,-8100000.0,,,-10800000.0,147000000.0,,,,,30700000.0,43900000.0,,,-74800000.0,,600000.0,-83900000.0,-10700000.0,
2011-09-30,,,,,406200000.0,1104800000.0,345300000.0,,295400000.0,129700000.0,158500000.0,1.29,1.28,122500000.0,124200000.0,102000000.0,,275800000.0,,,,20200000.0,430200000.0,,296000000.0,1953900000.0,,169400000.0,3512500000.0,21900000.0,65700000.0,50500000.0,344200000.0,,250700000.0,,56100000.0,1728400000.0,2824500000.0,-321300000.0,1766100000.0,3512500000.0,123800000.0,17300000.0,,18700000.0,,,-10400000.0,,,-11700000.0,259000000.0,,,,,112200000.0,59200000.0,,,-173100000.0,,600000.0,-98900000.0,-17400000.0,
2011-12-31,,,,,554800000.0,1488800000.0,471000000.0,,408200000.0,168000000.0,232900000.0,1.91,1.88,121900000.0,123700000.0,127700000.0,,284400000.0,,-219700000.0,,15600000.0,452300000.0,,292900000.0,1961200000.0,,156400000.0,3508600000.0,27500000.0,56300000.0,55800000.0,362800000.0,,227800000.0,,53500000.0,1786500000.0,2879200000.0,-391800000.0,1702400000.0,3508600000.0,164900000.0,24400000.0,,26600000.0,,,-15000000.0,,,-43100000.0,408700000.0,,,,,127400000.0,75000000.0,,,-204100000.0,,1200000.0,-195900000.0,8300000.0,
2012-03-31,,,,,151100000.0,393700000.0,129000000.0,,116600000.0,42900000.0,71500000.0,0.6,0.58,120000000.0,122400000.0,132700000.0,,297800000.0,,,,15000000.0,475100000.0,,291400000.0,1969000000.0,,158300000.0,3518400000.0,23100000.0,63900000.0,56800000.0,272900000.0,,230000000.0,,52800000.0,1693800000.0,2929100000.0,-373500000.0,1802500000.0,3518400000.0,41300000.0,9300000.0,,11000000.0,,,1200000.0,,,100000.0,48300000.0,,,,,,20200000.0,,,-20200000.0,,500000.0,-30700000.0,5000000.0,
2012-06-30,,,,,309400000.0,796800000.0,261700000.0,,237800000.0,85300000.0,147900000.0,1.23,1.21,120300000.0,122800000.0,183100000.0,,293900000.0,,,,9800000.0,517000000.0,,288700000.0,1961300000.0,,152600000.0,3521100000.0,30200000.0,64100000.0,54300000.0,293800000.0,,228700000.0,,51000000.0,1693200000.0,2983600000.0,-390900000.0,1805300000.0,3521100000.0,82400000.0,15000000.0,,9800000.0,,,-900000.0,,,-900000.0,200400000.0,,,,,,34500000.0,,,-35600000.0,,500000.0,-108900000.0,55400000.0,
