Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,65028100000.0,,,,9659100000.0,,,,7403000000.0,2657100000.0,4745900000.0,9.96,9.88,,,4816100000.0,15696900000.0,,,523800000.0,,1268600000.0,28070700000.0,230400000.0,1099600000.0,13264600000.0,8259300000.0,393000000.0,52125400000.0,,1775200000.0,,14673700000.0,,2470400000.0,,1115100000.0,27262100000.0,9598500000.0,68100000.0,24863300000.0,52125400000.0,,153600000.0,61300000.0,484200000.0,,,119300000.0,,,-248800000.0,3038900000.0,7186800000.0,1551700000.0,4096600000.0,49000000.0,66300000.0,378400000.0,,32000000.0,3002800000.0,,9600000.0,-3402800000.0,2632200000.0,
2010-03-31,15098500000.0,,,,2200600000.0,,,,1335300000.0,458500000.0,876800000.0,1.99,1.96,,,3526200000.0,15601100000.0,,,481600000.0,,1323800000.0,27116500000.0,229600000.0,1144500000.0,13265700000.0,8177800000.0,412500000.0,51180900000.0,,1800200000.0,,14810500000.0,,2501000000.0,,1056000000.0,26661700000.0,9795600000.0,166800000.0,24519200000.0,51180900000.0,,14100000.0,40200000.0,279800000.0,,,74500000.0,,,-21200000.0,-322900000.0,1642100000.0,1213700000.0,960600000.0,28800000.0,300000.0,120200000.0,,4300000.0,191900000.0,,21600000.0,-1157700000.0,-1289900000.0,
2010-09-30,44153900000.0,,,,6472100000.0,,3384400000.0,,3601700000.0,1263400000.0,2338300000.0,5.59,5.52,418.5,423.4,2246200000.0,16733900000.0,,,416000000.0,,1297100000.0,26939400000.0,231900000.0,1206700000.0,13265400000.0,8056500000.0,455100000.0,51032400000.0,,1652600000.0,,14141500000.0,,2621600000.0,,1036600000.0,26670700000.0,10581800000.0,372400000.0,24361700000.0,51032400000.0,,96600000.0,111000000.0,22800000.0,,,89900000.0,,,-116600000.0,829700000.0,8212600000.0,2542900000.0,5611500000.0,67900000.0,200000.0,333600000.0,,50200000.0,-1168900000.0,,25100000.0,-2229500000.0,-2569900000.0,
2010-12-31,58801800000.0,,,,8839400000.0,,4077500000.0,,4353800000.0,1466700000.0,2887100000.0,7.03,6.94,410900000.0,415800000.0,1788800000.0,16069500000.0,,,-2126000000.0,,1534100000.0,26140800000.0,221800000.0,1155500000.0,13264900000.0,7996800000.0,488300000.0,50166900000.0,,1617300000.0,,14009500000.0,,2586900000.0,,963400000.0,26354300000.0,10721600000.0,224600000.0,23812600000.0,50166900000.0,,136000000.0,101800000.0,-109700000.0,,,320100000.0,,,-208400000.0,1416700000.0,10567200000.0,3321700000.0,7413000000.0,91400000.0,-300000.0,451400000.0,,75500000.0,-1271500000.0,,28100000.0,-3169300000.0,-3027300000.0,
2011-03-31,14894300000.0,,,,2076500000.0,,1350300000.0,,1427100000.0,500500000.0,926600000.0,2.48,2.44,374000000.0,379300000.0,2402000000.0,15761300000.0,,,457400000.0,,1639300000.0,26819400000.0,220200000.0,1186100000.0,13264500000.0,7940100000.0,542200000.0,50918000000.0,,1550000000.0,,14160300000.0,,2637300000.0,,958200000.0,26939900000.0,11199900000.0,251400000.0,23978100000.0,50918000000.0,,22600000.0,44700000.0,268200000.0,,,160300000.0,,,-67300000.0,1114900000.0,2965000000.0,790800000.0,2620400000.0,34200000.0,,101900000.0,,13400000.0,282100000.0,,22600000.0,-785800000.0,613200000.0,
2011-06-30,29995000000.0,,,,4087600000.0,,2297000000.0,,2434500000.0,806300000.0,1628200000.0,4.4,4.34,370100000.0,375400000.0,1699800000.0,16462700000.0,,,347300000.0,,1601500000.0,26756800000.0,223000000.0,1212900000.0,13263700000.0,7883400000.0,557300000.0,50877200000.0,,1640000000.0,,14107300000.0,,2639300000.0,,1019200000.0,26695900000.0,11418100000.0,343700000.0,24181300000.0,50877200000.0,,60900000.0,111300000.0,58600000.0,,,137600000.0,,,-186200000.0,1886700000.0,6351100000.0,1204800000.0,5055300000.0,61300000.0,,206600000.0,,23100000.0,-470200000.0,,36100000.0,-1509300000.0,-89000000.0,
2011-09-30,45393000000.0,,,,6207200000.0,,3269600000.0,,3479700000.0,1168300000.0,2311400000.0,6.33,6.24,365300000.0,370300000.0,2508400000.0,16479400000.0,,,456700000.0,,1600500000.0,27552300000.0,267100000.0,1316900000.0,13846900000.0,7994200000.0,539100000.0,52549900000.0,,1582400000.0,,15786300000.0,,2754700000.0,,965100000.0,28831800000.0,11572800000.0,132200000.0,23718100000.0,52549900000.0,,98100000.0,151300000.0,357200000.0,,,107100000.0,,,-5100000.0,3316500000.0,10017200000.0,1561300000.0,8309200000.0,139900000.0,602300000.0,334400000.0,,29700000.0,-1323200000.0,,38400000.0,-1275200000.0,719600000.0,
2011-12-31,60710700000.0,,,,8435600000.0,,3782100000.0,,3957900000.0,1311200000.0,2646700000.0,7.35,7.25,360200000.0,365100000.0,2201600000.0,15913100000.0,,,-2299200000.0,,1859000000.0,27097400000.0,246800000.0,1418100000.0,13858700000.0,7931700000.0,433600000.0,52018800000.0,,1654100000.0,,15825700000.0,,2724000000.0,,1029300000.0,28730600000.0,11490700000.0,114900000.0,23288200000.0,52018800000.0,,134800000.0,74300000.0,401800000.0,,,259200000.0,,,-13600000.0,3374400000.0,11914800000.0,1891300000.0,10733600000.0,207900000.0,600000000.0,519500000.0,,31100000.0,-942000000.0,,42200000.0,-2019200000.0,412800000.0,
2012-03-31,15415200000.0,,,,2165700000.0,,1212600000.0,,1309800000.0,453300000.0,856500000.0,2.56,2.53,335000000.0,339000000.0,2279100000.0,16196500000.0,,,353300000.0,,1920600000.0,27543600000.0,245300000.0,1454600000.0,13858600000.0,7878100000.0,445700000.0,52496500000.0,,1660100000.0,,15955100000.0,,2773200000.0,,1025000000.0,28968100000.0,11921100000.0,235000000.0,23528400000.0,52496500000.0,,32500000.0,59900000.0,302300000.0,,,74300000.0,,,-2900000.0,1223100000.0,3252400000.0,477600000.0,2894500000.0,34700000.0,1200000.0,123800000.0,,600000.0,20100000.0,,19300000.0,-1167000000.0,77500000.0,
2012-06-30,30822500000.0,,,,4247500000.0,,2204300000.0,,2358400000.0,858300000.0,1500100000.0,4.53,4.48,331300000.0,335100000.0,1953100000.0,17206100000.0,,,347500000.0,,1913600000.0,28470100000.0,247100000.0,1478400000.0,14534300000.0,8126200000.0,458600000.0,54535000000.0,,1958300000.0,,16177800000.0,,2868400000.0,,1013300000.0,30891200000.0,12224000000.0,212200000.0,23643800000.0,54535000000.0,,71500000.0,87600000.0,466900000.0,,,77300000.0,,,187500000.0,1744600000.0,7278900000.0,875700000.0,5725500000.0,95800000.0,905300000.0,226000000.0,,900000.0,-1967200000.0,,22700000.0,-25200000.0,-248500000.0,
