Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-09-30,2091700000.0,488100000.0,1603600000.0,,1301800000.0,1305600000.0,298000000.0,,281900000.0,92300000.0,191100000.0,0.97,0.95,196700000.0,200400000.0,693500000.0,,1155400000.0,905200000.0,,,,3198400000.0,,1043800000.0,896700000.0,245000000.0,239900000.0,5637500000.0,379200000.0,1200700000.0,,1686900000.0,,,163500000.0,444600000.0,,3755100000.0,-121100000.0,2121000000.0,5637500000.0,68800000.0,30600000.0,6100000.0,369200000.0,34600000.0,,12900000.0,,,65800000.0,-39100000.0,,,,,258500000.0,57700000.0,,,-316200000.0,,900000.0,-83400000.0,-427200000.0,
2010-12-31,4583700000.0,1029200000.0,3554500000.0,,2721000000.0,2738800000.0,815700000.0,,783500000.0,248000000.0,535000000.0,2.72,2.67,196700000.0,200900000.0,1043100000.0,,1172500000.0,866900000.0,,,,3514100000.0,,1066900000.0,900000000.0,241600000.0,245300000.0,5981800000.0,349300000.0,1258000000.0,,1751400000.0,,,166500000.0,453100000.0,,3950700000.0,-111900000.0,2387000000.0,5981800000.0,135300000.0,54400000.0,12900000.0,387900000.0,-200000.0,,27400000.0,,,129200000.0,508000000.0,,,,,256100000.0,144800000.0,,,-400900000.0,,17300000.0,-199400000.0,-77600000.0,
2011-03-31,6749400000.0,1511800000.0,5237600000.0,,4136900000.0,4212800000.0,1024800000.0,,976800000.0,316200000.0,659700000.0,3.35,3.28,197700000.0,202000000.0,1099000000.0,,1249600000.0,889300000.0,,,,3710500000.0,,1087200000.0,874400000.0,232200000.0,292200000.0,6196500000.0,373500000.0,1339500000.0,,1974500000.0,,,160600000.0,449800000.0,,4075400000.0,-49700000.0,2508300000.0,6196500000.0,212600000.0,74500000.0,-8100000.0,433900000.0,400000.0,,57700000.0,,,189500000.0,727600000.0,,,,,256100000.0,223900000.0,,,-479800000.0,,38100000.0,-288800000.0,-21700000.0,
2011-06-30,8810000000.0,1936900000.0,6873100000.0,85700000.0,5696700000.0,5783700000.0,1089400000.0,,1025500000.0,321700000.0,700800000.0,3.56,3.48,197000000.0,201200000.0,1253000000.0,,945600000.0,995600000.0,321800000.0,,,3686500000.0,,1143100000.0,877300000.0,227500000.0,339500000.0,6273900000.0,446700000.0,1296300000.0,,1943300000.0,,,130000000.0,473500000.0,,4116500000.0,17700000.0,2629400000.0,6273900000.0,294400000.0,94800000.0,-24500000.0,124700000.0,95100000.0,,52500000.0,,,152600000.0,1027000000.0,,,,,256100000.0,351000000.0,,,-606900000.0,,49700000.0,-313100000.0,132300000.0,
2011-09-30,2476700000.0,534300000.0,1942400000.0,,1507700000.0,1512400000.0,430000000.0,,414000000.0,135400000.0,,1.43,1.4,195300000.0,199600000.0,719500000.0,,1378500000.0,982200000.0,,,,3562100000.0,,1125100000.0,876700000.0,222100000.0,349400000.0,6135400000.0,424200000.0,1239700000.0,,1969600000.0,,,131600000.0,469400000.0,,4395100000.0,-66200000.0,2475300000.0,6135400000.0,69600000.0,45400000.0,-9600000.0,482100000.0,21400000.0,,9100000.0,,,-11900000.0,-36200000.0,,,,,7700000.0,80800000.0,,,-88500000.0,,11000000.0,-390900000.0,,
2011-12-31,5214200000.0,1085300000.0,4128900000.0,,3084400000.0,3101900000.0,1027000000.0,,1004900000.0,327900000.0,,1.74,1.7,388700000.0,397300000.0,999100000.0,,1383700000.0,898900000.0,,,,3753300000.0,,1151400000.0,879000000.0,211800000.0,346700000.0,6342200000.0,384800000.0,1286400000.0,,2022100000.0,,,139400000.0,468300000.0,,4584900000.0,-84200000.0,2625900000.0,6342200000.0,141000000.0,76600000.0,-13600000.0,494400000.0,-59200000.0,,12300000.0,,,26900000.0,610200000.0,,,,,7700000.0,181500000.0,,,-189200000.0,,34100000.0,-657700000.0,,
2012-03-31,7462400000.0,1554600000.0,5907800000.0,,4623400000.0,4669300000.0,1238500000.0,,1201900000.0,393600000.0,,2.07,2.03,388500000.0,397000000.0,1192800000.0,,1304800000.0,898700000.0,,,,3899900000.0,,1181800000.0,881900000.0,208600000.0,429300000.0,6601500000.0,406600000.0,1327200000.0,,2058200000.0,,,141200000.0,480700000.0,,4715300000.0,-48900000.0,2835900000.0,6601500000.0,215400000.0,101000000.0,-28700000.0,397000000.0,-66000000.0,,100800000.0,,,68200000.0,869700000.0,,,,,7600000.0,271900000.0,,,-279500000.0,,48200000.0,-640700000.0,,
2012-06-30,9713600000.0,1995800000.0,7717800000.0,96500000.0,6324800000.0,6406100000.0,1311700000.0,,1261100000.0,400600000.0,856900000.0,2.2,2.16,388700000.0,397000000.0,1347700000.0,,1060300000.0,983600000.0,350900000.0,,,3855100000.0,,1231800000.0,882600000.0,190100000.0,433400000.0,6593000000.0,493800000.0,1315800000.0,,2125800000.0,,,106300000.0,544300000.0,,4764900000.0,-212900000.0,2733200000.0,6593000000.0,295800000.0,124700000.0,-22100000.0,178400000.0,41200000.0,,63100000.0,,,60200000.0,1126700000.0,,,,,7600000.0,420700000.0,,,-428300000.0,,57800000.0,-585100000.0,,
2012-09-30,2549500000.0,539200000.0,2010300000.0,,1527900000.0,1528300000.0,482000000.0,,448900000.0,149300000.0,,0.77,0.76,387800000.0,395500000.0,1053700000.0,,1604700000.0,1067900000.0,,,,4213100000.0,,1268900000.0,885900000.0,187500000.0,452200000.0,7007600000.0,,1343100000.0,,1972400000.0,,,107200000.0,556800000.0,,5064400000.0,-144400000.0,3025200000.0,7007600000.0,77500000.0,54500000.0,-18800000.0,518100000.0,59200000.0,,26900000.0,,,34800000.0,-125200000.0,,,,,8700000.0,95500000.0,,,-104200000.0,,15600000.0,-70800000.0,,
2012-12-31,5482500000.0,1107200000.0,4375300000.0,,3226500000.0,3240200000.0,1135100000.0,,1109900000.0,360900000.0,,1.93,1.89,387600000.0,395100000.0,1323600000.0,,1531700000.0,994100000.0,,,,4341000000.0,,1301600000.0,889100000.0,184600000.0,453800000.0,7170100000.0,,1380100000.0,,2052200000.0,,,100000000.0,564700000.0,,5231600000.0,-133600000.0,3110200000.0,7170100000.0,156800000.0,88800000.0,-22300000.0,444900000.0,-11700000.0,,31500000.0,,,76700000.0,655100000.0,,,,,8700000.0,205400000.0,,,-216200000.0,,33400000.0,-472500000.0,,
