Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,5011000000.0,3108000000.0,,,1161000000.0,,,-93000000.0,584000000.0,150000000.0,425000000.0,0.56,0.56,,,1840000000.0,,3650000000.0,1956000000.0,,,617000000.0,8063000000.0,,3475000000.0,7647000000.0,,2304000000.0,21489000000.0,1991000000.0,2474000000.0,,5805000000.0,,,,2188000000.0,,14888000000.0,-466000000.0,8791000000.0,21489000000.0,196000000.0,,,57000000.0,-22000000.0,,-21000000.0,28000000.0,,,687000000.0,,,,,1301000000.0,89000000.0,,-38000000.0,-1352000000.0,,,956000000.0,280000000.0,
2010-03-31,10155000000.0,6252000000.0,,,2391000000.0,,,-185000000.0,1195000000.0,334000000.0,830000000.0,1.1,1.09,,,2159000000.0,,3654000000.0,2075000000.0,,,620000000.0,8508000000.0,,3367000000.0,7630000000.0,,2215000000.0,21720000000.0,2122000000.0,2556000000.0,,5999000000.0,,,,2135000000.0,,15040000000.0,-558000000.0,8855000000.0,21720000000.0,402000000.0,,,-6000000.0,-163000000.0,,-17000000.0,-160000000.0,,,1319000000.0,,,,,1340000000.0,178000000.0,,-31000000.0,-1487000000.0,,,792000000.0,599000000.0,
2010-06-30,15796000000.0,9682000000.0,,,3585000000.0,,,-255000000.0,2078000000.0,607000000.0,1415000000.0,1.88,1.86,751100000.0,757700000.0,3424000000.0,,3793000000.0,2114000000.0,,,627000000.0,9958000000.0,,3289000000.0,7596000000.0,,2115000000.0,22958000000.0,2228000000.0,2616000000.0,,7257000000.0,,458000000.0,,2026000000.0,,15373000000.0,-792000000.0,8925000000.0,22958000000.0,605000000.0,,,-228000000.0,-235000000.0,,-67000000.0,-307000000.0,,,2022000000.0,,,,,1372000000.0,300000000.0,,-17000000.0,-1655000000.0,,,1580000000.0,1864000000.0,
2010-09-30,21039000000.0,12713000000.0,8326000000.0,473000000.0,4817000000.0,,,-369000000.0,2879000000.0,848000000.0,2164000000.0,2.87,2.84,750700000.0,757000000.0,1592000000.0,,3989000000.0,2105000000.0,-260000000.0,,677000000.0,8363000000.0,,3287000000.0,8656000000.0,2150000000.0,387000000.0,22843000000.0,2409000000.0,2864000000.0,,5849000000.0,,762000000.0,,2456000000.0,,15869000000.0,-426000000.0,9792000000.0,22843000000.0,816000000.0,,,-341000000.0,-160000000.0,,-69000000.0,-498000000.0,,,3292000000.0,,,,,2843000000.0,524000000.0,,-4000000.0,-2517000000.0,,,-726000000.0,32000000.0,
2010-12-31,5535000000.0,3372000000.0,,,1311000000.0,,,-78000000.0,713000000.0,222000000.0,480000000.0,0.63,0.63,752200000.0,758100000.0,1493000000.0,,3956000000.0,2207000000.0,,,649000000.0,8305000000.0,,3255000000.0,8666000000.0,2096000000.0,381000000.0,22703000000.0,2243000000.0,2447000000.0,,5600000000.0,,776000000.0,,2428000000.0,,16088000000.0,-432000000.0,10170000000.0,22703000000.0,219000000.0,,,67000000.0,97000000.0,,82000000.0,-183000000.0,,,322000000.0,,,,,39000000.0,82000000.0,,16000000.0,-137000000.0,,,-281000000.0,-99000000.0,
2011-03-31,11389000000.0,6920000000.0,,,2626000000.0,,,-179000000.0,1807000000.0,488000000.0,1036000000.0,1.37,1.36,752200000.0,757700000.0,1593000000.0,,4231000000.0,2324000000.0,,,650000000.0,8798000000.0,,3303000000.0,8905000000.0,2146000000.0,383000000.0,23535000000.0,2463000000.0,2582000000.0,,5934000000.0,,774000000.0,,2443000000.0,,16383000000.0,-150000000.0,10645000000.0,23535000000.0,435000000.0,,,-118000000.0,-164000000.0,,,9000000.0,,,1075000000.0,,,,,186000000.0,208000000.0,,33000000.0,-427000000.0,,,-678000000.0,1000000.0,
2011-06-30,17677000000.0,10710000000.0,,,3989000000.0,,,-266000000.0,2904000000.0,782000000.0,1719000000.0,2.28,2.26,751000000.0,756200000.0,1781000000.0,,4443000000.0,2422000000.0,,,637000000.0,9283000000.0,,3382000000.0,8974000000.0,2074000000.0,391000000.0,24104000000.0,2633000000.0,2657000000.0,,6308000000.0,,784000000.0,,2444000000.0,,16807000000.0,-74000000.0,10844000000.0,24104000000.0,650000000.0,,,-294000000.0,-240000000.0,,,-125000000.0,,,1978000000.0,,,,,228000000.0,403000000.0,,42000000.0,-673000000.0,,,-1164000000.0,189000000.0,
2011-09-30,24222000000.0,14665000000.0,9557000000.0,555000000.0,5328000000.0,,,-375000000.0,4072000000.0,1127000000.0,2480000000.0,3.29,3.27,748500000.0,753500000.0,2052000000.0,,4502000000.0,2100000000.0,-268000000.0,,691000000.0,9345000000.0,,3437000000.0,8771000000.0,1969000000.0,339000000.0,23861000000.0,2677000000.0,2772000000.0,,6465000000.0,,764000000.0,,2521000000.0,,17310000000.0,-562000000.0,10399000000.0,23861000000.0,867000000.0,,,-475000000.0,12000000.0,,,-194000000.0,,,3233000000.0,,,,,232000000.0,647000000.0,,72000000.0,-848000000.0,,,-1887000000.0,460000000.0,
2011-12-31,5309000000.0,3254000000.0,,,1354000000.0,,,-90000000.0,691000000.0,172000000.0,371000000.0,0.5,0.5,734300000.0,738300000.0,2076000000.0,,4040000000.0,2317000000.0,,,642000000.0,9075000000.0,,3415000000.0,8723000000.0,1893000000.0,338000000.0,23444000000.0,2302000000.0,2484000000.0,,6534000000.0,,735000000.0,,2536000000.0,,17387000000.0,-629000000.0,10190000000.0,23444000000.0,204000000.0,,,426000000.0,-239000000.0,,,319000000.0,,,334000000.0,,,,,0.0,130000000.0,,10000000.0,-140000000.0,,,-170000000.0,24000000.0,
2012-03-31,11228000000.0,6837000000.0,,,2713000000.0,,,-195000000.0,1627000000.0,430000000.0,916000000.0,1.24,1.24,733500000.0,737500000.0,2153000000.0,,4319000000.0,2402000000.0,,,670000000.0,9544000000.0,,3449000000.0,8866000000.0,1936000000.0,339000000.0,24134000000.0,2419000000.0,2500000000.0,,6925000000.0,,735000000.0,,2536000000.0,,17638000000.0,-496000000.0,10511000000.0,24134000000.0,406000000.0,,,187000000.0,-296000000.0,,,231000000.0,,,896000000.0,,,,,170000000.0,287000000.0,,43000000.0,-497000000.0,,,-304000000.0,101000000.0,
