Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2012-03-31,42600000.0,33293000.0,9307000.0,7842000.0,,18587000.0,,-839000.0,-10119000.0,65000.0,-10184000.0,,,,,31903000.0,,13447000.0,25661000.0,,,,73319000.0,,22736000.0,,,7320000.0,103375000.0,24797000.0,10558000.0,16587000.0,58155000.0,4305000.0,,,52000.0,98827000.0,-98992000.0,111000.0,4548000.0,103375000.0,1085000.0,706000.0,,-4324000.0,14433000.0,,,,-6192000.0,,-14071000.0,,,,,,4605000.0,,,-4605000.0,,,-973000.0,-19621000.0,
2012-06-30,98297000.0,75389000.0,22908000.0,16497000.0,,39693000.0,,-4568000.0,-21353000.0,216000.0,-21569000.0,,,,,66969000.0,,9961000.0,30966000.0,,,,110477000.0,,24652000.0,,,1360000.0,136489000.0,25551000.0,12512000.0,615000.0,45166000.0,5067000.0,,,142000.0,66406000.0,-110377000.0,100000.0,70083000.0,136489000.0,2451000.0,1708000.0,,-7810000.0,19738000.0,,,,-21402000.0,,-31845000.0,,,,,,8013000.0,,,-8013000.0,,,55286000.0,15445000.0,
2012-09-30,159110000.0,119878000.0,39232000.0,27068000.0,,64214000.0,,-5148000.0,-30130000.0,346000.0,-30476000.0,,,,,41717000.0,,32734000.0,16650000.0,,,,98131000.0,,24926000.0,,,1042000.0,124099000.0,15197000.0,15331000.0,769000.0,38141000.0,6151000.0,,,272000.0,61571000.0,-119284000.0,-2000.0,62528000.0,124099000.0,3938000.0,3159000.0,,15023000.0,5422000.0,,,,-20164000.0,,-52274000.0,,,,,,11054000.0,,,-11054000.0,,,53606000.0,-9807000.0,
2012-12-31,216678000.0,161390000.0,55288000.0,35601000.0,,86449000.0,,-6406000.0,-37567000.0,651000.0,-38218000.0,,,,,45294000.0,,27743000.0,19843000.0,0.0,,,94998000.0,,25541000.0,,,1752000.0,122291000.0,11272000.0,19266000.0,933000.0,33855000.0,7537000.0,,,307000.0,65636000.0,-127026000.0,52000.0,56655000.0,122291000.0,5568000.0,4766000.0,,11040000.0,8615000.0,,,,-18614000.0,,-44645000.0,,,,,,12990000.0,,,-12990000.0,,,51436000.0,-6230000.0,
2013-03-31,45577000.0,33376000.0,12201000.0,9026000.0,,21912000.0,,-513000.0,-10224000.0,182000.0,-10406000.0,,,,,36434000.0,,24908000.0,22309000.0,,,,86143000.0,,25281000.0,,,1641000.0,113065000.0,9057000.0,18521000.0,1068000.0,31086000.0,8378000.0,,,352000.0,64956000.0,-137432000.0,-126000.0,48109000.0,113065000.0,1660000.0,1435000.0,,-2835000.0,2466000.0,,,,976000.0,,-6972000.0,,,,,,1682000.0,,,-1682000.0,,,-28000.0,-8860000.0,
2013-06-30,103744000.0,75259000.0,28485000.0,17510000.0,,43687000.0,,-1294000.0,-16496000.0,306000.0,-16802000.0,,,,,33976000.0,,32104000.0,17906000.0,,,,86694000.0,,25141000.0,,,1513000.0,113348000.0,10012000.0,19348000.0,1258000.0,33983000.0,9303000.0,,,394000.0,69001000.0,-143828000.0,93000.0,44347000.0,113348000.0,3369000.0,2910000.0,,4389000.0,-1937000.0,,,,2091000.0,,-7962000.0,,,,,,3467000.0,,,-3467000.0,,,298000.0,-11318000.0,
2013-09-30,165790000.0,119870000.0,45920000.0,25803000.0,,66467000.0,,-2109000.0,-22656000.0,447000.0,-23103000.0,,,,,31778000.0,,34744000.0,24392000.0,,,,94067000.0,,24823000.0,,,1420000.0,120310000.0,15103000.0,20909000.0,2980000.0,42424000.0,10325000.0,,,435000.0,79977000.0,-150129000.0,197000.0,40333000.0,120310000.0,5122000.0,4955000.0,,7666000.0,4549000.0,,,,4835000.0,,-8451000.0,,,,,,4886000.0,,,-4886000.0,,,-183000.0,-13516000.0,
2013-12-31,232846000.0,165430000.0,67416000.0,34524000.0,,89574000.0,,-2892000.0,-25050000.0,863000.0,-25913000.0,,,,,38190000.0,,32084000.0,16580000.0,2000.0,,,90509000.0,,24853000.0,,,1307000.0,116669000.0,7363000.0,19722000.0,2773000.0,33365000.0,11284000.0,,,1154000.0,76463000.0,-152939000.0,229000.0,40206000.0,116669000.0,6981000.0,6849000.0,,5019000.0,-3263000.0,,,,5587000.0,,-872000.0,,,,,,6257000.0,,,-6257000.0,,,-58000.0,-7104000.0,
2014-03-31,57580000.0,38925000.0,18655000.0,9086000.0,,24440000.0,,-342000.0,-6127000.0,109000.0,-6236000.0,,,,,39935000.0,,28450000.0,14113000.0,,,,86781000.0,,24809000.0,,,1570000.0,113160000.0,9353000.0,13578000.0,1900000.0,34095000.0,12064000.0,,,1272000.0,76722000.0,-159175000.0,230000.0,36438000.0,113160000.0,1910000.0,2013000.0,,-3608000.0,-2467000.0,,,,-93000.0,,4281000.0,,,,,,2172000.0,,,-2172000.0,,,-412000.0,1745000.0,
2014-06-30,139584000.0,94097000.0,45487000.0,20234000.0,,53760000.0,,-770000.0,-9043000.0,224000.0,-9267000.0,,,,,37621000.0,,46537000.0,15724000.0,,,,105470000.0,,25127000.0,,,1486000.0,132083000.0,19509000.0,18983000.0,2182000.0,51956000.0,13398000.0,,,1357000.0,94929000.0,-162206000.0,236000.0,37154000.0,132083000.0,3902000.0,4507000.0,,15164000.0,-856000.0,,,,1523000.0,,4134000.0,,,,,,4333000.0,,,-4333000.0,,,-476000.0,-569000.0,
