Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2012-03-31,94383000.0,60175000.0,,,17627000.0,,13784000.0,,14340000.0,2241000.0,12099000.0,,,,,112736000.0,,54235000.0,,4016000.0,,,223105000.0,,37200000.0,8459000.0,1111000.0,540000.0,274610000.0,4060000.0,13301000.0,5479000.0,47109000.0,,283000.0,1211000.0,,48603000.0,,-1902000.0,226007000.0,274610000.0,,1550000.0,-23000.0,-6368000.0,,,,1394000.0,-1625000.0,,-4745000.0,,,,,,3324000.0,,,-3719000.0,,160000.0,31309000.0,23940000.0,
2012-06-30,198183000.0,123978000.0,,,38338000.0,,30614000.0,,30236000.0,4816000.0,25420000.0,,,,,104930000.0,,68186000.0,,4000000.0,,,224772000.0,,40219000.0,12436000.0,6227000.0,553000.0,287994000.0,4345000.0,10296000.0,4607000.0,43901000.0,,269000.0,1218000.0,,45388000.0,,-4366000.0,242606000.0,287994000.0,,3323000.0,39000.0,6803000.0,,,,349000.0,-2482000.0,,1629000.0,,,,,6990000.0,6410000.0,,,-16538000.0,,301000.0,31097000.0,16134000.0,
2012-09-30,308261000.0,193077000.0,,,59491000.0,,47350000.0,,46823000.0,7338000.0,39485000.0,,,,,105885000.0,,67867000.0,,3815000.0,,,237672000.0,,52948000.0,11305000.0,6014000.0,578000.0,312720000.0,2558000.0,13485000.0,3847000.0,46072000.0,,269000.0,1228000.0,,47569000.0,,-1662000.0,265151000.0,312720000.0,,5369000.0,-374000.0,6083000.0,,,,-2098000.0,-3387000.0,,12740000.0,,,,,6990000.0,10317000.0,,,-31363000.0,,1635000.0,34667000.0,17089000.0,
2012-12-31,433799000.0,270361000.0,,,85868000.0,,66006000.0,,65863000.0,11379000.0,54484000.0,,,,,118112000.0,,78906000.0,,9504000.0,,236000.0,250955000.0,,53135000.0,22698000.0,16834000.0,632000.0,350814000.0,6095000.0,19814000.0,6369000.0,59352000.0,1263000.0,2691000.0,1228000.0,,64534000.0,,-1021000.0,286280000.0,350814000.0,,6826000.0,-3933000.0,12664000.0,,,,1407000.0,-767000.0,,48499000.0,,,,,32951000.0,13376000.0,,,-59627000.0,,3297000.0,38847000.0,29316000.0,
2013-03-31,124198000.0,77937000.0,,,27083000.0,,15536000.0,,15667000.0,2987000.0,12680000.0,0.28,0.27,44812000.0,47646000.0,102806000.0,,75665000.0,,6822000.0,,,255397000.0,,53265000.0,22575000.0,16030000.0,731000.0,356746000.0,9728000.0,7636000.0,4920000.0,48367000.0,621000.0,3071000.0,1228000.0,,53287000.0,,-3364000.0,303459000.0,356746000.0,,2576000.0,268000.0,-1664000.0,,,,3009000.0,-1923000.0,,-11738000.0,,,,,,2887000.0,,2834000.0,-6474000.0,,1529000.0,4039000.0,-15306000.0,
2013-06-30,257382000.0,161484000.0,,,55624000.0,,33071000.0,,33102000.0,6304000.0,26798000.0,0.59,0.56,45486.0,47977.0,107475000.0,,82817000.0,,5876000.0,,,273469000.0,,55400000.0,22304000.0,15115000.0,938000.0,374517000.0,8376000.0,7017000.0,4041000.0,47340000.0,312000.0,404000.0,1228000.0,,49284000.0,,-4409000.0,325233000.0,374517000.0,,6426000.0,530000.0,6563000.0,,,,2630000.0,-3059000.0,,-3780000.0,,,,,20000.0,8998000.0,,5172000.0,-13986000.0,,3250000.0,8603000.0,-10637000.0,
2013-09-30,397532000.0,250023000.0,,,83517000.0,,53301000.0,,53458000.0,10223000.0,43235000.0,0.95,0.9,46162000.0,48720000.0,122979000.0,,87611000.0,,5350000.0,,,305196000.0,,54062000.0,22411000.0,14539000.0,969000.0,405464000.0,8195000.0,8866000.0,2583000.0,52115000.0,155000.0,354000.0,1228000.0,,53852000.0,,-1434000.0,351612000.0,405464000.0,,9791000.0,735000.0,11089000.0,,,,2475000.0,-3811000.0,,11795000.0,,,,,20000.0,10928000.0,,7045000.0,-18875000.0,,4924000.0,12707000.0,4867000.0,
2013-12-31,555117000.0,347650000.0,,,116497000.0,,76493000.0,,76770000.0,14776000.0,61994000.0,1.35,1.28,45754.0,48358.0,169207000.0,,95431000.0,,9323000.0,,471000.0,330968000.0,,53315000.0,22268000.0,13734000.0,3409000.0,432877000.0,2835000.0,20175000.0,4543000.0,54664000.0,533000.0,351000.0,1228000.0,,56776000.0,,-1832000.0,376101000.0,432877000.0,,13150000.0,41000.0,17302000.0,,,,-2900000.0,-2325000.0,,58225000.0,,,,,20000.0,13360000.0,,7982000.0,-21820000.0,,6201000.0,15501000.0,51095000.0,
2014-03-31,160384000.0,102454000.0,,,32359000.0,,21857000.0,,21592000.0,4228000.0,17364000.0,0.37,0.35,46797000.0,49207000.0,174066000.0,,89932000.0,,5366000.0,,,352264000.0,,53072000.0,26392000.0,12957000.0,4797000.0,458637000.0,11812000.0,15314000.0,4539000.0,60455000.0,340000.0,334000.0,1228000.0,,62357000.0,,-5409000.0,396280000.0,458637000.0,3689000.0,3208000.0,97000.0,-4908000.0,,,,8563000.0,265000.0,,16188000.0,,,,,2419000.0,2157000.0,,294000.0,-11676000.0,,995000.0,3134000.0,4859000.0,
2014-06-30,335079000.0,212556000.0,,,71030000.0,,40333000.0,,39993000.0,7815000.0,32178000.0,0.69,0.65,47068000.0,49559000.0,175075000.0,,108179000.0,,4123000.0,,,374839000.0,,54523000.0,42547000.0,49381000.0,2862000.0,537964000.0,12500000.0,23280000.0,4244000.0,77643000.0,228000.0,326000.0,1228000.0,31892000.0,111317000.0,,-2515000.0,426647000.0,537964000.0,9140000.0,9099000.0,195000.0,7172000.0,,,,5899000.0,-255000.0,,33027000.0,,,,,26498000.0,4445000.0,,799000.0,-33211000.0,,2161000.0,7574000.0,5868000.0,
