Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,544743000.0,295632000.0,,,,456534000.0,88209000.0,,23044000.0,11119000.0,11925000.0,0.29,0.28,43507000.0,43507000.0,511342000.0,,106255000.0,,,,64527000.0,888235000.0,,2400809000.0,760087000.0,157340000.0,71240000.0,4282208000.0,,45531000.0,,299569000.0,,,,203017000.0,2532011000.0,-374055000.0,-164610000.0,1750197000.0,4282208000.0,,33070000.0,,31757000.0,,,-7957000.0,,,-19184000.0,156718000.0,,,,,113289000.0,292105000.0,,,-359012000.0,,,377563000.0,165286000.0,
2010-09-30,875090000.0,481108000.0,,,,734855000.0,140235000.0,,38877000.0,15756000.0,23121000.0,0.54,0.52,45745000.0,46735000.0,389149000.0,,115616000.0,,,,64067000.0,891811000.0,,2582890000.0,778258000.0,155601000.0,69108000.0,4480891000.0,,49818000.0,,311025000.0,,,,214442000.0,2626918000.0,-362859000.0,-103321000.0,1853973000.0,4480891000.0,,50020000.0,,38486000.0,,,-12717000.0,,,-13510000.0,269981000.0,,,,,,436046000.0,,,-618507000.0,,,395675000.0,43093000.0,
2010-12-31,1220334000.0,674667000.0,,,,1025623000.0,194711000.0,,49880000.0,12999000.0,36881000.0,0.84,0.82,43742000.0,44810000.0,442841000.0,,116358000.0,,38696000.0,,32961000.0,778048000.0,,2650953000.0,774365000.0,150945000.0,73937000.0,4448009000.0,,52628000.0,,318115000.0,,103717000.0,,125043000.0,2567494000.0,-349099000.0,-112018000.0,1880515000.0,4448009000.0,,67489000.0,,39886000.0,,,11865000.0,,,-4244000.0,392872000.0,,,,,,14861000.0,,,-600969000.0,,,309686000.0,96785000.0,
2011-03-31,363029000.0,194576000.0,,,,291724000.0,71305000.0,,36270000.0,11125000.0,25145000.0,0.54,0.53,46451000.0,47219000.0,304466000.0,,114207000.0,,,,126277000.0,694990000.0,,2881126000.0,789876000.0,148874000.0,135502000.0,4652513000.0,,55574000.0,,343274000.0,,,,225987000.0,2665116000.0,-323954000.0,-61356000.0,1987397000.0,4652513000.0,,15535000.0,,-3099000.0,,,4279000.0,,,3008000.0,117770000.0,,,,,,14951000.0,,-5000.0,-286389000.0,,,26126000.0,-138375000.0,
2011-06-30,757929000.0,410148000.0,,,,611758000.0,146171000.0,,75112000.0,19234000.0,55875000.0,1.2,1.18,46924000.0,50664000.0,297872000.0,,140316000.0,,22093000.0,,116654000.0,649088000.0,,3085202000.0,897461000.0,163771000.0,142709000.0,4969191000.0,21202000.0,59006000.0,34229000.0,620451000.0,,95671000.0,,238684000.0,2835942000.0,-293224000.0,-41679000.0,2064199000.0,4969191000.0,163557000.0,33853000.0,,16310000.0,,,2693000.0,,,10118000.0,258118000.0,,,,,,,,-5000.0,-496126000.0,,,87964000.0,-144969000.0,
2011-09-30,1175530000.0,638301000.0,,,,951243000.0,224287000.0,,101099000.0,24582000.0,76194000.0,1.4,1.37,47202000.0,47943000.0,370523000.0,,144185000.0,,20274000.0,,115344000.0,1330298000.0,,3122094000.0,867280000.0,153505000.0,158091000.0,5730687000.0,21521000.0,55687000.0,34913000.0,656156000.0,,93678000.0,16020000.0,253300000.0,3639808000.0,-272905000.0,-120416000.0,2024507000.0,5730687000.0,254303000.0,53060000.0,,26299000.0,,,7217000.0,,,24099000.0,399988000.0,,,,,,,,-10000.0,-1304819000.0,,,832111000.0,-72318000.0,
2011-12-31,1606842000.0,867641000.0,,,,1299679000.0,307163000.0,,130961000.0,38351000.0,94004000.0,1.76,1.72,46956000.0,47898000.0,278823000.0,,139057000.0,,-58666000.0,,182156000.0,1235757000.0,,3225912000.0,866495000.0,148635000.0,146724000.0,5785324000.0,23268000.0,57690000.0,2918000.0,725254000.0,5472000.0,117995000.0,22226000.0,286424000.0,3765511000.0,-255095000.0,-143698000.0,1952212000.0,5785324000.0,347674000.0,71532000.0,10616000.0,23061000.0,,,30492000.0,,,36612000.0,587609000.0,,,,,,,,-10000.0,-1499444000.0,,,748728000.0,-164018000.0,
2012-03-31,452200000.0,225079000.0,,,,351102000.0,101098000.0,,48817000.0,14006000.0,34523000.0,0.74,0.71,46955000.0,51061000.0,632944000.0,,158561000.0,,37370000.0,,98608000.0,1174023000.0,,3387369000.0,879914000.0,145350000.0,131252000.0,5884345000.0,26423000.0,61521000.0,5656000.0,718083000.0,4123000.0,118911000.0,22845000.0,291060000.0,3754795000.0,-220572000.0,-110367000.0,2060479000.0,5884345000.0,92804000.0,19103000.0,,19677000.0,,,-17567000.0,,,3040000.0,125993000.0,,,,,,145490000.0,,,269433000.0,,,-43950000.0,354121000.0,
2012-06-30,918464000.0,458271000.0,,,,714700000.0,203764000.0,,103815000.0,31364000.0,70970000.0,1.49,1.44,48016000.0,52351000.0,654096000.0,,169812000.0,,28026000.0,,70219000.0,1009592000.0,,3525839000.0,863187000.0,138199000.0,134411000.0,5724688000.0,27517000.0,60698000.0,5111000.0,491159000.0,4091000.0,117459000.0,18853000.0,282350000.0,3581213000.0,-184125000.0,-155777000.0,2067621000.0,5724688000.0,188496000.0,39652000.0,,34541000.0,,,-31747000.0,,,1943000.0,320775000.0,,,,,,341974000.0,,,363313000.0,,,-308666000.0,375273000.0,
2012-09-30,1389224000.0,693874000.0,,,,1090513000.0,298711000.0,,144912000.0,44489000.0,99808000.0,2.09,2.03,48361000.0,52655000.0,239687000.0,,181973000.0,,25150000.0,,69748000.0,725186000.0,,3791063000.0,1043284000.0,200648000.0,115427000.0,5990970000.0,26387000.0,69488000.0,9063000.0,612459000.0,4141000.0,6643000.0,19963000.0,174327000.0,3679130000.0,-155287000.0,-113642000.0,2233649000.0,5990970000.0,286003000.0,62234000.0,,46900000.0,,,-31020000.0,,,-19007000.0,422927000.0,,,,,,554092000.0,,,-233546000.0,,53174000.0,-234969000.0,-39136000.0,
