Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-09-30,3489000000.0,,,,,,,,,176000000.0,150000000.0,,,,,312000000.0,,,,11000000.0,,,,,,,,,14158000000.0,,,,,,,,,7932000000.0,,,,14158000000.0,,,,,,,,,,,465000000.0,1415000000.0,794000000.0,486000000.0,,,,,,-301000000.0,,,-86000000.0,78000000.0,105000000.0
2010-12-31,4890000000.0,,,,,,,,,339000000.0,162000000.0,,,,,430000000.0,,,,0.0,,,,,,,,,14344000000.0,,,,,,,,,8010000000.0,,,,14344000000.0,,,,,,,,,,,721000000.0,1760000000.0,1009000000.0,562000000.0,,,,,,-405000000.0,,,-120000000.0,196000000.0,69000000.0
2011-03-31,1365000000.0,,,,,,,,,138000000.0,44000000.0,,,,,211000000.0,,,,,,,,,,,,,14553000000.0,,,,,,,,,8002000000.0,,,,14553000000.0,,,,,,,,,,,92000000.0,752000000.0,247000000.0,277000000.0,,,,,,-254000000.0,,,-57000000.0,-219000000.0,21000000.0
2011-09-30,3406000000.0,,,,,,,,-305000000.0,-125000000.0,143000000.0,,,,,76000000.0,,,,,,,,,,,,,14263000000.0,,,,,,,,,8165000000.0,,,845000000.0,14263000000.0,,,,,,,,,,,225000000.0,1482000000.0,722000000.0,525000000.0,,,,,,-395000000.0,,,-184000000.0,,38000000.0
2011-12-31,4824000000.0,,,,,,,,358000000.0,90000000.0,169000000.0,,,,,185000000.0,,,,-128000000.0,,,,,,,,,14348000000.0,,,,,,,,,8055000000.0,,,781000000.0,14348000000.0,,,-105000000.0,-91000000.0,,,,,,,360000000.0,1801000000.0,950000000.0,631000000.0,,,,,,-375000000.0,,,-230000000.0,,67000000.0
2012-03-31,1520000000.0,,,,,,,,534000000.0,180000000.0,36000000.0,,,,,199000000.0,,,,261000000.0,,,,,,,,,14832000000.0,,,,,,,,,8156000000.0,,,776000000.0,14832000000.0,,,,,,,,,,,72000000.0,418000000.0,217000000.0,163000000.0,,,,,,-22000000.0,,,-36000000.0,,52000000.0
2012-06-30,2680000000.0,,,,,,,,464000000.0,148000000.0,79000000.0,,,,,240000000.0,,,,214000000.0,,,,,,,,,15042000000.0,,,,,,,,,8445000000.0,,,766000000.0,15042000000.0,,,,,,,,,,,191000000.0,983000000.0,567000000.0,338000000.0,,,,,,-57000000.0,,,-79000000.0,,227000000.0
2012-09-30,4140000000.0,,,,,,,,734000000.0,234000000.0,130000000.0,,,,,404000000.0,,,,16000000.0,,,,,,,,,15544000000.0,,,,,,,,,8701000000.0,,,782000000.0,15544000000.0,,,,,,,,,,,365000000.0,1466000000.0,877000000.0,535000000.0,,,,,,-34000000.0,,,-112000000.0,,246000000.0
2012-12-31,5512000000.0,,,,,,,,899000000.0,280000000.0,160000000.0,,,,,400000000.0,,,,37000000.0,,,,,,,,,15441000000.0,,,,,,,,,8650000000.0,,,642000000.0,15441000000.0,,,118000000.0,166000000.0,,,,,,,577000000.0,2112000000.0,1169000000.0,881000000.0,,,,,,-85000000.0,,,-277000000.0,,227000000.0
2013-03-31,1571000000.0,,,,,,,,436000000.0,146000000.0,37000000.0,,,,,388000000.0,,,,39000000.0,,,,,,,,,15791000000.0,,,,,,,,,8774000000.0,,,636000000.0,15791000000.0,,,,,,,,,,,127000000.0,551000000.0,265000000.0,122000000.0,,,,,,-133000000.0,,,-6000000.0,,3000000.0
2013-06-30,2997000000.0,,,,,,,,699000000.0,232000000.0,81000000.0,,,,,365000000.0,,,,43000000.0,,,,,,,,,15879000000.0,,,,,,,,,8911000000.0,,,647000000.0,15879000000.0,,,,,,,,,,,330000000.0,1240000000.0,617000000.0,330000000.0,,,,,,-335000000.0,,,-30000000.0,,149000000.0
2013-09-30,4574000000.0,,,,,,,,1097000000.0,363000000.0,127000000.0,,,,,535000000.0,,,,42000000.0,,,,,,,,,16384000000.0,,,,,,,,,9185000000.0,,,657000000.0,16384000000.0,,,,,,,,,,,689000000.0,2157000000.0,881000000.0,716000000.0,,,,,,-498000000.0,,,-56000000.0,,208000000.0
2013-12-31,6271000000.0,,,,,,,,1567000000.0,519000000.0,163000000.0,,,,,452000000.0,,,,2000000.0,,,,,,,,,16676000000.0,,,,,,,,,9126000000.0,,,734000000.0,16676000000.0,,,198000000.0,112000000.0,,,,,,,903000000.0,2879000000.0,1135000000.0,849000000.0,,,,,,-759000000.0,,,-92000000.0,,284000000.0
2014-03-31,1511000000.0,,,,,,,,156000000.0,47000000.0,46000000.0,,,,,379000000.0,,,,,,,,,,,,,16931000000.0,,,,,,,,,9241000000.0,,,742000000.0,16931000000.0,,,,,,,,,,,54000000.0,501000000.0,244000000.0,159000000.0,,,,,,-95000000.0,,,-32000000.0,,14000000.0
2014-06-30,3109000000.0,,,,,,,,303000000.0,91000000.0,95000000.0,,,,,300000000.0,,,,1000000.0,,,,,,,,,17460000000.0,,,,,,,,,9639000000.0,,,755000000.0,17460000000.0,,,,,,,,,,,245000000.0,1090000000.0,413000000.0,371000000.0,,,,,,-332000000.0,,,-65000000.0,,98000000.0
2014-09-30,4535000000.0,,,,,,,,453000000.0,133000000.0,142000000.0,,,,,379000000.0,,,,2000000.0,,,,,,,,,17578000000.0,,,,,,,,,9742000000.0,,,771000000.0,17578000000.0,,,,,,,,,,,549000000.0,1825000000.0,685000000.0,490000000.0,,,,,,-533000000.0,,,-89000000.0,,126000000.0
2014-12-31,6124000000.0,,,,,,,,830000000.0,257000000.0,168000000.0,,,,,514000000.0,,,,37000000.0,,,,,,,,,17758000000.0,,,,,,,,,9775000000.0,,,703000000.0,17758000000.0,,,4000000.0,159000000.0,,,,,,,779000000.0,2298000000.0,854000000.0,645000000.0,,,,,,-596000000.0,,,-121000000.0,,190000000.0
2015-03-31,1605000000.0,,,,,,,,197000000.0,61000000.0,39000000.0,,,,,420000000.0,,,,40000000.0,,,,,,,,,17993000000.0,,,,,,,,,9856000000.0,,,710000000.0,17993000000.0,,,,,,,,,,,90000000.0,882000000.0,209000000.0,271000000.0,,,,,,-155000000.0,,,-29000000.0,,72000000.0
2015-06-30,3237000000.0,,,,,,,,492000000.0,159000000.0,95000000.0,,,,,421000000.0,,,,44000000.0,,,,,,,,,18069000000.0,,,,,,,,,9907000000.0,,,732000000.0,18069000000.0,,,,,,,,,,,311000000.0,1607000000.0,469000000.0,625000000.0,,,,,,-350000000.0,,,-54000000.0,,248000000.0
2015-09-30,4583000000.0,,,,,,,,532000000.0,166000000.0,145000000.0,,,,,618000000.0,,,,51000000.0,,,,,,,,,18115000000.0,,,,,,,,,9990000000.0,,,750000000.0,18115000000.0,,,,,,,,,,,663000000.0,2201000000.0,742000000.0,859000000.0,,,,,,-475000000.0,,,-84000000.0,,346000000.0
2015-12-31,1505508000.0,,,,,1272967000.0,232541000.0,,266249000.0,91571000.0,174678000.0,,,,,182889000.0,62067000.0,,,40686000.0,,,635146000.0,537874000.0,,,,20968000.0,1407296000.0,46526000.0,,,445699000.0,,,,1580000.0,637793000.0,1993976000.0,-96864000.0,769503000.0,1407296000.0,16461000.0,,-14584000.0,,,,,,,,217378000.0,228308000.0,,214991000.0,,,,,,622000.0,,,-126858000.0,,106347000.0
2016-03-31,374728000.0,,,,,307063000.0,67665000.0,,70224000.0,24329000.0,45895000.0,,,,,105282000.0,54285000.0,,,35250000.0,,,557969000.0,560928000.0,,,,19647000.0,1340624000.0,,,,371758000.0,,,,1500000.0,555757000.0,2005875000.0,-93399000.0,784867000.0,1340624000.0,,,,,,,,,,,-21762000.0,67557000.0,,,,,,,,-21849000.0,,,-33996000.0,,258000.0
2016-06-30,798612000.0,,,,,645188000.0,153424000.0,,163387000.0,56183000.0,107204000.0,,,,,124111000.0,46087000.0,,,35780000.0,,,597668000.0,607548000.0,,,,18892000.0,1414826000.0,,,,415502000.0,,,,140000.0,599632000.0,2033187000.0,-90373000.0,815194000.0,1414826000.0,,,,,,,,,,,50482000.0,161835000.0,,,,,,,,-41267000.0,,,-67993000.0,,42258000.0
2016-09-30,1217018000.0,,,,,981339000.0,235679000.0,,249968000.0,85388000.0,164580000.0,,,,,139813000.0,52108000.0,,,36161000.0,,,627750000.0,652267000.0,,,,19577000.0,1485015000.0,,,,453258000.0,,,,1763000.0,646086000.0,2056567000.0,-90018000.0,838929000.0,1485015000.0,,,,,,,,,,,155551000.0,269237000.0,,,,,,,,-96638000.0,,,-101989000.0,,69357000.0
2016-12-31,1596631000.0,,,,,1304267000.0,292364000.0,,320091000.0,109725000.0,210366000.0,,,,,189072000.0,56138000.0,,,53889000.0,,,665516000.0,657153000.0,,,,20096000.0,1548955000.0,,,,469600000.0,,,,1863000.0,732045000.0,2065911000.0,-121381000.0,816910000.0,1548955000.0,15100000.0,,-2000.0,,,,,,,,254336000.0,369811000.0,146285000.0,89498000.0,,,,,,-136944000.0,,,-111209000.0,,104607000.0
2017-03-31,399316000.0,,,,,332782000.0,66534000.0,,72954000.0,25078000.0,47876000.0,,,,,110418000.0,77412000.0,,,52495000.0,,,625718000.0,642457000.0,,,,21224000.0,1490036000.0,,,,404221000.0,,,,2972000.0,660178000.0,2077346000.0,-119860000.0,829858000.0,1490036000.0,,,,,,,,,,,-35122000.0,65521000.0,43460000.0,16633000.0,,,,,,-7081000.0,,,-36451000.0,,-234000.0
2017-06-30,847880000.0,,,,,698302000.0,149578000.0,,162189000.0,55786000.0,106403000.0,,,,,144709000.0,72057000.0,,,51811000.0,,,671085000.0,672625000.0,,,,22355000.0,1567225000.0,,,,431021000.0,,,,1004000.0,714011000.0,2099432000.0,-118768000.0,853214000.0,1567225000.0,,,,,,,,,,,39491000.0,184803000.0,100042000.0,57851000.0,,,,,,-35946000.0,,,-47908000.0,,47767000.0
2017-09-30,1290372000.0,,,,,1059958000.0,230414000.0,,251054000.0,86108000.0,164946000.0,,,,,184628000.0,65318000.0,,,47558000.0,,,720678000.0,683948000.0,,,,29424000.0,1631429000.0,,,,483401000.0,,,,1509000.0,756279000.0,2121535000.0,-118935000.0,875150000.0,1631429000.0,,,,,,,,,,,120334000.0,292702000.0,146434000.0,120418000.0,,,,,,-40415000.0,,,-84363000.0,,70504000.0
2017-12-31,1691774000.0,,,,,1403402000.0,288372000.0,,315695000.0,118696000.0,196999000.0,,,,,215721000.0,71190000.0,,,19390000.0,,,801882000.0,687523000.0,,,,28793000.0,1665859000.0,,,,509906000.0,,,,1476000.0,808515000.0,2140853000.0,-156059000.0,857344000.0,1665859000.0,14800000.0,,26912000.0,,,,,,,,197126000.0,391181000.0,194980000.0,144317000.0,,,,,,-74663000.0,,,-95814000.0,26649000.0,106250000.0
2018-03-31,572160000.0,,,,,494593000.0,77567000.0,,83221000.0,17463000.0,65758000.0,,,,,119627000.0,96574000.0,,,29055000.0,,,720746000.0,633230000.0,,,,45300000.0,1573476000.0,,,31951000.0,447649000.0,,,,1029000.0,733321000.0,2129100000.0,-161486000.0,840155000.0,1573476000.0,,,,,,,,,,,-40230000.0,77263000.0,28473000.0,57717000.0,,,,,,-16739000.0,,,-39125000.0,-96094000.0,276000.0
