Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2012-09-30,0.0,,,,,7690.0,,,-7757.0,0.0,,,,,,23273.0,,,,,,,,,,,,,4776348.0,,,,4784103.0,,,,,,-7757.0,,-7755.0,4776348.0,,,,,,,,,,,-7690.0,,,,,,,,,,,,30763.0,23273.0,
2012-12-31,16311000000.0,11448000000.0,,439000000.0,2894000000.0,,2216000000.0,,1251000000.0,31000000.0,1217000000.0,3.54,3.46,347800000.0,350900000.0,577000000.0,527000000.0,,2349000000.0,449000000.0,,,7844000000.0,,3877000000.0,14396000000.0,6779000000.0,1698000000.0,35848000000.0,1879000000.0,2018000000.0,,5431000000.0,,2024000000.0,,774000000.0,,5805000000.0,-1990000000.0,15086000000.0,35848000000.0,598000000.0,,-105000000.0,-108000000.0,-166000000.0,,,-220000000.0,,,1664000000.0,,,,,6936000000.0,593000000.0,,46000000.0,-6972000000.0,,21000000.0,5480000000.0,192000000.0,
2013-03-31,5310000000.0,3735000000.0,,152000000.0,958000000.0,,723000000.0,,400000000.0,20000000.0,,0.8,0.79,471900000.0,475100000.0,639000000.0,,,2394000000.0,459000000.0,,,8196000000.0,,3841000000.0,14275000000.0,6664000000.0,898000000.0,34977000000.0,1978000000.0,1954000000.0,,4903000000.0,,2007000000.0,,862000000.0,,,,15167000000.0,34977000000.0,245000000.0,,,,,,,,,,100000000.0,,,,,-8000000.0,122000000.0,,6000000.0,773000000.0,,16000000.0,-810000000.0,62000000.0,
2013-06-30,10912000000.0,7605000000.0,,313000000.0,1918000000.0,,1565000000.0,,934000000.0,57000000.0,,1.84,1.83,473400000.0,476300000.0,628000000.0,,,2405000000.0,448000000.0,,,8229000000.0,,3749000000.0,14049000000.0,7186000000.0,875000000.0,35257000000.0,2045000000.0,1878000000.0,,4981000000.0,,2301000000.0,,934000000.0,,,,15388000000.0,35257000000.0,490000000.0,,,,,,,,,,709000000.0,,,,,11000000.0,251000000.0,,41000000.0,606000000.0,,22000000.0,-1250000000.0,51000000.0,
2013-09-30,16519000000.0,11488000000.0,,479000000.0,2885000000.0,,2411000000.0,,1455000000.0,64000000.0,,2.92,2.9,474000000.0,477200000.0,642000000.0,,,2403000000.0,404000000.0,,,8766000000.0,,3757000000.0,14276000000.0,7231000000.0,954000000.0,35312000000.0,1976000000.0,1984000000.0,,5054000000.0,,1513000000.0,,1065000000.0,,,,16071000000.0,35312000000.0,740000000.0,,,,,,,,,,1413000000.0,,,,,11000000.0,372000000.0,,50000000.0,143000000.0,,24000000.0,-1485000000.0,65000000.0,
2013-12-31,0.0,15369000000.0,,644000000.0,3886000000.0,,3178000000.0,,1884000000.0,11000000.0,,3.93,3.9,473500000.0,476700000.0,915000000.0,794000000.0,,2382000000.0,577000000.0,,,8731000000.0,,3833000000.0,14495000000.0,7186000000.0,1006000000.0,35491000000.0,1960000000.0,1913000000.0,,4914000000.0,,1313000000.0,,1299000000.0,,6866000000.0,-1560000000.0,16791000000.0,35491000000.0,997000000.0,,-346000000.0,231000000.0,92000000.0,,,86000000.0,,,2285000000.0,,,,,9000000.0,614000000.0,,68000000.0,-202000000.0,,32000000.0,-1736000000.0,338000000.0,
2014-03-31,5492000000.0,3858000000.0,,162000000.0,962000000.0,,,,453000000.0,12000000.0,,0.92,0.92,475800000.0,478800000.0,784000000.0,,,2532000000.0,554000000.0,,,8683000000.0,,3806000000.0,14450000000.0,7078000000.0,988000000.0,35262000000.0,2076000000.0,2071000000.0,,4805000000.0,,1296000000.0,,1165000000.0,,,,17037000000.0,35262000000.0,249000000.0,,,,,,,,,,12000000.0,,,,,,110000000.0,,20000000.0,304000000.0,,20000000.0,-443000000.0,-131000000.0,
2014-06-30,11259000000.0,7883000000.0,,330000000.0,1946000000.0,,,,510000000.0,-115000000.0,,1.28,1.27,475900000.0,478700000.0,631000000.0,,,2534000000.0,552000000.0,,,8838000000.0,,3793000000.0,14377000000.0,6976000000.0,1032000000.0,35258000000.0,2044000000.0,2708000000.0,,5543000000.0,,1047000000.0,,1121000000.0,,,,16982000000.0,35258000000.0,499000000.0,,,,,,,,,,645000000.0,,,,,,236000000.0,,51000000.0,148000000.0,,20000000.0,-1078000000.0,-284000000.0,
2014-09-30,16987000000.0,11799000000.0,,493000000.0,2907000000.0,,,,1152000000.0,-66000000.0,,2.55,2.53,475500000.0,478200000.0,655000000.0,,,2498000000.0,581000000.0,,,8431000000.0,,3702000000.0,14088000000.0,6739000000.0,1038000000.0,34239000000.0,2038000000.0,2111000000.0,,4986000000.0,,1035000000.0,,1141000000.0,,,,16587000000.0,34239000000.0,743000000.0,,,,,,,,,,934000000.0,,,,,,378000000.0,,56000000.0,293000000.0,,20000000.0,-1480000000.0,-260000000.0,
2014-12-31,0.0,15646000000.0,,647000000.0,3810000000.0,,3312000000.0,,1761000000.0,-42000000.0,,3.78,3.76,474100000.0,476800000.0,781000000.0,245000000.0,,2428000000.0,593000000.0,,,8100000000.0,,3750000000.0,13893000000.0,6556000000.0,1002000000.0,33529000000.0,1940000000.0,1985000000.0,,5355000000.0,,901000000.0,,1085000000.0,,7078000000.0,-2899000000.0,15786000000.0,33529000000.0,983000000.0,,-396000000.0,205000000.0,152000000.0,,,49000000.0,,,1878000000.0,,,,,-2000000.0,632000000.0,,31000000.0,143000000.0,,20000000.0,-2130000000.0,-134000000.0,
