Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,705700000.0,199000000.0,506700000.0,95800000.0,274600000.0,,,4600000.0,131900000.0,26700000.0,,0.93,0.88,113400000.0,118900000.0,320300000.0,,,182300000.0,37800000.0,,35500000.0,918900000.0,,249800000.0,315200000.0,74300000.0,11800000.0,1641900000.0,,,,,,,,98900000.0,,1011200000.0,-53000000.0,,1641900000.0,27700000.0,13800000.0,-4200000.0,,27600000.0,,,,,,61000000.0,,,,,,23700000.0,1200000.0,,-23200000.0,,31500000.0,-20700000.0,-13800000.0,
2010-09-30,1054600000.0,294800000.0,759800000.0,148500000.0,407600000.0,,,7700000.0,198100000.0,44900000.0,,1.35,1.29,113600000.0,118900000.0,361000000.0,,,212200000.0,44200000.0,,26600000.0,992400000.0,,260300000.0,315200000.0,71700000.0,12100000.0,1725400000.0,,,,382200000.0,,,,109700000.0,,1059200000.0,-24200000.0,,1725400000.0,41100000.0,22400000.0,-6800000.0,,43500000.0,,,,,,157400000.0,,,,,,40100000.0,1200000.0,,-38400000.0,,42000000.0,-77300000.0,26900000.0,
2010-12-31,1447000000.0,408300000.0,1038700000.0,204400000.0,550000000.0,,,8100000.0,268200000.0,50200000.0,,1.92,1.83,113700000.0,119200000.0,396100000.0,,277300000.0,203600000.0,96400000.0,,43100000.0,1032600000.0,,269800000.0,315200000.0,,13000000.0,1767200000.0,47600000.0,226100000.0,,337800000.0,,,,121200000.0,,1124000000.0,-42100000.0,,1767200000.0,56500000.0,29300000.0,-5900000.0,,36800000.0,,,,,,251400000.0,,,300000.0,,,61800000.0,1200000.0,,-61500000.0,,55100000.0,-103900000.0,62000000.0,14700000.0
2011-03-31,404500000.0,116800000.0,287700000.0,59000000.0,150300000.0,,,6200000.0,84600000.0,20700000.0,,0.56,0.53,114900000.0,120500000.0,433800000.0,,,217700000.0,56000000.0,,45900000.0,1150300000.0,,274300000.0,349900000.0,76300000.0,12000000.0,1931100000.0,,,,445200000.0,,,,128100000.0,,1187900000.0,-15500000.0,,1931100000.0,14500000.0,7700000.0,,,5900000.0,,,,,,14900000.0,,,,,42600000.0,13900000.0,300000.0,,-52500000.0,,15200000.0,59500000.0,37700000.0,
2011-06-30,835700000.0,244600000.0,591100000.0,123900000.0,313500000.0,,,7400000.0,157400000.0,35400000.0,,1.06,1.01,114900000.0,120200000.0,468200000.0,,,229400000.0,57800000.0,,53300000.0,1216800000.0,,281000000.0,349900000.0,72900000.0,11900000.0,2002400000.0,,,,313300000.0,,,,129100000.0,,1246000000.0,-9500000.0,,2002400000.0,29300000.0,15500000.0,,,14800000.0,,,,,,74200000.0,,,,,42600000.0,31100000.0,2300000.0,-100000.0,-63800000.0,,36400000.0,40800000.0,72100000.0,
2011-09-30,1248400000.0,370200000.0,878200000.0,185600000.0,479000000.0,,,5100000.0,215000000.0,41400000.0,,1.51,1.45,114800000.0,119800000.0,451100000.0,,,247900000.0,25300000.0,,67800000.0,1181900000.0,,286400000.0,349800000.0,70200000.0,24600000.0,1982900000.0,,,,302000000.0,,,,151300000.0,,1297600000.0,-23200000.0,1354600000.0,1982900000.0,43200000.0,26000000.0,,,38300000.0,,,,,,171400000.0,,,3600000.0,,42600000.0,50600000.0,2300000.0,,-81400000.0,,47000000.0,-38200000.0,,
2011-12-31,1678600000.0,489800000.0,1188800000.0,246300000.0,642400000.0,,,4800000.0,283600000.0,46900000.0,,2.07,1.98,114600000.0,119400000.0,171200000.0,,283800000.0,261300000.0,54800000.0,,57100000.0,1168500000.0,,304300000.0,349800000.0,66900000.0,24600000.0,1980500000.0,85000000.0,234800000.0,,335200000.0,,,,157000000.0,,1360700000.0,-37500000.0,1337900000.0,1980500000.0,58000000.0,35000000.0,-10200000.0,,57000000.0,,,,,,314500000.0,,,3600000.0,643300000.0,42600000.0,82900000.0,7700000.0,,-412800000.0,,6000000.0,-135200000.0,,15400000.0
2012-03-31,459200000.0,127300000.0,331900000.0,68600000.0,177200000.0,,,-500000.0,85600000.0,20500000.0,,0.57,0.55,114000000.0,118000000.0,213300000.0,,,268300000.0,31600000.0,,90200000.0,1188000000.0,,308200000.0,349800000.0,65100000.0,25800000.0,2004200000.0,,,,,,,,169300000.0,,1425800000.0,-24600000.0,1390300000.0,2004200000.0,13800000.0,9200000.0,,,7900000.0,,,,,,-30700000.0,,,2100000.0,106100000.0,,18000000.0,,,68400000.0,,38200000.0,-3100000.0,,
2012-06-30,941200000.0,257100000.0,684100000.0,142600000.0,359600000.0,,,1000000.0,175500000.0,42600000.0,,1.16,1.12,114900000.0,118400000.0,304300000.0,,,265400000.0,36000000.0,,95500000.0,1278800000.0,,315800000.0,349800000.0,61700000.0,25800000.0,2075100000.0,,,,,,,,171100000.0,,1493600000.0,-51000000.0,1434600000.0,2075100000.0,27800000.0,20400000.0,,,11400000.0,,,,,,116100000.0,,,2100000.0,246600000.0,,39200000.0,7000000.0,-900000.0,25700000.0,,43000000.0,-8200000.0,,
2012-09-30,1389100000.0,368800000.0,1020300000.0,216400000.0,527400000.0,,,-1500000.0,268900000.0,66800000.0,,1.76,1.71,115700000.0,119000000.0,305800000.0,,,286000000.0,42400000.0,,69300000.0,1387700000.0,,328700000.0,349800000.0,59600000.0,26000000.0,2195800000.0,,,,,,,,185500000.0,,1562800000.0,-37100000.0,1536300000.0,2195800000.0,42200000.0,31300000.0,,,23900000.0,,,,,,247400000.0,,,2100000.0,526200000.0,,64900000.0,7000000.0,-900000.0,-106200000.0,,39000000.0,-8700000.0,,
