Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,,42897000.0,,,,92695000.0,43669000.0,,12303000.0,2259000.0,9748000.0,0.11,0.11,87367967.0,92304831.0,28354000.0,,,,,,,,,,,,,2179115000.0,,,,,,,,,1238346000.0,-261582000.0,-4689000.0,879037000.0,2179115000.0,24621000.0,2402000.0,,,,,65000.0,,,-1827000.0,46071000.0,,,,,,,,,-23681000.0,,,-125986000.0,-103596000.0,
2010-09-30,,64231000.0,,,,141113000.0,67230000.0,,21137000.0,3347000.0,17415000.0,0.2,0.2,87484731.0,92189852.0,21798000.0,,,,,,,,,,,,,2175150000.0,,,,,,,,,1241118000.0,-262666000.0,-8530000.0,876582000.0,2175150000.0,37140000.0,3457000.0,,,,,2162000.0,,,1498000.0,74730000.0,,,,,,,,,-34495000.0,,,-150387000.0,-110152000.0,
2010-12-31,,86165000.0,,,,190682000.0,90815000.0,,30783000.0,4162000.0,26331000.0,0.3,0.3,87324104.0,92050453.0,46750000.0,,,,,,,,,,,,,2248468000.0,,,,,,,,,1309397000.0,-262508000.0,-5787000.0,881401000.0,2248468000.0,50349000.0,4580000.0,,,,,324000.0,,,-1739000.0,104815000.0,,,,,,,,,-83706000.0,,,-106309000.0,-85200000.0,
2011-03-31,,23344000.0,,,,50451000.0,24030000.0,,8583000.0,254000.0,8301000.0,0.09,0.09,88045951.0,92812067.0,42555000.0,,,,,,,,,,,,,2253117000.0,,,,,,,,,1305974000.0,-266588000.0,-4678000.0,890803000.0,2253117000.0,13585000.0,1126000.0,,,,,-3110000.0,,,-1474000.0,30002000.0,,,,,,,,,-20657000.0,,,-13540000.0,-4195000.0,
2011-06-30,,46056000.0,,,,102639000.0,49882000.0,,19135000.0,665000.0,18910000.0,0.21,0.21,91439042.0,96010848.0,35187000.0,,,,,,,,,,,,,2310857000.0,,,,,,,,,1251913000.0,-269173000.0,-6436000.0,1004272000.0,2310857000.0,27677000.0,2711000.0,,,,,-4960000.0,,,-977000.0,65193000.0,,,,,,,,,-95635000.0,112532000.0,,18879000.0,-11563000.0,
2011-09-30,,70326000.0,,,,155521000.0,81097000.0,,34552000.0,603000.0,34171000.0,0.37,0.37,94314429.0,98867803.0,33895000.0,,,,,,,,,,,,,2374228000.0,,,,,,,,,1312159000.0,-267122000.0,-7819000.0,1007380000.0,2374228000.0,42041000.0,3895000.0,,,,,-1108000.0,,,-1469000.0,100657000.0,,,,,,,,,-169188000.0,112352000.0,,55676000.0,,
2011-12-31,,95481000.0,,,,214354000.0,115476000.0,,52291000.0,1155000.0,,0.55,0.54,92097008.0,96683508.0,26484000.0,,,,3603000.0,,,,,,,,,2516250000.0,,,,,,,,,1442489000.0,-264086000.0,-7936000.0,1018947000.0,2516250000.0,58014000.0,5757000.0,6048000.0,,,,-7533000.0,,,-1118000.0,144164000.0,,,,,,,,,-251919000.0,112349000.0,,87489000.0,,
2012-03-31,,26596000.0,,,,58217000.0,32770000.0,,15743000.0,950000.0,,0.21,0.21,94888078.0,99927352.0,37575000.0,,,,,,,,,,,,,2523136000.0,,,,,,,,,1443394000.0,-262874000.0,-8142000.0,1024506000.0,2523136000.0,16524000.0,957000.0,,,,,-2979000.0,,,-3003000.0,40790000.0,,,,,,,,,-16395000.0,,,-13304000.0,,
2012-06-30,,52608000.0,,,,115293000.0,70645000.0,,39424000.0,2584000.0,,0.43,0.43,102107535.0,106653965.0,185502000.0,,,,,,,,,,,,,2708343000.0,,,,,,,,,1397700000.0,-261288000.0,-11525000.0,1255560000.0,2708343000.0,33150000.0,2321000.0,,,,,-1161000.0,,,772000.0,92621000.0,,,,,,,,,-65915000.0,226698000.0,,132312000.0,,
2012-09-30,,82723000.0,,,,181600000.0,114129000.0,,66159000.0,4240000.0,,0.81,0.8,104252227.0,108755316.0,43608000.0,,,,,,,,,,,,,3012922000.0,,,,,,,,,1682770000.0,-243546000.0,-14956000.0,1274516000.0,3012922000.0,52918000.0,3318000.0,,,,,-4866000.0,,,-1726000.0,152961000.0,,,,,,,,,-375069000.0,226692000.0,,239232000.0,,
2012-12-31,,114028000.0,,,,252155000.0,157241000.0,,91613000.0,5413000.0,,1.15,1.14,102290200.0,106523015.0,30785000.0,,,,3505000.0,,,,,,,,,3223477000.0,,,,,,,,,1678146000.0,-235064000.0,-14273000.0,1491807000.0,3223477000.0,74453000.0,4356000.0,2089000.0,,,,-8746000.0,,,2002000.0,215879000.0,,,,,,,,,-606938000.0,429588000.0,,395360000.0,,
2013-03-31,,34437000.0,,,,72593000.0,46729000.0,,30760000.0,2008000.0,,0.28,0.28,110809924.0,114967087.0,35575000.0,,,,,,,,,,,,,3229096000.0,,,,,,,,,1675944000.0,-231369000.0,-12759000.0,1499550000.0,3229096000.0,23025000.0,1023000.0,,,,,-1051000.0,,,-316000.0,51116000.0,,,,,,,,,-23345000.0,,,-22981000.0,,
2013-06-30,,67899000.0,,,,145464000.0,100104000.0,,67805000.0,4866000.0,,0.59,0.59,111137437.0,115359245.0,206932000.0,,,,,,,,,,,,,3432616000.0,,,,,,,,,1842825000.0,-241391000.0,5108000.0,1530406000.0,3432616000.0,45810000.0,2585000.0,,,,,-1948000.0,,,3189000.0,126551000.0,,,,,,,,,-67066000.0,,,116662000.0,,
2013-09-30,,102275000.0,,,,222511000.0,156168000.0,,99033000.0,7147000.0,,0.86,0.84,111231452.0,117604515.0,81699000.0,,,,,,,,,,,,,3518239000.0,,,,,,,,,1849359000.0,-256640000.0,3146000.0,1514309000.0,3518239000.0,69238000.0,3654000.0,,,,,1303000.0,,,2474000.0,198584000.0,,,,,,,,,-100303000.0,,,-47367000.0,,
2013-12-31,,140012000.0,,,,307130000.0,213483000.0,,137855000.0,9984000.0,172076000.0,1.54,1.53,111349361.0,113105094.0,126723000.0,,,,,,,,,,,,,3977140000.0,,,,,,,,,2045245000.0,-226002000.0,10156000.0,1758470000.0,3977140000.0,95232000.0,4819000.0,4353000.0,,,,-8725000.0,,,-5858000.0,271259000.0,,,,,,,,,-366976000.0,205988000.0,,191655000.0,,
2014-03-31,,43482000.0,,,,91782000.0,60398000.0,,41620000.0,2830000.0,37340000.0,0.32,0.32,115438325.0,121062845.0,47015000.0,,,,,,,,,,,,,4123491000.0,,,,,,,,,2200307000.0,-235009000.0,7528000.0,1750274000.0,4123491000.0,28375000.0,1121000.0,,,,,-1448000.0,,,-874000.0,64572000.0,,,,,,,,,-256608000.0,,,112328000.0,,
2014-06-30,,85776000.0,,,,181361000.0,131059000.0,,85099000.0,6343000.0,79005000.0,0.68,0.68,115653489.0,121254222.0,53945000.0,,,,,,,,,,,,,4208890000.0,,,,,,,,,2278182000.0,-247871000.0,2073000.0,1736548000.0,4208890000.0,56646000.0,2799000.0,,,,,-3773000.0,,,2427000.0,167759000.0,,,,,,,,,-313442000.0,,,72905000.0,,
2014-09-30,,129070000.0,,,,271236000.0,208552000.0,,140131000.0,5337000.0,133233000.0,1.15,1.15,115726911.0,121617554.0,49216000.0,,,,,,,,,,,,,4225895000.0,,,,,,,,,2292297000.0,-248179000.0,3735000.0,1739328000.0,4225895000.0,85895000.0,3855000.0,,,,,-467000.0,,,-216000.0,256564000.0,,,,,,,,,-356941000.0,,,22870000.0,,
2014-12-31,,172416000.0,,,,368687000.0,278468000.0,,188903000.0,7570000.0,178355000.0,1.54,1.53,115713807.0,121435267.0,47663000.0,,,,-5367000.0,,,,,,,,,4402107000.0,,,,,,,,,2490124000.0,-257738000.0,-1484000.0,1737425000.0,4402107000.0,115076000.0,4984000.0,2352000.0,,,,1498000.0,,,6640000.0,337581000.0,,,,,,,,,-564948000.0,,,148307000.0,,
2015-03-31,,47244000.0,,,,97718000.0,75436000.0,,55377000.0,2248000.0,53742000.0,0.46,0.46,116117615.0,122595718.0,45304000.0,,,,,,,,,,,,,4464145000.0,,,,,,,,,2557090000.0,-258728000.0,-7800000.0,1732876000.0,4464145000.0,30428000.0,1142000.0,,,,,2637000.0,,,-5087000.0,87439000.0,,,,,,,,,-91511000.0,,,1713000.0,,
2015-06-30,,95453000.0,,,,201971000.0,157043000.0,,115517000.0,4433000.0,109081000.0,0.93,0.92,116861678.0,124475890.0,175893000.0,,,,,,,,,,,,,4833750000.0,,,,,,,,,2410472000.0,-272130000.0,-1819000.0,2144173000.0,4833750000.0,61980000.0,2795000.0,,,,,2961000.0,,,-3915000.0,183287000.0,,,,,,,,,-252789000.0,416643000.0,,197732000.0,,
2015-09-30,,144331000.0,,,,302164000.0,254347000.0,,193875000.0,7994000.0,180799000.0,1.52,1.51,122644837.0,130398111.0,1115532000.0,,,,,,,,,,,,,6002836000.0,,,,,,,,,3615496000.0,-273015000.0,-20812000.0,2109292000.0,6002836000.0,92691000.0,4385000.0,,,,,20022000.0,,,-1790000.0,286281000.0,,,,,,,,,-486434000.0,446909000.0,,1268022000.0,,
2015-12-31,,203965000.0,,,,487614000.0,294656000.0,,205476000.0,11148000.0,189474000.0,1.58,1.56,119816743.0,126918869.0,75799000.0,,,,,,,,,,,,,6071407000.0,,,,,,,,,3698803000.0,-337566000.0,-6352000.0,2089077000.0,6071407000.0,133457000.0,6055000.0,5498000.0,,,,1172000.0,,,11928000.0,367329000.0,,,,,,,,,-1625664000.0,446877000.0,,1286471000.0,,
2016-03-31,,61112000.0,,,,135775000.0,93628000.0,,62419000.0,2765000.0,82592000.0,0.66,0.66,124754174.0,131956094.0,49753000.0,,,,,,,,,,,,,6291419000.0,,,,,,,,,3866034000.0,-328801000.0,-35939000.0,2143062000.0,6291419000.0,42897000.0,1710000.0,,,,,5276000.0,,,-985000.0,95466000.0,,,,,,,,,-258668000.0,73574000.0,,137156000.0,,
2016-06-30,,123542000.0,,,,269746000.0,203930000.0,,152874000.0,6538000.0,165636000.0,1.33,1.32,124914467.0,132152519.0,41058000.0,,,,,,,,,,,,,6458998000.0,,,,,,,,,4015781000.0,-343444000.0,-53845000.0,2114707000.0,6458998000.0,86847000.0,4093000.0,,,,,1186000.0,,,-3442000.0,239670000.0,,,,,,,,,-405992000.0,73369000.0,,131581000.0,,
2016-09-30,,185883000.0,,,,404205000.0,326654000.0,,243432000.0,11004000.0,283724000.0,2.26,2.24,125752291.0,133763472.0,18692000.0,,,,,,,,,,,,,6742056000.0,,,,,,,,,4212684000.0,-323472000.0,-41094000.0,2198826000.0,6742056000.0,133402000.0,6008000.0,,,,,16059000.0,,,3173000.0,386159000.0,,,,,,,,,-704310000.0,123423000.0,,261044000.0,,
2016-12-31,,250005000.0,,,,542037000.0,449838000.0,,330842000.0,15847000.0,366127000.0,2.92,2.91,125087554.0,125948076.0,43858000.0,,,,,,,,,,,,,7091446000.0,,,,,,,,,4495280000.0,-339257000.0,16770000.0,2244892000.0,7091446000.0,182560000.0,8045000.0,-836000.0,,,,2981000.0,,,208000.0,539263000.0,,,,,,,,,-1032035000.0,123424000.0,,460831000.0,-31941000.0,
2017-03-31,,66645000.0,,,,138805000.0,124203000.0,,89279000.0,3124000.0,82282000.0,0.65,0.64,125605403.0,132618644.0,29311000.0,,,,,,,,,,,,,7034357000.0,,,,,,,,,4448542000.0,-355187000.0,22816000.0,2236116000.0,7034357000.0,49432000.0,1990000.0,,,,,-4336000.0,,,-6359000.0,113121000.0,,,,,,,,,-90000.0,0.0,,-127578000.0,-14547000.0,
2017-06-30,,133940000.0,,,,278401000.0,260610000.0,,182406000.0,5991000.0,169288000.0,1.34,1.33,125673156.0,132783402.0,31648000.0,,,,,,,,,,,,,7037463000.0,,,,,,,,,4458780000.0,-366437000.0,17003000.0,2221791000.0,7037463000.0,96064000.0,4955000.0,,,,,-15066000.0,,,-9941000.0,289049000.0,,,,,,,,,-49034000.0,0.0,,-252225000.0,-12210000.0,
2017-09-30,,204370000.0,,,,422676000.0,400491000.0,,282654000.0,9154000.0,263052000.0,2.09,2.07,125717517.0,133044473.0,63732000.0,,,,,,,,,,,,,7086955000.0,,,,,,,,,4513230000.0,-370959000.0,17731000.0,2215266000.0,7086955000.0,144139000.0,7244000.0,,,,,15498000.0,,,-373000.0,449629000.0,,,,,,,,,-87744000.0,0.0,,-342011000.0,19874000.0,
2017-12-31,,271974000.0,,,,563404000.0,541605000.0,,502516000.0,3625000.0,479013000.0,3.79,3.76,125967831.0,134155771.0,55683000.0,,,,,,,,,,,,,7455137000.0,,,,,,,,,4731330000.0,-253284000.0,33290000.0,2350751000.0,7455137000.0,193296000.0,9561000.0,2242000.0,,,,14694000.0,,,-5631000.0,597375000.0,,,,,,,,,-369556000.0,0.0,,-215994000.0,11825000.0,
2018-03-31,,72753000.0,,,,151573000.0,133912000.0,,93175000.0,1342000.0,88256000.0,0.7,0.7,125772439.0,132683000.0,35527000.0,,,,,,,,,,,,,7470624000.0,,,,,,,,,4753978000.0,-263355000.0,55271000.0,2343754000.0,7470624000.0,51749000.0,2726000.0,,,,,737000.0,,,6275000.0,171608000.0,,,,,,,,,-30928000.0,,,-172660000.0,,
2018-06-30,,145836000.0,,,,303670000.0,278628000.0,,194556000.0,3439000.0,183409000.0,1.45,1.45,125874130.0,132992734.0,49194000.0,,,,,,,,,,,,,7721949000.0,,,,,,,,,5006147000.0,-276688000.0,62930000.0,2341950000.0,7721949000.0,103641000.0,5842000.0,,,,,-7269000.0,,,4895000.0,339742000.0,,,,,,,,,-229095000.0,,,-127585000.0,,
2018-09-30,,219488000.0,,,,457032000.0,432219000.0,,333259000.0,6077000.0,313827000.0,2.49,2.48,126466837.0,134240290.0,45378000.0,,,,,,,,,,,,,7798690000.0,,,,,,,,,5028596000.0,-255065000.0,68362000.0,2395719000.0,7798690000.0,155924000.0,8455000.0,,,,,639000.0,,,12597000.0,529027000.0,,,,,,,,,-317029000.0,33780000.0,,-231459000.0,,
2018-12-31,41757000.0,291695000.0,,,,607708000.0,619703000.0,,441872000.0,9244000.0,415289000.0,3.29,3.27,126087487.0,133159033.0,57496000.0,,,,,,,,,,,,,7847978000.0,,,,,,,,,5062556000.0,-262902000.0,34650000.0,2413724000.0,7847978000.0,209050000.0,11176000.0,3698000.0,,,,1664000.0,,,14384000.0,677795000.0,,,,,,,,,-443898000.0,90231000.0,,-247251000.0,,
2019-03-31,10746000.0,78765000.0,,,,163069000.0,148477000.0,,101343000.0,1813000.0,94770000.0,0.74,0.74,127037247.0,134289716.0,38988000.0,,,,,,,,,,,,,8132514000.0,,,,,,,,,5358702000.0,-277655000.0,11807000.0,2384149000.0,8132514000.0,54659000.0,2954000.0,,,,,305000.0,,,-2475000.0,169339000.0,,,,,,,,,-246975000.0,,,51774000.0,-25862000.0,-177000.0
2019-06-30,23063000.0,159635000.0,,,,328678000.0,307675000.0,,213626000.0,4528000.0,199598000.0,1.56,1.55,127585436.0,135654761.0,47667000.0,,,,,,,,,,,,,8390719000.0,,,,,,,,,5561908000.0,-288399000.0,-27476000.0,2442209000.0,8390719000.0,109065000.0,6952000.0,,,,,-1890000.0,,,-1463000.0,363407000.0,,,,,,,,,-440429000.0,98796000.0,,59976000.0,-17046000.0,4095000.0
2019-09-30,36063000.0,248288000.0,,,,503545000.0,470313000.0,,330969000.0,8580000.0,307685000.0,2.4,2.37,128776549.0,137318475.0,62277000.0,,,,,,,,,,,,,8318430000.0,,,,,,,,,5410441000.0,-296752000.0,-43439000.0,2522714000.0,8318430000.0,165116000.0,9987000.0,,,,,11153000.0,,,4370000.0,544466000.0,,,,,,,,,-356377000.0,198852000.0,,-194064000.0,-5975000.0,6197000.0
2019-12-31,49890000.0,336050000.0,,,,674701000.0,634958000.0,,451157000.0,11308000.0,419967000.0,3.27,3.24,128203568.0,136433769.0,65746000.0,,,,,,,,,,,,,8532377000.0,,,,,,,,,5610683000.0,-301049000.0,-28966000.0,2539961000.0,8532377000.0,219857000.0,13051000.0,1871000.0,,,,12482000.0,,,-2333000.0,707686000.0,,,,,,,,,-621630000.0,198827000.0,,-88013000.0,-1957000.0,10359000.0
