Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,8049000000.0,,,321000000.0,8537000000.0,6503000000.0,,5816000000.0,2307000000.0,,6.1,5.86,414000000.0,469000000.0,2656000000.0,,1517000000.0,,,,104000000.0,7433000000.0,,,,347000000.0,700000000.0,25996000000.0,,,,3002000000.0,,2503000000.0,,1423000000.0,15239000000.0,-5805000000.0,-273000000.0,9119000000.0,25996000000.0,,102000000.0,135000000.0,-962000000.0,-159000000.0,,87000000.0,,,,4397000000.0,,,,,0.0,,,39000000.0,-1601000000.0,740000000.0,3000000.0,-1012000000.0,1784000000.0,
2010-03-31,,2189000000.0,,,95000000.0,2315000000.0,2048000000.0,,1888000000.0,678000000.0,,2.08,2.0,431000000.0,473000000.0,3752000000.0,,1498000000.0,,,,110000000.0,8566000000.0,,,,336000000.0,716000000.0,27113000000.0,,,,4307000000.0,,2513000000.0,,1397000000.0,15280000000.0,-4973000000.0,-270000000.0,9992000000.0,27113000000.0,,47000000.0,7000000.0,33000000.0,-113000000.0,,-2000000.0,,,,1818000000.0,,,,,,,,-2000000.0,-229000000.0,0.0,4000000.0,-493000000.0,1096000000.0,
2010-06-30,,4490000000.0,,,196000000.0,4755000000.0,3472000000.0,,3149000000.0,1111000000.0,,3.48,3.4,458.0,474.0,3042000000.0,,1009000000.0,,,,111000000.0,7293000000.0,,,,333000000.0,728000000.0,25979000000.0,,,,2983000000.0,,2612000000.0,,1402000000.0,13686000000.0,-4466000000.0,-268000000.0,10532000000.0,25979000000.0,,75000000.0,107000000.0,502000000.0,-39000000.0,,-9000000.0,,,,2882000000.0,,,,,,,,-8000000.0,-519000000.0,0.0,4000000.0,-1977000000.0,386000000.0,
2010-09-30,,7027000000.0,,,277000000.0,7408000000.0,5971000000.0,,5526000000.0,1956000000.0,,6.01,5.88,471000000.0,474000000.0,3720000000.0,,1860000000.0,,,,208000000.0,9078000000.0,,,,330000000.0,687000000.0,27951000000.0,,,,3272000000.0,,2846000000.0,,1386000000.0,14230000000.0,-3429000000.0,-263000000.0,11596000000.0,27951000000.0,,93000000.0,252000000.0,-391000000.0,-189000000.0,,-13000000.0,,,,4218000000.0,,,,,,,,-20000000.0,-857000000.0,0.0,5000000.0,-2297000000.0,1064000000.0,
2010-12-31,,,,,381000000.0,9914000000.0,9068000000.0,,8512000000.0,2983000000.0,,4.67,4.57,915000000.0,949000000.0,3738000000.0,,2132000000.0,,-2819000000.0,195000000.0,254000000.0,9851000000.0,28000000.0,16785000000.0,,328000000.0,997000000.0,29386000000.0,,,180000000.0,3763000000.0,,2873000000.0,,1459000000.0,14826000000.0,-2590000000.0,-323000000.0,12504000000.0,29386000000.0,,121000000.0,286000000.0,-680000000.0,-593000000.0,,-24000000.0,,,,6273000000.0,,,,,,,,-23000000.0,-1869000000.0,0.0,19000000.0,-3322000000.0,1082000000.0,
2011-03-31,,,,,114000000.0,2773000000.0,2936000000.0,,2841000000.0,984000000.0,,1.58,1.57,946000000.0,955000000.0,4090000000.0,,1588000000.0,,,311000000.0,280000000.0,11146000000.0,,17076000000.0,,325000000.0,1059000000.0,31008000000.0,,,,4751000000.0,,3056000000.0,,1463000000.0,14917000000.0,-1328000000.0,-318000000.0,13801000000.0,31008000000.0,,43000000.0,127000000.0,511000000.0,-253000000.0,,-18000000.0,,,,2359000000.0,,,,,,,,0.0,-505000000.0,,21000000.0,-1502000000.0,352000000.0,
2011-12-31,,,,,415000000.0,11740000000.0,9140000000.0,,8818000000.0,3087000000.0,,4.81,4.78,947000000.0,955000000.0,4822000000.0,,892000000.0,,-3285000000.0,250000000.0,214000000.0,10047000000.0,9000000.0,18449000000.0,,325000000.0,888000000.0,32070000000.0,,,69000000.0,2940000000.0,,3255000000.0,,1651000000.0,13517000000.0,546000000.0,-465000000.0,15642000000.0,32070000000.0,,117000000.0,523000000.0,-1246000000.0,431000000.0,,57000000.0,,,,6620000000.0,,,,,,,,26000000.0,-2535000000.0,0.0,23000000.0,-3001000000.0,1084000000.0,
2012-03-31,,,,,104000000.0,2871000000.0,1734000000.0,,1490000000.0,491000000.0,,0.81,0.8,949000000.0,955000000.0,4496000000.0,,1165000000.0,,,272000000.0,223000000.0,10252000000.0,,18986000000.0,,326000000.0,867000000.0,32905000000.0,,,,2924000000.0,,3413000000.0,,1582000000.0,13606000000.0,1013000000.0,-453000000.0,16135000000.0,32905000000.0,,32000000.0,168000000.0,482000000.0,248000000.0,,-40000000.0,,,,801000000.0,,,,,,,,7000000.0,-714000000.0,,7000000.0,-413000000.0,-326000000.0,
2012-06-30,,,,,201000000.0,6035000000.0,3045000000.0,,2809000000.0,913000000.0,,1.55,1.55,949000000.0,954000000.0,4508000000.0,,1052000000.0,,,263000000.0,328000000.0,10176000000.0,,19613000000.0,,324000000.0,868000000.0,33689000000.0,,,,2942000000.0,,3550000000.0,,1553000000.0,13799000000.0,1426000000.0,-448000000.0,16578000000.0,33689000000.0,,54000000.0,288000000.0,182000000.0,160000000.0,,,,,,1983000000.0,,,,,,,,4000000.0,-1551000000.0,,7000000.0,-746000000.0,-314000000.0,
2012-09-30,,,,,311000000.0,9041000000.0,4456000000.0,,4163000000.0,1128000000.0,,2.42,2.41,949000000.0,953000000.0,3727000000.0,,1424000000.0,,,242000000.0,353000000.0,10180000000.0,,20294000000.0,,321000000.0,847000000.0,34517000000.0,,,,3150000000.0,,3378000000.0,,1531000000.0,13774000000.0,1953000000.0,-439000000.0,17139000000.0,34517000000.0,,77000000.0,223000000.0,603000000.0,581000000.0,,,,,,2509000000.0,,,,,,,,19000000.0,-2537000000.0,,7000000.0,-1067000000.0,-1095000000.0,
