Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-11-30,173289000.0,,,,57075000.0,113860000.0,59429000.0,,59554000.0,17953000.0,41601000.0,0.9,0.88,46283000.0,47487000.0,202351000.0,,63869000.0,,4015000.0,,8659000.0,278894000.0,,80628000.0,223203000.0,50584000.0,6591000.0,659407000.0,,,25584000.0,85512000.0,,3705000.0,6376000.0,21256000.0,116849000.0,817786000.0,-17652000.0,542558000.0,659407000.0,9392000.0,3677000.0,,-4176000.0,,,,,550000.0,,22184000.0,,,,,,8021000.0,,,-8021000.0,,7505000.0,-8974000.0,6610000.0,
2011-02-28,350924000.0,,,,116480000.0,233402000.0,117522000.0,,117779000.0,30924000.0,86855000.0,1.88,1.83,46244000.0,47495000.0,203105000.0,,70501000.0,,4300000.0,,11264000.0,298452000.0,,81336000.0,226924000.0,49980000.0,6930000.0,683070000.0,,,27799000.0,91327000.0,,3808000.0,7459000.0,22289000.0,124883000.0,852428000.0,-7745000.0,558187000.0,683070000.0,18758000.0,10377000.0,,10808000.0,,,,,2765000.0,,72481000.0,,,,,,15433000.0,,,-15433000.0,,12919000.0,-55375000.0,7364000.0,
2011-05-31,534571000.0,,,,176080000.0,355226000.0,179345000.0,,179774000.0,49608000.0,130166000.0,2.82,2.75,46145000.0,47418000.0,208668000.0,,67537000.0,,4156000.0,,11353000.0,298490000.0,,81787000.0,228559000.0,48578000.0,8396000.0,684631000.0,,,30021000.0,97277000.0,,3835000.0,6795000.0,22287000.0,130194000.0,883365000.0,-3839000.0,554437000.0,684631000.0,27950000.0,15352000.0,,7844000.0,,,,,4987000.0,,136996000.0,,,,,,22806000.0,,,-22806000.0,,17073000.0,-109597000.0,12927000.0,
2011-08-31,726510000.0,,,,243552000.0,488175000.0,238335000.0,,238958000.0,67912000.0,171046000.0,3.72,3.61,45953000.0,47355000.0,181685000.0,,75004000.0,,24174000.0,,,273170000.0,,81620000.0,228265000.0,46310000.0,7909000.0,657440000.0,,,28252000.0,109423000.0,,3712000.0,7204000.0,21913000.0,142252000.0,912078000.0,-5660000.0,515188000.0,657440000.0,36847000.0,25773000.0,1574000.0,15311000.0,,,,,3219000.0,,207136000.0,,,,,0.0,29343000.0,,,-29343000.0,,18331000.0,-199123000.0,-14056000.0,
2015-11-30,270504000.0,,,,68460000.0,183196000.0,87308000.0,,87401000.0,27436000.0,59965000.0,1.45,1.43,41387000.0,42063000.0,180148000.0,,98630000.0,,14153000.0,,,320848000.0,,69717000.0,498636000.0,111934000.0,4923000.0,1017687000.0,,,40801000.0,128731000.0,,1483000.0,7109000.0,22595000.0,459918000.0,1063406000.0,-50854000.0,557769000.0,1017687000.0,8437000.0,6462000.0,2388000.0,-1599000.0,,,,,-2588000.0,,71087000.0,,,,,264087000.0,14385000.0,,,-278180000.0,,9083000.0,231704000.0,21234000.0,
2016-02-29,552300000.0,,,,141001000.0,379648000.0,172652000.0,,172321000.0,44594000.0,127727000.0,3.1,3.06,41252000.0,41799000.0,175170000.0,,105928000.0,,21141000.0,,,327341000.0,,75667000.0,489340000.0,106753000.0,4860000.0,1021705000.0,,,44038000.0,140037000.0,,1469000.0,8488000.0,30653000.0,480647000.0,1113126000.0,-63038000.0,541058000.0,1021705000.0,18260000.0,15027000.0,,5683000.0,,,,,913000.0,,164226000.0,,,,,264087000.0,26438000.0,,,-290632000.0,,10804000.0,150813000.0,16256000.0,
2016-05-31,839801000.0,,,,214610000.0,577859000.0,261942000.0,,261177000.0,66669000.0,194508000.0,4.73,4.68,41094000.0,41596000.0,187436000.0,,104666000.0,,16778000.0,,,383019000.0,,78082000.0,460393000.0,97978000.0,5246000.0,1038975000.0,,,34076000.0,154698000.0,,1543000.0,8200000.0,30877000.0,495318000.0,1159579000.0,-51690000.0,543657000.0,1038975000.0,28222000.0,22433000.0,,11316000.0,,,,,3696000.0,,261104000.0,,,,,264087000.0,34671000.0,,,-299269000.0,,13327000.0,70295000.0,28522000.0,
2016-08-31,1127092000.0,,,,290007000.0,777416000.0,349676000.0,,460993000.0,122178000.0,338815000.0,8.29,8.19,40880000.0,41365000.0,228407000.0,,97797000.0,,16564000.0,,,369276000.0,,84622000.0,452915000.0,93161000.0,5781000.0,1019161000.0,,,33247000.0,158210000.0,,1708000.0,8782000.0,33080000.0,501780000.0,1283927000.0,-68553000.0,517381000.0,1019161000.0,38052000.0,29793000.0,4528000.0,3541000.0,,,,,700000.0,,331140000.0,,,,,262909000.0,47740000.0,,,-158408000.0,,18205000.0,-91002000.0,69493000.0,87513000.0
2016-11-30,288063000.0,,,,70494000.0,197744000.0,90319000.0,,89820000.0,23237000.0,66583000.0,1.67,1.66,39827000.0,40100000.0,173288000.0,,109680000.0,,10009000.0,,,324659000.0,,90438000.0,507656000.0,109032000.0,7066000.0,1046165000.0,,,32940000.0,136216000.0,,2766000.0,9395000.0,36005000.0,549382000.0,1330658000.0,-79603000.0,496783000.0,1046165000.0,10016000.0,6385000.0,,9985000.0,,,,,-3118000.0,,51113000.0,,,,,71689000.0,12537000.0,,,-81425000.0,,5511000.0,-17531000.0,-55119000.0,
2017-02-28,582417000.0,,,,141467000.0,400352000.0,182065000.0,,179310000.0,46017000.0,133293000.0,3.36,3.34,39659000.0,39900000.0,155351000.0,,130825000.0,,11555000.0,,,344040000.0,,89450000.0,506832000.0,104695000.0,7950000.0,1061829000.0,,,37252000.0,155088000.0,,2947000.0,10029000.0,35535000.0,568599000.0,1377659000.0,-77341000.0,493230000.0,1061829000.0,20649000.0,13611000.0,,30998000.0,,,,,1152000.0,,128058000.0,,,,,71689000.0,18046000.0,,,-95383000.0,,8995000.0,-98498000.0,-73056000.0,
