Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,,,,,,767000000.0,30000000.0,737000000.0,0.73,0.67,,,,,,,,,,,,2400000000.0,2417000000.0,106000000.0,,113380000000.0,,,,,,,,,99883000000.0,6326000000.0,241000000.0,13497000000.0,113380000000.0,341000000.0,45000000.0,184000000.0,,,,-826000000.0,,,376000000.0,3794000000.0,126942000000.0,117901000000.0,3750000000.0,,16000000.0,173000000.0,,,1076000000.0,986000000.0,0.0,-5291000000.0,-421000000.0,
2010-03-31,,,,,,,,,-22000000.0,-12000000.0,-10000000.0,-0.09,-0.09,,,,,,,,,,,,2384000000.0,2417000000.0,94000000.0,,112651000000.0,,,,,,,,,99243000000.0,6169000000.0,288000000.0,13408000000.0,112651000000.0,97000000.0,10000000.0,12000000.0,,,,-181000000.0,,,-293000000.0,910000000.0,1060000000.0,966000000.0,505000000.0,,,42000000.0,,,740000000.0,,,-1835000000.0,-185000000.0,
2010-06-30,,,,,,,,,242000000.0,50000000.0,192000000.0,0.16,0.16,791000000.0,802000000.0,,,,,,,,,,2374000000.0,2417000000.0,83000000.0,,112025000000.0,,,,,,,,,98324000000.0,6289000000.0,440000000.0,13701000000.0,112025000000.0,206000000.0,22000000.0,62000000.0,,,,-210000000.0,,,-228000000.0,1244000000.0,1718000000.0,2197000000.0,1088000000.0,,,91000000.0,,,2025000000.0,,,-3371000000.0,-102000000.0,
2010-09-30,,,,,,,,,523000000.0,103000000.0,420000000.0,0.29,0.29,791000000.0,799000000.0,,,,,,,,,,2377000000.0,2417000000.0,72000000.0,,112322000000.0,,,,,,,,,98409000000.0,6456000000.0,432000000.0,13884000000.0,112322000000.0,327000000.0,33000000.0,134000000.0,,,,93000000.0,,,77000000.0,2291000000.0,3808000000.0,3350000000.0,2039000000.0,,,151000000.0,,,1561000000.0,,4000000.0,-3955000000.0,-103000000.0,
2010-12-31,,,,,,,,,940000000.0,187000000.0,753000000.0,0.63,0.63,791000000.0,799000000.0,,,,,-144000000.0,,,,,2389000000.0,2417000000.0,62000000.0,,111007000000.0,,,,,,,,,96927000000.0,6719000000.0,314000000.0,14051000000.0,111007000000.0,457000000.0,64000000.0,176000000.0,,,,-9000000.0,,,82000000.0,3305000000.0,5218000000.0,4620000000.0,2578000000.0,,,224000000.0,,,1708000000.0,,,-5172000000.0,-159000000.0,
2011-03-31,,,,,,,,,382000000.0,112000000.0,265000000.0,0.1,0.1,881000000.0,895000000.0,,,,,,,,,,2389000000.0,2417000000.0,55000000.0,,110485000000.0,,,,,,,,,98293000000.0,6752000000.0,263000000.0,12163000000.0,110485000000.0,112000000.0,17000000.0,89000000.0,,,,-322000000.0,,,100000000.0,1883000000.0,903000000.0,1038000000.0,64000000.0,,,57000000.0,,,-1305000000.0,1648000000.0,,-616000000.0,-38000000.0,
2011-06-30,,,,,,,,,892000000.0,281000000.0,602000000.0,0.46,0.46,915000000.0,955000000.0,,,,,,,,,,2395000000.0,2417000000.0,49000000.0,,110805000000.0,,,,,,,,,98204000000.0,7024000000.0,396000000.0,12572000000.0,110805000000.0,215000000.0,31000000.0,-228000000.0,,,,-125000000.0,,,452000000.0,2894000000.0,2689000000.0,1753000000.0,935000000.0,,,119000000.0,,,-1291000000.0,1648000000.0,,-1382000000.0,221000000.0,
2011-09-30,,,,,,,,,1427000000.0,429000000.0,983000000.0,0.87,955000000.0,915000000.0,43000000.0,,,,,,,,,,2410000000.0,2417000000.0,45000000.0,,114905000000.0,,,,,,,,,101847000000.0,7323000000.0,542000000.0,13029000000.0,114905000000.0,326000000.0,39000000.0,363000000.0,,,,148000000.0,,,113000000.0,2659000000.0,4819000000.0,2581000000.0,1722000000.0,,,218000000.0,,,-4129000000.0,1648000000.0,1000000.0,1659000000.0,189000000.0,
2011-12-31,,,,,,,,,1831000000.0,533000000.0,1297000000.0,1.2,1.18,906.0,950.0,,,,,-624000000.0,,,,,2447000000.0,2417000000.0,40000000.0,,116967000000.0,,,,,,,,,103716000000.0,7554000000.0,470000000.0,13201000000.0,,455000000.0,59000000.0,437000000.0,,,,67000000.0,,,166000000.0,2366000000.0,5689000000.0,3502000000.0,2471000000.0,,,319000000.0,,,-5285000000.0,1648000000.0,2000000.0,3423000000.0,504000000.0,
2012-03-31,,,,,,,,,603000000.0,173000000.0,430000000.0,0.46,0.45,915225816.0,957415527.0,,,,,,,,,,2485000000.0,2417000000.0,36000000.0,,116747000000.0,,,,,,,,,103137000000.0,7902000000.0,468000000.0,13560000000.0,116747000000.0,128000000.0,19000000.0,50000000.0,,,,-88000000.0,,,86000000.0,1895000000.0,2046000000.0,1076000000.0,231000000.0,,,95000000.0,,,-1988000000.0,,,-335000000.0,-428000000.0,
2012-06-30,,,,,,,,,1168000000.0,352000000.0,815000000.0,0.87,0.85,914383163.0,956015935.0,,,,,,,,,,2506000000.0,2417000000.0,33000000.0,,117543000000.0,,,,,,,,,103719000000.0,8201000000.0,454000000.0,13773000000.0,117543000000.0,254000000.0,37000000.0,84000000.0,,,,64000000.0,,,-38000000.0,2073000000.0,3856000000.0,2003000000.0,1616000000.0,,,193000000.0,,,-2342000000.0,,,-1000000.0,-270000000.0,
2012-09-30,,,,,,,,,1670000000.0,491000000.0,1178000000.0,1.26,1.23,911056331.0,952258953.0,,,,,,,,,,2520000000.0,2417000000.0,30000000.0,,117483000000.0,,,,,,,,,103714000000.0,8466000000.0,468000000.0,13718000000.0,117483000000.0,388000000.0,54000000.0,133000000.0,,,,203000000.0,,,-153000000.0,2736000000.0,5291000000.0,3111000000.0,2282000000.0,,,271000000.0,,,-2311000000.0,,,-598000000.0,-173000000.0,
2012-12-31,,,,,,,,,2210000000.0,636000000.0,1576000000.0,1.69,1.66,904425226.0,945554102.0,,,,,-843000000.0,,,,,2542000000.0,2416000000.0,27000000.0,,121894000000.0,,,,,,,,,108130000000.0,8768000000.0,375000000.0,13716000000.0,121894000000.0,531000000.0,69000000.0,271000000.0,,,,-4000000.0,,,-238000000.0,2557000000.0,6813000000.0,4100000000.0,2521000000.0,,,362000000.0,,,-6533000000.0,,,3754000000.0,-222000000.0,
2013-03-31,,,,,,,,,591000000.0,179000000.0,422000000.0,0.47,0.46,870923074.0,913163262.0,,,,,,,,,,2540000000.0,2416000000.0,25000000.0,,121382000000.0,,,,,,,,,107462000000.0,9084000000.0,333000000.0,13882000000.0,121382000000.0,137000000.0,17000000.0,37000000.0,,,,533000000.0,,,487000000.0,1225000000.0,2906000000.0,910000000.0,2215000000.0,,,61000000.0,,,-316000000.0,,,-1164000000.0,-255000000.0,
2013-06-30,,,,,,,,,1432000000.0,429000000.0,1013000000.0,1.14,1.11,864718802.0,906859723.0,,,,,,,,,,2540000000.0,2416000000.0,23000000.0,,123360000000.0,,,,,,,,,109083000000.0,9561000000.0,149000000.0,14239000000.0,123360000000.0,276000000.0,41000000.0,139000000.0,,,,453000000.0,,,683000000.0,2591000000.0,8099000000.0,1878000000.0,4876000000.0,,,138000000.0,,,-1907000000.0,,,-735000000.0,-51000000.0,
2013-09-30,,,,,,,,,2037000000.0,613000000.0,1433000000.0,1.62,1.58,880182513.0,900541471.0,,,,,,,,,,2528000000.0,2416000000.0,21000000.0,,125673000000.0,,,,,,,,,110993000000.0,9876000000.0,218000000.0,14641000000.0,125673000000.0,410000000.0,60000000.0,195000000.0,,,,288000000.0,,,456000000.0,3827000000.0,12780000000.0,2657000000.0,7146000000.0,,,198000000.0,,,-5360000000.0,,,1979000000.0,446000000.0,
2013-12-31,,,,,,,,,2598000000.0,772000000.0,1836000000.0,2.05,2.02,869462977.0,894736445.0,,,,,-938000000.0,,,,,2531000000.0,2416000000.0,19000000.0,,130443000000.0,,,,,,,,,115817000000.0,10156000000.0,82000000.0,14589000000.0,130443000000.0,507000000.0,78000000.0,253000000.0,,,,672000000.0,,,569000000.0,4595000000.0,16216000000.0,3191000000.0,9328000000.0,,,274000000.0,,,-10184000000.0,,,6326000000.0,737000000.0,
2014-03-31,,,,,,,,,438000000.0,119000000.0,318000000.0,0.36,0.36,845860065.0,857923596.0,,,,,,,,,,2528000000.0,2416000000.0,18000000.0,,129654000000.0,,,,,,,,,114790000000.0,10363000000.0,196000000.0,14826000000.0,129654000000.0,98000000.0,17000000.0,37000000.0,,,,-432000000.0,,,-662000000.0,340000000.0,4806000000.0,561000000.0,2069000000.0,,,61000000.0,,,-632000000.0,,,267000000.0,-25000000.0,
2014-06-30,,,,,,,,,1044000000.0,287000000.0,756000000.0,0.85,0.84,842155702.0,853057618.0,,,,,,,,,,2491000000.0,2416000000.0,17000000.0,,132562000000.0,,,,,,,,,117054000000.0,10666000000.0,382000000.0,15469000000.0,132562000000.0,200000000.0,43000000.0,8000000.0,,,,-350000000.0,,,-697000000.0,965000000.0,8283000000.0,1052000000.0,3449000000.0,,,107000000.0,,,-3184000000.0,,,2353000000.0,134000000.0,
2014-09-30,,,,,,,,,1509000000.0,411000000.0,1096000000.0,1.25,1.23,837854214.0,848068145.0,,,,,,,,,,2467000000.0,2416000000.0,16000000.0,,134188000000.0,,,,,,,,,118745000000.0,10886000000.0,301000000.0,15404000000.0,134188000000.0,307000000.0,63000000.0,-15000000.0,,,,-403000000.0,,,-641000000.0,1555000000.0,9890000000.0,1664000000.0,4354000000.0,,,156000000.0,,,-4920000000.0,,,3312000000.0,-53000000.0,
2014-12-31,,,,,,,,,2028000000.0,545000000.0,1481000000.0,1.68,1.66,833116349.0,842967356.0,,,,,,,,,,2465000000.0,2416000000.0,15000000.0,,138706000000.0,,,,,,,,,123041000000.0,11141000000.0,429000000.0,15626000000.0,138706000000.0,414000000.0,83000000.0,79000000.0,,,,221000000.0,,,-555000000.0,2076000000.0,10691000000.0,2265000000.0,5234000000.0,,,216000000.0,,,-8938000000.0,,,6775000000.0,-87000000.0,
2015-03-31,,,,,,,,,485000000.0,124000000.0,361000000.0,0.42,0.42,810209585.0,818672259.0,,,,,,,,,,2433000000.0,2416000000.0,14000000.0,,140470000000.0,,,,,,,,,124566000000.0,11380000000.0,588000000.0,15864000000.0,140470000000.0,107000000.0,21000000.0,-3000000.0,,,,-413000000.0,,,-155000000.0,503000000.0,4873000000.0,694000000.0,730000000.0,,,45000000.0,,,-1031000000.0,,,357000000.0,-171000000.0,
2015-06-30,,,,,,,,,902000000.0,232000000.0,676000000.0,0.78,0.77,807070071.0,815741295.0,,,,,,,,,,2298000000.0,2416000000.0,13000000.0,,141658000000.0,,,,,,,,,126020000000.0,11564000000.0,291000000.0,15605000000.0,141658000000.0,221000000.0,50000000.0,10000000.0,,,,-200000000.0,,,-150000000.0,950000000.0,14783000000.0,1587000000.0,8018000000.0,,,78000000.0,,,-3119000000.0,,,1863000000.0,-306000000.0,
2015-09-30,,,,,,,,,1417000000.0,367000000.0,1056000000.0,1.24,1.22,803269681.0,812099365.0,,,,,,,,,,2264000000.0,2416000000.0,13000000.0,,141918000000.0,,,,,,,,,126060000000.0,11826000000.0,522000000.0,15826000000.0,141918000000.0,333000000.0,78000000.0,-13000000.0,,,,-86000000.0,,,-190000000.0,1517000000.0,20573000000.0,2263000000.0,11692000000.0,,,118000000.0,,,-4170000000.0,,,2017000000.0,-636000000.0,
2015-12-31,,,,,,,,,2365000000.0,659000000.0,1712000000.0,2.03,2.01,798628173.0,807658669.0,,,,,,,,,,2239000000.0,2416000000.0,12000000.0,,141082000000.0,,,,,,,,,125212000000.0,12358000000.0,197000000.0,15839000000.0,141082000000.0,441000000.0,100000000.0,-71000000.0,,,,-94000000.0,,,-191000000.0,2418000000.0,26733000000.0,2865000000.0,16828000000.0,,,164000000.0,,,-3931000000.0,,,962000000.0,-551000000.0,
2016-03-31,,,,,,,,,435000000.0,108000000.0,327000000.0,0.4,0.4,773564178.0,778392453.0,,,,,,,,,,2185000000.0,2416000000.0,11000000.0,,142430000000.0,,,,,,,,,126075000000.0,12570000000.0,684000000.0,16323000000.0,142430000000.0,110000000.0,26000000.0,9000000.0,,,,-345000000.0,,,-114000000.0,395000000.0,4069000000.0,531000000.0,2677000000.0,,,41000000.0,,,-1184000000.0,,,547000000.0,-242000000.0,
2016-06-30,,,,,,,,,862000000.0,206000000.0,660000000.0,0.8,0.8,766334781.0,771736275.0,,,,,,,,,,2144000000.0,2416000000.0,10000000.0,,143625000000.0,,,,,,,,,126871000000.0,12778000000.0,889000000.0,16726000000.0,143625000000.0,228000000.0,63000000.0,4000000.0,,,,-195000000.0,,,-70000000.0,702000000.0,11620000000.0,1342000000.0,8886000000.0,,,87000000.0,,,-2264000000.0,,,1381000000.0,-181000000.0,
2016-09-30,,,,,,,,,1556000000.0,385000000.0,1175000000.0,1.46,1.45,761147543.0,766941312.0,,,,,,,,,,2084000000.0,2416000000.0,10000000.0,,143279000000.0,,,,,,,,,126475000000.0,13180000000.0,755000000.0,16776000000.0,143279000000.0,341000000.0,86000000.0,27000000.0,,,,-192000000.0,,,-48000000.0,1200000000.0,17884000000.0,2487000000.0,14691000000.0,,,148000000.0,,,-2207000000.0,,,631000000.0,-376000000.0,
2016-12-31,,,,,,,,,2065000000.0,505000000.0,1564000000.0,1.95,1.93,757432291.0,764495353.0,,,,,,,,,,2065000000.0,2416000000.0,9000000.0,,142177000000.0,,,,,,,,,125945000000.0,13441000000.0,59000000.0,16205000000.0,142177000000.0,453000000.0,111000000.0,-148000000.0,,,,-351000000.0,,,24000000.0,2114000000.0,24636000000.0,3776000000.0,18280000000.0,,,186000000.0,,,-2887000000.0,,,625000000.0,-148000000.0,
2017-03-31,,,,,,,,,396000000.0,91000000.0,305000000.0,0.38,0.38,747667521.0,760809239.0,,,,,,,,,,2052000000.0,2419000000.0,11000000.0,,140200000000.0,,,,,,,,,123743000000.0,13625000000.0,68000000.0,16430000000.0,140200000000.0,89000000.0,45000000.0,-11000000.0,,,,-115000000.0,,,176000000.0,536000000.0,2975000000.0,604000000.0,2191000000.0,,,52000000.0,,,1307000000.0,,,-2030000000.0,-187000000.0,
2017-06-30,,,,,,,,,890000000.0,218000000.0,672000000.0,0.84,0.83,744516799.0,756545341.0,,,,,,,,,,2041000000.0,2423000000.0,18000000.0,,141067000000.0,,,,,,,,,124621000000.0,13862000000.0,163000000.0,16419000000.0,141067000000.0,170000000.0,69000000.0,-5000000.0,,,,38000000.0,,,214000000.0,648000000.0,5828000000.0,1178000000.0,4633000000.0,,,111000000.0,,,844000000.0,,,-1681000000.0,-189000000.0,
2017-09-30,,,,,,,,,2379000000.0,694000000.0,1685000000.0,2.19,2.16,736686213.0,748706522.0,,,,,,,,,,2018000000.0,2423000000.0,18000000.0,,142264000000.0,,,,,,,,,125884000000.0,14748000000.0,185000000.0,16360000000.0,142264000000.0,255000000.0,95000000.0,-97000000.0,,,,-129000000.0,,,-44000000.0,1236000000.0,8849000000.0,1799000000.0,7484000000.0,,,155000000.0,,,906000000.0,,,-2329000000.0,-187000000.0,
2017-12-31,,,,,,,,,2771000000.0,577000000.0,2194000000.0,2.88,2.83,728289200.0,740691433.0,,,,,,,,,,2003000000.0,2445000000.0,27000000.0,,142193000000.0,,,,,,,,,125808000000.0,15122000000.0,73000000.0,16365000000.0,142193000000.0,341000000.0,118000000.0,-251000000.0,,,,23000000.0,,,22000000.0,1494000000.0,15295000000.0,2331000000.0,12637000000.0,,,200000000.0,,,414000000.0,,,-1786000000.0,122000000.0,
2018-03-31,,,,,,,,,836000000.0,132000000.0,704000000.0,0.99,0.97,689820295.0,704100936.0,,,,,,,,,,1966000000.0,2462000000.0,30000000.0,,141500000000.0,,,,,,,,,125296000000.0,15707000000.0,-389000000.0,16184000000.0,141500000000.0,93000000.0,45000000.0,24000000.0,,,,-244000000.0,,,59000000.0,265000000.0,8605000000.0,543000000.0,7345000000.0,,,48000000.0,,,163000000.0,,,-904000000.0,-476000000.0,
