Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,31981000000.0,,,,,28306000000.0,3675000000.0,,3513000000.0,1106000000.0,2394000000.0,6.21,6.17,,,2263000000.0,,3678000000.0,2126000000.0,,,733000000.0,13249000000.0,,2912000000.0,12269000000.0,2098000000.0,549000000.0,31077000000.0,2365000000.0,2988000000.0,,10371000000.0,,,,5124000000.0,,15093000000.0,-1207000000.0,12423000000.0,31077000000.0,,117000000.0,227000000.0,151000000.0,72000000.0,,,-92000000.0,,,2855000000.0,152000000.0,,,,811000000.0,385000000.0,,4000000.0,-1392000000.0,,,-806000000.0,642000000.0,
2010-04-04,7750000000.0,,,,,6832000000.0,918000000.0,,874000000.0,275000000.0,597000000.0,1.55,1.53,,,2025000000.0,,3738000000.0,1985000000.0,,,913000000.0,13353000000.0,,2850000000.0,12288000000.0,2032000000.0,536000000.0,31059000000.0,2250000000.0,2881000000.0,,9937000000.0,,,,5184000000.0,,15527000000.0,-1269000000.0,12779000000.0,31059000000.0,,29000000.0,10000000.0,51000000.0,-143000000.0,,,-114000000.0,,-312000000.0,210000000.0,,,,,48000000.0,60000000.0,,-73000000.0,-282000000.0,,,-163000000.0,-238000000.0,
2010-07-04,15854000000.0,12987000000.0,,,,13951000000.0,1903000000.0,,1819000000.0,569000000.0,1245000000.0,3.24,3.2,384563000.0,388757000.0,1853000000.0,,3545000000.0,1967000000.0,-430000000.0,,908000000.0,13166000000.0,,2850000000.0,12316000000.0,,522000000.0,30872000000.0,2396000000.0,2956000000.0,,9795000000.0,,469000000.0,,5079000000.0,,16014000000.0,-1371000000.0,12839000000.0,30872000000.0,,58000000.0,30000000.0,-151000000.0,-161000000.0,,,26000000.0,,,687000000.0,170000000.0,,,,237000000.0,123000000.0,,-124000000.0,-446000000.0,,,-648000000.0,-410000000.0,
2010-10-03,23865000000.0,19551000000.0,,,,20996000000.0,2869000000.0,,2747000000.0,848000000.0,1895000000.0,4.95,4.9,382738000.0,386685000.0,1843000000.0,,3874000000.0,1986000000.0,-497000000.0,,701000000.0,13390000000.0,,2918000000.0,12544000000.0,,620000000.0,31483000000.0,2571000000.0,2886000000.0,,10311000000.0,,517000000.0,,5160000000.0,,16504000000.0,-989000000.0,13582000000.0,31483000000.0,,88000000.0,65000000.0,178000000.0,-149000000.0,,,201000000.0,,,1567000000.0,199000000.0,,,,233000000.0,219000000.0,,-123000000.0,-261000000.0,,,-1722000000.0,-420000000.0,
2010-12-31,32466000000.0,26557000000.0,,1056000000.0,,28521000000.0,3945000000.0,,3790000000.0,1162000000.0,2624000000.0,6.88,6.81,381240000.0,385236000.0,2613000000.0,,3848000000.0,2158000000.0,-214000000.0,,694000000.0,14186000000.0,,2971000000.0,12649000000.0,,747000000.0,32545000000.0,2736000000.0,3203000000.0,,11177000000.0,,220000000.0,,5622000000.0,,17076000000.0,-1436000000.0,13316000000.0,32545000000.0,,118000000.0,56000000.0,152000000.0,23000000.0,,,366000000.0,,,2986000000.0,226000000.0,,,,233000000.0,370000000.0,,-158000000.0,-408000000.0,,,-2226000000.0,350000000.0,
2011-04-03,7798000000.0,6360000000.0,,,,6869000000.0,929000000.0,,896000000.0,278000000.0,618000000.0,1.66,1.64,372680000.0,376363000.0,2484000000.0,,4237000000.0,2273000000.0,-286000000.0,,905000000.0,14795000000.0,,2993000000.0,12723000000.0,,650000000.0,33104000000.0,2510000000.0,3219000000.0,,11252000000.0,,219000000.0,,5564000000.0,,17518000000.0,-1257000000.0,13877000000.0,33104000000.0,,32000000.0,19000000.0,389000000.0,154000000.0,,,-226000000.0,,,327000000.0,174000000.0,,,,,61000000.0,,-59000000.0,-138000000.0,,,-318000000.0,-129000000.0,
2011-07-03,15677000000.0,12785000000.0,,,,13799000000.0,1878000000.0,,1855000000.0,571000000.0,1271000000.0,3.43,3.4,370320000.0,373889000.0,2157000000.0,,4229000000.0,2382000000.0,-323000000.0,,899000000.0,14673000000.0,,3048000000.0,12888000000.0,,807000000.0,33361000000.0,2630000000.0,3226000000.0,,11493000000.0,,231000000.0,,5534000000.0,,18000000000.0,-960000000.0,13925000000.0,33361000000.0,,64000000.0,34000000.0,385000000.0,224000000.0,,,-103000000.0,,,1076000000.0,257000000.0,,,,,152000000.0,,-215000000.0,-251000000.0,,,-1281000000.0,-456000000.0,
2011-10-02,23530000000.0,19148000000.0,,,,20654000000.0,2876000000.0,,2807000000.0,858000000.0,1923000000.0,5.24,5.19,366783000.0,370221000.0,1540000000.0,,4119000000.0,2506000000.0,-205000000.0,,738000000.0,14040000000.0,,3063000000.0,13454000000.0,,807000000.0,33408000000.0,2584000000.0,2986000000.0,,10482000000.0,,503000000.0,,5400000000.0,,18483000000.0,-1441000000.0,13619000000.0,33408000000.0,,96000000.0,63000000.0,143000000.0,346000000.0,,,-171000000.0,,-261000000.0,1212000000.0,350000000.0,,,,1143000000.0,273000000.0,,-188000000.0,-1457000000.0,,,-826000000.0,-1073000000.0,
2011-12-31,32677000000.0,,,1212000000.0,,28851000000.0,3826000000.0,,3718000000.0,1166000000.0,2526000000.0,6.94,6.87,364147000.0,367524000.0,2649000000.0,,4452000000.0,2310000000.0,278000000.0,,789000000.0,15368000000.0,,3284000000.0,13576000000.0,,842000000.0,34883000000.0,2895000000.0,3216000000.0,,11145000000.0,,170000000.0,,6599000000.0,,18917000000.0,-2312000000.0,13232000000.0,34883000000.0,,128000000.0,14000000.0,420000000.0,186000000.0,,,17000000.0,,,3238000000.0,373000000.0,,,,1560000000.0,458000000.0,,-200000000.0,-1974000000.0,,,-1201000000.0,36000000.0,
2012-04-01,7579000000.0,6184000000.0,,,,6719000000.0,860000000.0,,821000000.0,257000000.0,564000000.0,1.58,1.57,356987000.0,359360000.0,2632000000.0,,4686000000.0,2444000000.0,225000000.0,,819000000.0,15510000000.0,,3290000000.0,13759000000.0,,967000000.0,35309000000.0,2509000000.0,3142000000.0,,10953000000.0,,201000000.0,,6597000000.0,,19297000000.0,-2112000000.0,13854000000.0,35309000000.0,,35000000.0,3000000.0,233000000.0,114000000.0,,,-387000000.0,,,414000000.0,65000000.0,,,,26000000.0,90000000.0,,-40000000.0,-264000000.0,,,-166000000.0,-17000000.0,
2012-07-01,15501000000.0,12611000000.0,,,,13671000000.0,1830000000.0,,1749000000.0,551000000.0,1198000000.0,3.37,3.34,356017000.0,358366000.0,2540000000.0,,4571000000.0,2648000000.0,237000000.0,,852000000.0,15527000000.0,,3248000000.0,13762000000.0,,928000000.0,35203000000.0,2559000000.0,3194000000.0,,12179000000.0,,190000000.0,,6457000000.0,,19751000000.0,-2302000000.0,13662000000.0,35203000000.0,,69000000.0,3000000.0,110000000.0,316000000.0,,,-342000000.0,,,1203000000.0,100000000.0,,,,165000000.0,176000000.0,,-76000000.0,-506000000.0,,,-806000000.0,-109000000.0,
2012-09-30,23435000000.0,19130000000.0,,,,20700000000.0,2735000000.0,,2612000000.0,814000000.0,1798000000.0,5.08,5.04,354168000.0,356519000.0,2874000000.0,,4339000000.0,2661000000.0,121000000.0,,688000000.0,15593000000.0,,3345000000.0,13986000000.0,,845000000.0,35503000000.0,2540000000.0,3129000000.0,,12193000000.0,,178000000.0,,6114000000.0,,20170000000.0,-2157000000.0,14272000000.0,35503000000.0,,104000000.0,53000000.0,-139000000.0,340000000.0,,,-368000000.0,,-184000000.0,1907000000.0,201000000.0,,,,426000000.0,286000000.0,,-144000000.0,-668000000.0,,,-1012000000.0,225000000.0,
2012-12-31,31513000000.0,28404000000.0,,1607000000.0,,30680000000.0,833000000.0,,541000000.0,873000000.0,-332000000.0,-0.94,-0.94,353346000.0,353346000.0,3296000000.0,,4204000000.0,2776000000.0,978000000.0,,504000000.0,15744000000.0,,3403000000.0,12048000000.0,,1731000000.0,34309000000.0,2469000000.0,3109000000.0,,11620000000.0,,144000000.0,,7391000000.0,,17860000000.0,-2775000000.0,11390000000.0,34309000000.0,,114000000.0,-148000000.0,-240000000.0,478000000.0,,,-441000000.0,,22000000.0,2687000000.0,252000000.0,,186000000.0,,444000000.0,450000000.0,,-19000000.0,-656000000.0,,,-1382000000.0,647000000.0,
2013-03-31,7404000000.0,6050000000.0,,,,6557000000.0,847000000.0,,824000000.0,253000000.0,571000000.0,1.62,1.62,351873000.0,353517000.0,3745000000.0,,4261000000.0,2863000000.0,914000000.0,,408000000.0,16350000000.0,,3374000000.0,11934000000.0,,1641000000.0,34609000000.0,2503000000.0,3308000000.0,,11769000000.0,,132000000.0,,7349000000.0,,18234000000.0,-2894000000.0,11582000000.0,34609000000.0,,31000000.0,11000000.0,57000000.0,95000000.0,,,34000000.0,,-176000000.0,504000000.0,,,,,75000000.0,29000000.0,,-28000000.0,-76000000.0,,,24000000.0,449000000.0,
2013-06-30,15315000000.0,12477000000.0,,,,13508000000.0,1807000000.0,,1767000000.0,556000000.0,1211000000.0,3.45,3.43,351492000.0,353224000.0,3757000000.0,,4289000000.0,2935000000.0,847000000.0,,447000000.0,16538000000.0,,3351000000.0,11909000000.0,,1663000000.0,34731000000.0,2444000000.0,3284000000.0,,11841000000.0,,136000000.0,,7227000000.0,,18677000000.0,-2889000000.0,11756000000.0,34731000000.0,,61000000.0,42000000.0,90000000.0,167000000.0,,,-25000000.0,,-156000000.0,1083000000.0,43000000.0,,,,1000000.0,168000000.0,,-48000000.0,-164000000.0,,,-455000000.0,461000000.0,
2013-09-29,23111000000.0,18810000000.0,,,,20347000000.0,2764000000.0,,2707000000.0,845000000.0,1862000000.0,5.31,5.27,350774000.0,353122000.0,4065000000.0,,4365000000.0,2986000000.0,802000000.0,,589000000.0,17118000000.0,,3365000000.0,12008000000.0,,1732000000.0,35471000000.0,2443000000.0,3356000000.0,,12065000000.0,,131000000.0,,6893000000.0,,19131000000.0,-2669000000.0,12605000000.0,35471000000.0,,90000000.0,47000000.0,166000000.0,218000000.0,,,-26000000.0,,-167000000.0,1550000000.0,,,,,1000000.0,271000000.0,,-56000000.0,-216000000.0,,,-560000000.0,769000000.0,
2013-12-31,31218000000.0,25454000000.0,,,,27533000000.0,3685000000.0,,3607000000.0,1121000000.0,2357000000.0,6.72,6.67,350714000.0,353499000.0,5301000000.0,,4402000000.0,2968000000.0,17000000.0,,435000000.0,17886000000.0,,3415000000.0,11977000000.0,,953000000.0,35448000000.0,2248000000.0,3362000000.0,,12194000000.0,,137000000.0,,4845000000.0,,19428000000.0,-1185000000.0,14501000000.0,35448000000.0,,120000000.0,104000000.0,205000000.0,200000000.0,,,-223000000.0,,-126000000.0,3106000000.0,135000000.0,14000000.0,99000000.0,,1000000.0,440000000.0,,-96000000.0,-367000000.0,,,-725000000.0,2005000000.0,
2014-03-30,7324000000.0,5954000000.0,,,,6453000000.0,871000000.0,,851000000.0,256000000.0,595000000.0,1.74,1.71,342232000.0,347248000.0,4296000000.0,,4286000000.0,2977000000.0,-52000000.0,,516000000.0,16964000000.0,,3408000000.0,11946000000.0,,880000000.0,34382000000.0,2215000000.0,3404000000.0,,12623000000.0,,97000000.0,,4660000000.0,,19809000000.0,-1203000000.0,13690000000.0,34382000000.0,,27000000.0,42000000.0,-116000000.0,19000000.0,,,-33000000.0,,-171000000.0,428000000.0,60000000.0,,66000000.0,,,87000000.0,,-4000000.0,-77000000.0,,32000000.0,-1347000000.0,-1005000000.0,
2014-06-29,14739000000.0,11939000000.0,,,,12916000000.0,1823000000.0,,1778000000.0,536000000.0,1136000000.0,3.35,3.29,339462000.0,345367000.0,3841000000.0,,4474000000.0,3158000000.0,-5000000.0,,776000000.0,17183000000.0,,3327000000.0,11927000000.0,,912000000.0,34332000000.0,2486000000.0,3541000000.0,,13222000000.0,,91000000.0,,4582000000.0,,20142000000.0,-1104000000.0,13119000000.0,34332000000.0,,64000000.0,64000000.0,104000000.0,278000000.0,,,270000000.0,,-81000000.0,1294000000.0,,,,,,162000000.0,,-17000000.0,-145000000.0,,54000000.0,-2633000000.0,-1460000000.0,
2014-09-28,22490000000.0,18213000000.0,,,,19668000000.0,2822000000.0,,2757000000.0,821000000.0,1832000000.0,5.44,5.34,336911000.0,343114000.0,5105000000.0,,4181000000.0,3139000000.0,-26000000.0,,1308000000.0,18169000000.0,,3322000000.0,11756000000.0,,1135000000.0,35311000000.0,2390000000.0,3789000000.0,,14670000000.0,,92000000.0,,4221000000.0,,20631000000.0,-1337000000.0,13010000000.0,35311000000.0,,94000000.0,94000000.0,-189000000.0,259000000.0,,,174000000.0,,-238000000.0,3798000000.0,,,,,,337000000.0,,-11000000.0,-826000000.0,,,-3194000000.0,-196000000.0,
2014-12-31,30852000000.0,,,,,26963000000.0,3889000000.0,,3802000000.0,1129000000.0,2533000000.0,7.56,7.42,335192000.0,341331000.0,4388000000.0,,4050000000.0,3221000000.0,644000000.0,,1157000000.0,17407000000.0,,3329000000.0,11731000000.0,,1976000000.0,35355000000.0,2057000000.0,3858000000.0,,13751000000.0,,82000000.0,,6365000000.0,,21127000000.0,-2932000000.0,11829000000.0,35355000000.0,,128000000.0,136000000.0,-330000000.0,303000000.0,,,-161000000.0,,-246000000.0,3728000000.0,136000000.0,4000000.0,135000000.0,,,521000000.0,,84000000.0,-1102000000.0,,,-3575000000.0,-913000000.0,1019000000.0
2015-04-05,7784000000.0,6254000000.0,,,,6757000000.0,1027000000.0,,1009000000.0,293000000.0,716000000.0,2.18,2.14,329154000.0,334682000.0,4412000000.0,,3661000000.0,3397000000.0,750000000.0,,438000000.0,16352000000.0,,3323000000.0,11699000000.0,,2118000000.0,34385000000.0,2266000000.0,4358000000.0,,13112000000.0,,85000000.0,,6343000000.0,,21615000000.0,-3216000000.0,11520000000.0,34385000000.0,,40000000.0,-8000000.0,-388000000.0,183000000.0,,,210000000.0,,-38000000.0,745000000.0,,,,,,98000000.0,,-94000000.0,496000000.0,,,-1209000000.0,24000000.0,
2015-07-05,15666000000.0,12588000000.0,,,,13558000000.0,2108000000.0,,2070000000.0,602000000.0,1468000000.0,4.48,4.41,327653000.0,333049000.0,4032000000.0,,3595000000.0,3359000000.0,681000000.0,,514000000.0,15773000000.0,,3329000000.0,11644000000.0,,2067000000.0,33654000000.0,2275000000.0,4327000000.0,,12708000000.0,,89000000.0,,6259000000.0,,22143000000.0,-3092000000.0,11276000000.0,33654000000.0,,71000000.0,21000000.0,-455000000.0,149000000.0,,,222000000.0,,,1348000000.0,,,,,,190000000.0,,18000000.0,551000000.0,,,-2239000000.0,-356000000.0,
2015-10-04,23660000000.0,19072000000.0,,,,20518000000.0,3142000000.0,,3083000000.0,882000000.0,2201000000.0,6.79,6.68,323996000.0,329414000.0,3372000000.0,,3796000000.0,3239000000.0,553000000.0,,666000000.0,15288000000.0,,3370000000.0,11533000000.0,,1989000000.0,32980000000.0,2387000000.0,4419000000.0,,13178000000.0,,81000000.0,,6156000000.0,,22655000000.0,-3185000000.0,10734000000.0,32980000000.0,,84000000.0,88000000.0,-254000000.0,29000000.0,,,334000000.0,,,2170000000.0,,,,,,360000000.0,,12000000.0,418000000.0,,,-3573000000.0,-1016000000.0,
2015-12-31,31469000000.0,,,,,27291000000.0,4178000000.0,,4102000000.0,1137000000.0,2965000000.0,9.23,9.08,321313000.0,326652000.0,2785000000.0,,3446000000.0,3366000000.0,371000000.0,,617000000.0,14571000000.0,,3466000000.0,11443000000.0,,1754000000.0,31997000000.0,1964000000.0,4306000000.0,,12445000000.0,,75000000.0,,5916000000.0,,23204000000.0,-3286000000.0,10738000000.0,31997000000.0,,110000000.0,167000000.0,-604000000.0,156000000.0,,,-89000000.0,,-83000000.0,2499000000.0,123000000.0,6000000.0,122000000.0,,,569000000.0,,27000000.0,200000000.0,,,-4259000000.0,-1603000000.0,871000000.0
2016-04-03,7724000000.0,6211000000.0,,,,6671000000.0,1053000000.0,,1041000000.0,311000000.0,717000000.0,2.33,2.3,307928000.0,312346000.0,1907000000.0,,3654000000.0,3504000000.0,285000000.0,,418000000.0,14188000000.0,,3477000000.0,11595000000.0,,1683000000.0,31702000000.0,2150000000.0,4212000000.0,,12423000000.0,,84000000.0,,5798000000.0,,23687000000.0,-2941000000.0,10582000000.0,31702000000.0,,27000000.0,20000000.0,195000000.0,133000000.0,,,179000000.0,,,439000000.0,,,,,,65000000.0,,53000000.0,-118000000.0,,,-1193000000.0,-878000000.0,
2016-07-03,15389000000.0,12320000000.0,,,,13266000000.0,2123000000.0,,2089000000.0,601000000.0,1475000000.0,4.82,4.73,306199000.0,311809000.0,1899000000.0,,3539000000.0,3520000000.0,232000000.0,,432000000.0,14386000000.0,,3440000000.0,11572000000.0,,1638000000.0,31769000000.0,2128000000.0,4105000000.0,,12135000000.0,,86000000.0,,5740000000.0,,24213000000.0,-2965000000.0,10995000000.0,31769000000.0,,51000000.0,62000000.0,83000000.0,150000000.0,,,157000000.0,,,873000000.0,,,,,,134000000.0,,55000000.0,-185000000.0,,,-1540000000.0,-886000000.0,
2016-10-02,23120000000.0,18511000000.0,,,,19928000000.0,3192000000.0,,3137000000.0,882000000.0,2158000000.0,7.07,6.94,305445000.0,311124000.0,2303000000.0,,3502000000.0,3657000000.0,24000000.0,,622000000.0,15297000000.0,,3445000000.0,11581000000.0,,1630000000.0,32668000000.0,2276000000.0,4367000000.0,,11893000000.0,,88000000.0,,5573000000.0,,24661000000.0,-2891000000.0,11317000000.0,32668000000.0,,76000000.0,218000000.0,52000000.0,288000000.0,,,305000000.0,,,1372000000.0,,,,,,244000000.0,,42000000.0,-282000000.0,,,-1528000000.0,-482000000.0,
2016-12-31,31353000000.0,,,,,27044000000.0,4309000000.0,,4231000000.0,1169000000.0,2955000000.0,9.7,9.52,304707000.0,310387000.0,2334000000.0,,3611000000.0,3523000000.0,37000000.0,,697000000.0,15447000000.0,,3467000000.0,11445000000.0,,1835000000.0,32872000000.0,2538000000.0,4469000000.0,,12846000000.0,,72000000.0,,6062000000.0,,25227000000.0,-3396000000.0,10976000000.0,32872000000.0,,100000000.0,376000000.0,161000000.0,154000000.0,,,567000000.0,,-30000000.0,2198000000.0,,,,,,392000000.0,,43000000.0,-426000000.0,,,-2169000000.0,-451000000.0,959000000.0
2017-04-02,7441000000.0,5925000000.0,,,,6406000000.0,1035000000.0,,1010000000.0,247000000.0,763000000.0,2.53,2.48,301771000.0,307282000.0,2168000000.0,,3483000000.0,5822000000.0,300000000.0,,584000000.0,16614000000.0,,3412000000.0,11532000000.0,,974000000.0,33211000000.0,2466000000.0,3112000000.0,,13165000000.0,,187000000.0,,6475000000.0,,25049000000.0,-3262000000.0,10583000000.0,33211000000.0,,22000000.0,45000000.0,84000000.0,-2000000.0,,,-72000000.0,,,533000000.0,,,,,,62000000.0,,23000000.0,-85000000.0,,,-606000000.0,-166000000.0,-4000000.0
2017-07-02,27400000000.0,12039000000.0,,,,13025000000.0,2091000000.0,,2042000000.0,530000000.0,1512000000.0,5.03,4.94,300780000.0,306340000.0,1856000000.0,,3690000000.0,5839000000.0,190000000.0,,696000000.0,17126000000.0,,3424000000.0,11679000000.0,,879000000.0,33793000000.0,2620000000.0,3072000000.0,,13503000000.0,,202000000.0,,6349000000.0,,25546000000.0,-2922000000.0,10952000000.0,33793000000.0,,49000000.0,93000000.0,291000000.0,14000000.0,,,82000000.0,,,1010000000.0,,,,,,153000000.0,,42000000.0,-195000000.0,,,-1276000000.0,-478000000.0,
2017-10-01,28923000000.0,18057000000.0,,,,19553000000.0,3143000000.0,,3069000000.0,793000000.0,2276000000.0,7.59,7.45,299902000.0,305501000.0,2722000000.0,,3391000000.0,5781000000.0,51000000.0,,577000000.0,18080000000.0,,3461000000.0,11918000000.0,,740000000.0,34914000000.0,2718000000.0,2978000000.0,,13209000000.0,,212000000.0,,6162000000.0,,26058000000.0,-2651000000.0,11564000000.0,34914000000.0,,75000000.0,155000000.0,-26000000.0,-57000000.0,,,167000000.0,,,1881000000.0,,,,,364000000.0,273000000.0,,-53000000.0,-584000000.0,,,-881000000.0,388000000.0,
2017-12-31,21845000000.0,,,,,26796000000.0,4177000000.0,,4077000000.0,1165000000.0,2912000000.0,9.73,9.56,299172000.0,304637000.0,2983000000.0,,3617000000.0,5303000000.0,1581000000.0,,1185000000.0,18328000000.0,,3517000000.0,11914000000.0,,585000000.0,35046000000.0,3207000000.0,2898000000.0,,13099000000.0,,244000000.0,,6532000000.0,,26444000000.0,-2820000000.0,11435000000.0,35046000000.0,,123000000.0,401000000.0,195000000.0,182000000.0,,,657000000.0,,,3879000000.0,,,,,399000000.0,428000000.0,,14000000.0,-791000000.0,,,-2399000000.0,649000000.0,617000000.0
2018-04-01,7535000000.0,5990000000.0,,,,6527000000.0,1008000000.0,,960000000.0,161000000.0,799000000.0,,,296399000.0,301104000.0,4332000000.0,,3769000000.0,5543000000.0,,,955000000.0,20464000000.0,,3533000000.0,11955000000.0,,565000000.0,37219000000.0,2851000000.0,2798000000.0,,15242000000.0,,249000000.0,,6222000000.0,,27605000000.0,-3391000000.0,11774000000.0,37219000000.0,,29000000.0,4000000.0,150000000.0,236000000.0,,,-358000000.0,,,-496000000.0,,,,,,104000000.0,,1000000.0,-105000000.0,,,1952000000.0,1349000000.0,4000000.0
2018-07-01,16721000000.0,13499000000.0,,,,14625000000.0,2096000000.0,,1930000000.0,345000000.0,1585000000.0,,,296276000.0,300594000.0,1862000000.0,,3874000000.0,5890000000.0,,,1076000000.0,19827000000.0,,4179000000.0,19738000000.0,,670000000.0,47152000000.0,3032000000.0,3441000000.0,,16573000000.0,,594000000.0,,7188000000.0,,28115000000.0,-3558000000.0,11994000000.0,47152000000.0,,71000000.0,-6000000.0,-344000000.0,542000000.0,,,-324000000.0,,,291000000.0,,,,,10039000000.0,279000000.0,,-74000000.0,-10244000000.0,,,8838000000.0,-1121000000.0,155000000.0
2018-09-30,25815000000.0,20883000000.0,,,,22584000000.0,3231000000.0,,2953000000.0,504000000.0,2436000000.0,8.23,8.12,295964000.0,300078000.0,1010000000.0,,3736000000.0,6247000000.0,,,1401000000.0,19958000000.0,,4244000000.0,19486000000.0,,608000000.0,46963000000.0,3033000000.0,3651000000.0,,15689000000.0,,544000000.0,,7116000000.0,,28691000000.0,-3361000000.0,12755000000.0,46963000000.0,,110000000.0,-66000000.0,-472000000.0,854000000.0,,,-324000000.0,,,1081000000.0,,,,,10039000000.0,447000000.0,,-169000000.0,-10317000000.0,,,7277000000.0,-1973000000.0,305000000.0
