Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,156783000000.0,,,,,37804000000.0,,1006000000.0,10344000000.0,-1090000000.0,11025000000.0,1.01,1.01,,,72260000000.0,,16458000000.0,11987000000.0,,,,,,69212000000.0,65574000000.0,11929000000.0,,781818000000.0,19703000000.0,13386000000.0,,,,,,,656682000000.0,126363000000.0,-15265000000.0,117291000000.0,781818000000.0,10636000000.0,,-2705000000.0,-3273000000.0,-1101000000.0,,,-480000000.0,,,24593000000.0,,,,,6130000000.0,8634000000.0,,2520000000.0,42997000000.0,0.0,,-43513000000.0,24077000000.0,-2535000000.0
2010-03-31,36605000000.0,,,,,9095000000.0,,350000000.0,2827000000.0,431000000.0,1945000000.0,0.17,0.17,,,69628000000.0,,17729000000.0,11751000000.0,,,,,,68016000000.0,64910000000.0,11545000000.0,,777355000000.0,14498000000.0,14429000000.0,,,,,,,654404000000.0,125446000000.0,-16784000000.0,115195000000.0,777355000000.0,2475000000.0,,320000000.0,-514000000.0,-186000000.0,,,679000000.0,,,7094000000.0,,,,,18000000.0,1302000000.0,,-6001000000.0,19009000000.0,,,-28039000000.0,-2692000000.0,
2010-06-30,74049000000.0,,,,,18154000000.0,,628000000.0,7114000000.0,1316000000.0,5054000000.0,0.46,0.45,,,73848000000.0,,17589000000.0,11366000000.0,,,,,,65358000000.0,63094000000.0,10946000000.0,,749930000000.0,14230000000.0,14313000000.0,,,,,,,629205000000.0,127436000000.0,-20326000000.0,113934000000.0,749930000000.0,4856000000.0,,-1615000000.0,-892000000.0,-522000000.0,,,593000000.0,,,16527000000.0,,,,,19000000.0,3019000000.0,,-8898000000.0,27734000000.0,,,-40834000000.0,1522000000.0,
2010-09-30,109937000000.0,,,,,27300000000.0,,815000000.0,10754000000.0,1634000000.0,7109000000.0,0.64,0.64,,,78392000000.0,,17738000000.0,11997000000.0,,,,,,65538000000.0,64128000000.0,10231000000.0,,758824000000.0,14617000000.0,14864000000.0,,,,,,,638214000000.0,128126000000.0,-18764000000.0,115536000000.0,758824000000.0,7477000000.0,,-1735000000.0,-689000000.0,118000000.0,,,1037000000.0,,,26476000000.0,,,,,576000000.0,4415000000.0,,-7728000000.0,34540000000.0,,,-53726000000.0,6065000000.0,
2010-12-31,150211000000.0,,,3939000000.0,16341000000.0,136003000000.0,,1151000000.0,14208000000.0,1050000000.0,11644000000.0,1.06,1.06,,,78958000000.0,,18621000000.0,11526000000.0,-2840000000.0,,,,,66214000000.0,64473000000.0,9973000000.0,,751216000000.0,14657000000.0,11396000000.0,,,,,,,627018000000.0,131137000000.0,-17855000000.0,118936000000.0,751216000000.0,10013000000.0,,1046000000.0,126000000.0,-342000000.0,,,805000000.0,,,36123000000.0,,,16238000000.0,,1212000000.0,9800000000.0,,-7703000000.0,32436000000.0,,,-61586000000.0,6640000000.0,2671000000.0
2011-03-31,38448000000.0,,,,,8536000000.0,,3626000000.0,7435000000.0,3927000000.0,3433000000.0,0.32,0.31,,,82173000000.0,,17867000000.0,13327000000.0,,,,,,67504000000.0,67920000000.0,11292000000.0,,727837000000.0,15747000000.0,16531000000.0,,,,,,,602048000000.0,133003000000.0,-15001000000.0,123535000000.0,727837000000.0,2292000000.0,,-1400000000.0,-985000000.0,1288000000.0,,,1269000000.0,,,7696000000.0,,,5139000000.0,,4547000000.0,3169000000.0,,-3307000000.0,17285000000.0,,,-22571000000.0,3238000000.0,
2011-06-30,73960000000.0,,,,,62037000000.0,9950000000.0,4249000000.0,11923000000.0,4831000000.0,7197000000.0,0.66,0.66,,,91053000000.0,,18634000000.0,14616000000.0,,,,,,68846000000.0,70536000000.0,11798000000.0,,739130000000.0,15765000000.0,16722000000.0,,,,,,,608733000000.0,135098000000.0,-12455000000.0,128074000000.0,739130000000.0,4594000000.0,,-3170000000.0,-43000000.0,2212000000.0,,,1179000000.0,,,15140000000.0,,,9972000000.0,,7519000000.0,6538000000.0,,-3709000000.0,20774000000.0,,,-26266000000.0,12128000000.0,
2011-09-30,109327000000.0,,,,,93705000000.0,14624000000.0,4805000000.0,15622000000.0,5266000000.0,10421000000.0,0.88,0.88,,,91368000000.0,,18689000000.0,15021000000.0,,,,,,66094000000.0,73291000000.0,12433000000.0,,737700000000.0,16150000000.0,19997000000.0,,,,,,,610927000000.0,135857000000.0,-13664000000.0,124461000000.0,737700000000.0,6944000000.0,,-2213000000.0,-340000000.0,2408000000.0,,,1314000000.0,,,24223000000.0,,,13438000000.0,,10839000000.0,9051000000.0,,-3588000000.0,22417000000.0,,,-35286000000.0,12415000000.0,
2011-12-31,147300000000.0,,,4601000000.0,,127202000000.0,20571000000.0,5063000000.0,20098000000.0,5732000000.0,14151000000.0,1.24,1.23,,,84501000000.0,,19531000000.0,13792000000.0,131000000.0,,,,,65739000000.0,72625000000.0,12068000000.0,,717242000000.0,16400000000.0,14796000000.0,,,,,,,599108000000.0,137786000000.0,-23974000000.0,116438000000.0,717242000000.0,9185000000.0,,-203000000.0,466000000.0,1168000000.0,,,1235000000.0,,,33359000000.0,,,15606000000.0,,11202000000.0,12650000000.0,,-6094000000.0,19882000000.0,,,-46863000000.0,5537000000.0,2919000000.0
2012-03-31,35182000000.0,,,,,31256000000.0,5061000000.0,557000000.0,3926000000.0,637000000.0,3034000000.0,0.29,0.29,,,83650000000.0,,19040000000.0,15212000000.0,,,,,,66000000000.0,72959000000.0,11921000000.0,,707719000000.0,17031000000.0,15030000000.0,,,,,,,586131000000.0,139019000000.0,-22133000000.0,119867000000.0,707719000000.0,2263000000.0,,36000000.0,-291000000.0,1433000000.0,,,854000000.0,,,6466000000.0,,,3762000000.0,,190000000.0,3295000000.0,,-371000000.0,5319000000.0,,,-13599000000.0,-852000000.0,
