Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-02-28,,,,,2418700000.0,,2133200000.0,,1858600000.0,622700000.0,1318600000.0,4.01,3.87,,,691300000.0,,,1474600000.0,8100000.0,,322900000.0,3677100000.0,,3004400000.0,6645700000.0,3740900000.0,1148100000.0,18216200000.0,690500000.0,1607400000.0,,2986400000.0,,1141400000.0,,1939700000.0,11739100000.0,8075900000.0,-859700000.0,6232100000.0,18216200000.0,,83000000.0,0.0,244900000.0,136300000.0,,-117100000.0,,,242400000.0,1558200000.0,,,,,,418900000.0,,-48900000.0,-484700000.0,,86200000.0,-1134400000.0,-58500000.0,
2010-05-30,,,,,3236100000.0,,2606100000.0,,2204500000.0,771200000.0,1530500000.0,2.32,2.24,,,673200000.0,,,1344000000.0,42700000.0,,378500000.0,3480000000.0,,3127700000.0,6592800000.0,3715000000.0,763400000.0,17678900000.0,849500000.0,1762200000.0,,3769100000.0,,874600000.0,,2118700000.0,12030900000.0,8122400000.0,-1486900000.0,5402900000.0,17678900000.0,,107300000.0,22300000.0,121100000.0,16700000.0,,-53500000.0,,,158100000.0,2181200000.0,,,,,0.0,649900000.0,,-52000000.0,-721200000.0,,114000000.0,-1503800000.0,-76600000.0,
2010-11-28,,,,,1573000000.0,,1583300000.0,,1411400000.0,383700000.0,1086000000.0,1.68,1.63,644700000.0,667500000.0,566300000.0,,,1706000000.0,28500000.0,,416700000.0,4016600000.0,,3146100000.0,6634700000.0,3740500000.0,840600000.0,18378500000.0,826700000.0,1725300000.0,,3733600000.0,,965200000.0,,1930800000.0,12493700000.0,8842100000.0,-1273400000.0,5639600000.0,18378500000.0,,59700000.0,78500000.0,235300000.0,348000000.0,,33200000.0,,,-136700000.0,599500000.0,,,,,,284300000.0,,-12600000.0,-266400000.0,,56400000.0,-482700000.0,-106900000.0,355100000.0
2011-02-27,,,,,2363200000.0,,2238100000.0,,1981200000.0,565400000.0,1478100000.0,2.3,2.22,642800000.0,665000000.0,540300000.0,,,1668100000.0,30900000.0,,417700000.0,3842900000.0,,3180400000.0,6702900000.0,3802800000.0,752500000.0,18281500000.0,830100000.0,1675500000.0,,4511300000.0,,988600000.0,,1826300000.0,12169300000.0,9053000000.0,-1162200000.0,5866200000.0,18281500000.0,,81400000.0,105800000.0,110300000.0,304600000.0,,33000000.0,,,-168600000.0,1248100000.0,,,,,84800000.0,423400000.0,,-14700000.0,-466900000.0,,75100000.0,-972000000.0,-132900000.0,411600000.0
2011-05-29,,,,235000000.0,3192000000.0,,2774500000.0,,2428200000.0,721100000.0,1798300000.0,2.8,2.7,642700000.0,664800000.0,619600000.0,,,1609300000.0,-1100100000.0,104700000.0,483500000.0,3902000000.0,,3345900000.0,6750800000.0,3813300000.0,862500000.0,18674500000.0,995100000.0,1321500000.0,,3659200000.0,,1127400000.0,233300000.0,1733200000.0,12062300000.0,9191300000.0,-1010800000.0,6365500000.0,18674500000.0,472600000.0,105300000.0,205300000.0,69800000.0,240000000.0,,96000000.0,,,-424100000.0,1526800000.0,,,,,123300000.0,648800000.0,,-20300000.0,-715100000.0,,106200000.0,-936600000.0,-53600000.0,699300000.0
2011-08-28,,,,,807500000.0,,638900000.0,,553500000.0,177500000.0,405600000.0,0.63,0.61,647900000.0,667000000.0,338200000.0,,,1788100000.0,13400000.0,,452700000.0,4096400000.0,,3565200000.0,8301400000.0,4935800000.0,994400000.0,21893200000.0,1181900000.0,1553500000.0,,4884000000.0,,1417100000.0,,1777600000.0,13979800000.0,9396600000.0,-1014700000.0,6499300000.0,,,44500000.0,22300000.0,156900000.0,135300000.0,,-55500000.0,,,31000000.0,440800000.0,,,,,900100000.0,132800000.0,,-6500000.0,-1157700000.0,,12400000.0,431900000.0,-281400000.0,37000000.0
2011-11-27,,,,,1684600000.0,,1355800000.0,,1183200000.0,386900000.0,850400000.0,1.31,1.28,647100000.0,666300000.0,,,,1628700000.0,20200000.0,,,4021600000.0,,3507400000.0,8115900000.0,4795500000.0,1026400000.0,21466800000.0,1096500000.0,1464100000.0,,5142000000.0,,1374100000.0,,1818400000.0,13582100000.0,9642200000.0,-1204600000.0,6577300000.0,,263300000.0,66200000.0,39700000.0,205600000.0,1300000.0,,,,,,1153200000.0,,,,,900100000.0,264800000.0,,-6600000.0,-1310700000.0,,31100000.0,59300000.0,-110500000.0,344300000.0
2012-02-26,,,,,2523300000.0,,2024400000.0,,1755800000.0,574200000.0,1241900000.0,1.92,1.86,647900000.0,667300000.0,,,,1528000000.0,27800000.0,,,3836300000.0,,3549900000.0,8205000000.0,4728400000.0,1119400000.0,21439000000.0,1011900000.0,1397200000.0,,3849000000.0,,1367600000.0,,1774800000.0,13186200000.0,9833700000.0,-1111900000.0,6921600000.0,,398800000.0,88400000.0,49900000.0,115000000.0,-111800000.0,,,,,,1657200000.0,,,,,900100000.0,423900000.0,,-6600000.0,-1469700000.0,,58700000.0,-317100000.0,-134300000.0,508500000.0
2012-05-27,,,,245400000.0,3380700000.0,,2562400000.0,,2210500000.0,709600000.0,1567300000.0,2.42,2.35,648100000.0,666700000.0,471200000.0,,,1478800000.0,-1111700000.0,103800000.0,358100000.0,3691400000.0,,3652700000.0,8182500000.0,4704900000.0,865300000.0,21096800000.0,1148900000.0,1426600000.0,,3843200000.0,,1171400000.0,230900000.0,2189800000.0,13366300000.0,9958500000.0,-1743700000.0,6421700000.0,,541500000.0,108300000.0,149400000.0,24200000.0,-144500000.0,,,,,,2402000000.0,,,,,1050100000.0,675900000.0,,-6800000.0,-1870800000.0,,63100000.0,-661400000.0,-148400000.0,590600000.0
2012-08-26,,,,,839000000.0,,780100000.0,,697100000.0,158100000.0,548900000.0,0.84,0.82,650400000.0,667400000.0,,,,1808500000.0,63200000.0,,,5217400000.0,,3603500000.0,8207700000.0,4723700000.0,883000000.0,22635300000.0,1264900000.0,1587400000.0,,5975500000.0,,1127500000.0,,2125500000.0,14690500000.0,10289600000.0,-1662500000.0,6645200000.0,,139200000.0,38300000.0,-51200000.0,143800000.0,324000000.0,,,,,,488800000.0,,,,,31800000.0,140600000.0,,3500000.0,-153600000.0,,18100000.0,692800000.0,1037200000.0,47000000.0
