Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,3302000000.0,2093000000.0,,881000000.0,,391000000.0,,,-74000000.0,2008000000.0,1.3,1.28,,,2541000000.0,1042000000.0,753000000.0,579000000.0,235000000.0,,371000000.0,5521000000.0,,7995000000.0,,,129000000.0,21295000000.0,550000000.0,915000000.0,,1539000000.0,,,,1373000000.0,5700000000.0,3636000000.0,-401000000.0,15543000000.0,21295000000.0,,127000000.0,-218000000.0,-201000000.0,238000000.0,,16000000.0,,,,2077000000.0,,,,,410000000.0,,,,-1370000000.0,,,-15000000.0,668000000.0,
2010-03-31,,822000000.0,731000000.0,,235000000.0,,403000000.0,,,97000000.0,816000000.0,0.52,0.52,,,3075000000.0,798000000.0,860000000.0,604000000.0,392000000.0,,323000000.0,6052000000.0,,7847000000.0,,,125000000.0,21727000000.0,459000000.0,796000000.0,,1278000000.0,,,,1311000000.0,5374000000.0,4374000000.0,-419000000.0,16302000000.0,21727000000.0,,29000000.0,50000000.0,-120000000.0,-31000000.0,,32000000.0,,,,643000000.0,,,,,,,,-2000000.0,77000000.0,,,-111000000.0,534000000.0,
2010-06-30,,1707000000.0,1558000000.0,,481000000.0,,833000000.0,,,128000000.0,1729000000.0,1.11,1.09,1558000000.0,,3214000000.0,1045000000.0,938000000.0,607000000.0,366000000.0,,290000000.0,6460000000.0,,8047000000.0,,,120000000.0,22541000000.0,519000000.0,914000000.0,,1457000000.0,,,,1287000000.0,5499000000.0,5208000000.0,-606000000.0,16992000000.0,22541000000.0,,55000000.0,10000000.0,-193000000.0,-62000000.0,,40000000.0,,,,1315000000.0,,,,,,,,-2000000.0,-307000000.0,,,-173000000.0,673000000.0,
2010-09-30,,2585000000.0,2282000000.0,,731000000.0,,1152000000.0,,,142000000.0,2514000000.0,1.61,1.59,1558000000.0,,3302000000.0,1727000000.0,854000000.0,712000000.0,455000000.0,,313000000.0,7363000000.0,,8526000000.0,,,127000000.0,24670000000.0,720000000.0,949000000.0,,1694000000.0,,,,1290000000.0,6203000000.0,5916000000.0,81000000.0,18416000000.0,24670000000.0,,77000000.0,-15000000.0,-62000000.0,-147000000.0,,25000000.0,,,,1743000000.0,,,,,,,,-6000000.0,-1209000000.0,,,173000000.0,761000000.0,
2010-12-31,,3583000000.0,3049000000.0,491000000.0,1015000000.0,,1801000000.0,,,287000000.0,3558000000.0,2.28,2.25,1558000000.0,,4598000000.0,1752000000.0,973000000.0,738000000.0,3164000000.0,,367000000.0,8859000000.0,,8943000000.0,7000000000.0,,153000000.0,25833000000.0,798000000.0,1131000000.0,,1986000000.0,,,,1246000000.0,6407000000.0,6881000000.0,43000000.0,19375000000.0,25833000000.0,,92000000.0,68000000.0,-162000000.0,-160000000.0,,42000000.0,,,,3835000000.0,,,,,63000000.0,,,-7000000.0,-1769000000.0,,,-2000000.0,2057000000.0,170000000.0
2011-03-31,,1049000000.0,874000000.0,,250000000.0,,460000000.0,,,114000000.0,748000000.0,0.48,0.47,1565000000.0,,4570000000.0,1733000000.0,1107000000.0,841000000.0,433000000.0,,353000000.0,9037000000.0,,9235000000.0,7100000000.0,,174000000.0,26660000000.0,949000000.0,919000000.0,,1894000000.0,,,,1251000000.0,6305000000.0,7550000000.0,223000000.0,20304000000.0,26660000000.0,,23000000.0,15000000.0,121000000.0,79000000.0,,26000000.0,,,,573000000.0,,,,,148000000.0,100000000000.0,,-2000000.0,-657000000.0,,,-57000000.0,-28000000.0,
2011-06-30,,2165000000.0,1763000000.0,,534000000.0,,884000000.0,,,237000000.0,1503000000.0,0.96,0.95,1568000000.0,,4609000000.0,1748000000.0,1252000000.0,917000000.0,439000000.0,,364000000.0,9329000000.0,,9755000000.0,7100000000.0,,150000000.0,27825000000.0,1052000000.0,1005000000.0,,2083000000.0,,,,1302000000.0,6519000000.0,8227000000.0,464000000.0,21255000000.0,27825000000.0,,45000000.0,96000000.0,243000000.0,143000000.0,,42000000.0,,,,1119000000.0,,,,,148000000.0,,,-4000000.0,-1162000000.0,,,-129000000.0,11000000.0,
2011-09-30,,3262000000.0,2741000000.0,,750000000.0,,1471000000.0,,,347000000.0,2314000000.0,1.48,1.46,1569000000.0,1589000000.0,4901000000.0,1520000000.0,1189000000.0,939000000.0,356000000.0,,359000000.0,9264000000.0,,10266000000.0,629000000.0,,157000000.0,28173000000.0,938000000.0,1044000000.0,,2009000000.0,,,,1300000000.0,6482000000.0,8958000000.0,93000000.0,21640000000.0,28173000000.0,,66000000.0,118000000.0,182000000.0,170000000.0,,,,,,2032000000.0,,,,,148000000.0,,,1000000.0,-1580000000.0,,,-175000000.0,303000000.0,
2011-12-31,,4324000000.0,3566000000.0,563000000.0,1033000000.0,,1694000000.0,,,408000000.0,2805000000.0,1.8,1.77,1562000000.0,1583000000.0,4661000000.0,1164000000.0,1082000000.0,975000000.0,3040000000.0,,347000000.0,8677000000.0,,10671000000.0,664000000.0,,196000000.0,27848000000.0,977000000.0,1093000000.0,,2097000000.0,,,,1361000000.0,6719000000.0,9332000000.0,-89000000.0,21078000000.0,27848000000.0,,86000000.0,115000000.0,84000000.0,201000000.0,,,,,,3189000000.0,,,,,215000000.0,,,,-2056000000.0,,,-980000000.0,63000000.0,215000000.0
2012-06-30,,2217000000.0,1611000000.0,,570000000.0,,651000000.0,,,204000000.0,924000000.0,0.61,0.61,1511.0,1524.0,5008000000.0,1337000000.0,1157000000.0,999000000.0,441000000.0,,436000000.0,9378000000.0,,10751000000.0,663000000.0,,274000000.0,28754000000.0,929000000.0,934000000.0,,1892000000.0,,,,1331000000.0,7352000000.0,10029000000.0,-136000000.0,21354000000.0,28754000000.0,,40000000.0,21000000.0,68000000.0,35000000.0,,,,,,1332000000.0,,,,,,,,-4000000.0,-1139000000.0,,,260000000.0,347000000.0,
