Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,3222397000.0,,,,,,,,605193000.0,200240000.0,404953000.0,4.88,4.88,,,231918000.0,,,,,,,,,,423519000.0,,,16023759000.0,,,,,,,,,12624868000.0,3228904000.0,-319183000.0,3398891000.0,16023759000.0,,,108052000.0,,,43471000.0,,,,,976113000.0,2311455000.0,760858000.0,900417000.0,43000.0,0.0,6499000.0,,,-937099000.0,4430000.0,253000.0,148438000.0,185518000.0,
2010-06-30,1739782000.0,,,,,,,,373409000.0,125684000.0,247725000.0,3.01,2.98,,,27292000.0,,,,,,,,,,423519000.0,,,16950209000.0,,,,,,,,,13004993000.0,3452243000.0,72708000.0,3945216000.0,16950209000.0,,,,,,,,,,,474855000.0,1052704000.0,367016000.0,102963000.0,12558000.0,,2218000.0,,,-514011000.0,,,-164711000.0,-204626000.0,
2010-09-30,2520461000.0,,,,,,,,563087000.0,189749000.0,362256000.0,4.42,4.39,,,32466000.0,,,,,,,,,,396891000.0,,,17716467000.0,,,,,,,,,13448773000.0,3554063000.0,356836000.0,4267694000.0,17716467000.0,,,,,,,,,,,744954000.0,1539775000.0,454289000.0,180438000.0,20501000.0,,2837000.0,,,-695985000.0,,320000.0,-244168000.0,-199452000.0,
2010-12-31,3367632000.0,,,,,,,,778567000.0,256274000.0,517064000.0,6.36,6.3,,,365679000.0,,,,,,,,,,396891000.0,,,16159762000.0,,,,,,,,,12143521000.0,3513419000.0,22958000.0,4016241000.0,16159762000.0,,,78125000.0,,,24716000.0,,,,,1028593000.0,1908109000.0,638860000.0,325950000.0,905000.0,,9181000.0,,,-557641000.0,37863000.0,3455000.0,-329621000.0,133761000.0,
2011-03-31,829272000.0,,,,,,,,155812000.0,49680000.0,105533000.0,1.36,1.33,,,283673000.0,,,,,,,,,,396891000.0,,,16325247000.0,,,,,,,,,12366082000.0,3599304000.0,55757000.0,3959165000.0,16325247000.0,,,,,,,,,,,300047000.0,231217000.0,103149000.0,15052000.0,4027000.0,,761000.0,,,-175597000.0,,5665000.0,-203001000.0,-82006000.0,
2011-06-30,1706606000.0,,365791000.0,,,,,12634000.0,374340000.0,119268000.0,254473000.0,2.23,2.2,113897688.0,115722011.0,90230000.0,,,,,,,,,,396891000.0,,,16218212000.0,,,,,,,,,12438113000.0,3693313000.0,153264000.0,3780099000.0,16218212000.0,,,,,,,,,,,452733000.0,696940000.0,301010000.0,126523000.0,0.0,,1399000.0,,,-86351000.0,,6924000.0,-640476000.0,-275449000.0,
2011-09-30,2543847000.0,,552013000.0,,,,575687000.0,-12816000.0,573162000.0,181179000.0,391528000.0,3.54,3.49,110603070.0,112272319.0,175960000.0,,,,,,,,,,396891000.0,,,16971380000.0,,,,,,,,,12788327000.0,3813959000.0,545602000.0,4183053000.0,16971380000.0,,,,,,,,,,,684482000.0,830901000.0,373897000.0,200256000.0,0.0,,2927000.0,,,-120600000.0,,9097000.0,-752655000.0,-189719000.0,
2011-12-31,3377401000.0,,729762000.0,,,,763919000.0,-19880000.0,755666000.0,237326000.0,517885000.0,4.78,4.72,108278113.0,109815390.0,84113000.0,,,,-1552760000.0,,,,,,396891000.0,,,17156391000.0,,,,,,,,,12927483000.0,3634481000.0,549423000.0,4228908000.0,17156391000.0,,14954000.0,67826000.0,,,22565000.0,,,,,859464000.0,1104231000.0,410356000.0,224335000.0,6246000.0,,5386000.0,,,-312133000.0,162613000.0,13121000.0,-824485000.0,-281566000.0,
2012-03-31,897923000.0,,165229000.0,,,,190649000.0,19827000.0,170235000.0,51558000.0,118677000.0,1.19,1.17,100068360.0,101260292.0,78302000.0,,,,,,,,,,396891000.0,,,16734412000.0,,,,,,,,,12900258000.0,3349856000.0,501290000.0,3834154000.0,16734412000.0,,,,,,,,,,,284047000.0,231370000.0,29441000.0,55033000.0,3655000.0,,479000.0,,,-195415000.0,,9273000.0,-91867000.0,-5811000.0,
2012-06-30,1783718000.0,,346948000.0,,,,379478000.0,21366000.0,356615000.0,108950000.0,247665000.0,2.51,2.48,98482330.0,99682880.0,70666000.0,,,,,,,,,,396891000.0,,,17185003000.0,,,,,,,,,13187342000.0,3462272000.0,734379000.0,3997661000.0,17185003000.0,,,,,,,,,,,447131000.0,429747000.0,155637000.0,131027000.0,1077000.0,,2681000.0,,,-255884000.0,,10254000.0,-203021000.0,-13447000.0,
