Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-06-30,,,107530000.0,7493000.0,,74587000.0,32943000.0,-12630000.0,20313000.0,180000.0,20133000.0,0.3,0.3,67134999.0,67718654.0,78746000.0,,,139728000.0,,,,301327000.0,,74729000.0,527136000.0,,116000.0,1212775000.0,44736000.0,,,90936000.0,,,,26261000.0,749695000.0,-461525000.0,-11899000.0,463080000.0,1212775000.0,,3717000.0,,-16627000.0,-12591000.0,,1183000.0,2927000.0,,,27984000.0,,,,,,3404000.0,,,-3400000.0,0.0,,-24421000.0,163000.0,
2011-09-30,,,196189000.0,11669000.0,,119068000.0,77121000.0,-19303000.0,57818000.0,306000.0,57512000.0,,,,,138720000.0,,,103633000.0,,,,362522000.0,,73663000.0,527136000.0,,70000.0,1260376000.0,41179000.0,,,99543000.0,,,,26474000.0,758515000.0,-424146000.0,-12242000.0,501861000.0,1260376000.0,,5462000.0,,54472000.0,-23504000.0,,-1696000.0,-630000.0,,,89015000.0,,,,,,4461000.0,,,-4457000.0,0.0,,-24421000.0,60137000.0,
2011-12-31,,,294654000.0,16476000.0,,181673000.0,112981000.0,-26015000.0,86966000.0,-237677000.0,324643000.0,,,,,93126000.0,,,162124000.0,14395000.0,,,383265000.0,,84384000.0,547473000.0,,78000.0,1552793000.0,81053000.0,,,165390000.0,,,,43514000.0,783904000.0,-157015000.0,-15357000.0,768889000.0,1552793000.0,,8646000.0,-238170000.0,22235000.0,11224000.0,,6834000.0,18517000.0,,,169712000.0,,,,,83907000.0,12060000.0,,,-95953000.0,0.0,200000.0,-59216000.0,14543000.0,-437000.0
2012-03-31,,,111005000.0,5055000.0,,51512000.0,59493000.0,-10389000.0,49104000.0,19044000.0,30060000.0,0.45,0.44,67200480.0,68637927.0,91730000.0,,,200129000.0,15778000.0,,,425924000.0,,84422000.0,547782000.0,,220000.0,1571717000.0,91097000.0,,,167241000.0,,,,44115000.0,770944000.0,-126955000.0,-15426000.0,800773000.0,1571717000.0,,2439000.0,18239000.0,3255000.0,37700000.0,,530000.0,9663000.0,,,38584000.0,,,,,2279000.0,2138000.0,,,-4417000.0,,731000.0,-35563000.0,-1396000.0,
2012-06-30,,,198434000.0,10758000.0,,101783000.0,96651000.0,-31848000.0,64803000.0,25408000.0,39395000.0,0.59,0.57,67309260.0,68645533.0,10307000.0,,,227038000.0,17000000.0,,,358956000.0,,85786000.0,547968000.0,,44000.0,1491775000.0,75391000.0,59881000.0,,167427000.0,,,,44229000.0,1087169000.0,-117620000.0,-14722000.0,404606000.0,1491775000.0,,5257000.0,23610000.0,-10676000.0,64609000.0,,306000.0,-6043000.0,,,59707000.0,,,,,2279000.0,5504000.0,,,-7767000.0,,1546000.0,-134759000.0,-82819000.0,
2012-12-31,,,440400000.0,23499000.0,,216845000.0,223555000.0,-67203000.0,156352000.0,63129000.0,93223000.0,,,,,108023000.0,,,225817000.0,185441000.0,,,522553000.0,,104718000.0,552943000.0,,153000.0,1603847000.0,94543000.0,,,294859000.0,,,,46342000.0,1140219000.0,-63792000.0,-14496000.0,463628000.0,1603847000.0,,10780000.0,62429000.0,137000.0,31656000.0,,8416000.0,-3898000.0,,,235594000.0,,,,,47044000.0,22392000.0,,,-69345000.0,0.0,4588000.0,-151352000.0,14897000.0,2811000.0
2013-03-31,,,153462000.0,6645000.0,,56937000.0,96525000.0,-17101000.0,79424000.0,28750000.0,50674000.0,0.75,0.73,67864475.0,69554941.0,54337000.0,,,258821000.0,37538000.0,,,525195000.0,,106474000.0,552943000.0,,22000.0,1591726000.0,117134000.0,,,258131000.0,,,,47299000.0,1076132000.0,-13118000.0,-13494000.0,515594000.0,1591726000.0,,2931000.0,20075000.0,34648000.0,33007000.0,,-13000.0,22601000.0,,,38266000.0,,,,,0.0,4322000.0,,,-4322000.0,,7694000.0,-87640000.0,-53686000.0,
2013-06-30,,,284415000.0,13709000.0,,111457000.0,172958000.0,-46745000.0,126213000.0,47285000.0,78928000.0,1.16,1.13,68140330.0,69809599.0,126598000.0,,,287258000.0,30838000.0,,,611069000.0,,109481000.0,551242000.0,,22000.0,1675367000.0,112155000.0,,,244527000.0,,,,47570000.0,1469426000.0,10202000.0,-12472000.0,205941000.0,1675367000.0,,6192000.0,35324000.0,36908000.0,62561000.0,,-182000.0,18984000.0,,,74318000.0,,,,,-6278000.0,10051000.0,,,-1484000.0,,8401000.0,-54230000.0,18575000.0,
2013-09-30,,,423878000.0,20892000.0,,163631000.0,260247000.0,-59989000.0,200258000.0,74237000.0,126021000.0,1.85,1.81,68198006.0,69887025.0,116521000.0,,,296048000.0,27333000.0,,,615960000.0,,120812000.0,589599000.0,,68000.0,1733055000.0,101707000.0,,,240896000.0,,,,57148000.0,1475715000.0,57295000.0,-11229000.0,257340000.0,1733055000.0,,9471000.0,57363000.0,16268000.0,61310000.0,,5000.0,-6605000.0,,,155213000.0,,,,,73961000.0,14257000.0,,,-85889000.0,,9491000.0,-60773000.0,8498000.0,
2013-12-31,,,569560000.0,29271000.0,,218095000.0,351465000.0,-72749000.0,278716000.0,104177000.0,174539000.0,2.56,2.51,68081632.0,69667529.0,150147000.0,,,300253000.0,97007000.0,,,654179000.0,,146390000.0,608287000.0,,1369000.0,1798205000.0,109238000.0,,3325000.0,250845000.0,19767000.0,14966000.0,,54940000.0,1481134000.0,105813000.0,-2415000.0,317071000.0,1798205000.0,,12368000.0,82675000.0,5257000.0,52488000.0,,10902000.0,-5847000.0,,,259944000.0,,,,,116113000.0,30770000.0,,,-144549000.0,,11553000.0,-73399000.0,42124000.0,25821000.0
