Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2015-09-30,53660000000.0,19976000000.0,,8772000000.0,,39680000000.0,13980000000.0,471000000.0,14451000000.0,3026000000.0,11425000000.0,,,,,18068000000.0,54699000000.0,9749000000.0,,2212000000.0,,,88103000000.0,,28338000000.0,15675000000.0,,,144281000000.0,1549000000.0,4598000000.0,705000000.0,18457000000.0,133000000.0,1976000000.0,,1884000000.0,,85969000000.0,-1592000000.0,116241000000.0,144281000000.0,,3767000000.0,-566000000.0,336000000.0,,,,-168000000.0,-55000000.0,,19609000000.0,,,,1771000000.0,,7815000000.0,,,-18224000000.0,,354000000.0,-1312000000.0,-279000000.0,
2015-12-31,74989000000.0,28164000000.0,,12282000000.0,,55629000000.0,19360000000.0,291000000.0,19651000000.0,3303000000.0,16348000000.0,,,,,16549000000.0,56517000000.0,11556000000.0,,62000000.0,,,90114000000.0,,29016000000.0,15869000000.0,3847000000.0,,147461000000.0,1931000000.0,4768000000.0,788000000.0,19310000000.0,151000000.0,189000000.0,,1822000000.0,,89223000000.0,-1874000000.0,120331000000.0,147461000000.0,,5203000000.0,-258000000.0,2094000000.0,,,,203000000.0,43000000.0,,26024000000.0,,,,2172000000.0,,9915000000.0,,,-23711000000.0,,548000000.0,-3677000000.0,-1798000000.0,
2016-03-31,20257000000.0,7648000000.0,,3367000000.0,,14915000000.0,5342000000.0,-213000000.0,5129000000.0,922000000.0,4207000000.0,,,,,15111000000.0,60153000000.0,10818000000.0,,,,,90955000000.0,,30162000000.0,15866000000.0,3657000000.0,,149747000000.0,1667000000.0,4517000000.0,933000000.0,17684000000.0,131000000.0,599000000.0,,1965000000.0,26178000000.0,91168000000.0,-1294000000.0,123569000000.0,149747000000.0,,1494000000.0,,-818000000.0,,,,-269000000.0,18000000.0,,7658000000.0,,,,321000000.0,,2428000000.0,,,-6245000000.0,,,-2911000000.0,-1438000000.0,
2016-06-30,41757000000.0,15778000000.0,,6730000000.0,,30447000000.0,11310000000.0,151000000.0,11248000000.0,2164000000.0,9084000000.0,,,,,13627000000.0,64833000000.0,11686000000.0,,,,,94238000000.0,,31413000000.0,15841000000.0,3452000000.0,,154292000000.0,1716000000.0,4502000000.0,900000000.0,17341000000.0,151000000.0,651000000.0,,2151000000.0,26413000000.0,94737000000.0,-1151000000.0,127879000000.0,154292000000.0,,2997000000.0,,17000000.0,,,,-221000000.0,3000000.0,,16778000000.0,,,,583000000.0,,4551000000.0,,,-13418000000.0,,,-6351000000.0,-2922000000.0,-24000000.0
2016-09-30,64208000000.0,24477000000.0,,10326000000.0,,47131000000.0,17077000000.0,278000000.0,17293000000.0,3148000000.0,14145000000.0,,,,,9406000000.0,73650000000.0,11979000000.0,559000000.0,,,,98546000000.0,,32753000000.0,16028000000.0,3367000000.0,,159948000000.0,2175000000.0,4840000000.0,923000000.0,14323000000.0,169000000.0,393000000.0,,2561000000.0,25845000000.0,99798000000.0,-1032000000.0,134103000000.0,159948000000.0,,4857000000.0,,299000000.0,,,,238000000.0,42000000.0,,26623000000.0,,,,673000000.0,,7134000000.0,,,-26463000000.0,,,-7440000000.0,-7143000000.0,934000000.0
2016-12-31,90272000000.0,35138000000.0,,13948000000.0,,66556000000.0,23716000000.0,434000000.0,24150000000.0,4672000000.0,19478000000.0,,,,,12918000000.0,73415000000.0,14137000000.0,268000000.0,157000000.0,,,105408000000.0,,34234000000.0,16468000000.0,3307000000.0,,167497000000.0,2041000000.0,6144000000.0,1099000000.0,16756000000.0,202000000.0,226000000.0,,2665000000.0,28461000000.0,105131000000.0,-2402000000.0,139036000000.0,167497000000.0,,6703000000.0,-120000000.0,2578000000.0,,,,110000000.0,223000000.0,,36036000000.0,,,,1109000000.0,,10212000000.0,,,-31165000000.0,,,-8332000000.0,-3631000000.0,1643000000.0
2017-03-31,24750000000.0,9795000000.0,,3942000000.0,,18182000000.0,6568000000.0,251000000.0,6819000000.0,1393000000.0,5426000000.0,7.85,7.73,,,18132000000.0,74307000000.0,12913000000.0,280000000.0,,,,108794000000.0,,35936000000.0,16547000000.0,3137000000.0,,172756000000.0,2306000000.0,5438000000.0,1148000000.0,15256000000.0,323000000.0,604000000.0,,2763000000.0,27807000000.0,109420000000.0,-2169000000.0,144949000000.0,172756000000.0,,2009000000.0,,-1267000000.0,,,,103000000.0,111000000.0,,9548000000.0,,,,354000000.0,,2508000000.0,,,-2851000000.0,,,-1674000000.0,5214000000.0,
2017-06-30,50760000000.0,20168000000.0,,8114000000.0,,40060000000.0,10700000000.0,496000000.0,11196000000.0,2246000000.0,8950000000.0,12.94,12.74,,,15711000000.0,79002000000.0,14003000000.0,398000000.0,,,,112386000000.0,,37676000000.0,16604000000.0,2933000000.0,,178621000000.0,2488000000.0,8560000000.0,1226000000.0,18685000000.0,345000000.0,,,2853000000.0,30335000000.0,111505000000.0,-1728000000.0,148286000000.0,178621000000.0,,4012000000.0,,-431000000.0,,,,119000000.0,195000000.0,,16951000000.0,,,,694000000.0,,5339000000.0,,,-10023000000.0,,,-4414000000.0,2793000000.0,
2017-09-30,78532000000.0,31316000000.0,,12319000000.0,,60050000000.0,18482000000.0,693000000.0,19175000000.0,3493000000.0,15682000000.0,22.65,22.3,,,10581000000.0,89562000000.0,15295000000.0,765000000.0,,,2860000000.0,119345000000.0,,40120000000.0,16731000000.0,2883000000.0,2683000000.0,189536000000.0,2674000000.0,9307000000.0,1269000000.0,20693000000.0,346000000.0,,,2924000000.0,32436000000.0,118237000000.0,-746000000.0,157100000000.0,189536000000.0,,5832000000.0,,719000000.0,,,2086000000.0,58000000.0,228000000.0,,26823000000.0,,,,871000000.0,,8877000000.0,,,-24427000000.0,,,-5120000000.0,-2337000000.0,
2017-12-31,110855000000.0,45583000000.0,,16625000000.0,,84709000000.0,26146000000.0,1047000000.0,27193000000.0,14531000000.0,12662000000.0,,,,,10715000000.0,91156000000.0,18336000000.0,749000000.0,250000000.0,,2983000000.0,124308000000.0,,42383000000.0,16747000000.0,2692000000.0,2672000000.0,197295000000.0,3137000000.0,10177000000.0,1432000000.0,24183000000.0,340000000.0,,,3059000000.0,44793000000.0,113247000000.0,-992000000.0,152502000000.0,197295000000.0,,7700000000.0,177000000.0,3768000000.0,,,2164000000.0,731000000.0,390000000.0,,37091000000.0,,,,1745000000.0,,13184000000.0,,,-31401000000.0,,,-8298000000.0,-2203000000.0,6191000000.0
2018-03-31,31146000000.0,13467000000.0,,5039000000.0,,24145000000.0,7001000000.0,3542000000.0,10543000000.0,1142000000.0,9401000000.0,13.53,13.33,,,12658000000.0,90227000000.0,16777000000.0,636000000.0,,,3426000000.0,123761000000.0,,48845000000.0,17862000000.0,2809000000.0,2004000000.0,206935000000.0,3526000000.0,10065000000.0,1596000000.0,25394000000.0,315000000.0,,12885000000.0,3149000000.0,46110000000.0,120008000000.0,-670000000.0,160825000000.0,206935000000.0,,2457000000.0,,-1700000000.0,,,241000000.0,122000000.0,130000000.0,,11642000000.0,,,,327000000.0,,7299000000.0,,,-7846000000.0,,,-2018000000.0,1943000000.0,
2018-06-30,63803000000.0,27350000000.0,,10153000000.0,,53995000000.0,9808000000.0,4950000000.0,14758000000.0,2162000000.0,12596000000.0,18.13,17.89,,,14148000000.0,88106000000.0,17043000000.0,698000000.0,,,3961000000.0,124157000000.0,,51672000000.0,17895000000.0,2662000000.0,3052000000.0,211610000000.0,3369000000.0,15261000000.0,1714000000.0,29903000000.0,,,11652000000.0,3237000000.0,49610000000.0,121282000000.0,-1525000000.0,162000000000.0,211610000000.0,,4870000000.0,,-1388000000.0,,,756000000.0,-23000000.0,295000000.0,,21774000000.0,,,,732000000.0,,12776000000.0,,,-11220000000.0,,,-6955000000.0,3433000000.0,
2018-09-30,97543000000.0,41631000000.0,,15385000000.0,,79425000000.0,18118000000.0,6723000000.0,24841000000.0,3053000000.0,21788000000.0,31.34,30.95,,,13443000000.0,92973000000.0,17897000000.0,1212000000.0,,,4007000000.0,129702000000.0,,55300000000.0,17895000000.0,2448000000.0,2838000000.0,221538000000.0,3789000000.0,15936000000.0,1752000000.0,31301000000.0,,,11562000000.0,3214000000.0,51698000000.0,128405000000.0,-1676000000.0,169840000000.0,221538000000.0,,7100000000.0,,-718000000.0,,,1240000000.0,293000000.0,272000000.0,,34984000000.0,,,,1118000000.0,,18058000000.0,,,-21628000000.0,,,-10433000000.0,2728000000.0,
