Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-08-31,,,,,206990000.0,358031000.0,82107000.0,-3304000.0,,24981000.0,49368000.0,0.62,0.61,,,578213000.0,,150777000.0,6731000.0,4028000.0,,,805269000.0,,202928000.0,582252000.0,202908000.0,21550000.0,1908745000.0,,,,508011000.0,,89858000.0,,35317000.0,871434000.0,592439000.0,-20413000.0,921920000.0,1908745000.0,,3492000.0,3518000.0,18960000.0,-3096000.0,4390000.0,,,,,-104377000.0,,,,,,24785000.0,,,-26820000.0,,118000.0,-61775000.0,-191733000.0,
2010-11-30,,,,,413168000.0,718414000.0,165251000.0,-3532000.0,,49527000.0,102873000.0,1.29,1.28,,,663660000.0,,149366000.0,7737000.0,4027000.0,,,928658000.0,,219944000.0,590911000.0,198687000.0,22310000.0,2056590000.0,,,,605985000.0,,95426000.0,,38825000.0,942846000.0,636594000.0,-4457000.0,988529000.0,2056590000.0,,7690000.0,3287000.0,17549000.0,-1954000.0,8095000.0,,,,,-60916000.0,,,,,,51709000.0,,,-56127000.0,,118000.0,2388000.0,-106286000.0,
2011-02-28,,,,,623019000.0,1096597000.0,243450000.0,-6216000.0,,70489000.0,150661000.0,1.89,1.87,,,1329065000.0,,137653000.0,9834000.0,4288000.0,,,1569712000.0,,244349000.0,765714000.0,347639000.0,23752000.0,3052418000.0,,,,1237918000.0,,101702000.0,,45571000.0,1686510000.0,675182000.0,49283000.0,1096242000.0,3052418000.0,,11748000.0,3639000.0,5836000.0,69000.0,11534000.0,,,,,733291000.0,,,,,,77095000.0,,,-245277000.0,,1335000.0,50008000.0,559119000.0,
2011-05-31,1859802000.0,,,,863191000.0,1528208000.0,331594000.0,-7387000.0,324207000.0,95076000.0,209238000.0,2.62,2.6,,,1354285000.0,,166540000.0,7640000.0,2946000.0,,,1847975000.0,,256301000.0,779637000.0,341500000.0,20978000.0,3350531000.0,,,,1444364000.0,,116432000.0,,49843000.0,1878856000.0,715202000.0,79320000.0,1184535000.0,3350531000.0,,15885000.0,19154000.0,34723000.0,-1979000.0,14425000.0,,,,,709772000.0,,,,,,98537000.0,,,-267020000.0,,9141000.0,114123000.0,584339000.0,
2012-02-29,1606815000.0,,,,737593000.0,1309278000.0,297537000.0,-5535000.0,292002000.0,86082000.0,183075000.0,2.32,2.3,78937000.0,79511000.0,735733000.0,,156038000.0,12380000.0,3943000.0,,,1126499000.0,,288428000.0,760972000.0,318843000.0,23644000.0,2616971000.0,,,,752370000.0,,120748000.0,,56803000.0,1107767000.0,842487000.0,33299000.0,1229977000.0,2616971000.0,73497000.0,12796000.0,5858000.0,-10502000.0,4773000.0,11744000.0,,,,,-226846000.0,,,,,,,,,-113467000.0,,2036000.0,-267996000.0,-618552000.0,46112000.0
2012-05-31,2203847000.0,,,,1027304000.0,1896498000.0,307349000.0,-6902000.0,300447000.0,82881000.0,188161000.0,2.39,2.37,78829000.0,79431000.0,781275000.0,,182962000.0,9864000.0,12560000.0,,,1248739000.0,,305848000.0,724687000.0,290188000.0,21446000.0,2688143000.0,,,,837285000.0,,106644000.0,,62306000.0,1242800000.0,843456000.0,-30000000.0,1172184000.0,2688143000.0,99099000.0,16391000.0,-8012000.0,16422000.0,2394000.0,13519000.0,,,,,-173475000.0,,,,,,,,,-150433000.0,,1441000.0,-218186000.0,-573010000.0,74199000.0
2012-08-31,590287000.0,,,,281419000.0,509799000.0,80488000.0,-1562000.0,78926000.0,24764000.0,46675000.0,0.59,0.59,78604000.0,79043000.0,841331000.0,,179875000.0,12839000.0,25691000.0,,,1336881000.0,,324005000.0,740891000.0,284625000.0,22532000.0,2805492000.0,,,,1045946000.0,,124096000.0,,66966000.0,1522472000.0,889370000.0,1498000.0,1148952000.0,2805492000.0,23895000.0,4222000.0,10273000.0,-3087000.0,2992000.0,3272000.0,,,,,68627000.0,,,,,,,,,-28687000.0,,1733000.0,5983000.0,60056000.0,5155000.0
2012-11-30,1178825000.0,,,,557596000.0,981755000.0,197070000.0,-13984000.0,183086000.0,53553000.0,116858000.0,1.49,1.48,78751000.0,79144000.0,998261000.0,,183256000.0,14147000.0,6464000.0,,,1489920000.0,,338195000.0,1059520000.0,416170000.0,26950000.0,3428721000.0,,,,1037470000.0,,167365000.0,,71097000.0,2053920000.0,957978000.0,18432000.0,1233964000.0,3428721000.0,52055000.0,9178000.0,30055000.0,-721000.0,4297000.0,6600000.0,,,,,124793000.0,,,,,,,,,-462639000.0,,1791000.0,537316000.0,216986000.0,23236000.0
2013-02-28,1757571000.0,,,,829292000.0,1469727000.0,287844000.0,-18511000.0,269333000.0,76986000.0,175320000.0,2.24,2.23,78364000.0,78747000.0,682960000.0,,166271000.0,11349000.0,6350000.0,,,1146862000.0,,341573000.0,1051614000.0,412995000.0,29554000.0,3076224000.0,,,,673828000.0,,162389000.0,,71307000.0,1790986000.0,946195000.0,-6774000.0,1147087000.0,3076224000.0,82947000.0,14063000.0,27282000.0,-17706000.0,1535000.0,9235000.0,,,,,204767000.0,,,,,,,,,-506285000.0,,1791000.0,196148000.0,-98315000.0,48966000.0
2013-05-31,2375923000.0,,,,1119860000.0,2018710000.0,357213000.0,-22929000.0,334284000.0,95571000.0,216125000.0,2.78,2.76,77767000.0,78227000.0,680470000.0,,189435000.0,11057000.0,-69060000.0,,,1214492000.0,,348064000.0,1044222000.0,400848000.0,22252000.0,3125056000.0,,,,704114000.0,,75545000.0,,72478000.0,1838449000.0,958751000.0,-15062000.0,1146085000.0,3125056000.0,111788000.0,18427000.0,42238000.0,5458000.0,1187000.0,11858000.0,,,,,240546000.0,,,,,,98590000.0,,,-528567000.0,,1863000.0,183522000.0,-100805000.0,55218000.0
2013-11-30,1263807000.0,,,,585601000.0,1044516000.0,219291000.0,-7278000.0,212013000.0,60448000.0,138540000.0,1.9,1.88,72974000.0,73504000.0,1096833000.0,,195788000.0,8886000.0,6459000.0,,,2058308000.0,,357880000.0,1063310000.0,379350000.0,22384000.0,3981564000.0,,,,1573005000.0,,172988000.0,,81342000.0,2749880000.0,896597000.0,2235000.0,1087113000.0,3981564000.0,57392000.0,11965000.0,,6353000.0,-2237000.0,6567000.0,,,,,411683000.0,,,,,,41178000.0,,,-39072000.0,,4415000.0,47518000.0,416363000.0,45620000.0
2014-02-28,1880259000.0,,,,871825000.0,1563677000.0,316582000.0,-20791000.0,295791000.0,84105000.0,193661000.0,2.67,2.65,72598000.0,73152000.0,1013560000.0,,174993000.0,7315000.0,6282000.0,,,1533255000.0,,364725000.0,1064868000.0,364513000.0,25172000.0,3455715000.0,,,,688002000.0,,165697000.0,,86251000.0,2192006000.0,940545000.0,-5745000.0,1130108000.0,3455715000.0,87198000.0,17269000.0,,-14442000.0,-3811000.0,9145000.0,,,,,314401000.0,,,,,,61270000.0,,,-58271000.0,,4782000.0,90968000.0,333090000.0,72457000.0
2014-05-31,2554236000.0,,,,1203512000.0,2148737000.0,405499000.0,-28149000.0,377350000.0,107398000.0,245286000.0,3.4,3.37,72119000.0,72688000.0,581872000.0,,214574000.0,6636000.0,-94284000.0,,,1643444000.0,,369753000.0,1337285000.0,535173000.0,31067000.0,4018650000.0,,,,1211618000.0,,107171000.0,,89132000.0,2885851000.0,815980000.0,-1776000.0,997227000.0,4018650000.0,122069000.0,29793000.0,6289000.0,18539000.0,-4793000.0,11569000.0,,,,,194098000.0,,,,,,81411000.0,,,-501670000.0,,6475000.0,218896000.0,-98598000.0,94938000.0
2014-08-31,704895000.0,,,,320658000.0,580497000.0,124398000.0,-9818000.0,114580000.0,30146000.0,75366000.0,1.11,1.1,68146000.0,68617000.0,595884000.0,,206641000.0,5660000.0,12793000.0,,,2006724000.0,,363415000.0,1324374000.0,511265000.0,32765000.0,4339356000.0,,,,1579497000.0,,209941000.0,,90655000.0,3268843000.0,822461000.0,-19351000.0,942251000.0,4339356000.0,34566000.0,4066000.0,,-7933000.0,-981000.0,2742000.0,,,,,-63473000.0,,,,,,18157000.0,,,-12183000.0,,3154000.0,94085000.0,14012000.0,
2014-11-30,1402186000.0,,,,636169000.0,1153804000.0,248382000.0,-18886000.0,229496000.0,59806000.0,150147000.0,2.22,2.2,67764000.0,68179000.0,644469000.0,,197053000.0,8002000.0,12761000.0,,,2025255000.0,,362809000.0,1483615000.0,542992000.0,31755000.0,4541587000.0,,,,1676133000.0,,200848000.0,,88245000.0,3519351000.0,852972000.0,-102726000.0,894665000.0,4541587000.0,69172000.0,9145000.0,,-17521000.0,1506000.0,4881000.0,,,,,226936000.0,,,,,,33290000.0,,,-246194000.0,,3599000.0,105005000.0,62597000.0,
2015-02-28,2067169000.0,,,,946282000.0,1714172000.0,352997000.0,-31155000.0,321842000.0,82837000.0,212715000.0,3.15,3.13,67476000.0,67891000.0,610148000.0,,170895000.0,5587000.0,11933000.0,,,1593150000.0,,355885000.0,1422900000.0,516083000.0,36753000.0,4018320000.0,,,,1242700000.0,,201737000.0,,86255000.0,3076692000.0,861955000.0,-184226000.0,825073000.0,4018320000.0,102812000.0,14827000.0,,-32124000.0,256000.0,7159000.0,,,,,347085000.0,,,,,,56746000.0,,,-278794000.0,,3851000.0,10752000.0,28276000.0,
2015-05-31,2773718000.0,,,,1295014000.0,2317121000.0,456597000.0,-39487000.0,417110000.0,107995000.0,278040000.0,4.15,4.12,67036000.0,67461000.0,650739000.0,,202390000.0,5228000.0,-172427000.0,,,3302295000.0,,374143000.0,1491833000.0,560136000.0,34563000.0,5793548000.0,,,,3015904000.0,,172427000.0,,19422000.0,4929995000.0,795226000.0,-185992000.0,757976000.0,5793548000.0,137505000.0,21056000.0,89414000.0,-1248000.0,-127000.0,9317000.0,,,,,424701000.0,,,,,,92550000.0,,,-440921000.0,,5176000.0,141375000.0,68867000.0,66726000.0
