Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,,,,,,,,6444000000.0,13385000000.0,23.74,22.13,512300000.0,550900000.0,,,,,,,,,,,,,,848942000000.0,,,,,,,,,778228000000.0,50252000000.0,-362000000.0,70714000000.0,848942000000.0,,2009000000.0,-431000000.0,,,,,,,,48875000000.0,2722000000.0,,2553000000.0,,221000000.0,,,,-1561000000.0,,135000000.0,-22828000000.0,24486000000.0,4780000000.0
2010-03-31,,,,,,,,,,1703000000.0,3456000000.0,6.02,5.59,546000000.0,590000000.0,,,,,,,,,,,,,,880528000000.0,,,,,,,,,807584000000.0,53345000000.0,-356000000.0,72944000000.0,880528000000.0,,2160000000.0,,,,,,,,,-7504000000.0,864000000.0,,674000000.0,,699000000.0,,,,-966000000.0,,243000000.0,-2757000000.0,-11227000000.0,778000000.0
2010-06-30,,,,,,,,,,2538000000.0,4069000000.0,6.87,6.41,542900000.0,585200000.0,,,,,,,,,,11958000000.0,,,,883188000000.0,,,,,,,,,809369000000.0,53599000000.0,-318000000.0,73819000000.0,883188000000.0,,2594000000.0,,,,,,,,,2449000000.0,1248000000.0,,1269000000.0,,753000000.0,,,,-690000000.0,,271000000.0,-7449000000.0,-5690000000.0,2770000000.0
2010-09-30,,,,,,,,,,3451000000.0,5967000000.0,10.06,9.39,542300000.0,584400000.0,,,,,,,,,,11410000000.0,,,,908679000000.0,,,,,,,,,833022000000.0,55136000000.0,-284000000.0,75657000000.0,908679000000.0,,3539000000.0,,,,,,,,,3125000000.0,1748000000.0,,1869000000.0,,779000000.0,,,,-777000000.0,,297000000.0,-4510000000.0,-2162000000.0,3090000000.0
2010-12-31,,,,,,,,,,4538000000.0,8354000000.0,14.15,13.18,542000000.0,585300000.0,,,,,6503000000.0,,,,,11106000000.0,,,,911332000000.0,,,,,,,,,833976000000.0,57163000000.0,-286000000.0,77356000000.0,911332000000.0,,4035000000.0,1339000000.0,,,,,,,,-6157000000.0,1885000000.0,,2288000000.0,,804000000.0,,,,-185000000.0,,352000000.0,7839000000.0,1497000000.0,4480000000.0
2011-03-31,,,,,,,,,,1305000000.0,2735000000.0,1.66,1.56,540600000.0,583000000.0,,,,,,,,,,10184000000.0,,,,933289000000.0,,,,,,,,,860820000000.0,57803000000.0,-330000000.0,72469000000.0,933289000000.0,,1512000000.0,,,,,,,,,1900000000.0,761000000.0,,930000000.0,,5000000.0,,,,112000000.0,,333000000.0,883000000.0,2895000000.0,296000000.0
2011-06-30,,,,,,,,,5652000000.0,1830000000.0,3822000000.0,3.62,3.4,536200000.0,576400000.0,,,,,,,,,,9743000000.0,3323000000.0,,,936910000000.0,,,,,,,,,864554000000.0,58659000000.0,-347000000.0,72356000000.0,936910000000.0,,1985000000.0,,,,,,,,,12655000000.0,1122000000.0,,1339000000.0,,247000000.0,,,,449000000.0,,346000000.0,-7459000000.0,5645000000.0,1790000000.0
2011-09-30,,,,,,,,,4922000000.0,1493000000.0,3429000000.0,2.84,2.7,530100000.0,566600000.0,,,,,,,,,,9484000000.0,3643000000.0,,,948909000000.0,,,,,,,,,878821000000.0,58043000000.0,-314000000.0,70088000000.0,948909000000.0,,2431000000.0,,,,,,,,,2430000000.0,2352000000.0,,2546000000.0,,265000000.0,,,,988000000.0,,353000000.0,997000000.0,4415000000.0,1640000000.0
2011-12-31,,,,,,,,,6169000000.0,1727000000.0,4442000000.0,4.71,4.51,524600000.0,556900000.0,,,,,6225000000.0,,,,,8697000000.0,3802000000.0,,,923225000000.0,,,,,,,,,852846000000.0,58834000000.0,-516000000.0,70379000000.0,923225000000.0,,2849000000.0,726000000.0,,,,,,,,21645000000.0,2752000000.0,,3129000000.0,,431000000.0,,,,1485000000.0,,358000000.0,-6910000000.0,16220000000.0,1780000000.0
2012-03-31,,,,,,,,,3181000000.0,1072000000.0,2109000000.0,4.05,3.92,510800000.0,529200000.0,,,,,,,,,,8597000000.0,3782000000.0,,,950932000000.0,,,,,,,,,879276000000.0,60723000000.0,-507000000.0,71656000000.0,950932000000.0,,643000000.0,,,,,,,,,3538000000.0,653000000.0,,699000000.0,,39000000.0,,,,-240000000.0,,70000000.0,-2168000000.0,1130000000.0,
2012-06-30,,,,,,,,,4596000000.0,1525000000.0,3071000000.0,5.9,5.72,506100000.0,524700000.0,,,,,,,,,,8616000000.0,3779000000.0,,,948638000000.0,,,,,,,,,875783000000.0,61412000000.0,-506000000.0,72855000000.0,948638000000.0,,890000000.0,,,,,,,,,8905000000.0,1988000000.0,,1386000000.0,,355000000.0,,,,-1181000000.0,,76000000.0,-4819000000.0,2905000000.0,671000000.0
