Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,,,,,,,,,63727000.0,-24774000.0,88501000.0,0.04,0.04,716580.0,719387.0,1125776000.0,,,,,,,,,492859000.0,444268000.0,,,51770838000.0,,,,,,,,,46332402000.0,-2910115000.0,-84398000.0,5438436000.0,51770838000.0,,,,,,,,,,,784649000.0,3985907000.0,1691002000.0,2303397000.0,,,32121000.0,,-1442000.0,-563222000.0,0.0,,-616995000.0,-395568000.0,148210000.0
2010-09-30,,,,,,,,,194362000.0,29690000.0,189447000.0,0.14,0.14,716911.0,719567.0,1139226000.0,,,,,,,,,489349000.0,444268000.0,,,53246776000.0,,,,,,,,,47679373000.0,-2846392000.0,-28396000.0,5567403000.0,53246776000.0,,,,,,,,,,,866116000.0,6610248000.0,2639403000.0,3120777000.0,,,45951000.0,,-1917000.0,-1834516000.0,0.0,,586282000.0,-382118000.0,148518000.0
2010-12-31,,,,,,,,,352311000.0,39964000.0,312347000.0,0.19,0.19,726934000.0,729532000.0,847888000.0,,,,,,,,,491602000.0,444268000.0,,,53819642000.0,,,,,,,,,48839100000.0,-2814433000.0,-197496000.0,4980542000.0,53819642000.0,,,,,,,,,,,840823000.0,8769767000.0,3288714000.0,4280518000.0,,,68200000.0,,-3770000.0,-2776784000.0,886172000.0,,1262505000.0,-673456000.0,-121401000.0
2011-03-31,,,,,,,,,161191000.0,34745000.0,126446000.0,0.14,0.14,863359000.0,867237000.0,1208820000.0,,,,,,,,,500736000.0,444268000.0,,,52948509000.0,,,,,,,,,47909910000.0,-2704350000.0,-203921000.0,5038599000.0,52948509000.0,,,,,,,,,,,754961000.0,1287517000.0,449045000.0,1457057000.0,,,26587000.0,,-92000.0,341684000.0,,,-735713000.0,360932000.0,12033000.0
2011-06-30,,,,,,,,,356089000.0,83725000.0,272364000.0,0.3,0.3,863358000.0,867469000.0,983882000.0,,,,,,,,,528590000.0,444268000.0,,,53050039000.0,,,,,,,,,47797396000.0,-2574855000.0,-122543000.0,5252643000.0,53050039000.0,,,,,,,,,,,1190355000.0,2342790000.0,1054306000.0,2697629000.0,,,71827000.0,,-122000.0,-74953000.0,,,-979408000.0,135994000.0,42817000.0
2011-09-30,,,,,,,,,538422000.0,122667000.0,415755000.0,0.45,0.45,863911.0,867633.0,,,,,,,,,,543324000.0,444268000.0,,,54978707000.0,,,,,,,,,49578228000.0,-2474205000.0,-80404000.0,5400479000.0,54978707000.0,,,,,,,,,,,1386714000.0,3578931000.0,1596552000.0,2804769000.0,,,102431000.0,,59763000.0,-617962000.0,,,573636000.0,1342388000.0,68366000.0
2011-12-31,,,,,,,,,707234000.0,164621000.0,542613000.0,0.59,0.59,863691000.0,867624000.0,,,,,364826000.0,,,,,564429000.0,444268000.0,,,54450652000.0,,,,,,,,,49032552000.0,-2389639000.0,-173763000.0,5418100000.0,54450652000.0,,,159193000.0,,,,,,,,1594787000.0,4283866000.0,2489049000.0,3205884000.0,,,143763000.0,,59558000.0,-1304706000.0,0.0,,-22001000.0,268080000.0,80065000.0
2012-03-31,,,,,,,,,205447000.0,52177000.0,153270000.0,0.17,0.17,864499.0,869164.0,1111217000.0,,,,,,,,,577538000.0,444268000.0,,,55876654000.0,,,,,,,,,50326826000.0,-2279137000.0,-157816000.0,5549828000.0,55876654000.0,,,,,,,,,,,277270000.0,1416630000.0,496689000.0,145938000.0,,,29342000.0,,0.0,-803279000.0,,,521258000.0,-4751000.0,3117000.0
2012-06-30,,,,,,,,,407439000.0,101463000.0,305976000.0,0.34,0.33,863380.0,868357.0,1218588000.0,,,,,,,,,583057000.0,444268000.0,,,56622959000.0,,,,,,,,,50973728000.0,-2168768000.0,-135977000.0,5649231000.0,56622959000.0,,,,,,,,,,,560775000.0,1779203000.0,949026000.0,307160000.0,,,55477000.0,,-2205000.0,-1504160000.0,,,1046005000.0,102620000.0,4703000.0
2012-09-30,,,,,,,,,603497000.0,129754000.0,473743000.0,0.52,0.52,861543000.0,866768000.0,797601000.0,,,,,,,,,590750000.0,444268000.0,,,56443000000.0,,,,,,,,,50635396000.0,-2043405000.0,-84542000.0,5807604000.0,56443000000.0,,,,,,,,,,,674678000.0,2074313000.0,1389995000.0,830528000.0,,,82862000.0,,-3497000.0,-1612535000.0,,,619490000.0,-318367000.0,5581000.0
2012-12-31,,,,,,,,,825117000.0,184095000.0,641022000.0,0.71,0.71,857962000.0,863402000.0,,,,,203875000.0,,,,,617257000.0,444268000.0,,,56153185000.0,,,,,,,,,50362974000.0,-1917933000.0,-150817000.0,5790211000.0,56153185000.0,,,153123000.0,,,,,,,,1002130000.0,2384824000.0,1776594000.0,957930000.0,,,129641000.0,,-4698000.0,-1082978000.0,0.0,,227686000.0,146838000.0,6389000.0
2013-03-31,,,,,,,,,203994000.0,52214000.0,151780000.0,0.17,0.17,841103000.0,848708000.0,828688000.0,,,,,,,,,620833000.0,444268000.0,,,56054966000.0,,,,,,,,,50187828000.0,-1807746000.0,-159955000.0,5867138000.0,56054966000.0,,8021000.0,49939000.0,,,,,,,,211909000.0,618975000.0,438838000.0,230038000.0,,,23942000.0,,-401000.0,-515681000.0,,,-130346000.0,-434118000.0,3254000.0
2013-06-30,,,,,,,,,406999000.0,104568000.0,302431000.0,0.34,0.34,837917000.0,846274000.0,993906000.0,,,,,,,,,626745000.0,444268000.0,,,56113687000.0,,,,,,,,,50330172000.0,-1706673000.0,-283736000.0,5783515000.0,56113687000.0,,17896000.0,72943000.0,,,,,,,,409088000.0,777389000.0,772700000.0,328031000.0,,,49127000.0,,-2015000.0,-605923000.0,,,-72065000.0,-268900000.0,49699000.0
2013-09-30,,,,,,,,,647618000.0,166700000.0,480918000.0,0.55,0.54,835410000.0,844524000.0,1107658000.0,,,,,,,,,639632000.0,444268000.0,,,56648251000.0,,,,,,,,,50686672000.0,-1578401000.0,-230767000.0,5961579000.0,56648251000.0,,27643000.0,54008000.0,,,,,,,,813294000.0,830992000.0,1161018000.0,362434000.0,,,89100000.0,,-2550000.0,-1212768000.0,,,244326000.0,-155148000.0,99538000.0
2013-12-31,,,,,,,,,854555000.0,215814000.0,638741000.0,0.73,0.72,834205000.0,843974000.0,1001132000.0,,,,137568000.0,,,,,634657000.0,444268000.0,,,59476344000.0,,,,,,,,,53377021000.0,-1470154000.0,-214009000.0,6099323000.0,59476344000.0,,37007000.0,97440000.0,,,,,,,,1013245000.0,1416795000.0,1414114000.0,410106000.0,,,102208000.0,,-4345000.0,-4240333000.0,,,2965414000.0,-261674000.0,109432000.0
2014-03-31,,,,,,,,,201240000.0,52097000.0,149143000.0,0.17,0.17,829659000.0,842677000.0,973264000.0,,,,,,,,,628966000.0,505448000.0,,,61145753000.0,,,,,,,,,54969519000.0,-1379832000.0,-201747000.0,6176234000.0,61145753000.0,,9418000.0,-17054000.0,,,,,,,,155964000.0,1655751000.0,265286000.0,1063118000.0,,,10613000.0,,-1704000.0,-956518000.0,2597000.0,,772686000.0,-27868000.0,114000.0
2014-06-30,,,,,,,,,423334000.0,109572000.0,313762000.0,0.36,0.36,825603000.0,838546000.0,1218453000.0,,,,,,,,,622289000.0,505448000.0,,,63797113000.0,,,,,,,,,57556322000.0,-1264129000.0,-159727000.0,6240791000.0,63797113000.0,,22792000.0,-10280000.0,,,,,,,,382599000.0,2603602000.0,498227000.0,1070305000.0,,,22595000.0,223000.0,-2552000.0,-3347255000.0,2597000.0,,3181977000.0,217321000.0,57750000.0
