Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,29569000000.0,,,,,,,,,715000000.0,740000000.0,2.28,2.27,,326000000.0,1362000000.0,,3650000000.0,1438000000.0,,,1263000000.0,7987000000.0,,16627000000.0,1225000000.0,,304000000.0,29465000000.0,4223000000.0,1954000000.0,,6850000000.0,,2222000000.0,,1312000000.0,15937000000.0,12251000000.0,-1675000000.0,13384000000.0,29465000000.0,2254000000.0,128000000.0,-438000000.0,320000000.0,-137000000.0,,,,,,3046000000.0,,,,,,2918000000.0,,21000000.0,-2924000000.0,,,332000000.0,454000000.0,
2010-03-31,9220000000.0,,,,,,,,,398000000.0,538000000.0,1.66,1.65,,327000000.0,1370000000.0,,,1405000000.0,,,1502000000.0,8780000000.0,,16536000000.0,1218000000.0,,285000000.0,29949000000.0,4501000000.0,2005000000.0,,7165000000.0,,2171000000.0,,1268000000.0,15922000000.0,12761000000.0,-1749000000.0,13855000000.0,29949000000.0,542000000.0,24000000.0,19000000.0,,,,,,,,825000000.0,,,,,,788000000.0,,17000000.0,-622000000.0,,,-195000000.0,8000000.0,
2010-06-30,16970000000.0,,,,,,,,,699000000.0,913000000.0,2.81,2.79,325383000.0,327482000.0,1363000000.0,,,1628000000.0,,,1434000000.0,8296000000.0,,16535000000.0,1218000000.0,,271000000.0,29500000000.0,3855000000.0,1956000000.0,,6330000000.0,,2079000000.0,,1225000000.0,14970000000.0,13105000000.0,-1603000000.0,14365000000.0,29500000000.0,1100000000.0,54000000.0,-62000000.0,,,,,,,,1806000000.0,,,,,,1689000000.0,,36000000.0,-1542000000.0,,,-263000000.0,1000000.0,
2010-09-30,25923000000.0,,,,,,,,,899000000.0,2067000000.0,6.36,6.31,325452000.0,327634000.0,2353000000.0,,,1682000000.0,,,865000000.0,8839000000.0,,19084000000.0,2045000000.0,,272000000.0,33485000000.0,4071000000.0,1916000000.0,,6567000000.0,,3059000000.0,,1154000000.0,17657000000.0,14229000000.0,-1377000000.0,15730000000.0,33485000000.0,1684000000.0,84000000.0,-242000000.0,,,,,,,,3052000000.0,,,,,,3151000000.0,,25000000.0,-2993000000.0,,,932000000.0,991000000.0,
2010-12-31,34613000000.0,,,,,,,,,1173000000.0,2125000000.0,6.52,6.47,325999000.0,328277000.0,1608000000.0,,4478000000.0,1452000000.0,-468000000.0,,1002000000.0,8780000000.0,,21127000000.0,2408000000.0,,471000000.0,35396000000.0,4274000000.0,2567000000.0,,7613000000.0,,2995000000.0,,1239000000.0,18587000000.0,14254000000.0,-1159000000.0,16689000000.0,35396000000.0,2317000000.0,112000000.0,-495000000.0,760000000.0,16000000.0,,,,,,4530000000.0,,,,,,5492000000.0,,-50000000.0,-5259000000.0,,,975000000.0,246000000.0,1450000000.0
2011-03-31,10515000000.0,,,,,,,,,511000000.0,929000000.0,2.77,2.74,335818000.0,339159000.0,1968000000.0,,4917000000.0,1552000000.0,,,759000000.0,9436000000.0,,21759000000.0,2394000000.0,,479000000.0,36637000000.0,4304000000.0,2099000000.0,,7351000000.0,,3210000000.0,,1214000000.0,18520000000.0,15151000000.0,-873000000.0,17949000000.0,36637000000.0,558000000.0,20000000.0,-5000000.0,,,,,,,,1135000000.0,,,,,,1082000000.0,,11000000.0,-734000000.0,,,-41000000.0,360000000.0,
2011-06-30,20321000000.0,,,,,,,,2446000000.0,903000000.0,1536000000.0,4.56,4.52,337235000.0,340423000.0,2194000000.0,,4133000000.0,1432000000.0,,,807000000.0,8886000000.0,,22528000000.0,2388000000.0,,487000000.0,36991000000.0,3761000000.0,2151000000.0,,6796000000.0,,3369000000.0,,1198000000.0,18087000000.0,15725000000.0,-662000000.0,18776000000.0,36991000000.0,1146000000.0,48000000.0,-1000000.0,,,,,,,,2824000000.0,,,,,,2457000000.0,,57000000.0,-2155000000.0,,,-83000000.0,586000000.0,
2011-09-30,29047000000.0,,,,,,,,2659000000.0,849000000.0,1834000000.0,5.45,5.4,337380000.0,340222000.0,827000000.0,,3828000000.0,1516000000.0,,,973000000.0,7479000000.0,,24167000000.0,2383000000.0,,597000000.0,37339000000.0,3486000000.0,2258000000.0,,6606000000.0,,3157000000.0,,1233000000.0,18425000000.0,15991000000.0,-867000000.0,18833000000.0,37339000000.0,1732000000.0,77000000.0,-224000000.0,,,,,,,,3846000000.0,,,,,,4891000000.0,,74000000.0,-4475000000.0,,,-152000000.0,-781000000.0,
2011-12-31,37871000000.0,,,,,,,,2461000000.0,785000000.0,1703000000.0,5.05,5.01,336901000.0,339898000.0,351000000.0,,4761000000.0,1423000000.0,488000000.0,,1554000000.0,8339000000.0,,24712000000.0,2305000000.0,,455000000.0,39136000000.0,3712000000.0,3524000000.0,,8100000000.0,,2843000000.0,,1752000000.0,20544000000.0,15826000000.0,-1067000000.0,18516000000.0,39136000000.0,2406000000.0,104000000.0,-623000000.0,243000000.0,-4000000.0,,,,,,4984000000.0,,,,,,7006000000.0,,50000000.0,-6566000000.0,,,325000000.0,-1257000000.0,1384000000.0
2012-03-31,9747000000.0,,,,,,,,898000000.0,338000000.0,545000000.0,1.61,1.6,337981000.0,340336000.0,396000000.0,,4743000000.0,1411000000.0,,,1421000000.0,8212000000.0,,26052000000.0,2293000000.0,,444000000.0,40647000000.0,3891000000.0,3084000000.0,,8191000000.0,,2908000000.0,,1628000000.0,21490000000.0,16337000000.0,-1057000000.0,19063000000.0,40647000000.0,681000000.0,17000000.0,-134000000.0,,,,,,,,988000000.0,,,,,,1878000000.0,,26000000.0,-1772000000.0,,,829000000.0,45000000.0,
