Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,24701000000.0,,,,,,-1728000000.0,,,-841000000.0,-887000000.0,-2.93,-2.93,346300000.0,346300000.0,,,,,3940000000.0,,,,,1026000000.0,1204000000.0,,,307717000000.0,,,,,,,,,289823000000.0,11164000000.0,-3312000000.0,17865000000.0,307717000000.0,470000000.0,,,,,,,,,,2974000000.0,54346000000.0,,,,,,,18000000.0,-3123000000.0,,,523000000.0,,-243000000.0
2010-03-31,6319000000.0,,,,,,535000000.0,,,216000000.0,319000000.0,-0.42,-0.42,393700000.0,393700000.0,,,,,3322000000.0,,,,,1032000000.0,1204000000.0,,,317282000000.0,,,,,,,,,299442000000.0,11006000000.0,-2377000000.0,17840000000.0,317282000000.0,144000000.0,,,,,,,,,,488000000.0,11973000000.0,,,,,,,58000000.0,99000000.0,,,-652000000.0,,87000000.0
2010-06-30,9655000000.0,,,,,,528000000.0,,,133000000.0,395000000.0,-0.24,-0.24,,,,,,,2828000000.0,,,,,1150000000.0,1051000000.0,,,314150000000.0,,,,,,,,,295259000000.0,11049000000.0,-1379000000.0,18891000000.0,314150000000.0,315000000.0,,,,,,,,,,1200000000.0,23796000000.0,,,,,,,-44000000.0,1600000000.0,,,-1967000000.0,,248000000.0
2010-09-30,16328000000.0,,,,,,1450000000.0,,,389000000.0,1061000000.0,1.48,1.34,,,,,,,1721000000.0,,,,,1143000000.0,1051000000.0,,,313926000000.0,,,,,,,,,293017000000.0,11488000000.0,194000000.0,20909000000.0,313926000000.0,449000000.0,,,,,,,,,,2245000000.0,39485000000.0,,,,,,,105000000.0,-286000000.0,,,-2395000000.0,,249000000.0
2011-03-31,6308000000.0,,,,,,,,410000000.0,59000000.0,511000000.0,1.13,1.01,444600000.0,508200000.0,,,,,3401000000.0,,,,,1132000000.0,1051000000.0,,,322538000000.0,,,,,,,,,301539000000.0,12533000000.0,-764000000.0,20999000000.0,322538000000.0,128000000.0,,,,,,,,,,474000000.0,7588000000.0,,7500000000.0,,,,,46000000.0,254000000.0,,,-451000000.0,,26000000.0
2011-06-30,11701000000.0,,,,,,,,242000000.0,-269000000.0,535000000.0,1.16,1.06,445100000.0,505600000.0,,,,,3400000000.0,,,,,1020000000.0,1036000000.0,,,317469000000.0,,,,,,,,,295794000000.0,12503000000.0,-77000000.0,21675000000.0,317469000000.0,384000000.0,,,,,,,,,,964000000.0,17295000000.0,,17500000000.0,,,,,87000000.0,-807000000.0,,,-319000000.0,,246000000.0
2011-09-30,16221000000.0,,,,,3403000000.0,,,138000000.0,-312000000.0,535000000.0,1.13,1.05,445300000.0,481000000.0,,,,,,,,,,1029000000.0,1036000000.0,,,305598000000.0,,,,,,,,,282817000000.0,12447000000.0,1065000000.0,22781000000.0,305598000000.0,532000000.0,,,,,,,,,,1624000000.0,26513000000.0,,26300000000.0,,,,,119000000.0,-896000000.0,,,-239000000.0,,245000000.0
2011-12-31,21859000000.0,,,,,4398000000.0,,,230000000.0,-346000000.0,662000000.0,1.39,1.3,445000000.0,478000000.0,,,,,1398000000.0,,,,,1029000000.0,1006000000.0,,,304064000000.0,,,,,,,,,281154000000.0,12519000000.0,1157000000.0,22910000000.0,304064000000.0,668000000.0,,127000000.0,,,,,,,,2274000000.0,37627000000.0,,0.0,,,,,157000000.0,-1182000000.0,,,-609000000.0,,179000000.0
2012-03-31,7661000000.0,,,,,1312000000.0,,,2000000.0,-95000000.0,96000000.0,0.2,0.18,440700000.0,469000000.0,,,,,2400000000.0,,,,,1017000000.0,1006000000.0,,,310548000000.0,,,,,,482000000.0,,,289274000000.0,11042000000.0,1328000000.0,21274000000.0,310548000000.0,98000000.0,,,,,,,,,,1140000000.0,13048000000.0,,12700000000.0,,,,,4000000.0,-1367000000.0,,,-233000000.0,,-548000000.0
2012-06-30,12235000000.0,,,,,2621000000.0,,,-249000000.0,-244000000.0,-101000000.0,-0.26,-0.26,439400000.0,439400000.0,,,,,,,,,,1001000000.0,1006000000.0,,,303977000000.0,,,,,,1000000000.0,,,282016000000.0,10887000000.0,2256000000.0,21961000000.0,303977000000.0,250000000.0,,,,,,,,,,1236000000.0,24484000000.0,,23400000000.0,,,,,28000000.0,-1551000000.0,,,109000000.0,,-446000000.0
2012-09-30,18677000000.0,,,,,3896000000.0,,,511000000.0,-136000000.0,401000000.0,0.9,0.83,438200000.0,482700000.0,,,,,1248000000.0,,,,,979000000.0,1006000000.0,,,308918000000.0,,,,,,,,,285548000000.0,11235000000.0,3295000000.0,23370000000.0,308918000000.0,366000000.0,,,,,,,,,,2212000000.0,34556000000.0,,34200000000.0,,,,,51000000.0,-1862000000.0,,,-217000000.0,,-448000000.0
2012-12-31,26412000000.0,,,,,5237000000.0,,,-527000000.0,-494000000.0,-38000000.0,-0.18,-0.18,437700000.0,437700000.0,,,,,1942000000.0,,,,,977000000.0,654000000.0,,,298513000000.0,,,,,,,,,276066000000.0,10745000000.0,2843000000.0,22447000000.0,298513000000.0,467000000.0,,-520000000.0,,,,,,,,2681000000.0,42578000000.0,,,,,,,81000000.0,-2557000000.0,,,-228000000.0,,-486000000.0
2013-03-31,9178000000.0,,,,,1032000000.0,,,-449000000.0,-208000000.0,-241000000.0,-0.58,-0.58,436300000.0,436300000.0,,,,,2667000000.0,,,,,921000000.0,498000000.0,,,297021000000.0,,,,,,,,,276101000000.0,10449000000.0,1649000000.0,20920000000.0,297021000000.0,52000000.0,,,,,,,,,,186000000.0,8770000000.0,,8700000000.0,,,,,-10000000.0,307000000.0,,,-852000000.0,,21000000.0
2013-06-30,14508000000.0,,,,,2144000000.0,,,-657000000.0,-353000000.0,-431000000.0,-0.99,-0.99,451400000.0,451400000.0,,,,,3732000000.0,,,,,911000000.0,498000000.0,,,294833000000.0,,,,,,,,,275820000000.0,10213000000.0,74000000.0,19013000000.0,294833000000.0,57000000.0,,,,,,,,,,408000000.0,17623000000.0,,19500000000.0,,,,,-32000000.0,1519000000.0,,,-2371000000.0,,142000000.0
2013-09-30,20149000000.0,,,,,3137000000.0,,,343000000.0,-308000000.0,293000000.0,0.65,0.6,452100000.0,490600000.0,,,,,3893000000.0,,,,,895000000.0,498000000.0,,,283947000000.0,,,,,,,,,265019000000.0,10439000000.0,-17000000.0,18928000000.0,283947000000.0,140000000.0,,,,,,,,,,903000000.0,22857000000.0,,25500000000.0,,,,,-1000000.0,1688000000.0,,,-3454000000.0,,140000000.0
