Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-06-30,3247000000.0,,,,,,176000000.0,,131000000.0,46000000.0,85000000.0,1.73,1.72,48800000.0,49600000.0,381000000.0,,898000000.0,389000000.0,286000000.0,,,1994000000.0,,1985000000.0,1134000000.0,577000000.0,51000000.0,5937000000.0,255000000.0,237000000.0,,1184000000.0,,113000000.0,,54000000.0,4526000000.0,38000000.0,-491000000.0,1411000000.0,5937000000.0,,13000000.0,,171000000.0,114000000.0,,,,,,-178000000.0,,,,,,83000000.0,,,-83000000.0,,,642000000.0,381000000.0,11000000.0
2011-09-30,4840000000.0,,,,,,-190000000.0,,-220000000.0,74000000.0,-248000000.0,-5.07,-5.07,48900000.0,48900000.0,536000000.0,,781000000.0,,268000000.0,,,2082000000.0,,1979000000.0,834000000.0,,55000000.0,5715000000.0,287000000.0,,,1207000000.0,,,,51000000.0,4560000000.0,-210000000.0,-483000000.0,1155000000.0,5715000000.0,,22000000.0,,53000000.0,,,,,,,54000000.0,,,,,,119000000.0,,,-119000000.0,,,601000000.0,536000000.0,
2011-12-31,6575000000.0,,,,,,110000000.0,,6000000.0,100000000.0,-94000000.0,-1.93,-1.93,48800000.0,48800000.0,915000000.0,,711000000.0,,232000000.0,,,2268000000.0,,2033000000.0,844000000.0,,49000000.0,6001000000.0,380000000.0,,,1372000000.0,,,,49000000.0,5129000000.0,-141000000.0,-849000000.0,872000000.0,6001000000.0,,42000000.0,,-17000000.0,,,,,,,528000000.0,,,,,,197000000.0,,0.0,-197000000.0,,,584000000.0,915000000.0,
2012-03-31,1568000000.0,,,,,,80000000.0,,50000000.0,17000000.0,33000000.0,0.67,0.67,49000000.0,49500000.0,551000000.0,,954000000.0,,235000000.0,,,2156000000.0,,2005000000.0,844000000.0,,48000000.0,5824000000.0,293000000.0,,,1252000000.0,,,,51000000.0,4906000000.0,-108000000.0,-834000000.0,918000000.0,5824000000.0,,8000000.0,,243000000.0,,,,,,,-329000000.0,,,,,,27000000.0,,,-27000000.0,,,-8000000.0,-364000000.0,
2012-06-30,3289000000.0,,,,,,186000000.0,,127000000.0,44000000.0,83000000.0,1.69,1.67,49500000.0,50100000.0,669000000.0,,878000000.0,,314000000.0,,,2167000000.0,,1992000000.0,844000000.0,,1653000000.0,5812000000.0,314000000.0,,,1217000000.0,,,,49000000.0,4818000000.0,-58000000.0,,994000000.0,5812000000.0,,16000000.0,,167000000.0,,,,,,,-178000000.0,,,,,,57000000.0,,,-57000000.0,,,-11000000.0,-246000000.0,
2012-09-30,4885000000.0,,,,,,252000000.0,,164000000.0,68000000.0,96000000.0,1.95,1.92,49600000.0,50300000.0,766000000.0,,883000000.0,,281000000.0,,,2226000000.0,,1988000000.0,844000000.0,,1649000000.0,5863000000.0,292000000.0,,,1239000000.0,,,,53000000.0,4825000000.0,-45000000.0,,1038000000.0,5863000000.0,,25000000.0,,172000000.0,,,,,,,-41000000.0,,,,,,92000000.0,,,-92000000.0,,,-16000000.0,-149000000.0,
2013-03-31,1562000000.0,,,,,,95000000.0,,65000000.0,21000000.0,44000000.0,0.88,0.87,49800000.0,50300000.0,652000000.0,,1199000000.0,,526000000.0,,,2391000000.0,,2004000000.0,881000000.0,,,6251000000.0,247000000.0,,,1177000000.0,,,,61000000.0,5544000000.0,39000000.0,-1224000000.0,707000000.0,6251000000.0,,9000000.0,,294000000.0,,,,,,,-362000000.0,,,,,,30000000.0,,,-30000000.0,,3000000.0,-13000000.0,-405000000.0,
2013-06-30,3245000000.0,,,,,,211000000.0,,152000000.0,51000000.0,101000000.0,2.02,2.0,50200000.0,50700000.0,623000000.0,,1101000000.0,,432000000.0,,,2269000000.0,,1990000000.0,881000000.0,,,6047000000.0,287000000.0,,,1220000000.0,,,,64000000.0,5174000000.0,91000000.0,-1096000000.0,873000000.0,6047000000.0,,19000000.0,,196000000.0,,,,,,,-337000000.0,,,,,,55000000.0,,,-55000000.0,,3000000.0,-42000000.0,-434000000.0,
2013-09-30,4882000000.0,,,,,,338000000.0,,251000000.0,81000000.0,170000000.0,3.41,3.37,49900000.0,50600000.0,895000000.0,,1055000000.0,,466000000.0,,,2531000000.0,,1964000000.0,881000000.0,,,6279000000.0,287000000.0,,,1402000000.0,,,,52000000.0,5344000000.0,155000000.0,-1078000000.0,935000000.0,6279000000.0,,28000000.0,,150000000.0,,,,,,,-56000000.0,,,,,,85000000.0,,,-27000000.0,,5000000.0,-79000000.0,-162000000.0,
2013-12-31,6820000000.0,,,22000000.0,,,512000000.0,,394000000.0,133000000.0,261000000.0,5.25,5.18,49700000.0,50400000.0,1043000000.0,,1123000000.0,,87000000.0,,,2676000000.0,,1897000000.0,881000000.0,,1652000000.0,6225000000.0,337000000.0,,,1392000000.0,,83000000.0,,104000000.0,4704000000.0,236000000.0,-521000000.0,1521000000.0,6225000000.0,226000000.0,44000000.0,,218000000.0,,,,,,,236000000.0,,,,,,139000000.0,,,-81000000.0,,24000000.0,-169000000.0,-14000000.0,
