Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2014-03-31,2363000000.0,,,,,2025000000.0,338000000.0,,207000000.0,83000000.0,123000000.0,0.12,0.12,985000000.0,985000000.0,435000000.0,,784000000.0,397000000.0,23000000.0,,68000000.0,2295000000.0,,9031000000.0,6222000000.0,,391000000.0,26393000000.0,,,,1986000000.0,632000000.0,5111000000.0,,1127000000.0,21946000000.0,-5208000000.0,-236000000.0,4536000000.0,26393000000.0,,19000000.0,-52000000.0,,,,,,,,147000000.0,,,,,,43000000.0,16000000.0,,-73000000.0,,,-232000000.0,-159000000.0,22000000.0
2014-06-30,5030000000.0,,,,,4257000000.0,773000000.0,,540000000.0,204000000.0,332000000.0,0.34,0.34,985000000.0,985000000.0,545000000.0,,858000000.0,359000000.0,23000000.0,,65000000.0,2417000000.0,,9036000000.0,6227000000.0,,410000000.0,26497000000.0,,,,2120000000.0,593000000.0,5058000000.0,,1145000000.0,21750000000.0,-4999000000.0,-186000000.0,4834000000.0,26497000000.0,,41000000.0,-42000000.0,,,,,,,,512000000.0,,,,,0.0,110000000.0,21000000.0,,-121000000.0,,,-441000000.0,-49000000.0,141000000.0
2014-09-30,7674000000.0,,,,,6456000000.0,1218000000.0,,854000000.0,331000000.0,515000000.0,0.52,0.52,985000000.0,987000000.0,543000000.0,,862000000.0,350000000.0,23000000.0,,56000000.0,2414000000.0,,9124000000.0,6185000000.0,,390000000.0,26324000000.0,,,,2140000000.0,544000000.0,5137000000.0,,1179000000.0,21574000000.0,-4816000000.0,-404000000.0,4790000000.0,26324000000.0,,57000000.0,-62000000.0,,,,,,,,899000000.0,,,,,,184000000.0,54000000.0,,-200000000.0,,,-743000000.0,-51000000.0,284000000.0
2014-12-31,10502000000.0,,,,,8829000000.0,1673000000.0,,1147000000.0,465000000.0,673000000.0,0.68,0.68,985000000.0,986000000.0,566000000.0,,844000000.0,404000000.0,-5041000000.0,,70000000.0,2499000000.0,,7483000000.0,6154000000.0,1980000000.0,356000000.0,26125000000.0,299000000.0,,52000000.0,2257000000.0,495000000.0,5216000000.0,273000000.0,1168000000.0,21411000000.0,-4658000000.0,-628000000.0,4752000000.0,26125000000.0,,78000000.0,14000000.0,143000000.0,-56000000.0,,,,-179000000.0,,1366000000.0,,,,,0.0,268000000.0,65000000.0,,-310000000.0,0.0,,-1070000000.0,-28000000.0,429000000.0
2015-03-31,2599000000.0,,,,,2254000000.0,490000000.0,,313000000.0,163000000.0,150000000.0,0.15,0.15,986000000.0,988000000.0,547000000.0,,899000000.0,421000000.0,20000000.0,,31000000.0,2489000000.0,,9193000000.0,5916000000.0,,349000000.0,25905000000.0,,,,2298000000.0,447000000.0,5344000000.0,,1169000000.0,21283000000.0,-4508000000.0,-868000000.0,4662000000.0,25905000000.0,,19000000.0,40000000.0,,,,,,,,286000000.0,,,,,1298000000.0,88000000.0,11000000.0,,465000000.0,,8000000.0,-761000000.0,-19000000.0,20000000.0
2015-06-30,5521000000.0,,,,,4746000000.0,917000000.0,,625000000.0,308000000.0,311000000.0,0.32,0.31,987000000.0,989000000.0,511000000.0,,937000000.0,424000000.0,20000000.0,,52000000.0,2501000000.0,,9191000000.0,5945000000.0,,358000000.0,26051000000.0,,,,2426000000.0,395000000.0,5192000000.0,,1181000000.0,20982000000.0,-4347000000.0,-673000000.0,5105000000.0,26051000000.0,,100000000.0,10000000.0,,,,,,,,648000000.0,,,,,1410000000.0,159000000.0,19000000.0,,258000000.0,,8000000.0,-952000000.0,-55000000.0,197000000.0
2015-09-30,8416000000.0,,,,,7142000000.0,1580000000.0,,1155000000.0,555000000.0,590000000.0,0.6,0.6,987000000.0,989000000.0,628000000.0,,929000000.0,430000000.0,20000000.0,,38000000.0,2646000000.0,,9132000000.0,5902000000.0,,368000000.0,25932000000.0,,,,2558000000.0,341000000.0,5293000000.0,,1238000000.0,20752000000.0,-4137000000.0,-793000000.0,5214000000.0,25932000000.0,,114000000.0,34000000.0,,,,,,,,991000000.0,,,,,1410000000.0,214000000.0,27000000.0,,515000000.0,,8000000.0,-1427000000.0,62000000.0,359000000.0
2015-12-31,11272000000.0,,,,,9507000000.0,2071000000.0,,1496000000.0,80000000.0,1404000000.0,1.42,1.42,986000000.0,989000000.0,609000000.0,,876000000.0,442000000.0,4552000000.0,,38000000.0,2585000000.0,,9119000000.0,5887000000.0,1735000000.0,368000000.0,25716000000.0,331000000.0,,65000000.0,2467000000.0,283000000.0,4630000000.0,295000000.0,1282000000.0,19765000000.0,-3392000000.0,-784000000.0,5985000000.0,25716000000.0,,124000000.0,-479000000.0,47000000.0,39000000.0,,,,-212000000.0,,1394000000.0,,,,,1410000000.0,310000000.0,37000000.0,,392000000.0,0.0,8000000.0,-1724000000.0,43000000.0,475000000.0
2016-03-31,2750000000.0,,,,,2341000000.0,409000000.0,,264000000.0,-46000000.0,309000000.0,0.31,0.31,987000000.0,989000000.0,692000000.0,,913000000.0,469000000.0,,,38000000.0,2738000000.0,,9098000000.0,5890000000.0,,297000000.0,25721000000.0,,,,2545000000.0,228000000.0,4593000000.0,,1092000000.0,19516000000.0,-3152000000.0,-774000000.0,6237000000.0,25721000000.0,,11000000.0,-32000000.0,,,,,,,,312000000.0,,,,,0.0,84000000.0,9000000.0,,-96000000.0,,0.0,-137000000.0,83000000.0,39000000.0
2016-06-30,5801000000.0,,,,,4841000000.0,962000000.0,,664000000.0,156000000.0,548000000.0,0.56,0.55,988000000.0,991000000.0,810000000.0,,1005000000.0,459000000.0,,,52000000.0,2930000000.0,,9107000000.0,5862000000.0,,313000000.0,25853000000.0,,,,2663000000.0,161000000.0,4533000000.0,,1060000000.0,19507000000.0,-2984000000.0,-826000000.0,6375000000.0,25853000000.0,,27000000.0,-100000000.0,,,,,,,,655000000.0,,,,,0.0,169000000.0,18000000.0,,-222000000.0,,0.0,-238000000.0,201000000.0,242000000.0
2016-09-30,8743000000.0,,,,,7290000000.0,1455000000.0,,1001000000.0,255000000.0,735000000.0,0.74,0.74,988000000.0,992000000.0,859000000.0,,1021000000.0,508000000.0,,,48000000.0,3024000000.0,,9020000000.0,5855000000.0,,359000000.0,25871000000.0,,,,2598000000.0,96000000.0,4487000000.0,,1126000000.0,19380000000.0,-2866000000.0,-826000000.0,6516000000.0,25871000000.0,,50000000.0,-147000000.0,,,,,,,,936000000.0,,,,,0.0,227000000.0,35000000.0,,-332000000.0,,0.0,-361000000.0,250000000.0,476000000.0
2016-12-31,11663000000.0,,,,,9811000000.0,1861000000.0,,1255000000.0,891000000.0,348000000.0,1.06,1.05,329000000.0,330000000.0,1418000000.0,,1005000000.0,541000000.0,498000000.0,,39000000.0,3557000000.0,,8930000000.0,5822000000.0,1526000000.0,334000000.0,26211000000.0,381000000.0,,65000000.0,2684000000.0,64000000.0,4575000000.0,482000000.0,1509000000.0,20362000000.0,-3323000000.0,-1001000000.0,5899000000.0,26211000000.0,,65000000.0,-79000000.0,143000000.0,-15000000.0,,,,-219000000.0,,1350000000.0,,,,,0.0,317000000.0,55000000.0,36000000.0,-478000000.0,,0.0,-29000000.0,,677000000.0
2017-03-31,2161000000.0,,,,,1884000000.0,277000000.0,,110000000.0,35000000.0,74000000.0,0.22,0.22,330000000.0,331000000.0,862000000.0,,911000000.0,,,,43000000.0,2069000000.0,,341000000.0,5135000000.0,1361000000.0,443000000.0,14287000000.0,,,,1967000000.0,22000000.0,1723000000.0,,1493000000.0,12691000000.0,-7631000000.0,-918000000.0,1598000000.0,14287000000.0,,15000000.0,-51000000.0,,,,,,,,63000000.0,,,,,,9000000.0,13000000.0,19000000.0,-50000000.0,,,-716000000.0,,6000000.0
2017-06-30,4507000000.0,,,,,3865000000.0,642000000.0,,385000000.0,143000000.0,240000000.0,0.73,0.73,328000000.0,330000000.0,784000000.0,,921000000.0,,,,46000000.0,1999000000.0,,338000000.0,5164000000.0,1362000000.0,452000000.0,14269000000.0,,,,1989000000.0,99000000.0,1673000000.0,,1537000000.0,12754000000.0,-7514000000.0,-867000000.0,1515000000.0,14269000000.0,,36000000.0,,,,,,,,,376000000.0,,,,,,18000000.0,32000000.0,18000000.0,-97000000.0,,,-1061000000.0,,237000000.0
2017-09-30,6861000000.0,,,,,5837000000.0,1024000000.0,,674000000.0,251000000.0,419000000.0,1.29,1.28,326000000.0,328000000.0,670000000.0,,928000000.0,,,,46000000.0,1905000000.0,,346000000.0,5183000000.0,1352000000.0,468000000.0,14223000000.0,,,,2033000000.0,95000000.0,1650000000.0,,1554000000.0,12775000000.0,-7384000000.0,-820000000.0,1447000000.0,14223000000.0,,56000000.0,,,,,,,,,646000000.0,,,,,,36000000.0,51000000.0,14000000.0,-146000000.0,,,-1396000000.0,-888000000.0,377000000.0
2017-12-31,9140000000.0,,,,,7768000000.0,1372000000.0,,930000000.0,-334000000.0,1259000000.0,3.88,3.85,324000000.0,327000000.0,570000000.0,,998000000.0,,349000000.0,,171000000.0,1986000000.0,,353000000.0,5190000000.0,1342000000.0,434000000.0,14308000000.0,282000000.0,,,2208000000.0,97000000.0,1063000000.0,397000000.0,1470000000.0,12233000000.0,-6596000000.0,-742000000.0,2072000000.0,14308000000.0,,74000000.0,-727000000.0,210000000.0,0.0,,,,55000000.0,,924000000.0,,,,,0.0,58000000.0,75000000.0,14000000.0,-222000000.0,,,-1724000000.0,-1014000000.0,526000000.0
2018-03-31,2074000000.0,,,,,1795000000.0,279000000.0,,221000000.0,58000000.0,161000000.0,0.51,0.51,316000000.0,319000000.0,610000000.0,,980000000.0,,,,184000000.0,2008000000.0,,358000000.0,5211000000.0,,314000000.0,14260000000.0,,,342000000.0,2488000000.0,828000000.0,901000000.0,,897000000.0,12513000000.0,-6868000000.0,-680000000.0,1742000000.0,14260000000.0,82000000.0,28000000.0,-37000000.0,,,,,,,,243000000.0,,,,,,10000000.0,14000000.0,1000000.0,-26000000.0,,,-211000000.0,13000000.0,9000000.0
2018-06-30,4365000000.0,,,,,3680000000.0,685000000.0,,519000000.0,139000000.0,378000000.0,1.22,1.21,308000000.0,311000000.0,423000000.0,,1041000000.0,,,,136000000.0,1844000000.0,,351000000.0,5174000000.0,,316000000.0,13986000000.0,,,308000000.0,2378000000.0,819000000.0,908000000.0,,881000000.0,13426000000.0,-6697000000.0,-742000000.0,555000000.0,13986000000.0,161000000.0,68000000.0,-39000000.0,,,,,,,,532000000.0,,,,,,28000000.0,38000000.0,9000000.0,-75000000.0,,,-616000000.0,-165000000.0,149000000.0
2018-09-30,6618000000.0,,,,,5548000000.0,1070000000.0,,812000000.0,-268000000.0,540000000.0,1.77,1.76,305000000.0,307000000.0,621000000.0,,1051000000.0,,,,79000000.0,2035000000.0,,361000000.0,5170000000.0,,281000000.0,14143000000.0,,,299000000.0,2413000000.0,814000000.0,980000000.0,,891000000.0,13563000000.0,-6580000000.0,-746000000.0,574000000.0,14143000000.0,242000000.0,103000000.0,29000000.0,,,,,,,,914000000.0,,,,,,51000000.0,82000000.0,16000000.0,-80000000.0,,,-790000000.0,30000000.0,230000000.0
2018-12-31,8906000000.0,,,,,7474000000.0,1432000000.0,,1078000000.0,-309000000.0,764000000.0,2.53,2.5,302000000.0,305000000.0,403000000.0,,1150000000.0,,501000000.0,,169000000.0,1983000000.0,,367000000.0,5160000000.0,,239000000.0,13995000000.0,283000000.0,,350000000.0,2615000000.0,826000000.0,898000000.0,395000000.0,863000000.0,13437000000.0,-6417000000.0,-782000000.0,551000000.0,13995000000.0,325000000.0,127000000.0,-14000000.0,161000000.0,,,,,-18000000.0,,1255000000.0,,,,,,72000000.0,103000000.0,22000000.0,-131000000.0,,,-1300000000.0,-186000000.0,288000000.0
2019-03-31,2204000000.0,,,,,1892000000.0,312000000.0,,218000000.0,-59000000.0,158000000.0,0.54,0.54,293000000.0,295000000.0,382000000.0,,1102000000.0,,,,173000000.0,1876000000.0,,412000000.0,5162000000.0,,220000000.0,14853000000.0,,,323000000.0,2794000000.0,830000000.0,850000000.0,,851000000.0,14745000000.0,-6558000000.0,-798000000.0,100000000.0,14853000000.0,,34000000.0,-26000000.0,,,,,,,,364000000.0,,,,,,23000000.0,15000000.0,2000000.0,-44000000.0,,,-343000000.0,-23000000.0,13000000.0
2019-06-30,4688000000.0,,,,,3898000000.0,790000000.0,,580000000.0,-160000000.0,418000000.0,1.43,1.42,291000000.0,294000000.0,635000000.0,,1190000000.0,,,,190000000.0,2215000000.0,,418000000.0,5157000000.0,,222000000.0,15140000000.0,,,298000000.0,2780000000.0,822000000.0,861000000.0,,876000000.0,15163000000.0,-6342000000.0,-806000000.0,-30000000.0,15140000000.0,,81000000.0,1000000.0,,,,,,,,650000000.0,,,,,,46000000.0,43000000.0,5000000.0,-95000000.0,,,-323000000.0,234000000.0,157000000.0
2019-09-30,7083000000.0,,,,,5855000000.0,1309000000.0,,1001000000.0,-291000000.0,706000000.0,2.44,2.42,289000000.0,292000000.0,719000000.0,,1193000000.0,,,,138000000.0,2255000000.0,,380000000.0,5137000000.0,,248000000.0,15067000000.0,,,290000000.0,2900000000.0,834000000.0,873000000.0,,884000000.0,15266000000.0,-6097000000.0,-848000000.0,-208000000.0,15067000000.0,,123000000.0,22000000.0,,,,,,,,1182000000.0,,,,,,66000000.0,49000000.0,22000000.0,-47000000.0,,,-808000000.0,325000000.0,238000000.0
2019-12-31,9452000000.0,,,,,7876000000.0,1657000000.0,,1244000000.0,-358000000.0,881000000.0,3.07,3.04,287000000.0,290000000.0,538000000.0,,1261000000.0,,820000000.0,,72000000.0,2093000000.0,,380000000.0,5159000000.0,,280000000.0,14957000000.0,303000000.0,,332000000.0,2871000000.0,827000000.0,795000000.0,369000000.0,883000000.0,15429000000.0,-5965000000.0,-840000000.0,-482000000.0,14957000000.0,346000000.0,154000000.0,-20000000.0,105000000.0,,,,,413000000.0,,1384000000.0,,,,,,81000000.0,,41000000.0,-123000000.0,,,-1113000000.0,146000000.0,363000000.0
2020-03-31,1920000000.0,,,,,1852000000.0,68000000.0,,-17000000.0,35000000.0,18000000.0,0.06,0.06,277000000.0,280000000.0,1734000000.0,,1111000000.0,,,,95000000.0,3149000000.0,,356000000.0,5146000000.0,,297000000.0,15788000000.0,,,242000000.0,2220000000.0,929000000.0,,,935000000.0,16692000000.0,-5999000000.0,-899000000.0,-914000000.0,15788000000.0,,,-37000000.0,,,,,,106000000.0,,129000000.0,,,,,,12000000.0,,18000000.0,-47000000.0,,,1100000000.0,1175000000.0,50000000.0
2020-06-30,2484000000.0,,,,,2718000000.0,-302000000.0,,-461000000.0,47000000.0,-430000000.0,-1.55,-1.55,277000000.0,279000000.0,3503000000.0,,827000000.0,,,,84000000.0,4577000000.0,,355000000.0,5147000000.0,,304000000.0,17126000000.0,,,,2306000000.0,,,,1008000000.0,18417000000.0,-6429000000.0,-881000000.0,-1299000000.0,17126000000.0,,,-118000000.0,,,,,,725000000.0,,946000000.0,,,,,,30000000.0,,13000000.0,-76000000.0,,,2082000000.0,2945000000.0,53000000.0
