Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-26,412448000.0,,,23198000.0,,340479000.0,71969000.0,,41093000.0,14998000.0,26095000.0,0.1,0.1,258024000.0,260804000.0,345042000.0,,263226000.0,194337000.0,48970000.0,,,878842000.0,,263679000.0,2112714000.0,2364103000.0,62886000.0,5682224000.0,48818000.0,141934000.0,106754000.0,338232000.0,11390000.0,1033718000.0,,58946000.0,,-2438162000.0,6811000.0,2757567000.0,5682224000.0,,8121000.0,-8108000.0,-663000.0,11969000.0,,,2142000.0,9581000.0,,125977000.0,,,,125000.0,,5573000.0,500000.0,,-15276000.0,,781000.0,-58814000.0,51856000.0,
2010-03-27,830560000.0,,,48496000.0,,696690000.0,133870000.0,,71851000.0,25138000.0,46713000.0,0.18,0.18,258653000.0,261478000.0,431315000.0,,266806000.0,195676000.0,74423000.0,,,1000948000.0,,256918000.0,2116483000.0,2307049000.0,58476000.0,5739874000.0,49690000.0,152037000.0,116370000.0,445890000.0,11545000.0,1023163000.0,,58771000.0,,-2417544000.0,1709000.0,2789974000.0,5739874000.0,,16575000.0,-44237000.0,7087000.0,14908000.0,,,3127000.0,20704000.0,,220099000.0,,,,475000.0,,12292000.0,500000.0,,41014000.0,,1490000.0,-122751000.0,138129000.0,
2010-06-26,1251253000.0,,,72714000.0,,1038609000.0,212644000.0,,117598000.0,43437000.0,74161000.0,0.29,0.28,259107000.0,262106000.0,491368000.0,,261518000.0,188202000.0,73682000.0,,,1048571000.0,,254883000.0,2128411000.0,2249964000.0,49041000.0,5730870000.0,52249000.0,144676000.0,116168000.0,393939000.0,10070000.0,1018196000.0,,59622000.0,,-2390096000.0,-4071000.0,2820355000.0,5730870000.0,,24524000.0,-48304000.0,4713000.0,11222000.0,,,6064000.0,20425000.0,,337941000.0,,,,721000.0,,19686000.0,500000.0,,29943000.0,,1828000.0,-168754000.0,198182000.0,
2010-09-25,1679552000.0,,,104305000.0,,1609615000.0,69937000.0,,-54991000.0,7822000.0,-62813000.0,-0.24,-0.24,258743000.0,258743000.0,515625000.0,,283103000.0,192482000.0,72808000.0,,,1098881000.0,,251698000.0,2108847000.0,2118948000.0,47460000.0,5625834000.0,57480000.0,183054000.0,120516000.0,441912000.0,10011000.0,955611000.0,,72698000.0,,-2527070000.0,143000.0,2698549000.0,5625834000.0,,34160000.0,-121726000.0,20211000.0,5247000.0,,,7151000.0,21273000.0,,456712000.0,,,,795000.0,84322000.0,28010000.0,500000.0,,-66980000.0,,2043000.0,-167575000.0,222439000.0,
2010-12-25,432571000.0,,,28557000.0,,360851000.0,71720000.0,,12529000.0,1589000.0,10940000.0,0.04,0.04,259624000.0,263146000.0,608036000.0,,274437000.0,203513000.0,71175000.0,,,1185200000.0,,246443000.0,2117485000.0,2063563000.0,52888000.0,5665579000.0,63976000.0,170953000.0,120759000.0,436215000.0,10752000.0,956627000.0,,73837000.0,,-2516130000.0,-111000.0,2754016000.0,5665579000.0,,10698000.0,-19815000.0,-6465000.0,12696000.0,,,6628000.0,1313000.0,,135321000.0,,,,150000.0,,7387000.0,,,-36332000.0,,652000.0,-6079000.0,92411000.0,
2011-03-26,871222000.0,,,58890000.0,,644114000.0,227108000.0,,141356000.0,47971000.0,93385000.0,0.36,0.35,260825000.0,264030000.0,572918000.0,,285917000.0,217227000.0,41640000.0,,,1158921000.0,,246681000.0,2215417000.0,2162787000.0,52437000.0,5836243000.0,60720000.0,216075000.0,129296000.0,406780000.0,10290000.0,998647000.0,,113208000.0,,-2433685000.0,8801000.0,2855436000.0,5836243000.0,,19466000.0,-3438000.0,-347000.0,24721000.0,,,2571000.0,8164000.0,,217191000.0,,,,99000.0,117728000.0,14656000.0,3021000.0,,-158746000.0,,1767000.0,-1072000.0,57293000.0,
2011-06-25,1322304000.0,,,88615000.0,,1021280000.0,301024000.0,,185780000.0,56199000.0,129581000.0,0.5,0.49,261784000.0,265167000.0,613801000.0,,292324000.0,232835000.0,930500000.0,,,1207796000.0,,247592000.0,2286695000.0,2145120000.0,50020000.0,5937223000.0,51794000.0,290183000.0,124814000.0,467138000.0,9832000.0,971067000.0,,108783000.0,,-2397489000.0,9254000.0,2910293000.0,5937223000.0,226358000.0,27245000.0,-35346000.0,-12120000.0,34731000.0,,,-8361000.0,3083000.0,,337115000.0,,,,99000.0,189800000.0,42535000.0,3021000.0,,-245673000.0,,3268000.0,6315000.0,98176000.0,
2011-09-24,1789349000.0,,,116696000.0,,1414904000.0,374445000.0,,227386000.0,70236000.0,157150000.0,0.6,0.59,261099000.0,264305000.0,712332000.0,,318712000.0,230544000.0,-917819000.0,,,1342900000.0,,238666000.0,2290330000.0,2090807000.0,46077000.0,6008780000.0,63467000.0,325327000.0,120656000.0,509450000.0,9467000.0,957426000.0,,106962000.0,,-2369920000.0,1995000.0,2936895000.0,6008780000.0,304736000.0,35472000.0,-48107000.0,17131000.0,32158000.0,,,2589000.0,-481000.0,,456024000.0,,,,99000.0,198744000.0,55663000.0,3021000.0,,-266587000.0,,3652000.0,7674000.0,196707000.0,
2011-12-24,472711000.0,,,28342000.0,,405952000.0,66759000.0,,39904000.0,19092000.0,20812000.0,0.08,0.08,262717000.0,264958000.0,793082000.0,,324222000.0,241333000.0,906100000.0,,,1437297000.0,,236692000.0,2288167000.0,2035906000.0,48022000.0,6046084000.0,62850000.0,326417000.0,122478000.0,511745000.0,11024000.0,944561000.0,,107433000.0,,-2349108000.0,1637000.0,2963788000.0,6046084000.0,77123000.0,8657000.0,-13106000.0,6616000.0,11474000.0,,,-499000.0,3813000.0,,111731000.0,,,,150000.0,,14676000.0,,,-24601000.0,,1725000.0,-6314000.0,80750000.0,
2012-03-24,943876000.0,,,57639000.0,,866983000.0,76893000.0,,-58608000.0,-18335000.0,-40273000.0,-0.15,-0.15,263900000.0,263900000.0,854561000.0,,326290000.0,234372000.0,837300000.0,,,1491031000.0,,232023000.0,2297451000.0,1977346000.0,50405000.0,6048256000.0,65843000.0,404368000.0,123611000.0,593822000.0,12128000.0,871606000.0,,64190000.0,,-2389381000.0,6671000.0,2979483000.0,6048256000.0,154164000.0,17606000.0,-103088000.0,7573000.0,11889000.0,,,2339000.0,5631000.0,,212835000.0,,,,250000.0,,33557000.0,,,-31090000.0,,2683000.0,-40126000.0,142229000.0,
2012-06-23,1414104000.0,,,83868000.0,,1256684000.0,157420000.0,,55007000.0,32170000.0,23594000.0,0.09,0.09,264609000.0,267294000.0,905082000.0,,336437000.0,228496000.0,816600000.0,,,1534984000.0,,232746000.0,2294492000.0,1914556000.0,50016000.0,6026794000.0,55064000.0,374850000.0,127193000.0,557107000.0,12987000.0,844154000.0,,66149000.0,,-2365787000.0,-2857000.0,3004251000.0,6026794000.0,231103000.0,26360000.0,-124253000.0,22055000.0,8959000.0,,,-8155000.0,11217000.0,,284631000.0,,,,250000.0,,53442000.0,,,-51924000.0,,3791000.0,-39763000.0,192750000.0,
2012-09-29,2002652000.0,,,130962000.0,,1888935000.0,113717000.0,,-61661000.0,11973000.0,-73634000.0,-0.28,-0.28,264041000.0,264041000.0,560430000.0,,409333000.0,367191000.0,-1759870000.0,,,1563014000.0,,507998000.0,3942779000.0,4301250000.0,162067000.0,10477108000.0,87223000.0,372381000.0,129688000.0,661349000.0,13714000.0,1771585000.0,,98250000.0,,-2443554000.0,6790000.0,2961031000.0,10477108000.0,345751000.0,40572000.0,-155192000.0,11005000.0,12174000.0,,,3768000.0,12733000.0,,370222000.0,,,,250000.0,3762403000.0,78773000.0,,,-3850784000.0,,6206000.0,3328099000.0,-151902000.0,
2012-12-29,631362000.0,,,51509000.0,,568133000.0,63229000.0,,-7353000.0,-10471000.0,3118000.0,0.01,0.01,266344000.0,269379000.0,718471000.0,,405653000.0,345309000.0,1690000000.0,,,1660236000.0,,504071000.0,3941430000.0,4195538000.0,167280000.0,10468555000.0,76367000.0,436283000.0,121152000.0,1551753000.0,16440000.0,1576472000.0,,102429000.0,7484179000.0,-2440436000.0,8202000.0,2984376000.0,10468555000.0,128155000.0,12066000.0,-70123000.0,-6903000.0,6004000.0,,,-10629000.0,-6243000.0,,155025000.0,,,,3625000.0,,22447000.0,,,15752000.0,,2185000.0,-12581000.0,158041000.0,
