Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2015-10-31,52107000000.0,,,2338000000.0,8025000000.0,50584000000.0,1523000000.0,-53000000.0,1470000000.0,-991000000.0,2461000000.0,1.36,1.34,,1834000000.0,9842000000.0,,8538000000.0,2198000000.0,3884000000.0,1992000000.0,7677000000.0,31173000000.0,,9886000000.0,27261000000.0,1930000000.0,11020000000.0,81270000000.0,5828000000.0,6314000000.0,5154000000.0,22151000000.0,3565000000.0,1238000000.0,,10098000000.0,,0.0,-5015000000.0,33535000000.0,81270000000.0,3947000000.0,565000000.0,-2522000000.0,-9000000.0,424000000.0,,,,,,3661000000.0,,,,,2644000000.0,3344000000.0,,,-5413000000.0,,100000000.0,9275000000.0,,192000000.0
2016-01-31,12724000000.0,,,585000000.0,1998000000.0,12340000000.0,384000000.0,-65000000.0,319000000.0,52000000.0,267000000.0,0.15,0.15,1761000000.0,1778000000.0,8505000000.0,,7898000000.0,2345000000.0,2598000000.0,,6060000000.0,27756000000.0,,9700000000.0,27458000000.0,1708000000.0,10730000000.0,77352000000.0,4908000000.0,6282000000.0,5154000000.0,20351000000.0,,9000000.0,,10138000000.0,,86000000.0,-5092000000.0,31249000000.0,77352000000.0,989000000.0,165000000.0,245000000.0,-612000000.0,182000000.0,,,,,,-75000000.0,,,,,,832000000.0,,,-692000000.0,,2000000.0,-570000000.0,,
2016-04-30,25435000000.0,,,1209000000.0,4019000000.0,24559000000.0,876000000.0,-194000000.0,682000000.0,95000000.0,587000000.0,0.34,0.33,1743000000.0,1765000000.0,9010000000.0,,7707000000.0,2099000000.0,2993000000.0,,5237000000.0,31147000000.0,,9674000000.0,24244000000.0,1436000000.0,11563000000.0,78064000000.0,5289000000.0,5512000000.0,4817000000.0,20597000000.0,,91000000.0,,10196000000.0,,301000000.0,-5167000000.0,31634000000.0,78064000000.0,1949000000.0,303000000.0,-31000000.0,-366000000.0,186000000.0,,,,,,1032000000.0,,,,,13000000.0,1552000000.0,,,-1121000000.0,,4000000.0,-706000000.0,,
2016-07-31,37645000000.0,,,1764000000.0,5957000000.0,34272000000.0,3373000000.0,-212000000.0,3089000000.0,230000000.0,2859000000.0,1.66,1.64,1722000000.0,1748000000.0,10743000000.0,,6951000000.0,1848000000.0,3837000000.0,,4992000000.0,28470000000.0,,9579000000.0,24171000000.0,1211000000.0,12715000000.0,78821000000.0,5030000000.0,5412000000.0,4749000000.0,19484000000.0,3470000000.0,121000000.0,3301000000.0,1132000000.0,,2486000000.0,-5177000000.0,32426000000.0,78821000000.0,2903000000.0,432000000.0,-1012000000.0,-988000000.0,-3000000.0,,,,,,2746000000.0,,,,,22000000.0,2412000000.0,,,630000000.0,,9000000.0,-2198000000.0,,
2016-10-31,50123000000.0,,,2298000000.0,7821000000.0,45973000000.0,4150000000.0,-312000000.0,4079000000.0,918000000.0,3161000000.0,1.84,1.82,,1739000000.0,12987000000.0,,6909000000.0,1774000000.0,4287000000.0,1057000000.0,4324000000.0,28917000000.0,,9636000000.0,24178000000.0,1084000000.0,13216000000.0,79679000000.0,5943000000.0,4991000000.0,4610000000.0,22531000000.0,3408000000.0,143000000.0,,13022000000.0,,2782000000.0,-6599000000.0,31448000000.0,79679000000.0,3775000000.0,558000000.0,-1345000000.0,-991000000.0,-34000000.0,,,,,,4958000000.0,,,,,22000000.0,3280000000.0,,,419000000.0,,20000000.0,-2232000000.0,,656000000.0
2017-01-31,11407000000.0,,,485000000.0,1759000000.0,10944000000.0,463000000.0,-78000000.0,345000000.0,78000000.0,267000000.0,0.16,0.16,1669000000.0,1700000000.0,9858000000.0,,6482000000.0,1988000000.0,4337000000.0,,4275000000.0,25525000000.0,,9497000000.0,24252000000.0,1164000000.0,13604000000.0,76662000000.0,5535000000.0,5135000000.0,4712000000.0,21686000000.0,3450000000.0,140000000.0,3910000000.0,1280000000.0,,2760000000.0,-6124000000.0,31501000000.0,76662000000.0,840000000.0,145000000.0,-125000000.0,-466000000.0,132000000.0,,,,,,-1464000000.0,,,,,292000000.0,923000000.0,,,-1157000000.0,,74000000.0,-508000000.0,,
2017-04-30,15001000000.0,,,967000000.0,2903000000.0,14363000000.0,638000000.0,-163000000.0,439000000.0,671000000.0,-612000000.0,-0.37,-0.37,1664000000.0,1664000000.0,8101000000.0,,3810000000.0,2041000000.0,3408000000.0,,3092000000.0,20273000000.0,,6692000000.0,25498000000.0,1540000000.0,10847000000.0,67470000000.0,5194000000.0,4373000000.0,3829000000.0,17578000000.0,2624000000.0,83000000.0,3518000000.0,1020000000.0,,-1867000000.0,-3544000000.0,29011000000.0,67470000000.0,1632000000.0,252000000.0,506000000.0,-301000000.0,210000000.0,,,,,,-828000000.0,,,,,2050000000.0,1681000000.0,,,-3810000000.0,,98000000.0,-248000000.0,,
2017-07-31,23210000000.0,,,1475000000.0,4415000000.0,22425000000.0,785000000.0,-260000000.0,500000000.0,484000000.0,-180000000.0,-0.11,-0.11,1656000000.0,1683000000.0,7757000000.0,,3845000000.0,2144000000.0,3828000000.0,,6102000000.0,23143000000.0,,6730000000.0,25491000000.0,1411000000.0,11530000000.0,70931000000.0,5717000000.0,4663000000.0,3828000000.0,18279000000.0,2603000000.0,92000000.0,3692000000.0,1108000000.0,,-1676000000.0,-3360000000.0,29012000000.0,70931000000.0,2369000000.0,349000000.0,145000000.0,-250000000.0,341000000.0,,,,,,63000000.0,,,,,2050000000.0,2405000000.0,,,-4424000000.0,,116000000.0,-869000000.0,,
2017-10-31,28871000000.0,,,1486000000.0,5006000000.0,28246000000.0,625000000.0,-327000000.0,272000000.0,-164000000.0,344000000.0,0.21,0.21,1646000000.0,1674000000.0,9579000000.0,,3073000000.0,2315000000.0,4559000000.0,1185000000.0,3085000000.0,21444000000.0,,6269000000.0,17516000000.0,1042000000.0,12600000000.0,61406000000.0,6072000000.0,3844000000.0,3128000000.0,18924000000.0,2487000000.0,104000000.0,,8795000000.0,,-7238000000.0,-2895000000.0,23466000000.0,61406000000.0,3051000000.0,428000000.0,-1122000000.0,-457000000.0,542000000.0,,,,,,889000000.0,,,,,2202000000.0,3137000000.0,,,-4907000000.0,,143000000.0,610000000.0,,836000000.0
2018-01-31,7674000000.0,,,388000000.0,1202000000.0,7413000000.0,261000000.0,-21000000.0,-657000000.0,-2139000000.0,1436000000.0,0.9,0.89,1591000000.0,1619000000.0,7673000000.0,,3098000000.0,2431000000.0,5873000000.0,,3748000000.0,20499000000.0,,6338000000.0,17516000000.0,965000000.0,,61619000000.0,5948000000.0,4489000000.0,3135000000.0,19343000000.0,,216000000.0,,,,-6057000000.0,-2955000000.0,23951000000.0,61619000000.0,635000000.0,103000000.0,-1335000000.0,34000000.0,146000000.0,,,,,,142000000.0,,,,,0.0,669000000.0,,,-1119000000.0,,,-929000000.0,,
