Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-07-25,5157680000.0,,883769000.0,,438837000.0,,,2176000.0,,159307000.0,274439000.0,2.06,2.03,133461000.0,135368000.0,376917000.0,50214000.0,383892000.0,790875000.0,71501000.0,,17420000.0,1710582000.0,,928163000.0,628820000.0,144268000.0,164228000.0,3845026000.0,297110000.0,33515000.0,,1016111000.0,,,,87544000.0,,2483635000.0,-188175000.0,2303258000.0,3845026000.0,,11868000.0,1285000.0,11600000.0,71013000.0,,,,,,271622000.0,0.0,,,,,63754000.0,,,-169502000.0,,7243000.0,-110455000.0,-8335000.0,
2010-10-31,7220719000.0,,1238742000.0,,605293000.0,,,4565000.0,,224775000.0,395587000.0,2.97,2.92,133366000.0,135349000.0,467845000.0,50595000.0,430939000.0,793771000.0,70703000.0,,23635000.0,1858166000.0,,922103000.0,629023000.0,141522000.0,155017000.0,4053918000.0,361287000.0,46408000.0,,1101213000.0,,,,91068000.0,,2568774000.0,-175910000.0,2400657000.0,4053918000.0,,14402000.0,29429000.0,58647000.0,73909000.0,,,,,,485532000.0,0.0,,,,,89823000.0,,,-258476000.0,,10298000.0,-144463000.0,82593000.0,
2011-01-30,1921558000.0,,374005000.0,,145161000.0,,,441000.0,,79576000.0,148826000.0,0.56,0.55,266560000.0,271740000.0,598813000.0,50719000.0,406677000.0,787280000.0,69474000.0,,22655000.0,1949230000.0,,915632000.0,630707000.0,139023000.0,155567000.0,4122948000.0,267814000.0,52661000.0,,1020203000.0,,,,94527000.0,,2683690000.0,-161794000.0,2547713000.0,4122948000.0,,8240000.0,3692000.0,-24262000.0,-6491000.0,,,,,,165332000.0,,,,,,16737000.0,,,-18521000.0,,4395000.0,-15843000.0,130968000.0,
2011-05-01,3880599000.0,,700232000.0,,305297000.0,,,2413000.0,,136422000.0,258405000.0,0.97,0.95,267207000.0,272847000.0,913704000.0,51002000.0,405792000.0,810388000.0,71438000.0,,17937000.0,2287204000.0,,905521000.0,630707000.0,136603000.0,150903000.0,4451417000.0,277116000.0,45559000.0,,1005936000.0,,,,95176000.0,,2759116000.0,-149099000.0,2637815000.0,4451417000.0,,12242000.0,-3187000.0,-25147000.0,16617000.0,,,,,,275919000.0,,,,,,35892000.0,,,-32463000.0,,10255000.0,202403000.0,445859000.0,
2011-07-31,5791191000.0,,998087000.0,,461892000.0,,,2552000.0,538497000.0,177796000.0,356886000.0,1.34,1.31,266925000.0,272759000.0,497364000.0,76125000.0,427927000.0,865875000.0,70299000.0,,10842000.0,1977121000.0,,895895000.0,630707000.0,134330000.0,147196000.0,4149529000.0,301578000.0,42787000.0,,700963000.0,,,,73693000.0,,2806391000.0,-154554000.0,2659640000.0,4149529000.0,,14820000.0,5040000.0,-3012000.0,72104000.0,,,,,,319425000.0,,,,,,56253000.0,,,-72954000.0,,13590000.0,-216952000.0,29519000.0,
2011-10-30,7895089000.0,,1334113000.0,29400000.0,618586000.0,,,-786000.0,718836000.0,239640000.0,,1.78,1.74,266394000.0,271915000.0,463130000.0,76077000.0,461110000.0,885823000.0,129017000.0,,8417000.0,1998231000.0,,907090000.0,630884000.0,132046000.0,140420000.0,4244391000.0,390171000.0,40539000.0,,778186000.0,,,,82701000.0,,2824331000.0,-175483000.0,2656582000.0,4244391000.0,124165000.0,17229000.0,6752000.0,30171000.0,92052000.0,,,,,,490479000.0,0.0,,,,,96911000.0,,,-170985000.0,,15205000.0,-324209000.0,,
2012-01-29,2039439000.0,,337409000.0,,152477000.0,,,1590000.0,194309000.0,64976000.0,,0.49,0.48,263946000.0,269608000.0,548618000.0,76383000.0,422505000.0,882828000.0,69485000.0,,8960000.0,2021731000.0,,908282000.0,630875000.0,129620000.0,142582000.0,4270294000.0,308721000.0,69177000.0,,724586000.0,,,,81541000.0,,2912503000.0,-185336000.0,2734898000.0,4270294000.0,,6240000.0,-201000.0,-38605000.0,-2995000.0,,,,,,152160000.0,,,,,,30458000.0,,,-28573000.0,,1929000.0,-38903000.0,,
2012-04-29,4052298000.0,,673016000.0,,301161000.0,,,3928000.0,388103000.0,129835000.0,,0.97,0.95,263778000.0,269334000.0,524779000.0,76811000.0,439348000.0,912672000.0,69485000.0,,8345000.0,2060075000.0,,908529000.0,630875000.0,127593000.0,138977000.0,4314663000.0,318432000.0,53729000.0,,699968000.0,,,,82699000.0,,2980353000.0,-187529000.0,2800537000.0,4314663000.0,,11129000.0,-793000.0,-21762000.0,26849000.0,,,,,,213031000.0,,,,,,58217000.0,,,-51836000.0,,4634000.0,-100612000.0,,
2012-07-29,6060486000.0,,980072000.0,,446183000.0,,,4772000.0,557597000.0,186922000.0,367449000.0,1.39,1.37,263638000.0,269138000.0,533217000.0,77013000.0,474425000.0,927047000.0,68086000.0,,5806000.0,2117258000.0,,915792000.0,630875000.0,125367000.0,132482000.0,4382619000.0,289212000.0,43701000.0,,676710000.0,,,,82608000.0,,3050070000.0,-168896000.0,2888887000.0,4382619000.0,,14191000.0,183000.0,13315000.0,41224000.0,,,,,,284053000.0,,,,,,93915000.0,,,-72912000.0,,6827000.0,-141864000.0,,
2012-10-28,8230670000.0,,1331851000.0,29800000.0,605868000.0,,,6520000.0,758335000.0,253374000.0,500050000.0,1.9,1.86,263466000.0,268891000.0,682388000.0,77387000.0,507041000.0,950521000.0,212805000.0,,5555000.0,2320684000.0,,924480000.0,630875000.0,123072000.0,134024000.0,4563966000.0,385877000.0,49792000.0,,786300000.0,,,,87313000.0,,3135317000.0,-323569000.0,2819455000.0,4563966000.0,119494000.0,16710000.0,4668000.0,45931000.0,64698000.0,,,,,,517781000.0,,,,,,132303000.0,,,-106764000.0,,8847000.0,-192749000.0,,
