Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,4158000000.0,,,,,4060000000.0,98000000.0,,-287000000.0,-39000000.0,-252000000.0,-0.45,-0.45,,,1642000000.0,,,,,,,,,10231000000.0,,,,12555000000.0,,,,,,,,,6205000000.0,-801000000.0,12000000.0,6189000000.0,12555000000.0,,,-38000000.0,,,,12000000.0,,,95000000.0,552000000.0,,,,,,164000000.0,,0.0,-116000000.0,767000000.0,,698000000.0,1134000000.0,
2010-03-26,823000000.0,,,,,825000000.0,-2000000.0,,-104000000.0,-22000000.0,-84000000.0,,,,,1245000000.0,,,,,,,,,10144000000.0,,,,12060000000.0,,,,,,,,,5741000000.0,-894000000.0,9000000.0,6135000000.0,12060000000.0,,,-21000000.0,,,,-15000000.0,,,-7000000.0,49000000.0,,,,,,27000000.0,,,-39000000.0,55000000.0,,-407000000.0,-397000000.0,
2010-06-18,1937000000.0,,,,,1828000000.0,110000000.0,,-78000000.0,-16000000.0,-65000000.0,,,,,1171000000.0,,,,,,,,,10054000000.0,,,,11957000000.0,,,,,,,,,5738000000.0,-887000000.0,2000000.0,6029000000.0,11957000000.0,,,-17000000.0,,,,-34000000.0,,,-21000000.0,219000000.0,,,,,,67000000.0,,,-158000000.0,55000000.0,,-532000000.0,-471000000.0,
2010-09-10,2943000000.0,,,,,2812000000.0,131000000.0,,-145000000.0,-21000000.0,-124000000.0,,,,,838000000.0,,,,,,,,,10452000000.0,,,,12095000000.0,,,,,,,,,5812000000.0,-946000000.0,9000000.0,6096000000.0,12095000000.0,,,-22000000.0,,,,-24000000.0,,,18000000.0,328000000.0,,,,,292000000.0,99000000.0,,,-498000000.0,158000000.0,,-634000000.0,-804000000.0,
2010-12-31,4437000000.0,,,,,,,,-159000000.0,,,,,,,,,,,77000000.0,,,,,10514000000.0,,,,,,,,,,,,,,,25000000.0,,,,,-36000000.0,,,,,,,,,,,,,,,,,,109000000.0,,,,4000000.0
2011-03-25,903000000.0,,,,,,,,,,,,,,,,,,,,,,,,11485000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-17,2198000000.0,,,,,,,,,,,,,,,,,,,,,,,,11635000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-09,3340000000.0,,,,,,,,,,,,,,,,,,,,,,,,11444000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,4998000000.0,,,,,,,,-13000000.0,,,,,,,,,,,101000000.0,,,,,11383000000.0,,,,,,,,,,,,,,,-1000000.0,,,,,-11000000.0,,,,,,,,,,,,,,,,,,,,,,8000000.0
2012-03-23,985000000.0,,,,,,,,,,,,,,,,,,,,,,,,11341000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
