Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,5298668000.0,,,,1208672000.0,4537078000.0,,,671131000.0,235137000.0,435994000.0,,,,,253605000.0,,410390000.0,519712000.0,39868000.0,,,1385434000.0,,,571580000.0,125520000.0,183377000.0,3675031000.0,287935000.0,,,910628000.0,,0.0,,501334000.0,2914692000.0,4148353000.0,-202844000.0,720459000.0,3675031000.0,,,,46584000.0,74000000.0,,,,,,1065749000.0,,,,,,126324000.0,,,-150326000.0,,4455000.0,-698921000.0,216502000.0,252230000.0
2010-04-04,1407843000.0,,,,340646000.0,1154509000.0,,,229585000.0,82191000.0,147394000.0,0.66,0.64,167257.0,229551.0,303786000.0,,411245000.0,481854000.0,56884000.0,,,1413032000.0,,1394678000.0,577712000.0,125327000.0,180619000.0,3698687000.0,294223000.0,,,902295000.0,,4640000.0,,500504000.0,2909622000.0,4224841000.0,-217082000.0,752217000.0,3698687000.0,,,,-855000.0,75658000.0,,,,,,181186000.0,,,,,,30603000.0,,,-35377000.0,,1293000.0,-95628000.0,50181000.0,29576000.0
2010-07-04,2641085000.0,,,,677626000.0,2263327000.0,,,331229000.0,137112000.0,194117000.0,,,,230324000.0,249070000.0,,321051000.0,603728000.0,67841000.0,,,1414988000.0,,1378512000.0,517416000.0,123062000.0,175289000.0,3619987000.0,304993000.0,,,876009000.0,,2055000.0,,508086000.0,2887485000.0,4200758000.0,-242446000.0,697368000.0,3619987000.0,,,,89339000.0,-55116000.0,,,,,,264848000.0,,,,,,65003000.0,,,-74099000.0,,2204000.0,-195284000.0,-4535000.0,201580000.0
2010-10-03,4188200000.0,,,,1035250000.0,3510794000.0,,,608618000.0,234332000.0,374286000.0,,,,230491000.0,244947000.0,,605741000.0,594574000.0,77478000.0,,,1664812000.0,,1378034000.0,522489000.0,123488000.0,176293000.0,3886943000.0,350253000.0,,,1270090000.0,,1539000.0,,501831000.0,3024006000.0,4310037000.0,-240372000.0,826749000.0,3886943000.0,,,,-195351000.0,-60262000.0,,,,,,388199000.0,,,,,,108569000.0,,,-121610000.0,,690000.0,-275247000.0,-8658000.0,236632000.0
2010-12-31,5671009000.0,,,30500000.0,1426477000.0,4765711000.0,,,808864000.0,299065000.0,509799000.0,,,227740000.0,,884642000.0,,390061000.0,533622000.0,-77147000.0,,,2005217000.0,,1437702000.0,524134000.0,123080000.0,161212000.0,4272732000.0,410655000.0,163412000.0,,1298845000.0,,,,494461000.0,3335131000.0,4374718000.0,-215067000.0,902316000.0,4272732000.0,,,-18654000.0,20329000.0,-13910000.0,,,,,,901423000.0,,,,,,179538000.0,,,-199286000.0,,1385000.0,-71100000.0,631037000.0,350948000.0
2011-04-03,1564223000.0,,,,377798000.0,1287674000.0,,,252072000.0,91957000.0,160115000.0,,,227134.0,230194.0,752266000.0,,433519000.0,535520000.0,61260000.0,,,1954521000.0,,1443821000.0,527019000.0,122712000.0,165622000.0,4235155000.0,381504000.0,,,1290932000.0,,,,494315000.0,3326171000.0,4458210000.0,-205740000.0,875417000.0,4235155000.0,,,,-43458000.0,10302000.0,,,,,,159378000.0,,,,,,77486000.0,,,-87181000.0,,3818000.0,-204573000.0,-132376000.0,15692000.0
2011-07-03,2889394000.0,,,,723716000.0,2384491000.0,,,457075000.0,166941000.0,290134000.0,,,227029.0,230301.0,790297000.0,,296946000.0,659224000.0,69714000.0,,,1992076000.0,,1493537000.0,527724000.0,122057000.0,163157000.0,4312753000.0,399841000.0,,,1221813000.0,,,,503858000.0,3267059000.0,4512163000.0,-205822000.0,1012260000.0,4312753000.0,,,,93115000.0,-118202000.0,,,,,,286692000.0,,,,,,171046000.0,,,-185520000.0,,7117000.0,-195517000.0,-94345000.0,193698000.0
2011-10-02,4513643000.0,,,,1080594000.0,3687624000.0,,,755150000.0,268321000.0,,,,,230114.0,292339000.0,,620745000.0,654455000.0,106694000.0,,,1814015000.0,,1512780000.0,517157000.0,113803000.0,161438000.0,4130506000.0,430251000.0,,,1181427000.0,,,,495540000.0,3175829000.0,4633156000.0,-292260000.0,927672000.0,4130506000.0,157561000.0,,4157000.0,230684000.0,125533000.0,,,,,,257229000.0,,,,,,251206000.0,,,-251086000.0,,9561000.0,-598446000.0,-592303000.0,223991000.0
2011-12-31,6080788000.0,,,32200000.0,1477750000.0,5025760000.0,,,962845000.0,,,,,226574.0,229919.0,693686000.0,,399499000.0,648953000.0,175405000.0,,,2046558000.0,,1559717000.0,516745000.0,111913000.0,138722000.0,4412199000.0,420017000.0,612186000.0,,1173775000.0,,,,617276000.0,3539551000.0,4699597000.0,-442331000.0,849022000.0,4412199000.0,215763000.0,,33611000.0,9438000.0,115331000.0,,,,,,580867000.0,,,,,,323961000.0,,,-333005000.0,,13997000.0,-438818000.0,-190956000.0,292315000.0
2012-04-01,1732064000.0,,,,405562000.0,1397534000.0,,,310506000.0,111855000.0,,,,,228655000.0,567339000.0,,502455000.0,649454000.0,121750000.0,,,2012445000.0,,1585887000.0,594741000.0,225919000.0,147912000.0,4599457000.0,380404000.0,598210000.0,,1323809000.0,,26839000.0,,614586000.0,3713864000.0,4814715000.0,-396303000.0,860330000.0,4599457000.0,54868000.0,,11991000.0,91631000.0,21364000.0,,,,,,275802000.0,,,,,,88487000.0,,,-264583000.0,,10566000.0,-137566000.0,-126347000.0,7583000.0
2012-09-30,4893217000.0,,,,1217939000.0,4034686000.0,,,785628000.0,274576000.0,,,,,228701000.0,466235000.0,,649328000.0,726492000.0,103438000.0,,,2135955000.0,,1618178000.0,594854000.0,220223000.0,154845000.0,4737782000.0,435283000.0,644959000.0,,1552954000.0,,35770000.0,,636339000.0,3740820000.0,4960822000.0,-335239000.0,981262000.0,4737782000.0,162848000.0,,12189000.0,-238415000.0,-84302000.0,,,,,,605907000.0,,,,,,200988000.0,,,-402442000.0,,28190000.0,-430916000.0,-227451000.0,233652000.0
