Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,1216900000.0,830200000.0,386700000.0,,227500000.0,,159200000.0,,143100000.0,46200000.0,96200000.0,1.6,1.59,,,287800000.0,,,276500000.0,,,,1024500000.0,35700000.0,361500000.0,740600000.0,,,2559100000.0,168800000.0,143000000.0,,445800000.0,,,,248100000.0,1194500000.0,,,1360600000.0,2559100000.0,36800000.0,4500000.0,3200000.0,-61200000.0,-14600000.0,,,,,,93100000.0,14700000.0,,,,0.0,22300000.0,,-1100000.0,-30400000.0,,2200000.0,-30200000.0,29300000.0,
2010-12-31,2541200000.0,1712500000.0,828700000.0,,460900000.0,,367800000.0,,320400000.0,101600000.0,217200000.0,3.61,3.59,,,520700000.0,,,298400000.0,,,,1226100000.0,30200000.0,358300000.0,724000000.0,,,2705800000.0,160800000.0,141600000.0,,445000000.0,,,,201400000.0,1242300000.0,1338600000.0,-81300000.0,1459200000.0,2705800000.0,72500000.0,11400000.0,25000000.0,-26100000.0,-32600000.0,,,,,,266200000.0,25400000.0,,,,0.0,47300000.0,,-1200000.0,-54700000.0,0.0,9700000.0,45500000.0,262200000.0,
2011-03-31,658100000.0,452900000.0,205200000.0,,121600000.0,,83600000.0,,74000000.0,23300000.0,50300000.0,0.83,0.82,,,496900000.0,,,303700000.0,,,,1267200000.0,31600000.0,365600000.0,726600000.0,270300000.0,80800000.0,2742100000.0,219500000.0,140200000.0,,485600000.0,,,,197900000.0,1279500000.0,,,1458200000.0,2742100000.0,17600000.0,2500000.0,9700000.0,-57300000.0,-3900000.0,,,,,,53500000.0,200000.0,,,,,22000000.0,,-2100000.0,-19000000.0,,3500000.0,-62100000.0,-23800000.0,
2011-06-30,1367300000.0,932200000.0,435100000.0,,246400000.0,,188700000.0,,169900000.0,53500000.0,115500000.0,1.91,1.89,60200000.0,61000000.0,510400000.0,,,324200000.0,,,,1307900000.0,34700000.0,365000000.0,727600000.0,266500000.0,73700000.0,2775400000.0,225700000.0,130100000.0,,483800000.0,,,,201200000.0,1281100000.0,1408300000.0,-62900000.0,1489800000.0,2775400000.0,34800000.0,5100000.0,15300000.0,-62500000.0,-22300000.0,,,,,,116400000.0,3800000.0,,,,,31100000.0,,-4000000.0,-28000000.0,,3900000.0,-106500000.0,-10300000.0,
2011-09-30,2131600000.0,1444200000.0,687400000.0,,373400000.0,,314000000.0,,287900000.0,88200000.0,197900000.0,3.29,3.25,59900000.0,60600000.0,511800000.0,,,331200000.0,,,,1364500000.0,39300000.0,357300000.0,722700000.0,259900000.0,66400000.0,2810100000.0,221000000.0,173700000.0,33600000.0,529800000.0,,,,201600000.0,1327600000.0,1468300000.0,-83000000.0,1477100000.0,2810100000.0,51700000.0,7700000.0,14500000.0,-116300000.0,-33500000.0,,,,,,217200000.0,14000000.0,,,,,41300000.0,,-5500000.0,-41600000.0,,4000000.0,-184200000.0,-8900000.0,
2011-12-31,2871600000.0,1947900000.0,923700000.0,,499900000.0,,423800000.0,,389800000.0,119600000.0,267900000.0,4.47,4.42,59700000.0,60400000.0,569600000.0,,,318300000.0,54100000.0,12400000.0,,1353500000.0,42000000.0,359600000.0,727300000.0,269500000.0,94600000.0,2846500000.0,215700000.0,133700000.0,18100000.0,492100000.0,,16000000.0,,48000000.0,1373000000.0,1515800000.0,-150400000.0,1467800000.0,2846500000.0,68200000.0,15100000.0,18800000.0,-51600000.0,-16400000.0,,,,,,335000000.0,23800000.0,,,,29600000.0,55400000.0,,-3300000.0,-86500000.0,0.0,8200000.0,-198300000.0,48900000.0,
2012-03-31,723800000.0,489700000.0,234100000.0,,132400000.0,,101700000.0,,94600000.0,31000000.0,63200000.0,1.06,1.05,59200000.0,59900000.0,562400000.0,,,337400000.0,,,,1384900000.0,41500000.0,361600000.0,734700000.0,271400000.0,83800000.0,2877900000.0,234600000.0,131700000.0,19800000.0,488700000.0,,,,285700000.0,1370800000.0,1554600000.0,-135700000.0,1501400000.0,2877900000.0,16200000.0,2800000.0,5400000.0,-21200000.0,-15400000.0,,,,,,45100000.0,2400000.0,,,,10900000.0,11400000.0,,-5500000.0,-16300000.0,,8600000.0,-40600000.0,-7200000.0,
2012-06-30,1502200000.0,1008300000.0,493900000.0,,267700000.0,,226200000.0,,210700000.0,69100000.0,140700000.0,2.37,2.34,59200000.0,59800000.0,544600000.0,,,355300000.0,,,,1405900000.0,38500000.0,356500000.0,746700000.0,283600000.0,78100000.0,2909300000.0,235000000.0,121400000.0,17100000.0,480600000.0,,,,281100000.0,1358200000.0,1607800000.0,-149200000.0,1545200000.0,2909300000.0,33000000.0,5300000.0,6800000.0,37700000.0,30600000.0,,,,,,104600000.0,2700000.0,,,,53000000.0,21000000.0,,-6300000.0,-65600000.0,,9300000.0,-63100000.0,-25000000.0,
2012-09-30,2291900000.0,1529500000.0,762400000.0,,401100000.0,,361300000.0,,339700000.0,110500000.0,227800000.0,3.84,3.8,59200000.0,59800000.0,605600000.0,,,356300000.0,,,,1492600000.0,38000000.0,356900000.0,742400000.0,280600000.0,61800000.0,2972300000.0,220000000.0,138100000.0,16500000.0,493000000.0,,,,264100000.0,1353700000.0,1670600000.0,-134400000.0,1612500000.0,2972300000.0,49200000.0,8000000.0,16000000.0,66800000.0,29500000.0,,,,,,192000000.0,2700000.0,,,,53000000.0,31300000.0,,-6900000.0,-61900000.0,,11700000.0,-97500000.0,36000000.0,
2012-12-31,3044400000.0,2032200000.0,1012200000.0,,540400000.0,,471800000.0,,441800000.0,139700000.0,299700000.0,5.05,5.0,59100000.0,59800000.0,645000000.0,,,341700000.0,17500000.0,10200000.0,,1456200000.0,36700000.0,364700000.0,755500000.0,288100000.0,45800000.0,2947000000.0,213100000.0,119300000.0,16400000.0,447400000.0,,16900000.0,,36000000.0,1279100000.0,1715700000.0,-119100000.0,1661200000.0,2947000000.0,66800000.0,15800000.0,27500000.0,1800000.0,11800000.0,,,,,,349100000.0,9500000.0,,,,90700000.0,49100000.0,,-2200000.0,-116100000.0,,15600000.0,-161700000.0,75400000.0,
2013-03-31,740100000.0,503800000.0,236300000.0,,138600000.0,,97700000.0,,91200000.0,24400000.0,65900000.0,1.11,1.1,59100000.0,59600000.0,606200000.0,,,350600000.0,,,,1470500000.0,41400000.0,364500000.0,772400000.0,294000000.0,44900000.0,2987700000.0,235600000.0,114600000.0,17200000.0,444600000.0,,,,242300000.0,1283700000.0,1754900000.0,-125000000.0,1696800000.0,2987700000.0,17200000.0,3000000.0,4300000.0,33500000.0,7000000.0,,,,,,42700000.0,7300000.0,,,,37500000.0,13000000.0,,-200000.0,-55800000.0,,4400000.0,-21700000.0,-38800000.0,
2013-06-30,1541400000.0,1033100000.0,508300000.0,,278500000.0,,229800000.0,,214000000.0,64200000.0,148000000.0,2.49,2.47,59100000.0,59600000.0,586600000.0,,,384700000.0,,,,1504800000.0,39500000.0,370000000.0,794500000.0,293000000.0,39200000.0,3041000000.0,245400000.0,108000000.0,21300000.0,452400000.0,,,,248200000.0,1297500000.0,1810300000.0,-136400000.0,1735700000.0,3041000000.0,34400000.0,5700000.0,7800000.0,59400000.0,30400000.0,,,,,,108500000.0,7300000.0,,,,81700000.0,26000000.0,,-4000000.0,-104800000.0,,5600000.0,-53700000.0,-58400000.0,
2013-09-30,2377300000.0,1577700000.0,799600000.0,,418200000.0,,381400000.0,,357300000.0,110300000.0,244500000.0,4.12,4.09,59100000.0,59500000.0,630400000.0,,,401900000.0,,,,1596300000.0,35700000.0,370300000.0,805200000.0,292800000.0,40900000.0,3141200000.0,235200000.0,134500000.0,20700000.0,484600000.0,,,,255600000.0,1337300000.0,1880100000.0,-124400000.0,1795800000.0,3141200000.0,52500000.0,8400000.0,14700000.0,87400000.0,45100000.0,,,,,,225900000.0,8400000.0,,,,96500000.0,40400000.0,,-4400000.0,-133300000.0,,6500000.0,-103900000.0,-14600000.0,
2013-12-31,3183900000.0,2113400000.0,1070500000.0,,562900000.0,,507600000.0,,473800000.0,144000000.0,326500000.0,5.51,5.47,59100000.0,59600000.0,740700000.0,,,385700000.0,127500000.0,13500000.0,,1632400000.0,35800000.0,377100000.0,800400000.0,286600000.0,54900000.0,3187200000.0,225900000.0,124300000.0,15800000.0,467000000.0,,,,37000000.0,1272400000.0,1932600000.0,-71000000.0,1906400000.0,3187200000.0,70600000.0,14300000.0,13300000.0,30900000.0,25900000.0,,,,,,381800000.0,11100000.0,,,,96500000.0,58800000.0,,-1400000.0,-151100000.0,,8400000.0,-130900000.0,95700000.0,
2014-03-31,759500000.0,514500000.0,245000000.0,,140200000.0,,104800000.0,,96100000.0,30800000.0,64200000.0,1.08,1.08,59000000.0,59500000.0,647300000.0,,,418100000.0,,,,1600300000.0,38300000.0,385800000.0,850400000.0,312600000.0,56200000.0,3243600000.0,252500000.0,117200000.0,15400000.0,471600000.0,,,,46500000.0,1299200000.0,1967200000.0,-67700000.0,1935300000.0,3243600000.0,18900000.0,3400000.0,6000000.0,19900000.0,25100000.0,,,,,,43400000.0,2000000.0,,,,90900000.0,12700000.0,,0.0,-103000000.0,,4900000.0,-35600000.0,-93400000.0,
2014-06-30,1615300000.0,1077800000.0,537500000.0,,289000000.0,,248500000.0,,232500000.0,76400000.0,154400000.0,2.61,2.59,59000000.0,59500000.0,597400000.0,,,429800000.0,,,,1603400000.0,39800000.0,400100000.0,873200000.0,331200000.0,61900000.0,3309600000.0,254400000.0,106800000.0,17700000.0,464500000.0,,,,51300000.0,1303400000.0,2027800000.0,-57800000.0,1997400000.0,3309600000.0,38900000.0,6700000.0,6100000.0,47100000.0,31200000.0,,,,,,101200000.0,6000000.0,,,,147300000.0,27100000.0,,-1400000.0,-174300000.0,,6200000.0,-76000000.0,-143300000.0,
2014-09-30,2510600000.0,1676900000.0,833700000.0,,442400000.0,,391300000.0,,367300000.0,120700000.0,244000000.0,4.13,4.1,59000000.0,59400000.0,653800000.0,,,445900000.0,,,,1703300000.0,36600000.0,400500000.0,879300000.0,326800000.0,64900000.0,3411400000.0,269600000.0,137900000.0,21500000.0,525400000.0,,,,55200000.0,1376400000.0,2088000000.0,-80800000.0,2025700000.0,3411400000.0,59000000.0,9900000.0,4600000.0,88400000.0,49800000.0,,,,,,238300000.0,6600000.0,,,,163900000.0,42600000.0,,-1600000.0,-202900000.0,,7800000.0,-115800000.0,-86900000.0,
2014-12-31,3359400000.0,2250400000.0,1109000000.0,,591600000.0,,517400000.0,,485500000.0,158300000.0,325300000.0,5.51,5.48,58800000.0,59200000.0,653900000.0,,,441800000.0,-43400000.0,15900000.0,,1629400000.0,44100000.0,401200000.0,874700000.0,322800000.0,50600000.0,3322800000.0,244000000.0,130000000.0,18200000.0,499200000.0,,,,54400000.0,1387100000.0,1944100000.0,-164300000.0,1927100000.0,3322800000.0,79200000.0,16400000.0,30300000.0,17800000.0,46900000.0,,,,,,391500000.0,17600000.0,,,,183800000.0,60300000.0,,-1000000.0,-242600000.0,,9200000.0,-215600000.0,-86800000.0,
2015-03-31,809700000.0,557000000.0,252700000.0,,147700000.0,,105000000.0,,94700000.0,31300000.0,62400000.0,1.07,1.07,58000000.0,58300000.0,413300000.0,,,485500000.0,,,,1470500000.0,45500000.0,402400000.0,916500000.0,370700000.0,50100000.0,3255700000.0,259600000.0,142900000.0,16200000.0,514100000.0,,,,57300000.0,1384500000.0,1973900000.0,-185700000.0,1862200000.0,3255700000.0,21700000.0,3900000.0,-100000.0,28800000.0,26100000.0,,,,,,25800000.0,3300000.0,,,,126800000.0,16300000.0,,-1200000.0,-144700000.0,,1300000.0,-109200000.0,-240600000.0,
2015-06-30,1683700000.0,1146900000.0,536800000.0,,305100000.0,,231700000.0,,212800000.0,68100000.0,142500000.0,2.46,2.44,57900000.0,58200000.0,444300000.0,,,511900000.0,,,,1536800000.0,43100000.0,409000000.0,920200000.0,368100000.0,52900000.0,3330100000.0,279800000.0,127500000.0,16100000.0,516300000.0,,,,59800000.0,1393600000.0,2021600000.0,-171100000.0,1927400000.0,3330100000.0,42900000.0,7300000.0,-2000000.0,37400000.0,51300000.0,,,,,,98700000.0,5600000.0,,,,127000000.0,34500000.0,,-1500000.0,-161500000.0,,1800000.0,-142000000.0,-209600000.0,
2015-09-30,2560700000.0,1732800000.0,827900000.0,,465200000.0,,362700000.0,,327900000.0,108500000.0,215800000.0,3.73,3.71,57800000.0,58100000.0,433800000.0,,,527000000.0,,,,1566100000.0,47400000.0,411000000.0,928500000.0,379600000.0,49900000.0,3382500000.0,270100000.0,161300000.0,16100000.0,553500000.0,,,,56700000.0,1428900000.0,2062500000.0,-198600000.0,1943900000.0,3382500000.0,63600000.0,10800000.0,-10800000.0,60500000.0,70300000.0,,,,,,193100000.0,15200000.0,,,,163300000.0,52300000.0,,-2100000.0,-219600000.0,,1900000.0,-174700000.0,-220100000.0,
2015-12-31,3390400000.0,2298600000.0,1091800000.0,,617200000.0,,474600000.0,,418600000.0,136500000.0,277300000.0,4.79,4.77,57700000.0,58000000.0,343500000.0,,,540000000.0,160900000.0,21300000.0,,1387800000.0,49500000.0,419700000.0,928500000.0,372200000.0,51000000.0,3208700000.0,289500000.0,139700000.0,15000000.0,603100000.0,,,,49600000.0,1459700000.0,1886100000.0,-224200000.0,1740600000.0,3208700000.0,85200000.0,17000000.0,-5200000.0,-1900000.0,80800000.0,,,,,,331100000.0,24500000.0,,,,163400000.0,77100000.0,,-1300000.0,-249200000.0,,2300000.0,-371100000.0,-310400000.0,
2016-03-31,834800000.0,574900000.0,259900000.0,,158000000.0,,101900000.0,,91600000.0,29600000.0,60900000.0,1.08,1.08,56300000.0,56500000.0,320800000.0,,,559500000.0,,,29500000.0,1425400000.0,54400000.0,430800000.0,992400000.0,450800000.0,47100000.0,3400900000.0,292300000.0,158800000.0,15700000.0,565500000.0,,,,51000000.0,1825200000.0,1789800000.0,-223500000.0,1566900000.0,3400900000.0,22700000.0,4600000.0,500000.0,27100000.0,6100000.0,,,,,,58400000.0,3200000.0,,,,172200000.0,15300000.0,,-500000.0,-188000000.0,,1200000.0,108400000.0,-22700000.0,
2016-06-30,1743600000.0,1190200000.0,553400000.0,,319400000.0,,234000000.0,,208400000.0,64400000.0,141900000.0,2.54,2.53,55800000.0,56000000.0,338500000.0,,,546800000.0,,,40000000.0,1452000000.0,55600000.0,431300000.0,989200000.0,442300000.0,47300000.0,3417700000.0,279400000.0,128400000.0,14200000.0,578000000.0,,,,49100000.0,1838300000.0,1802000000.0,-235200000.0,1570200000.0,3417700000.0,45900000.0,8800000.0,-800000.0,40000000.0,-4100000.0,,,,,,122200000.0,5800000.0,,,,171600000.0,29900000.0,,-1000000.0,-200500000.0,,1400000.0,86300000.0,-5000000.0,
2016-09-30,2651000000.0,1808900000.0,842100000.0,,472100000.0,,370000000.0,,332500000.0,100400000.0,228600000.0,4.1,4.08,55600000.0,55800000.0,364500000.0,,,545700000.0,,,31900000.0,1521700000.0,52400000.0,436300000.0,992000000.0,440700000.0,48000000.0,3491100000.0,291500000.0,153500000.0,14600000.0,577500000.0,,,,57800000.0,1856500000.0,1853700000.0,-235300000.0,1625500000.0,3491100000.0,68600000.0,13100000.0,4300000.0,73800000.0,-8600000.0,,,,,,260700000.0,13100000.0,,,,172500000.0,45800000.0,,-3500000.0,-219100000.0,,3300000.0,-6000000.0,21000000.0,
2016-12-31,3505200000.0,2404500000.0,1100700000.0,,622900000.0,,477800000.0,,430400000.0,132600000.0,293000000.0,5.26,5.24,55500000.0,55700000.0,437600000.0,,,532400000.0,177700000.0,15100000.0,40100000.0,1551300000.0,56400000.0,439800000.0,991000000.0,431500000.0,55000000.0,3525000000.0,291600000.0,156200000.0,11800000.0,589600000.0,,,,0.0,1921800000.0,1879300000.0,-302500000.0,1592800000.0,3525000000.0,92300000.0,22300000.0,12700000.0,42300000.0,-18400000.0,,,,,,398200000.0,20000000.0,,,,173400000.0,67200000.0,,-6500000.0,-230000000.0,,4200000.0,-46800000.0,94100000.0,
2017-03-31,852300000.0,590500000.0,261800000.0,,157700000.0,,104100000.0,,90900000.0,27000000.0,62800000.0,1.13,1.13,55200000.0,55600000.0,381000000.0,,,547800000.0,,,34000000.0,1517600000.0,59200000.0,437800000.0,1000500000.0,427300000.0,52200000.0,3494600000.0,300100000.0,145500000.0,12300000.0,576000000.0,,,,65200000.0,1905800000.0,1867200000.0,-289000000.0,1578700000.0,3494600000.0,24200000.0,4200000.0,700000.0,13100000.0,12200000.0,,,,,,63000000.0,3300000.0,,,,19200000.0,13600000.0,,-800000.0,-32900000.0,,,-94100000.0,-56600000.0,
2017-06-30,1800600000.0,1244100000.0,556500000.0,,321800000.0,,234700000.0,,207600000.0,62900000.0,141900000.0,2.57,2.56,55000000.0,55300000.0,367700000.0,,,585300000.0,,,42000000.0,1609600000.0,57100000.0,441600000.0,1058700000.0,446800000.0,52900000.0,3666700000.0,353000000.0,149800000.0,12100000.0,1025300000.0,,,,68000000.0,2063500000.0,1871800000.0,-280000000.0,1592300000.0,3666700000.0,50400000.0,8100000.0,3000000.0,61700000.0,42800000.0,,,,,,132100000.0,8600000.0,,,,108500000.0,33000000.0,,-1800000.0,-139900000.0,,,-74700000.0,-69900000.0,
2017-09-30,2751100000.0,1887700000.0,863400000.0,,482300000.0,,381100000.0,,331200000.0,103700000.0,222700000.0,4.05,4.02,54900000.0,55200000.0,386400000.0,,,623600000.0,,,46300000.0,1685000000.0,56500000.0,449100000.0,1063500000.0,437100000.0,52000000.0,3743200000.0,349400000.0,158300000.0,14900000.0,740600000.0,,,,68400000.0,2075500000.0,1914300000.0,-262600000.0,1656000000.0,3743200000.0,76000000.0,11900000.0,4200000.0,73000000.0,79200000.0,,,,,,228600000.0,15100000.0,,,,110300000.0,53200000.0,,-2900000.0,-161600000.0,,,-139900000.0,-51200000.0,
