Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,30960414000.0,,,,4227535000.0,,1707603000.0,,1601760000.0,562085000.0,1039675000.0,6.21,6.15,,,1613588000.0,6190062000.0,,,,,505960000.0,9252816000.0,1307088000.0,679142000.0,1992924000.0,,921524000.0,14153494000.0,,,228817000.0,5259992000.0,,,,246286000.0,8377491000.0,4429611000.0,42135000.0,5776003000.0,14153494000.0,,65870000.0,,59966000.0,,,-112473000.0,,-9281000.0,13682000.0,1421582000.0,7197007000.0,1270525000.0,3951326000.0,,12436000.0,185450000.0,,,-1859261000.0,,5339000.0,80844000.0,-356835000.0,627227000.0
2010-03-31,8440594000.0,,,,1127043000.0,,443240000.0,,416926000.0,158158000.0,258768000.0,1.54,1.52,,,1813993000.0,6764833000.0,,,,,514549000.0,10259986000.0,1333659000.0,665909000.0,1992924000.0,,956658000.0,15209136000.0,,,235584000.0,5905861000.0,,,,328979000.0,9123899000.0,4688379000.0,69994000.0,6085237000.0,15209136000.0,,27339000.0,,280978000.0,,,29177000.0,,6767000.0,246068000.0,754651000.0,1525349000.0,433788000.0,545166000.0,,0.0,39028000.0,,,-527217000.0,,734000.0,-27029000.0,200405000.0,5210000.0
2010-06-30,17093315000.0,,,,2288833000.0,,1005316000.0,,952780000.0,353936000.0,598844000.0,3.56,3.52,168472000.0,170229000.0,1998982000.0,6882063000.0,,,,,535708000.0,10787089000.0,1405734000.0,660223000.0,1994593000.0,,842931000.0,15690570000.0,,,209346000.0,5996989000.0,,,,313843000.0,9211745000.0,5028455000.0,158428000.0,6478825000.0,15690570000.0,,39627000.0,,501482000.0,,,-73683000.0,,-19471000.0,219163000.0,1079962000.0,2759168000.0,1014032000.0,1091282000.0,,1669000.0,91427000.0,,,-672141000.0,,1264000.0,-22427000.0,385394000.0,356390000.0
2010-09-30,25517963000.0,,,,3363021000.0,,1653749000.0,,1575070000.0,583005000.0,992065000.0,5.9,5.84,168082000.0,169964000.0,2922852000.0,7142395000.0,,,,,479417000.0,11384613000.0,1477147000.0,670277000.0,1997277000.0,,861038000.0,16390352000.0,,,213778000.0,6261125000.0,,,,239868000.0,9451383000.0,5421676000.0,259025000.0,6938969000.0,16390352000.0,,52104000.0,,-15592000.0,,,-119728000.0,,-15073000.0,520771000.0,2289171000.0,3582352000.0,1492601000.0,1298912000.0,,10120000.0,152432000.0,,,-865070000.0,,1406000.0,-114837000.0,1309264000.0,632745000.0
2010-12-31,33868208000.0,,,,4662802000.0,,1854622000.0,,1749562000.0,650172000.0,1099390000.0,6.55,6.47,167782000.0,169798000.0,1673137000.0,6872767000.0,,,165401000.0,,583141000.0,10137699000.0,1499672000.0,815337000.0,2567809000.0,,1082736000.0,16103253000.0,,,185410000.0,5744626000.0,,,,272867000.0,9179197000.0,5529001000.0,120584000.0,6924056000.0,16103253000.0,,62947000.0,-198978000.0,45535000.0,,,-81133000.0,,-46233000.0,721894000.0,2241794000.0,4589332000.0,1749801000.0,2012494000.0,,832450000.0,222302000.0,,,-1810989000.0,,1964000.0,-371256000.0,59549000.0,784924000.0
2011-03-31,9190718000.0,,,,1255843000.0,,524012000.0,,496784000.0,181608000.0,315176000.0,1.88,1.86,167271000.0,169534000.0,1756041000.0,7420959000.0,,,,,669288000.0,11096774000.0,1568090000.0,819729000.0,2576208000.0,390132000.0,1099259000.0,17160060000.0,,,219004000.0,6364734000.0,,,,371837000.0,9933082000.0,5844177000.0,108808000.0,7226978000.0,17160060000.0,,29775000.0,,260329000.0,,,110920000.0,,33594000.0,204176000.0,795452000.0,1186574000.0,398800000.0,153832000.0,,5000000.0,70481000.0,,,-690727000.0,,5131000.0,-21821000.0,82904000.0,76215000.0
2011-06-30,18474849000.0,,,,2448248000.0,,1278189000.0,,1223298000.0,447835000.0,775463000.0,4.64,4.57,167146000.0,169560000.0,1567824000.0,7609737000.0,,,,,721537000.0,11475227000.0,1592919000.0,822611000.0,2577511000.0,394325000.0,1126637000.0,17594905000.0,,,204859000.0,6355764000.0,,,,427741000.0,10008188000.0,6262943000.0,189030000.0,7586717000.0,17594905000.0,,40978000.0,,587374000.0,,,174800000.0,,19449000.0,202069000.0,956665000.0,1902083000.0,731204000.0,432006000.0,,10952000.0,129181000.0,,,-858849000.0,,11287000.0,-203129000.0,-105313000.0,407416000.0
2011-09-30,27775492000.0,,,,3809905000.0,,2003974000.0,,1922018000.0,701795000.0,1220223000.0,7.34,7.24,166138000.0,168558000.0,4019405000.0,7864637000.0,,,,,706493000.0,13632338000.0,1695943000.0,850888000.0,2579916000.0,380670000.0,1140644000.0,19899729000.0,,,2005366000.0,8516501000.0,,,,283121000.0,12041759000.0,6667005000.0,279844000.0,7857970000.0,19899729000.0,,52778000.0,,77299000.0,,,205092000.0,,1819931000.0,391892000.0,3875980000.0,2667353000.0,1084062000.0,625461000.0,,13652000.0,215926000.0,,,-1143197000.0,,12246000.0,-386515000.0,2346268000.0,717654000.0
2011-12-31,36832000000.0,,,,5395000000.0,,2344000000.0,,2235000000.0,816000000.0,1419000000.0,8.58,8.46,165413000.0,167827000.0,1377000000.0,7743000000.0,,,30000000.0,,1027000000.0,11181000000.0,1710000000.0,912000000.0,2740000000.0,435000000.0,1165000000.0,17708000000.0,,,213000000.0,6056000000.0,,,,267000000.0,9645000000.0,6825000000.0,303000000.0,8063000000.0,17708000000.0,,67000000.0,22000000.0,106000000.0,,,183000000.0,,26000000.0,194000000.0,2079000000.0,3678000000.0,1569000000.0,1259000000.0,,226000000.0,346000000.0,,,-1358000000.0,,15000000.0,-1017000000.0,-296000000.0,874000000.0
2012-03-31,10219000000.0,,,,1383000000.0,,416000000.0,,390000000.0,142000000.0,248000000.0,1.51,1.49,163717000.0,166088000.0,3656000000.0,7889000000.0,,,,,1181000000.0,14056000000.0,1704000000.0,939000000.0,2785000000.0,456000000.0,1216000000.0,20700000000.0,,,2298000000.0,8823000000.0,,,,332000000.0,12466000000.0,7032000000.0,313000000.0,8234000000.0,20700000000.0,,40000000.0,,255000000.0,,,138000000.0,,2034000000.0,52000000.0,2346000000.0,714000000.0,424000000.0,242000000.0,,56000000.0,86000000.0,,,-190000000.0,,20000000.0,123000000.0,2279000000.0,5000000.0
2012-06-30,19918000000.0,,,,2767000000.0,,1006000000.0,,954000000.0,350000000.0,604000000.0,3.7,3.65,163267000.0,165363000.0,3869000000.0,7882000000.0,,,,,1422000000.0,14071000000.0,1783000000.0,976000000.0,2792000000.0,440000000.0,1233000000.0,20855000000.0,,,2341000000.0,8676000000.0,,,,321000000.0,12400000000.0,7346000000.0,327000000.0,8455000000.0,20855000000.0,,54000000.0,,-177000000.0,,,250000000.0,,2077000000.0,51000000.0,3052000000.0,1364000000.0,757000000.0,529000000.0,,76000000.0,185000000.0,,,-339000000.0,,21000000.0,-221000000.0,2492000000.0,293000000.0
2012-09-30,29569000000.0,,,,4175000000.0,,1707000000.0,,1629000000.0,599000000.0,1030000000.0,6.34,6.27,162391000.0,164382000.0,1363000000.0,8058000000.0,,,,,1615000000.0,11678000000.0,1837000000.0,1034000000.0,2962000000.0,465000000.0,1286000000.0,18797000000.0,,,172000000.0,6369000000.0,,,,270000000.0,10106000000.0,7731000000.0,397000000.0,8691000000.0,18797000000.0,,68000000.0,,-436000000.0,,,236000000.0,,-95000000.0,121000000.0,1718000000.0,2166000000.0,1111000000.0,894000000.0,,288000000.0,304000000.0,,,-753000000.0,,21000000.0,-979000000.0,-14000000.0,514000000.0
