Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,734124000.0,431762000.0,302362000.0,,178791000.0,,120673000.0,,114133000.0,37110000.0,77023000.0,0.95,0.94,80369000.0,81800000.0,159138000.0,,,170109000.0,,,47773000.0,577450000.0,,179284000.0,1169641000.0,277431000.0,7721000.0,2211527000.0,,131549000.0,,237535000.0,,152271000.0,,89754000.0,939392000.0,949494000.0,-38693000.0,1272135000.0,2211527000.0,,9330000.0,1656000.0,20950000.0,14618000.0,,,,,,95705000.0,,,,,51273000.0,17533000.0,,,-68806000.0,,2284000.0,65263000.0,85612000.0,
2010-09-30,1107855000.0,651360000.0,456495000.0,,266961000.0,,183112000.0,,171309000.0,55722000.0,115587000.0,1.42,1.4,80517000.0,81938000.0,206054000.0,,,191698000.0,,,53019000.0,660959000.0,,187021000.0,1208756000.0,281978000.0,7747000.0,2346461000.0,,163119000.0,,280854000.0,,158536000.0,,90754000.0,1010703000.0,975702000.0,-9107000.0,1335758000.0,2346461000.0,,12858000.0,1210000.0,19684000.0,27664000.0,,,,,,157346000.0,,,,,68330000.0,26006000.0,,,-94336000.0,,3271000.0,62318000.0,132528000.0,
2010-12-31,1513073000.0,894590000.0,618483000.0,,358272000.0,,249116000.0,,231874000.0,74774000.0,157100000.0,1.93,1.9,80466000.0,81983000.0,235136000.0,,,196546000.0,,,47523000.0,692758000.0,,188562000.0,1207001000.0,281392000.0,11982000.0,2381695000.0,,117879000.0,,353668000.0,,148534000.0,,95383000.0,1006035000.0,1005040000.0,-12709000.0,1375660000.0,2381695000.0,,17358000.0,-7336000.0,22162000.0,26651000.0,,,,,,184477000.0,,,,,91286000.0,31740000.0,,,-122306000.0,,3457000.0,95521000.0,161610000.0,
2011-03-31,427089000.0,248389000.0,178700000.0,,100979000.0,,77721000.0,,70360000.0,22409000.0,47951000.0,0.58,0.57,81430000.0,83248000.0,195548000.0,,,215650000.0,,,50632000.0,704007000.0,,199703000.0,1246258000.0,299333000.0,16127000.0,2465428000.0,,113002000.0,,328709000.0,,153915000.0,,94435000.0,992442000.0,1052991000.0,13858000.0,1472986000.0,2465428000.0,,4849000.0,3011000.0,22325000.0,12875000.0,,,,,,29127000.0,,,,,50361000.0,11442000.0,,2126000.0,-63929000.0,,2370000.0,-11859000.0,-39588000.0,
2011-06-30,880887000.0,517348000.0,363539000.0,,206189000.0,,157350000.0,,143616000.0,45483000.0,98133000.0,1.19,1.17,82151000.0,83778000.0,202961000.0,,,282381000.0,,,58429000.0,814005000.0,,231538000.0,1450988000.0,406340000.0,20449000.0,2923320000.0,,122894000.0,9638000.0,350126000.0,3658000.0,169810000.0,,98617000.0,1411670000.0,1075006000.0,22169000.0,1511650000.0,2923320000.0,,10082000.0,2427000.0,25722000.0,19532000.0,,,,,,80838000.0,,,,,446044000.0,18618000.0,,2289000.0,-454300000.0,,4010000.0,331602000.0,-32175000.0,
2011-09-30,1357768000.0,812697000.0,545071000.0,,313485000.0,,228655000.0,,206717000.0,60248000.0,146469000.0,1.77,1.75,82402000.0,83586000.0,220461000.0,,,271617000.0,,,54882000.0,805306000.0,,219702000.0,1441640000.0,393947000.0,33133000.0,2893728000.0,,173854000.0,9816000.0,393159000.0,3321000.0,166325000.0,,95619000.0,1388307000.0,1109168000.0,-25653000.0,1505421000.0,2893728000.0,,9755000.0,1623000.0,18721000.0,13026000.0,,,,,,175609000.0,,,,,446069000.0,27984000.0,,2262000.0,-463664000.0,,4920000.0,272685000.0,-14675000.0,
2011-12-31,1838451000.0,1099778000.0,738673000.0,36000000.0,421703000.0,,304656000.0,,273881000.0,80024000.0,193857000.0,2.34,2.32,82145000.0,83543000.0,230259000.0,,,254258000.0,-116252000.0,,51799000.0,789161000.0,,213717000.0,1431366000.0,382222000.0,19641000.0,2836107000.0,,130696000.0,7954000.0,258278000.0,3198000.0,142482000.0,,115846000.0,1322972000.0,1142412000.0,-55469000.0,1513135000.0,2836107000.0,72386000.0,12076000.0,-3576000.0,16488000.0,607000.0,,,,,,217241000.0,,,,,443634000.0,34548000.0,,3379000.0,-469537000.0,,5298000.0,253412000.0,-4877000.0,
2012-03-31,489417000.0,286528000.0,202889000.0,,113382000.0,,84569000.0,,74024000.0,21853000.0,52171000.0,0.63,0.62,82804000.0,83902000.0,245543000.0,,,253564000.0,,,59137000.0,829069000.0,,214153000.0,1442160000.0,374111000.0,19633000.0,2879126000.0,,129255000.0,6471000.0,249260000.0,3063000.0,147125000.0,,112320000.0,1278555000.0,1194583000.0,-38094000.0,1600571000.0,2879126000.0,,4661000.0,74000.0,15450000.0,212000.0,,,,,,58742000.0,,,,,,8515000.0,,40000.0,-8555000.0,,2118000.0,-39821000.0,15284000.0,
2012-06-30,983561000.0,577559000.0,406002000.0,,225264000.0,,173219000.0,,151908000.0,45386000.0,106522000.0,1.28,1.27,83180000.0,84090000.0,221110000.0,,,254497000.0,,,57273000.0,798089000.0,,215673000.0,1450969000.0,371475000.0,20596000.0,2856802000.0,,124167000.0,4914000.0,260900000.0,4959000.0,152854000.0,,110070000.0,1277549000.0,1215516000.0,-61641000.0,1579253000.0,2856802000.0,,8176000.0,3537000.0,7390000.0,-787000.0,,,,,,139478000.0,,,,,34201000.0,18688000.0,,90000.0,-52979000.0,,2456000.0,-90847000.0,-9149000.0,
2012-09-30,1463420000.0,862578000.0,600842000.0,,332431000.0,,253807000.0,,222092000.0,65443000.0,156649000.0,1.88,1.87,82820000.0,83785000.0,260503000.0,,,249564000.0,,,56292000.0,843864000.0,,223762000.0,1490821000.0,378660000.0,20328000.0,2957435000.0,,154557000.0,16147000.0,294042000.0,5657000.0,157971000.0,,113817000.0,1348598000.0,1249130000.0,-35674000.0,1608837000.0,2957435000.0,,11162000.0,4621000.0,8199000.0,-9187000.0,,,,,,240498000.0,,,,,69021000.0,28108000.0,,365000.0,-97494000.0,,3295000.0,-113874000.0,30244000.0,
