Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,,,,108475000.0,227532000.0,1136997000.0,,,182713000.0,51772000.0,130941000.0,1.65,1.63,79188000.0,80111000.0,110552000.0,,,454608000.0,66493000.0,,115971000.0,1223620000.0,,482041000.0,665582000.0,,167626000.0,2726882000.0,155056000.0,163519000.0,,495359000.0,,,,154647000.0,,2430322000.0,-303606000.0,844770000.0,2726882000.0,40221000.0,10780000.0,-14737000.0,53766000.0,30384000.0,,21818000.0,58580000.0,,9668000.0,127640000.0,,,,,,37013000.0,,,-36351000.0,,,-58594000.0,30417000.0,
2010-09-30,,,,161688000.0,336487000.0,1704096000.0,,,288897000.0,80917000.0,207980000.0,2.61,2.58,79357000.0,80266000.0,114885000.0,,,503991000.0,74699000.0,,122602000.0,1328150000.0,,505673000.0,665582000.0,,174109000.0,2864307000.0,169652000.0,181893000.0,,643597000.0,,,,164665000.0,,2485785000.0,-265374000.0,947154000.0,2864307000.0,60137000.0,16708000.0,-40720000.0,60926000.0,53155000.0,,22224000.0,92841000.0,,10644000.0,208325000.0,,,,,,53597000.0,,,-53980000.0,,,-118586000.0,34750000.0,
2010-12-31,,,,218772000.0,447392000.0,2263269000.0,,,359593000.0,96036000.0,263557000.0,3.29,3.26,,,131332000.0,,,531675000.0,74160000.0,,136224000.0,1325195000.0,,538118000.0,665582000.0,,171926000.0,2872455000.0,200153000.0,301265000.0,,660951000.0,,,,147779000.0,,2519706000.0,,999422000.0,2872455000.0,79242000.0,22001000.0,-13301000.0,12143000.0,86250000.0,,53917000.0,116817000.0,,2811000.0,315136000.0,,,,,,106301000.0,,,-106783000.0,,1403000.0,-156744000.0,51197000.0,
2011-03-31,,,,57456000.0,106619000.0,598650000.0,,,115621000.0,31578000.0,84043000.0,1.04,1.03,80049000.0,81150000.0,111970000.0,,,559550000.0,58573000.0,,137448000.0,1387619000.0,,551082000.0,665582000.0,,174153000.0,2946546000.0,185205000.0,198631000.0,,633972000.0,,,,149683000.0,,2582057000.0,-245914000.0,1098562000.0,2946546000.0,17962000.0,6329000.0,17915000.0,55564000.0,11933000.0,,-9122000.0,-93103000.0,,-8908000.0,-34944000.0,,,,,,19375000.0,,,-19448000.0,,816000.0,34210000.0,-19362000.0,
2011-06-30,,,,113685000.0,212843000.0,1209318000.0,251342000.0,,220542000.0,60311000.0,160231000.0,1.98,1.96,80451000.0,81489000.0,123431000.0,,,568162000.0,54097000.0,,147990000.0,1439230000.0,,564693000.0,665582000.0,,178198000.0,3008601000.0,166438000.0,178101000.0,,628652000.0,,,,150877000.0,,2636419000.0,-230179000.0,1184615000.0,3008601000.0,37356000.0,15912000.0,27215000.0,73172000.0,14098000.0,,13541000.0,-137545000.0,,-2216000.0,2145000.0,,,,,,45699000.0,,,-45695000.0,,5075000.0,33964000.0,-7901000.0,
2011-09-30,,,,167322000.0,309626000.0,1810619000.0,379942000.0,,333016000.0,90544000.0,242472000.0,3.0,2.96,80644000.0,81628000.0,107283000.0,,,534765000.0,48667000.0,,173755000.0,1383437000.0,,563691000.0,665582000.0,,177105000.0,2953529000.0,180931000.0,161122000.0,,575262000.0,,,,150328000.0,,2693584000.0,-280847000.0,1195375000.0,2953529000.0,56245000.0,19456000.0,25672000.0,71928000.0,6949000.0,,35352000.0,-125030000.0,,10922000.0,116726000.0,,,,,,74743000.0,,,-78227000.0,,5223000.0,-62340000.0,-24049000.0,
2011-12-31,,,,219781000.0,443974000.0,2414472000.0,427729000.0,,373546000.0,106680000.0,266866000.0,3.3,3.26,80456000.0,81467000.0,88279000.0,,,544439000.0,187443000.0,,158102000.0,1317220000.0,,608065000.0,665582000.0,,179833000.0,2965581000.0,208759000.0,203835000.0,,564566000.0,,,,151872000.0,,2692893000.0,,1104412000.0,2965581000.0,75327000.0,20547000.0,25357000.0,35697000.0,25199000.0,,22428000.0,12252000.0,,-14668000.0,189190000.0,,,,,,127457000.0,,,-131163000.0,,5933000.0,-100707000.0,-43053000.0,
2012-03-31,,,,57408000.0,105416000.0,,120907000.0,,110342000.0,29286000.0,81056000.0,1.0,0.99,80777000.0,81667000.0,76526000.0,,,555017000.0,54905000.0,,137311000.0,1345365000.0,,611441000.0,665582000.0,,184233000.0,3013398000.0,189223000.0,168081000.0,,520852000.0,,,,151335000.0,,2748828000.0,-342944000.0,1197499000.0,3013398000.0,19039000.0,2990000.0,-16313000.0,41220000.0,801000.0,,-8854000.0,-22286000.0,,5459000.0,52636000.0,,,,,,28758000.0,,,-27366000.0,,1312000.0,-38864000.0,-11753000.0,
2012-06-30,,,,113809000.0,218249000.0,,253216000.0,,232881000.0,63230000.0,169651000.0,2.08,2.06,81095000.0,81782000.0,104637000.0,,,539267000.0,54598000.0,,149153000.0,1364253000.0,,604022000.0,665582000.0,,190692000.0,3025307000.0,169673000.0,176138000.0,,507423000.0,,,,153175000.0,,2812293000.0,-388162000.0,1223280000.0,3025307000.0,37094000.0,11272000.0,-13786000.0,58035000.0,5643000.0,,21248000.0,-36253000.0,,9384000.0,135366000.0,,,,,,53833000.0,,,-52784000.0,,6513000.0,-64327000.0,16358000.0,
2012-09-30,,,,171467000.0,327942000.0,,387389000.0,,354726000.0,168710000.0,186016000.0,2.28,2.26,81246000.0,81984000.0,97181000.0,,,547676000.0,55966000.0,,153383000.0,1388964000.0,,619917000.0,665582000.0,,189607000.0,3059905000.0,160956000.0,172346000.0,,652910000.0,,,,118252000.0,,2800927000.0,-361697000.0,1247224000.0,3059905000.0,56332000.0,15363000.0,-13830000.0,66364000.0,3751000.0,,20087000.0,-33652000.0,,13366000.0,142905000.0,,,,,,84176000.0,,,-83120000.0,,6920000.0,-52498000.0,8902000.0,
