Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2011-03-31,31973000.0,,,36282000.0,10825000.0,47798000.0,-15825000.0,,-26512000.0,,,-0.21,-0.21,123467000.0,123467000.0,377843000.0,5783000.0,,,,,,425968000.0,,4934000.0,,,9793000.0,459606000.0,7791000.0,16828000.0,66978000.0,110182000.0,154483000.0,,,,563584000.0,-1449542000.0,2089000.0,,459606000.0,6430000.0,6946000.0,,10878000.0,,,,-2982000.0,-16732000.0,,-44222000.0,,,,,,552000.0,,,24000.0,4129000.0,,4129000.0,-40069000.0,
2011-06-30,48784000.0,,,82329000.0,22683000.0,105724000.0,-56940000.0,,-78383000.0,,,-0.63,-0.63,125330000.0,125330000.0,359074000.0,5036000.0,,,,,,391923000.0,,5500000.0,,,9269000.0,416663000.0,8788000.0,20054000.0,66976000.0,110667000.0,137746000.0,,,,552947000.0,-1501413000.0,1951000.0,,416663000.0,13077000.0,14137000.0,,-3325000.0,,,,-1985000.0,-33471000.0,,-74958000.0,,,,,,1627000.0,,,-521000.0,16641000.0,,16641000.0,-58838000.0,
2011-09-30,65565000.0,,,126830000.0,37067000.0,164609000.0,-99044000.0,,-131461000.0,,,,,126260000.0,126260000.0,312328000.0,4647000.0,,,,,,346418000.0,,6077000.0,,,8744000.0,371224000.0,11038000.0,19838000.0,66973000.0,120957000.0,121010000.0,,,,552244000.0,-1554491000.0,1821000.0,-181020000.0,371224000.0,19948000.0,21536000.0,,-3239000.0,,,,265000.0,-50210000.0,,-121936000.0,,,,,,2807000.0,,,-1362000.0,17714000.0,,17714000.0,-105584000.0,
2011-12-31,94455000.0,,,178707000.0,58219000.0,237638000.0,-143183000.0,,,,,,,125362000.0,125362000.0,273164000.0,4430000.0,,,,,,310778000.0,,6431000.0,,,,328962000.0,14939000.0,24766000.0,2332000.0,135614000.0,104272000.0,,,,556039000.0,-1609570000.0,1642000.0,-227077000.0,328962000.0,26990000.0,28983000.0,,714000.0,3536000.0,,,4166000.0,2332000.0,,-161715000.0,,1298000.0,,,,3799000.0,,,-2501000.0,,,19468000.0,,
2012-03-31,36179000.0,,,48960000.0,21396000.0,70367000.0,-34188000.0,,,,,,,127203000.0,127203000.0,231855000.0,4556000.0,,,,,,276162000.0,,6232000.0,,,,293593000.0,13174000.0,25115000.0,6005000.0,142299000.0,87535000.0,,,,542450000.0,-1654996000.0,1935000.0,-248857000.0,293593000.0,7234000.0,9932000.0,,6595000.0,-23000.0,,,-1765000.0,3673000.0,,-54401000.0,,,167000.0,,,496000.0,,,-329000.0,,,13421000.0,,
2012-06-30,122722000.0,,,100548000.0,41115000.0,141690000.0,-18968000.0,,-41322000.0,67000.0,,-0.32,-0.32,129224000.0,137969000.0,257563000.0,4244000.0,,188000.0,,,,294158000.0,,6515000.0,,,,311971000.0,11102000.0,25108000.0,8993000.0,139731000.0,70798000.0,,,,529159000.0,-1650959000.0,1720000.0,-217188000.0,311971000.0,14638000.0,19843000.0,,7426000.0,796000.0,,,-3837000.0,6661000.0,,-45677000.0,,,264000.0,,,1503000.0,,,-1239000.0,,,31315000.0,,
2012-09-30,183213000.0,,,150627000.0,61634000.0,212319000.0,-29106000.0,,-63006000.0,93000.0,,,,,,239083000.0,4516000.0,,190000.0,,,,278728000.0,,6169000.0,,,,296535000.0,12764000.0,22749000.0,,137641000.0,,,,,516485000.0,-1672669000.0,2149000.0,-219950000.0,296535000.0,22214000.0,29426000.0,,10125000.0,1672000.0,,,-2175000.0,-2332000.0,,-72822000.0,,,,,,1909000.0,,,-1488000.0,,,40229000.0,,
2012-12-31,297059000.0,,,210391000.0,85363000.0,295911000.0,1148000.0,,-44146000.0,174000.0,,,,,,224057000.0,4361000.0,,278000.0,,,,309514000.0,,6348000.0,,,,330419000.0,13961000.0,28385000.0,,136074000.0,,,,,505376000.0,-1653890000.0,1878000.0,-174957000.0,330419000.0,29979000.0,38493000.0,,64536000.0,5217000.0,,,-978000.0,-2332000.0,,-94830000.0,,860000.0,,,,2839000.0,,,-1988000.0,,,47711000.0,,
2013-03-31,71077000.0,,,52763000.0,22261000.0,75174000.0,-4097000.0,,-15626000.0,43000.0,,,,,,265814000.0,4365000.0,,189000.0,,,,309113000.0,,6485000.0,,,,330282000.0,15515000.0,31878000.0,,121283000.0,,,,,493808000.0,-1669559000.0,1999000.0,-163526000.0,330282000.0,7734000.0,9197000.0,,-42910000.0,577000.0,,,1554000.0,,,24738000.0,,,,,,894000.0,,,-758000.0,,,17777000.0,,
2013-06-30,172752000.0,,,113713000.0,45509000.0,159530000.0,17319000.0,,-18127000.0,113000.0,,-0.13,-0.13,142284000.0,142284000.0,258202000.0,19251000.0,,133000.0,,,,313369000.0,,6236000.0,,,,334219000.0,13471000.0,33087000.0,,102958000.0,,,,3433000.0,362005000.0,-1672130000.0,1993000.0,-27786000.0,334219000.0,15787000.0,19130000.0,,-43429000.0,2790000.0,,,-490000.0,,,32819000.0,,,,,,1447000.0,,,-16460000.0,,,17786000.0,,
