Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2017-03-31,,,,,,226664000.0,12086000.0,-68798000.0,,,-42391000.0,,,,,192450000.0,,,,,,,,,5612000.0,,,,9588161000.0,,,,,,,,,5930119000.0,-25512000.0,13272000.0,3658042000.0,9588161000.0,,44244000.0,,,,,15906000.0,,,,70861000.0,,,,,,270000.0,,,111534000.0,,,-188064000.0,-5669000.0,
2017-06-30,,,,,,415286000.0,65680000.0,-127025000.0,,,-36862000.0,-0.06,-0.06,311771221.0,312271578.0,158934000.0,,,,,,,,,6001000.0,,,,9519326000.0,,,,,,,,,5875355000.0,-38799000.0,4572000.0,3643971000.0,9519326000.0,,52460000.0,,,,,8564000.0,,,,167226000.0,,,,,,1494000.0,,,74499000.0,,,-280910000.0,-39185000.0,1987000.0
2017-09-30,,,,,,628905000.0,95597000.0,-183208000.0,,,-59372000.0,,,,,134441000.0,,,,,,,,,6522000.0,,,,9524524000.0,,,,,,,,,5922511000.0,-86450000.0,8167000.0,3602013000.0,9524524000.0,,64464000.0,,,,,14611000.0,,,,267267000.0,,,,,,2809000.0,,,-11429000.0,,,-319516000.0,-63678000.0,1987000.0
2017-12-31,,,,,,936249000.0,118207000.0,-257929000.0,,,-105337000.0,,,,,179878000.0,,,,,,,,,16595000.0,258207000.0,,,18683638000.0,,,,,,,,,10033763000.0,-157595000.0,47885000.0,8498085000.0,18683638000.0,,81203000.0,,,,,10605000.0,,,,259789000.0,,,,,,4086000.0,,-2240000.0,53282000.0,,,-331312000.0,-18241000.0,2525000.0
2018-03-31,,,,,,356188000.0,67481000.0,-90563000.0,,,-17269000.0,-0.03,-0.03,519660998.0,519660998.0,134893000.0,,,,,,,,,15415000.0,258207000.0,,,18696445000.0,,,,,,,,,10059548000.0,-232296000.0,106918000.0,8491936000.0,18696445000.0,,9498000.0,,,,,23390000.0,,,,130080000.0,,,,,,29000.0,,9260000.0,-101998000.0,,,-53896000.0,,671000.0
2018-06-30,56455000.0,,,,,711148000.0,144947000.0,-186158000.0,,,-31215000.0,-0.06,-0.06,520509058.0,520509058.0,166874000.0,,,,,,,,,17980000.0,258207000.0,,,18665362000.0,,,,,,,,,10081785000.0,-303801000.0,118954000.0,8439660000.0,18665362000.0,,17514000.0,,,,,7668000.0,,,,310335000.0,,,,,,1832000.0,,8314000.0,-189374000.0,,,-127601000.0,-6640000.0,1373000.0
2018-09-30,86566000.0,,,,,1061636000.0,228710000.0,,,,-30195000.0,-0.06,-0.06,520620519.0,521761076.0,130037000.0,,,,,,,,,12254000.0,258207000.0,,,18476648000.0,,,,,,,,,9912000000.0,-360344000.0,151886000.0,8421128000.0,18476648000.0,,23582000.0,,,,,11695000.0,,,,513081000.0,,,,,,3548000.0,,8153000.0,-141034000.0,,,-404969000.0,-32922000.0,1569000.0
2018-12-31,1722962000.0,,,,,1784615000.0,,,,,-4927000.0,,,,,144940000.0,,,,,,,,,11792000.0,258207000.0,,,18063428000.0,,,,,,,,,9694242000.0,-392594000.0,-12963000.0,8229111000.0,18063428000.0,,29499000.0,,,,,14083000.0,,,,561241000.0,,,,,,4027000.0,,5239000.0,62993000.0,,,-680805000.0,-56571000.0,2069000.0
2019-03-31,,,,,,435028000.0,,,,,20822000.0,0.04,0.04,521440822.0,521817494.0,130896000.0,,,,,,,,,9654000.0,258207000.0,,,17853619000.0,,,,,,,,,9632251000.0,-439737000.0,-110655000.0,8139916000.0,17853619000.0,,5607000.0,,,,,-304000.0,,,,193183000.0,,,,,,,,209000.0,55027000.0,,,-256783000.0,-8573000.0,866000.0
2019-06-30,,,,,,863987000.0,,,,,59764000.0,0.11,0.11,525070036.0,525933643.0,77046000.0,,,,,,,,,10881000.0,258207000.0,,,17714153000.0,,,,,,,,,9676685000.0,-469129000.0,-265370000.0,7957679000.0,17714153000.0,,9222000.0,,,,,9823000.0,,,,375342000.0,,,,,,,,-3163000.0,39191000.0,,,-455069000.0,-40536000.0,1699000.0
2019-09-30,,,,,,1298877000.0,,,,,93471000.0,0.18,0.18,537771245.0,538644888.0,81531000.0,,,,,,,,,10513000.0,258207000.0,,,17660018000.0,,,,,,,,,9483507000.0,-505887000.0,-340724000.0,8097260000.0,17660018000.0,,13847000.0,,,,,4218000.0,,,,590848000.0,,,,,,,,-4325000.0,-26571000.0,17737000.0,,-597855000.0,-33578000.0,2320000.0
2019-12-31,,,,,,1725510000.0,,,,,145463000.0,0.27,0.27,531235962.0,532499787.0,92258000.0,,,,,,,,,9825000.0,258207000.0,,,17392910000.0,,,,,,,,,9126832000.0,-524588000.0,-276600000.0,8214422000.0,17392910000.0,,18158000.0,,,,,10890000.0,,,,662130000.0,,,,,,,,-4834000.0,102226000.0,55263000.0,,-838102000.0,-73746000.0,2781000.0
2020-03-31,,,,,,418427000.0,,,,,49956000.0,0.09,0.09,542549512.0,543904420.0,297060000.0,,,,,,,,,9363000.0,258207000.0,,,17593345000.0,,,,,,,,,9635218000.0,-556305000.0,-607402000.0,7908243000.0,17593345000.0,,4101000.0,,,,,10787000.0,,,932000.0,177721000.0,,,,,,,,93000.0,-80742000.0,55921000.0,,132571000.0,229550000.0,362000.0
2020-06-30,,,,,,837541000.0,,,,429000.0,92859000.0,0.17,0.17,548811968.0,549920213.0,571719000.0,,,,,,,,,9138000.0,258207000.0,,,17746316000.0,,,,,,,,,9402443000.0,-595318000.0,-632148000.0,8293764000.0,17746316000.0,,6207000.0,,,,,14288000.0,,,11462000.0,395935000.0,,,,,,,,203000.0,-89504000.0,503798000.0,,202937000.0,509368000.0,967000.0
2020-09-30,,,,,,1275917000.0,,,,722000.0,125513000.0,0.23,0.23,560598995.0,561871373.0,559567000.0,,,,,,,,,8809000.0,258207000.0,,,17750787000.0,,,,,,,,,9419410000.0,-646950000.0,-598966000.0,8280868000.0,17750787000.0,,12293000.0,,,,,22300000.0,,,7852000.0,625672000.0,,,,,,,,165000.0,-194375000.0,503798000.0,,91366000.0,522663000.0,1284000.0
2020-12-31,,,,,,1709610000.0,,,,870000.0,196212000.0,0.35,0.35,553993321.0,555458607.0,213422000.0,,,,,,,,,9995000.0,258207000.0,,,17506222000.0,,,,,,,,,8950149000.0,-661162000.0,-546942000.0,8504825000.0,17506222000.0,,17090000.0,,,,,38012000.0,,,8849000.0,696712000.0,,,,,,,,2188000.0,-425156000.0,686723000.0,,-146033000.0,125523000.0,1284000.0
2021-03-31,475225000.0,,,,,429428000.0,,,,241000.0,57367000.0,0.1,0.1,567375502.0,568826104.0,187310000.0,,,,,,,,,9146000.0,258207000.0,,,17490419000.0,,,,,,,,,8858059000.0,-700728000.0,-429958000.0,8580113000.0,17490419000.0,,5814000.0,,,,,2803000.0,,,-2430000.0,240588000.0,,,,,,,,143000.0,-122556000.0,0.0,,-118979000.0,-947000.0,331000.0
2021-06-30,966858000.0,,,,,869398000.0,,,,383000.0,117705000.0,0.21,0.21,567931472.0,569283166.0,126168000.0,,,,,,,,,9301000.0,258207000.0,,,17484611000.0,,,,,,,,,8864935000.0,-737444000.0,-413684000.0,8580039000.0,17484611000.0,,15020000.0,,,,,13843000.0,,,-13007000.0,470101000.0,,,,,,,,3846000.0,-282875000.0,0.0,,-230850000.0,-43624000.0,501000.0
2021-09-30,1476390000.0,,,,,1325495000.0,,,,464000.0,186882000.0,0.33,0.33,577011178.0,578571392.0,569663000.0,,,,,,,,,13137000.0,258207000.0,,,18250566000.0,,,,,,,,,8727321000.0,-767232000.0,-378428000.0,9482980000.0,18250566000.0,,21072000.0,,,,,9950000.0,,,2485000.0,782314000.0,,,,,,,,15083000.0,-728310000.0,693445000.0,,355378000.0,409382000.0,607000.0
2021-12-31,1996615000.0,,,,,1777046000.0,,,,551000.0,261425000.0,0.45,0.45,577681070.0,579209523.0,610166000.0,,,,,,,,,16595000.0,258207000.0,,,18537846000.0,,,,,,,,,8699042000.0,-794869000.0,-286938000.0,9797742000.0,18537846000.0,,27170000.0,,,,,15095000.0,,,-267000.0,907660000.0,,,,,,,,20843000.0,-1159558000.0,933790000.0,,658988000.0,407090000.0,809000.0
2022-03-31,532310000.0,,,,,452575000.0,,,,79000.0,92615000.0,0.15,0.15,606410225.0,607908398.0,467457000.0,,,,,,,,,16785000.0,258207000.0,,,18544222000.0,,,,,,,,,8319090000.0,-836494000.0,-80534000.0,10182856000.0,18544222000.0,,6646000.0,,,,,1059000.0,,,-3497000.0,235034000.0,,,,,,,,12559000.0,-289226000.0,83959000.0,,-81517000.0,-135709000.0,400000.0
2022-06-30,1089610000.0,,,,,919178000.0,,,,162000.0,203578000.0,0.33,0.33,610331643.0,611620475.0,272708000.0,,,,,,,,,17563000.0,258207000.0,,,18506984000.0,,,,,,,,,8224995000.0,-860275000.0,-20285000.0,10238690000.0,18506984000.0,,14635000.0,,,,,7419000.0,,,-11262000.0,552057000.0,,,,,,,,16209000.0,-580684000.0,98367000.0,,-310635000.0,-339262000.0,1107000.0
2022-09-30,1658285000.0,,,,,1422359000.0,,,,235000.0,282757000.0,0.46,0.46,610845820.0,612647588.0,300312000.0,,,,,,,,,20437000.0,258207000.0,,,18678414000.0,,,,,,,,,8332065000.0,-916138000.0,91892000.0,10315126000.0,18678414000.0,,22565000.0,,,,,1953000.0,,,9157000.0,903946000.0,,,,,,,,22631000.0,-756089000.0,98367000.0,,-450819000.0,-302962000.0,1497000.0
2022-12-31,2238121000.0,,,,,1919215000.0,,,,150000.0,383329000.0,0.63,0.63,609770610.0,611112396.0,262870000.0,,,,,,,,,24484000.0,258207000.0,,,18536708000.0,,,,,,,,,8213077000.0,-951220000.0,97985000.0,10291342000.0,18536708000.0,,28962000.0,,,,,10887000.0,,,-3896000.0,1023587000.0,,,,,,,,38539000.0,-814413000.0,98367000.0,,-574105000.0,-364931000.0,1534000.0
2023-03-31,589890000.0,,,,,493416000.0,,,,0.0,120242000.0,0.2,0.2,611588465.0,612564298.0,325277000.0,,,,,,,,,24783000.0,258207000.0,,,18503206000.0,,,,,,,,,8250703000.0,-989431000.0,66326000.0,10219471000.0,18503206000.0,,6498000.0,,,,,11033000.0,,,7807000.0,317791000.0,,,,,,,,13163000.0,-69841000.0,0.0,,-173581000.0,74369000.0,-22000.0
