Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,2959100000.0,,,,,2841300000.0,177200000.0,-56600000.0,146200000.0,63300000.0,82500000.0,0.22,0.15,473000000.0,544900000.0,1929900000.0,12500000.0,3724500000.0,,,,282400000.0,7180800000.0,,440400000.0,3278300000.0,,427900000.0,11704600000.0,4004800000.0,2445000000.0,,6735700000.0,,,,386200000.0,9227400000.0,-306900000.0,-240800000.0,2169700000.0,11704600000.0,,26500000.0,4400000.0,144700000.0,161100000.0,,,139300000.0,,,-202200000.0,,,,,9000000.0,28300000.0,,1200000.0,-9300000.0,,,-315900000.0,-565300000.0,
2010-09-30,4519900000.0,,,,,4301900000.0,218000000.0,-87600000.0,130400000.0,72400000.0,63200000.0,0.16,0.11,474700000.0,533600000.0,1927700000.0,11300000.0,3805400000.0,,,,242000000.0,7315800000.0,,441100000.0,3350400000.0,,446800000.0,11950600000.0,3967800000.0,2549900000.0,,6873000000.0,,,,389300000.0,9349600000.0,-261600000.0,-161800000.0,2296100000.0,11950600000.0,,38500000.0,-7500000.0,82700000.0,225800000.0,,,-700000.0,,,-161800000.0,,,,,63000000.0,49700000.0,,1700000.0,-83600000.0,,,-327700000.0,-567500000.0,
2010-12-31,6531900000.0,,,,,5983200000.0,548700000.0,-98100000.0,450600000.0,171300000.0,261100000.0,0.57,0.47,473600000.0,542100000.0,2675700000.0,13700000.0,4317600000.0,,,,229400000.0,8453500000.0,,454300000.0,3368500000.0,,460300000.0,13070800000.0,4474500000.0,3112700000.0,,7740900000.0,,,,402400000.0,10212700000.0,-63700000.0,-119000000.0,2529000000.0,13070800000.0,,50000000.0,56000000.0,547600000.0,122800000.0,,,646300000.0,,,817300000.0,,,,,61900000.0,96300000.0,,-800000.0,-108500000.0,,,-547700000.0,180500000.0,
2011-03-31,1474800000.0,,,,,1520100000.0,-45300000.0,-29700000.0,-75000000.0,-21500000.0,-45200000.0,,,,,1840200000.0,14100000.0,3995400000.0,,,,266600000.0,7474100000.0,,445500000.0,3407700000.0,,451000000.0,12177200000.0,4010600000.0,2733600000.0,,7312800000.0,,,,402800000.0,9358500000.0,-108900000.0,-73800000.0,2497900000.0,12177200000.0,,15700000.0,-53000000.0,-369400000.0,123200000.0,,,-429600000.0,,,-801700000.0,,,,,2100000.0,16900000.0,,200000.0,-16800000.0,,,-45400000.0,-835500000.0,
2011-12-31,7014600000.0,,,,,6327400000.0,687200000.0,51200000.0,738400000.0,190200000.0,532300000.0,1.12,0.99,465500000.0,540600000.0,2302700000.0,12900000.0,4425400000.0,,773700000.0,,298600000.0,8286800000.0,,459800000.0,3444300000.0,,471200000.0,12876600000.0,6647200000.0,827100000.0,,8032600000.0,,,,452100000.0,10135900000.0,405100000.0,-225700000.0,2461700000.0,12876600000.0,130700000.0,51700000.0,83900000.0,219200000.0,39200000.0,,,-62900000.0,,,273500000.0,,,,,63100000.0,140300000.0,,-11800000.0,-58800000.0,,,-541000000.0,-373000000.0,102000000.0
2012-03-31,1506800000.0,,,,,1546200000.0,-39400000.0,-25900000.0,-64900000.0,-19200000.0,-43000000.0,,,,,1573100000.0,13800000.0,3732100000.0,,,,346200000.0,7112500000.0,,451100000.0,3463000000.0,,484500000.0,11765900000.0,5929100000.0,676700000.0,,6987100000.0,,,,467300000.0,9114100000.0,335700000.0,-181800000.0,2393900000.0,11765900000.0,,16700000.0,-51500000.0,-742300000.0,193700000.0,,,-808400000.0,,,-498500000.0,,,,,2100000.0,22400000.0,,-2000000.0,-21300000.0,,,-229000000.0,-729600000.0,
2012-06-30,3222500000.0,,,,,3085500000.0,176400000.0,-47200000.0,155100000.0,50100000.0,101900000.0,0.23,0.22,437500000.0,477700000.0,1502000000.0,12700000.0,3741300000.0,,,,341200000.0,7237300000.0,,447000000.0,3461700000.0,,502400000.0,11851600000.0,6026600000.0,593900000.0,,7015200000.0,,,,502200000.0,9176900000.0,408200000.0,-168300000.0,2424000000.0,11851600000.0,,29400000.0,-43400000.0,-675100000.0,278200000.0,,,-622200000.0,,,-340600000.0,,,,,51600000.0,58200000.0,,400000.0,-97600000.0,,,-341100000.0,-800700000.0,
2012-09-30,4892900000.0,,,,,4624500000.0,268400000.0,-70400000.0,198000000.0,72800000.0,130500000.0,0.28,0.27,435500000.0,469700000.0,1187300000.0,14300000.0,3839900000.0,,,,324700000.0,6974500000.0,,466700000.0,3574300000.0,,530500000.0,11728700000.0,5846800000.0,650000000.0,,6914400000.0,,,,473900000.0,9081900000.0,450900000.0,-157600000.0,2395800000.0,11728700000.0,,37700000.0,-31500000.0,-610200000.0,268400000.0,,,-852700000.0,,,-445300000.0,,,,,140600000.0,99300000.0,,-10600000.0,-229300000.0,,,-439700000.0,-1115400000.0,
2012-12-31,6956200000.0,,,,,6277900000.0,678300000.0,-3500000.0,674800000.0,213300000.0,446700000.0,1.01,0.94,432500000.0,481400000.0,2574800000.0,16000000.0,4496600000.0,,633200000.0,,332100000.0,8738300000.0,,504800000.0,3580600000.0,,509700000.0,13493900000.0,6584800000.0,728200000.0,,7701700000.0,,,,558600000.0,10810100000.0,738300000.0,-288000000.0,2420600000.0,13493900000.0,124300000.0,44500000.0,103600000.0,44700000.0,73800000.0,,,-120400000.0,,,357200000.0,,,,,145500000.0,169200000.0,,-9700000.0,-210200000.0,,,131300000.0,272100000.0,95700000.0
2013-03-31,1543000000.0,,,,,1585400000.0,-42400000.0,-28600000.0,-71000000.0,-12400000.0,-56300000.0,,,,,1645700000.0,5400000.0,3885700000.0,,,,400000000.0,7448200000.0,,485600000.0,3588900000.0,,513200000.0,12218300000.0,5650200000.0,596400000.0,,6408200000.0,,,,555100000.0,9500600000.0,648700000.0,-325400000.0,2449300000.0,12218300000.0,,15500000.0,-49500000.0,-567400000.0,206200000.0,,,-898200000.0,,,-775100000.0,,,,,34900000.0,17800000.0,,-1800000.0,-39800000.0,,,-104100000.0,-929100000.0,
