Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,23366000000.0,,,,2031000000.0,,,,1199000000.0,469000000.0,663000000.0,1.56,1.55,,,1892000000.0,,,2179000000.0,368000000.0,,417000000.0,7551000000.0,,12688000000.0,2290000000.0,,1185000000.0,25548000000.0,2058000000.0,,,4012000000.0,,2425000000.0,,824000000.0,,1949000000.0,-2077000000.0,6023000000.0,25548000000.0,,,160000000.0,,-316000000.0,,,,,,4655000000.0,,,,,17000000.0,534000000.0,,42000000.0,-593000000.0,0.0,,-3376000000.0,748000000.0,
2010-03-31,5807000000.0,,,,421000000.0,,,,-175000000.0,-24000000.0,-162000000.0,-0.38,-0.38,,428800000.0,1749000000.0,,,2145000000.0,334000000.0,,454000000.0,7549000000.0,,12235000000.0,2267000000.0,,1277000000.0,25142000000.0,2217000000.0,,,4083000000.0,,2392000000.0,,728000000.0,,1774000000.0,-2115000000.0,5819000000.0,25142000000.0,,,76000000.0,,51000000.0,,,,,,159000000.0,,,,,0.0,,,31000000.0,-151000000.0,,,-149000000.0,-143000000.0,
2010-06-30,11928000000.0,,,,893000000.0,,,,118000000.0,25000000.0,93000000.0,0.22,0.21,429600000.0,433400000.0,1871000000.0,,,2212000000.0,328000000.0,,285000000.0,7729000000.0,,12008000000.0,2249000000.0,237000000.0,1231000000.0,25047000000.0,2307000000.0,,,4166000000.0,,2355000000.0,,723000000.0,,1812000000.0,-2301000000.0,5693000000.0,25047000000.0,,,62000000.0,,111000000.0,,,,,,800000000.0,,,,,155000000.0,,,32000000.0,-460000000.0,,,-292000000.0,-21000000.0,-99000000.0
2010-09-30,18648000000.0,,,,1397000000.0,,,,547000000.0,171000000.0,397000000.0,0.92,0.91,430100000.0,433800000.0,1429000000.0,,,2336000000.0,330000000.0,,403000000.0,7808000000.0,,12030000000.0,2285000000.0,276000000.0,1171000000.0,25089000000.0,2556000000.0,,,4518000000.0,,2759000000.0,,622000000.0,,2154000000.0,-1975000000.0,6388000000.0,25089000000.0,,,397000000.0,,181000000.0,,,,,,587000000.0,,,,,152000000.0,,,2000000.0,-611000000.0,,,-418000000.0,-463000000.0,-75000000.0
2010-12-31,25179000000.0,,6697000000.0,,1930000000.0,,,,822000000.0,221000000.0,644000000.0,1.5,1.48,429800000.0,434200000.0,2073000000.0,,,2347000000.0,-2319000000.0,,230000000.0,8028000000.0,,12002000000.0,2308000000.0,261000000.0,1191000000.0,25368000000.0,2556000000.0,,,4503000000.0,,2793000000.0,,649000000.0,,2416000000.0,-1822000000.0,6834000000.0,25368000000.0,,,422000000.0,,186000000.0,,,,,,1631000000.0,,,,,152000000.0,,,-93000000.0,-834000000.0,0.0,,-588000000.0,181000000.0,-135000000.0
2011-03-31,6387000000.0,,,,485000000.0,,,,368000000.0,123000000.0,342000000.0,0.79,0.78,430200000.0,433800000.0,2049000000.0,,,2390000000.0,343000000.0,,278000000.0,8488000000.0,,11952000000.0,2320000000.0,258000000.0,977000000.0,25595000000.0,2541000000.0,,,4497000000.0,,2805000000.0,,608000000.0,,2675000000.0,-1611000000.0,7320000000.0,25595000000.0,,,-2000000.0,,-7000000.0,,,,,,514000000.0,,,,,,,,71000000.0,-307000000.0,,,-280000000.0,-24000000.0,-92000000.0
2011-06-30,13035000000.0,,,,969000000.0,,1068000000.0,,661000000.0,241000000.0,566000000.0,1.31,1.3,429400000.0,433400000.0,2399000000.0,,,2405000000.0,334000000.0,,317000000.0,9416000000.0,,11821000000.0,2344000000.0,256000000.0,983000000.0,26044000000.0,2575000000.0,,,4821000000.0,,2824000000.0,,621000000.0,,2785000000.0,-1362000000.0,7706000000.0,26044000000.0,,,2000000.0,,4000000.0,,,,,,1162000000.0,,,,,,,,87000000.0,-552000000.0,,,-361000000.0,326000000.0,11000000.0
2011-09-30,19667000000.0,,,,1446000000.0,,1639000000.0,,1042000000.0,157000000.0,1084000000.0,2.51,2.48,432300000.0,436700000.0,2722000000.0,,,2326000000.0,550000000.0,,279000000.0,9935000000.0,,11401000000.0,2243000000.0,218000000.0,875000000.0,25834000000.0,2494000000.0,,,4747000000.0,,2715000000.0,,1011000000.0,,3188000000.0,-2077000000.0,7402000000.0,25834000000.0,,,35000000.0,,85000000.0,,,,,,2038000000.0,,,,,,,,76000000.0,-893000000.0,,,-490000000.0,649000000.0,10000000.0
2011-12-31,26034000000.0,,7074000000.0,,1887000000.0,,2216000000.0,,1458000000.0,311000000.0,1341000000.0,3.1,3.07,432200000.0,437000000.0,3994000000.0,,,2320000000.0,-2068000000.0,,164000000.0,10456000000.0,,11817000000.0,2346000000.0,,1082000000.0,26993000000.0,2500000000.0,,,4738000000.0,,2497000000.0,,758000000.0,,3330000000.0,-3005000000.0,6620000000.0,26993000000.0,,,317000000.0,,56000000.0,,,,,,2675000000.0,,,,,379000000.0,1159000000.0,,-26000000.0,-1487000000.0,,,742000000.0,1921000000.0,44000000.0
2012-03-31,6655000000.0,,,,513000000.0,,462000000.0,,213000000.0,70000000.0,188000000.0,0.43,0.43,434100000.0,438600000.0,1288000000.0,,,2748000000.0,468000000.0,,238000000.0,9212000000.0,,15159000000.0,4218000000.0,,1235000000.0,33849000000.0,2777000000.0,,,5033000000.0,,4025000000.0,,1104000000.0,,3423000000.0,-2702000000.0,7061000000.0,33849000000.0,,,81000000.0,,-39000000.0,,,,,,581000000.0,,,,,3734000000.0,285000000.0,,91000000.0,-4154000000.0,21000000.0,,848000000.0,-2706000000.0,5000000.0
