Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2017-06-30,1060800000.0,670300000.0,390500000.0,,228100000.0,,-101600000.0,,-198800000.0,-45600000.0,-153300000.0,-0.94,-0.94,176900000.0,176900000.0,245700000.0,,475200000.0,485800000.0,,,59800000.0,1266500000.0,,356200000.0,1200100000.0,1459800000.0,139400000.0,4422900000.0,246400000.0,248400000.0,,500700000.0,,420200000.0,,186900000.0,3213900000.0,-749500000.0,-281700000.0,1209000000.0,4422900000.0,,156200000.0,-60100000.0,16000000.0,21400000.0,,,21800000.0,,,20000000.0,,,,,18800000.0,26800000.0,,,-40600000.0,,,800000.0,-10100000.0,31500000.0
2017-09-30,1710400000.0,1066000000.0,644400000.0,,339100000.0,,95900000.0,,-166300000.0,-41200000.0,-125200000.0,-0.71,-0.71,201300000.0,208100000.0,303000000.0,,531600000.0,507600000.0,,,61200000.0,1403400000.0,,352000000.0,1216900000.0,1449700000.0,129700000.0,4552600000.0,263600000.0,274900000.0,,559600000.0,,409200000.0,,175300000.0,3280800000.0,-721400000.0,-251700000.0,1271800000.0,4552600000.0,,166000000.0,-68100000.0,65900000.0,36400000.0,,,39800000.0,,,83900000.0,,,,,18800000.0,36400000.0,,,-43100000.0,,,-8200000.0,47200000.0,47400000.0
2017-12-31,2375400000.0,1477500000.0,897900000.0,26000000.0,446600000.0,,108700000.0,,-112700000.0,-131200000.0,18400000.0,0.1,0.1,182200000.0,188400000.0,393300000.0,,536300000.0,494500000.0,,,39500000.0,1463600000.0,,363200000.0,1227600000.0,1431200000.0,134600000.0,4621200000.0,269700000.0,271200000.0,,561800000.0,,237500000.0,,226000000.0,3144400000.0,-577800000.0,-199800000.0,1476800000.0,4621200000.0,173800000.0,175000000.0,-249000000.0,65700000.0,22700000.0,,,39900000.0,,,200500000.0,,,,,18800000.0,56800000.0,,,-60800000.0,,,-17400000.0,137500000.0,55500000.0
2018-03-31,619600000.0,387700000.0,231900000.0,,106900000.0,,89800000.0,,65800000.0,23400000.0,42400000.0,0.21,0.2,201600000.0,209900000.0,353800000.0,,541600000.0,567200000.0,,,50800000.0,1513400000.0,,365300000.0,1308300000.0,1449200000.0,138100000.0,4775400000.0,284600000.0,305400000.0,,611100000.0,,248300000.0,,214100000.0,3207700000.0,-535700000.0,-153300000.0,,4775400000.0,,3400000.0,2800000.0,-10000000.0,42900000.0,,,8400000.0,,,60200000.0,,,,,94900000.0,10100000.0,,,-102000000.0,,,-8200000.0,-39500000.0,13800000.0
2018-06-30,1287700000.0,806600000.0,481100000.0,,222600000.0,,191200000.0,,143400000.0,40700000.0,102700000.0,0.51,0.49,201800000.0,209800000.0,337800000.0,,495500000.0,555600000.0,,,56700000.0,1445600000.0,,353900000.0,1276200000.0,1392300000.0,135500000.0,4604600000.0,310900000.0,252600000.0,,571400000.0,,259700000.0,,207400000.0,3035500000.0,-475400000.0,-213400000.0,,4604600000.0,,5200000.0,9200000.0,-43200000.0,46800000.0,,,45300000.0,,,194500000.0,,,,,113600000.0,20900000.0,,,-131400000.0,,,-114500000.0,-55500000.0,62400000.0
2018-09-30,1977100000.0,1233600000.0,743500000.0,,330400000.0,,308900000.0,,238100000.0,63200000.0,174900000.0,0.87,0.83,201900000.0,209600000.0,269000000.0,,525000000.0,550100000.0,,,63400000.0,1407500000.0,,346900000.0,1268400000.0,1356800000.0,135700000.0,4516400000.0,320000000.0,258900000.0,,586800000.0,,279300000.0,,189000000.0,2893000000.0,-403200000.0,-226400000.0,,4516400000.0,,6100000.0,27500000.0,-10500000.0,44700000.0,,,57200000.0,,,298300000.0,,,,,113600000.0,32100000.0,,,-142600000.0,,,-272800000.0,-124300000.0,80800000.0
2018-12-31,2689800000.0,1677300000.0,1012500000.0,24000000.0,434600000.0,,443000000.0,,349500000.0,80100000.0,269400000.0,1.34,1.29,201600000.0,209100000.0,221200000.0,,525400000.0,523900000.0,,,60700000.0,1331200000.0,,356600000.0,1289500000.0,1368400000.0,140100000.0,4487100000.0,340000000.0,248500000.0,,596400000.0,,265500000.0,,190200000.0,2811100000.0,-308700000.0,-247000000.0,,4487100000.0,180400000.0,2800000.0,4000000.0,-13200000.0,13000000.0,,,69600000.0,,,444500000.0,,,,,186300000.0,52200000.0,,,-235000000.0,0.0,,-373000000.0,-172100000.0,103100000.0
2019-03-31,620300000.0,389800000.0,230500000.0,,107700000.0,,80200000.0,,59100000.0,12000000.0,47100000.0,0.23,0.23,201600000.0,207700000.0,263700000.0,,509900000.0,555100000.0,,,69600000.0,1398300000.0,,349500000.0,1283300000.0,1335300000.0,199200000.0,4566800000.0,342400000.0,265900000.0,,616200000.0,,263800000.0,,234900000.0,2829100000.0,-253400000.0,-253200000.0,,4566800000.0,,7500000.0,-5100000.0,-5400000.0,33500000.0,,,8800000.0,,,68800000.0,,,,,500000.0,14100000.0,,,-14700000.0,,,-17300000.0,42500000.0,13500000.0
2019-06-30,1249400000.0,784500000.0,464900000.0,,211300000.0,,154900000.0,,112400000.0,20300000.0,92100000.0,0.45,0.44,203400000.0,208900000.0,317500000.0,,498600000.0,557600000.0,,,90200000.0,1463900000.0,,345100000.0,1284900000.0,1303800000.0,195500000.0,4594300000.0,331800000.0,251500000.0,,591300000.0,,272900000.0,,230200000.0,2809000000.0,-208400000.0,-258900000.0,,4594300000.0,,13600000.0,6500000.0,-17200000.0,35000000.0,,,-800000.0,,,130100000.0,,,,,500000.0,24700000.0,,,-24500000.0,,,-16100000.0,96300000.0,31500000.0
2019-09-30,1846100000.0,1159700000.0,686400000.0,,323000000.0,,227700000.0,,162600000.0,29200000.0,133400000.0,0.66,0.64,204200000.0,209000000.0,406400000.0,,458400000.0,539300000.0,,,90000000.0,1494100000.0,,334000000.0,1266000000.0,1266300000.0,192300000.0,4553800000.0,336600000.0,251500000.0,,595800000.0,,274000000.0,,214100000.0,2763300000.0,-167100000.0,-302500000.0,,4553800000.0,,13400000.0,1300000.0,-47700000.0,26200000.0,,,9700000.0,,,244300000.0,,,,,12000000.0,33800000.0,,,-45100000.0,,,-13100000.0,185200000.0,53800000.0
2019-12-31,2451900000.0,1540200000.0,911700000.0,25000000.0,436400000.0,,275300000.0,,190900000.0,31800000.0,159100000.0,0.78,0.76,203500000.0,208900000.0,505500000.0,,459100000.0,502500000.0,,,76800000.0,1543900000.0,,326600000.0,1287700000.0,1255000000.0,212200000.0,4628400000.0,322900000.0,244100000.0,,574600000.0,,,,229400000.0,2758500000.0,-141400000.0,-256000000.0,,4628400000.0,178100000.0,19200000.0,-21300000.0,-54700000.0,-18700000.0,,,-9200000.0,,,343300000.0,,,,,12000000.0,43200000.0,,,-54300000.0,0.0,,-11500000.0,284300000.0,61600000.0
2020-03-31,799900000.0,555400000.0,244500000.0,,155400000.0,,-66800000.0,,-95700000.0,-58900000.0,-36800000.0,-0.13,-0.13,277300000.0,277300000.0,555700000.0,,1027500000.0,1088100000.0,,,258100000.0,2929400000.0,,829000000.0,5503400000.0,5679700000.0,382100000.0,15358300000.0,764600000.0,589700000.0,162100000.0,1390000000.0,,,,405300000.0,6602800000.0,-179200000.0,-344100000.0,8686200000.0,15358300000.0,,3500000.0,-1100000.0,4100000.0,23600000.0,,,105600000.0,,,68400000.0,,,,,-41300000.0,8300000.0,,,33100000.0,,,-41900000.0,50200000.0,12400000.0
2020-06-30,2064300000.0,1459800000.0,604500000.0,,403100000.0,,-119000000.0,,-176400000.0,95800000.0,-214400000.0,-0.62,-0.62,417000000.0,417000000.0,1173600000.0,,922200000.0,1026400000.0,,,204600000.0,3326800000.0,,832000000.0,6055100000.0,4848700000.0,357000000.0,15433300000.0,683500000.0,754900000.0,159900000.0,1478200000.0,,,,312200000.0,6791500000.0,-356800000.0,-293200000.0,8574900000.0,15433300000.0,,16200000.0,25100000.0,-111500000.0,7800000.0,,,26500000.0,,,315800000.0,,,,,-41300000.0,25400000.0,,,17300000.0,,,336900000.0,668100000.0,30500000.0
2020-09-30,3399500000.0,2313000000.0,1086500000.0,,648700000.0,,74300000.0,,-128300000.0,55200000.0,-184900000.0,-0.5,-0.5,417600000.0,422000000.0,1313300000.0,,934600000.0,1007400000.0,,,204500000.0,3459800000.0,,807900000.0,6205700000.0,4783900000.0,343600000.0,15610500000.0,624700000.0,761000000.0,165300000.0,1425800000.0,,,,337000000.0,6780600000.0,-327300000.0,-147400000.0,8771700000.0,15610500000.0,,29000000.0,,-108500000.0,-94800000.0,,,-46700000.0,,,502500000.0,,,,,,33500000.0,,,-22500000.0,,,317900000.0,807800000.0,73900000.0
2020-12-31,4910200000.0,3296800000.0,1613400000.0,71000000.0,894800000.0,,85700000.0,,-19400000.0,13000000.0,-33300000.0,-0.09,-0.09,382800000.0,382800000.0,1750900000.0,,966600000.0,943600000.0,,,201000000.0,3862100000.0,,797300000.0,6303600000.0,4732600000.0,346900000.0,16058600000.0,671100000.0,787100000.0,172800000.0,1498600000.0,,,,360700000.0,6869100000.0,-175700000.0,14200000.0,9119700000.0,16058600000.0,,51300000.0,-104400000.0,-100300000.0,-170800000.0,,,-13300000.0,,,914300000.0,,,,,-9000000.0,48700000.0,,,-37900000.0,,,328700000.0,1245400000.0,106300000.0
2021-03-31,1369800000.0,854400000.0,515400000.0,,270700000.0,,149700000.0,,129100000.0,17500000.0,-90400000.0,-0.22,-0.21,419200000.0,425900000.0,1639600000.0,,978100000.0,832500000.0,,,199300000.0,4153900000.0,,713600000.0,6154900000.0,4499100000.0,323900000.0,15861900000.0,674200000.0,754800000.0,188900000.0,1536300000.0,,,,339000000.0,6836200000.0,-266100000.0,-84400000.0,8956700000.0,15861900000.0,,23300000.0,-4800000.0,53600000.0,56100000.0,,,31400000.0,,,122600000.0,,,,,,15000000.0,,,-207900000.0,,,-7800000.0,-111300000.0,26700000.0
2021-06-30,2408600000.0,1443800000.0,964800000.0,,519500000.0,,261400000.0,,252200000.0,23100000.0,233900000.0,0.56,0.55,419900000.0,426800000.0,3669900000.0,,935800000.0,796800000.0,,,236200000.0,5712400000.0,,607200000.0,5637000000.0,3725500000.0,473400000.0,16176700000.0,660800000.0,1053600000.0,189200000.0,1823000000.0,,,,303800000.0,6830300000.0,-32200000.0,-35500000.0,9277900000.0,16176700000.0,,43100000.0,-81100000.0,73000000.0,80700000.0,,,80800000.0,,,234800000.0,,,,,,25900000.0,,,-232200000.0,,,-10100000.0,1919000000.0,150500000.0
2021-09-30,3733600000.0,2254500000.0,1479100000.0,,772100000.0,,425300000.0,,388100000.0,25800000.0,269500000.0,0.65,0.64,417100000.0,423700000.0,2033000000.0,,927000000.0,863600000.0,,,179300000.0,4030900000.0,,619200000.0,6100600000.0,3695800000.0,455000000.0,14922800000.0,632900000.0,932400000.0,216300000.0,1632600000.0,,,,301200000.0,6200000000.0,93800000.0,-81300000.0,8653600000.0,14922800000.0,,65000000.0,,43800000.0,126600000.0,,,83700000.0,,,380900000.0,,,,,809300000.0,41200000.0,,,-841000000.0,,,-1142200000.0,282100000.0,381400000.0
