Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,1052168000.0,301116000.0,751052000.0,95102000.0,278511000.0,373613000.0,377439000.0,18672000.0,396111000.0,163505000.0,232606000.0,6.07,5.93,38298000.0,39205000.0,221437000.0,333998000.0,205384000.0,57600000.0,7339000.0,,,846628000.0,616545000.0,125741000.0,110740000.0,56230000.0,491000.0,1809716000.0,27594000.0,25965000.0,99451000.0,202768000.0,1066000.0,,,68599000.0,272433000.0,511716000.0,1256000.0,1537283000.0,1809716000.0,,96981000.0,-15645000.0,35275000.0,-5860000.0,,,7040000.0,21315000.0,,385055000.0,,,,,,53416000.0,,,-292377000.0,,25140000.0,-66169000.0,26814000.0,
2010-03-31,328600000.0,88100000.0,240500000.0,28000000.0,82800000.0,110800000.0,129700000.0,4100000.0,133800000.0,48500000.0,85300000.0,2.2,2.12,38800000.0,40200000.0,313600000.0,429800000.0,180200000.0,68500000.0,7300000.0,,,1019500000.0,652100000.0,132900000.0,110700000.0,52400000.0,600000.0,2016600000.0,34400000.0,5500000.0,103300000.0,173800000.0,,,,72800000.0,246600000.0,597000000.0,2200000.0,1770000000.0,2016600000.0,,26800000.0,5000000.0,-25200000.0,10900000.0,,,7000000.0,3800000.0,,115600000.0,,,,,,16200000.0,,,-147600000.0,,32200000.0,124700000.0,92200000.0,
2010-06-30,679300000.0,182000000.0,497300000.0,56500000.0,171400000.0,227900000.0,269400000.0,8600000.0,278000000.0,104000000.0,174000000.0,4.45,4.31,39300000.0,40500000.0,420000000.0,547900000.0,194700000.0,74000000.0,7200000.0,,,1264100000.0,620300000.0,144400000.0,110700000.0,49800000.0,600000.0,2243100000.0,41600000.0,52000000.0,107600000.0,243300000.0,,,,75400000.0,318700000.0,685700000.0,700000.0,1924400000.0,2243100000.0,,57100000.0,400000.0,-10700000.0,16400000.0,,,14300000.0,8300000.0,,291100000.0,,,,,,36500000.0,,,-254200000.0,,46900000.0,162800000.0,198600000.0,
2010-09-30,1023700000.0,275800000.0,747900000.0,83400000.0,263000000.0,346400000.0,401500000.0,13600000.0,415100000.0,154500000.0,260600000.0,6.65,6.45,39400000.0,40500000.0,382000000.0,598900000.0,207900000.0,85000000.0,7400000.0,,,1301500000.0,639700000.0,156600000.0,116900000.0,70600000.0,1300000.0,2351800000.0,35700000.0,67600000.0,116800000.0,267300000.0,,,,76200000.0,343500000.0,720100000.0,700000.0,2008300000.0,2351800000.0,,87500000.0,-11800000.0,2400000.0,27400000.0,,,8200000.0,17200000.0,,404100000.0,,,,,,86600000.0,,,-373400000.0,,56300000.0,130300000.0,160600000.0,
2010-12-31,1413000000.0,383000000.0,1030000000.0,116000000.0,358800000.0,474800000.0,555200000.0,17100000.0,572300000.0,190500000.0,381800000.0,9.74,9.47,39200000.0,40300000.0,279800000.0,630600000.0,246800000.0,86800000.0,81800000.0,,,1275800000.0,698500000.0,159800000.0,116900000.0,66100000.0,,2390400000.0,35600000.0,48700000.0,126100000.0,273800000.0,,,78400000.0,79200000.0,353000000.0,718900000.0,1600000.0,2037400000.0,2390400000.0,,117600000.0,-21500000.0,41500000.0,29200000.0,,,8100000.0,26500000.0,,528000000.0,,,,,,96000000.0,,,-476500000.0,,65200000.0,7700000.0,58400000.0,
2011-03-31,388100000.0,109300000.0,278800000.0,31400000.0,99100000.0,130500000.0,148300000.0,5300000.0,153600000.0,49500000.0,104100000.0,2.66,2.59,39100000.0,40200000.0,449800000.0,640000000.0,259900000.0,93300000.0,8400000.0,,,1483600000.0,667200000.0,162600000.0,116900000.0,72500000.0,,2568300000.0,43200000.0,35400000.0,130300000.0,252300000.0,,,,85100000.0,337400000.0,812000000.0,-700000.0,2230900000.0,2568300000.0,,32100000.0,8200000.0,13100000.0,6500000.0,,,7500000.0,4700000.0,,100300000.0,,,,,,14700000.0,,,7300000.0,,13700000.0,61600000.0,170000000.0,
2011-06-30,813800000.0,228400000.0,585400000.0,63400000.0,205600000.0,269000000.0,316400000.0,9400000.0,325800000.0,104300000.0,221500000.0,5.65,5.51,39200000.0,40300000.0,382000000.0,611900000.0,250300000.0,100100000.0,4000000.0,,,1365300000.0,828100000.0,194200000.0,116900000.0,68100000.0,,2649900000.0,37500000.0,47600000.0,134300000.0,274000000.0,,,,87400000.0,361400000.0,798500000.0,2600000.0,2288500000.0,2649900000.0,,66900000.0,800000.0,3500000.0,13300000.0,,,1800000.0,8500000.0,,296300000.0,,,,,,53200000.0,,,-159800000.0,,24400000.0,-35100000.0,102200000.0,
2011-09-30,1260500000.0,349600000.0,910900000.0,98800000.0,316800000.0,415600000.0,495300000.0,11300000.0,506600000.0,162700000.0,343900000.0,8.77,8.55,39200000.0,40200000.0,298200000.0,612400000.0,265100000.0,108600000.0,4800000.0,,,1311900000.0,976700000.0,196000000.0,116900000.0,75400000.0,,2746000000.0,43200000.0,36900000.0,143700000.0,284100000.0,,,,92900000.0,377000000.0,750700000.0,1500000.0,2369000000.0,2746000000.0,,101800000.0,8200000.0,18200000.0,21800000.0,,,7500000.0,17700000.0,,447900000.0,,,,,,67700000.0,,,-324600000.0,,44900000.0,-105300000.0,18400000.0,
2011-12-31,1757300000.0,483500000.0,1273800000.0,140200000.0,438800000.0,579000000.0,694800000.0,14900000.0,709700000.0,214600000.0,495100000.0,12.63,12.32,39200000.0,40200000.0,465800000.0,563400000.0,297900000.0,112100000.0,75300000.0,,,1466300000.0,1142600000.0,197200000.0,116900000.0,71000000.0,,3063100000.0,45800000.0,37500000.0,154200000.0,320600000.0,,,95900000.0,96900000.0,417500000.0,901900000.0,900000.0,2645600000.0,3063100000.0,,136400000.0,7100000.0,51100000.0,25300000.0,,,10300000.0,28100000.0,,677600000.0,,,,,,82900000.0,,,-479000000.0,,58800000.0,-12400000.0,186000000.0,
2012-03-31,495200000.0,139300000.0,355900000.0,38400000.0,124200000.0,162600000.0,193300000.0,3800000.0,197100000.0,53600000.0,143500000.0,3.63,3.5,39500000.0,41000000.0,325900000.0,645400000.0,299700000.0,118800000.0,6400000.0,,,1436100000.0,1399700000.0,210100000.0,138100000.0,,,3332900000.0,49800000.0,45600000.0,160500000.0,313600000.0,,,,92000000.0,405600000.0,1045400000.0,1500000.0,2927300000.0,3332900000.0,,34400000.0,-1400000.0,-1600000.0,4500000.0,,,500000.0,5400000.0,,166500000.0,,153200000.0,133200000.0,,,,,,-409700000.0,,20200000.0,103100000.0,-139900000.0,
